 " america's sweethearts " has an intriguing premise and a great cast , but it isn't nearly as edgy or funny as it should be . 	Translation	Positive	Negative	EmotionRationale
lee hopes to turn lemons into lemonade by convincing eddie and gwen to pretend to be on the road to reconciliation . 	lee hopes to turn lemons into lemonade by convincing eddie and gwen to pretend to be on the road to reconciliation .	2	-2	 lee[0] hopes[1] to[0] turn[0] lemons[0] into[0] lemonade[0] by[0] convincing[0] eddie[0] and[0] gwen[0] to[0] pretend[-1] to[0] be[0] on[0] the[0] road[0] to[0] reconciliation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he enlists the help of kiki ( julia roberts ) , gwen's sister , personal assistant and whipping girl . 	he enlists the help of kiki ( julia roberts ) , gwen's sister , personal assistant and whipping girl .	1	-1	 he[0] enlists[0] the[0] help[0] of[0] kiki[0] julia[0] roberts[0] gwen's[0] sister[0] personal[0] assistant[0] and[0] whipping[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what lee doesn't know is that kiki is in love with eddie , a fact that could temper her effectiveness . 	what lee doesn't know is that kiki is in love with eddie , a fact that could temper her effectiveness .	3	-2	 what[0] lee[0] doesn't[0] know[0] is[0] that[0] kiki[0] is[0] in[0] love[2] with[0] eddie[0] a[0] fact[0] that[0] could[0] temper[-2][--1 LastWordBoosterStrength] her[0] effectiveness[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
press junkets are a haven for control freaks . 	press junkets are a haven for control freaks .	1	-2	 press[0] junkets[0] are[0] a[0] haven[0] for[0] control[0] freaks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
studios fly journalists in from around the world and put them up in a plush hotel , with food and drink always at hand . 	studios fly journalists in from around the world and put them up in a plush hotel , with food and drink always at hand .	1	-1	 studios[0] fly[0] journalists[0] in[0] from[0] around[0] the[0] world[0] and[0] put[0] them[0] up[0] in[0] a[0] plush[0] hotel[0] with[0] food[0] and[0] drink[0] always[0] at[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
generally , on the evening of their arrival , writers are bussed to see the featured film , then ferreted straight back to the hotel . 	generally , on the evening of their arrival , writers are bussed to see the featured film , then ferreted straight back to the hotel .	1	-1	 generally[0] on[0] the[0] evening[0] of[0] their[0] arrival[0] writers[0] are[0] bussed[0] to[0] see[0] the[0] featured[0] film[0] then[0] ferreted[0] straight[0] back[0] to[0] the[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next day , writers go to the studio suites and assemble in groups of five or six for roundtable interviews . 	the next day , writers go to the studio suites and assemble in groups of five or six for roundtable interviews .	1	-1	 the[0] next[0] day[0] writers[0] go[0] to[0] the[0] studio[0] suites[0] and[0] assemble[0] in[0] groups[0] of[0] five[0] or[0] six[0] for[0] roundtable[0] interviews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every 30 minutes or so , a producer , director , writer or actor is brought into the room for a few minutes of questions , with a publicist hovering in the corner to keep an eye on things . 	every 30 minutes or so , a producer , director , writer or actor is brought into the room for a few minutes of questions , with a publicist hovering in the corner to keep an eye on things .	1	-1	 every[0] 30[0] minutes[0] or[0] so[0] a[0] producer[0] director[0] writer[0] or[0] actor[0] is[0] brought[0] into[0] the[0] room[0] for[0] a[0] few[0] minutes[0] of[0] questions[0] with[0] a[0] publicist[0] hovering[0] in[0] the[0] corner[0] to[0] keep[0] an[0] eye[0] on[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the atmosphere is one of cordial oppression ? writers are free to ask what they want , but understand that if the studio dislikes a question , they may not be invited to future junkets . 	the atmosphere is one of cordial oppression ?<br> writers are free to ask what they want , but understand that if the studio dislikes a question , they may not be invited to future junkets .	1	-3	 the[0] atmosphere[0] is[0] one[0] of[0] cordial[0] oppression[-2] [[Sentence=-3,1=word max, 1-5]] writers[0] are[0] free[0] to[0] ask[0] what[0] they[0] want[0] but[0] understand[0] that[0] if[0] the[0] studio[0] dislikes[-2] a[0] question[0] they[0] may[0] not[0] be[0] invited[0] to[0] future[0] junkets[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
representatives from tv stations face even more restrictions . 	representatives from tv stations face even more restrictions .	1	-2	 representatives[0] from[0] tv[0] stations[0] face[0] even[0] more[0] restrictions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they get roughly five minutes to interview each member of the cast and crew , with the studio filming the exchanges . 	they get roughly five minutes to interview each member of the cast and crew , with the studio filming the exchanges .	1	-2	 they[0] get[0] roughly[-1] five[0] minutes[0] to[0] interview[0] each[0] member[0] of[0] the[0] cast[0] and[0] crew[0] with[0] the[0] studio[0] filming[0] the[0] exchanges[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the " reporters " are notorious for tossing softball questions as they suck up to the stars , but to play it safe , the studios stand ready to erase the tapes if anything unpleasant occurs . 	the " reporters " are notorious for tossing softball questions as they suck up to the stars , but to play it safe , the studios stand ready to erase the tapes if anything unpleasant occurs .	2	-3	 the[0] reporters[0] are[0] notorious[-1] for[0] tossing[0] softball[0] questions[0] as[0] they[0] suck[-1] up[0] to[0] the[0] stars[0] but[0] to[0] play[0] it[0] safe[1] the[0] studios[0] stand[0] ready[0] to[0] erase[-1] the[0] tapes[0] if[0] anything[0] unpleasant[-2] occurs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
placing two spoiled actors in a setting where image is everything is inspired , but the screenplay undermines the conceit . 	placing two spoiled actors in a setting where image is everything is inspired , but the screenplay undermines the conceit .	3	-2	 placing[0] two[0] spoiled[-1] actors[0] in[0] a[0] setting[0] where[0] image[0] is[0] everything[0] is[0] inspired[2] but[0] the[0] screenplay[0] undermines[-1] the[0] conceit[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the junket is moved from the handsome , but highly confining , four seasons hotel to a plush resort near las vegas . 	the junket is moved from the handsome , but highly confining , four seasons hotel to a plush resort near las vegas .	2	-1	 the[0] junket[0] is[0] moved[0] from[0] the[0] handsome[1] but[0] highly[0] confining[0] four[0] seasons[0] hotel[0] to[0] a[0] plush[0] resort[0] near[0] las[0] vegas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for most of the film , the movie stars run around the sprawling grounds , completely safe from the eyes of the press . 	for most of the film , the movie stars run around the sprawling grounds , completely safe from the eyes of the press .	3	-1	 for[0] most[0] of[0] the[0] film[0] the[0] movie[0] stars[0] run[0] around[0] the[0] sprawling[0] grounds[0] completely[0] safe[1][1 LastWordBoosterStrength] from[0] the[0] eyes[0] of[0] the[0] press[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when they do deal with journalists , the " it is imperative that you be on your best behavior in front of the reporters " premise is de-clawed . 	when they do deal with journalists , the " it is imperative that you be on your best behavior in front of the reporters " premise is de-clawed .	2	-1	 when[0] they[0] do[0] deal[0] with[0] journalists[0] the[0] it[0] is[0] imperative[0] that[0] you[0] be[0] on[0] your[0] best[1] behavior[0] in[0] front[0] of[0] the[0] reporters[0] premise[0] is[0] de[0] clawed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gwen and eddie insult each other while the tv cameras roll , they scream at each other in a restaurant filled with the media and , at the screening of the movie , everyone connected with the film goes nuts , all without any repercussions . 	gwen and eddie insult each other while the tv cameras roll , they scream at each other in a restaurant filled with the media and , at the screening of the movie , everyone connected with the film goes nuts , all without any repercussions .	1	-4	 gwen[0] and[0] eddie[0] insult[-2] each[0] other[0] while[0] the[0] tv[0] cameras[0] roll[0] they[0] scream[-3] at[0] each[0] other[0] in[0] a[0] restaurant[0] filled[0] with[0] the[0] media[0] and[0] at[0] the[0] screening[0] of[0] the[0] movie[0] everyone[0] connected[0] with[0] the[0] film[0] goes[0] nuts[0] all[0] without[0] any[0] repercussions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
lee certainly isn't bothered by any of the infantile outbursts ; in fact , he makes arrangements for footage of even more inappropriate behavior to be delivered to the tabloids . 	lee certainly isn't bothered by any of the infantile outbursts ; in fact , he makes arrangements for footage of even more inappropriate behavior to be delivered to the tabloids .	2	-2	 lee[0] certainly[0] isn't[0] bothered[-1][NegatedDueToPreviousWord] by[0] any[0] of[0] the[0] infantile[0] outbursts[-1] in[0] fact[0] he[0] makes[0] arrangements[0] for[0] footage[0] of[0] even[0] more[0] inappropriate[0] behavior[0] to[0] be[0] delivered[0] to[0] the[0] tabloids[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is the studio angry about his handling of the combative actors ? 	is the studio angry about his handling of the combative actors ?	1	-4	 is[0] the[0] studio[0] angry[-3] about[0] his[0] handling[0] of[0] the[0] combative[0] actors[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hell no ? they feel lee is a genius for garnering so much publicity for the movie . 	hell no ?<br> they feel lee is a genius for garnering so much publicity for the movie .	1	-2	 hell[-1] no[0] [[Sentence=-2,1=word max, 1-5]] they[0] feel[0] lee[0] is[0] a[0] genius[0] for[0] garnering[0] so[0] much[0] publicity[0] for[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of which underscores how billy crystal and co-writer peter tolan screwed up their own premise : the comedy in " america's sweethearts " is based on barely-in-control people trying to contain themselves in the presence of reporters , except that it doesn't matter because any publicity is good publicity . 	all of which underscores how billy crystal and co-writer peter tolan screwed up their own premise : the comedy in " america's sweethearts " is based on barely-in-control people trying to contain themselves in the presence of reporters , except that it doesn't matter because any publicity is good publicity .	4	-1	 all[0] of[0] which[0] underscores[0] how[0] billy[0] crystal[0] and[0] co[0] writer[0] peter[0] tolan[0] screwed[0] up[0] their[0] own[0] premise[0] the[0] comedy[0] in[0] america's[0] sweethearts[3] is[0] based[0] on[0] barely[0] in[0] control[0] people[0] trying[0] to[0] contain[0] themselves[0] in[0] the[0] presence[0] of[0] reporters[0] except[0] that[0] it[0] doesn't[0] matter[0] because[0] any[0] publicity[0] is[0] good[1] publicity[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and thus the very set-up for the film implodes , leaving smoke and dust in place of laughter . 	and thus the very set-up for the film implodes , leaving smoke and dust in place of laughter .	2	-1	 and[0] thus[0] the[0] very[0] set[0] up[0] for[0] the[0] film[0] implodes[0] leaving[0] smoke[0] and[0] dust[0] in[0] place[0] of[0] laughter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what about the cast ? 	so what about the cast ?	1	-1	 so[0] what[0] about[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julia roberts , at her best playing the underdog , is utterly charming here , although i could have lived without flashbacks that exist solely as an excuse to show her in a fat suit ( and not a very convincing one , by the way ) . 	julia roberts , at her best playing the underdog , is utterly charming here , although i could have lived without flashbacks that exist solely as an excuse to show her in a fat suit ( and not a very convincing one , by the way ) .	2	-2	 julia[0] roberts[0] at[0] her[0] best[1] playing[1] the[0] underdog[0] is[0] utterly[0] charming[1] here[0] although[0] i[0] could[0] have[0] lived[0] without[0] flashbacks[0] that[0] exist[0] solely[0] as[0] an[0] excuse[0] to[0] show[0] her[0] in[0] a[0] fat[-1] suit[0] and[0] not[0] a[0] very[0] convincing[0] one[0] by[0] the[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
catherine zeta-jones makes a believable brat and john cusack fleshes out his obsessed character enough to make him vaguely sympathetic . 	catherine zeta-jones makes a believable brat and john cusack fleshes out his obsessed character enough to make him vaguely sympathetic .	1	-3	 catherine[0] zeta[0] jones[0] makes[0] a[0] believable[0] brat[-1] and[0] john[0] cusack[0] fleshes[0] out[0] his[0] obsessed[-2] character[0] enough[0] to[0] make[0] him[0] vaguely[-1] sympathetic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by casting himself as the publicist , billy crystal allows himself to do roughly the same thing he does on " comic relief " - stay on the sidelines of the action while tossing off cornball jokes and snarky remarks . 	by casting himself as the publicist , billy crystal allows himself to do roughly the same thing he does on " comic relief " - stay on the sidelines of the action while tossing off cornball jokes and snarky remarks .	2	-2	 by[0] casting[0] himself[0] as[0] the[0] publicist[0] billy[0] crystal[0] allows[0] himself[0] to[0] do[0] roughly[-1] the[0] same[0] thing[0] he[0] does[0] on[0] comic[0] relief[1] stay[0] on[0] the[0] sidelines[0] of[0] the[0] action[0] while[0] tossing[0] off[0] cornball[0] jokes[1] and[0] snarky[0] remarks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in supporting roles , hank azaria wears out his welcome fast with broad gestures and a spanish accent that speedy gonzales would have deemed " too broad . " 	in supporting roles , hank azaria wears out his welcome fast with broad gestures and a spanish accent that speedy gonzales would have deemed " too broad .<br> "	2	-1	 in[0] supporting[1] roles[0] hank[0] azaria[0] wears[0] out[0] his[0] welcome[1] fast[0] with[0] broad[0] gestures[0] and[0] a[0] spanish[0] accent[0] that[0] speedy[0] gonzales[0] would[0] have[0] deemed[0] too[0] broad[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
seth green is amusing as a toadie , stanley tucci is very good as a ruthless studio head and christopher walken plays the eccentric director with suitable flair , though he has little to work with . 	seth green is amusing as a toadie , stanley tucci is very good as a ruthless studio head and christopher walken plays the eccentric director with suitable flair , though he has little to work with .	3	-3	 seth[0] green[0] is[0] amusing[1] as[0] a[0] toadie[0] stanley[0] tucci[0] is[0] very[0] good[1][1 LastWordBoosterStrength] as[0] a[0] ruthless[-2] studio[0] head[0] and[0] christopher[0] walken[0] plays[1] the[0] eccentric[-1] director[0] with[0] suitable[0] flair[0] though[0] he[0] has[0] little[0] to[0] work[0] with[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
come to think of it , " little to work with " is the operative phrase for this movie . 	come to think of it , " little to work with " is the operative phrase for this movie .	1	-1	 come[0] to[0] think[0] of[0] it[0] little[0] to[0] work[0] with[0] is[0] the[0] operative[0] phrase[0] for[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a hollywood satire , " america's sweethearts " is toothless . 	as a hollywood satire , " america's sweethearts " is toothless .	4	-1	 as[0] a[0] hollywood[0] satire[0] america's[0] sweethearts[3] is[0] toothless[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as a romance , it is at best a minor pleasure . 	as a romance , it is at best a minor pleasure .	4	-1	 as[0] a[0] romance[3] it[0] is[0] at[0] best[1] a[0] minor[0] pleasure[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
such a good cast , such a waste of their efforts . 	such a good cast , such a waste of their efforts .	2	-2	 such[0] a[0] good[1] cast[0] such[0] a[0] waste[-1] of[0] their[0] efforts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
had it not been taken long ago , a better title for the film would have been " much ado about nothing . " 	had it not been taken long ago , a better title for the film would have been " much ado about nothing .<br> "	1	-1	 had[0] it[0] not[0] been[0] taken[0] long[0] ago[0] a[0] better[0] title[0] for[0] the[0] film[0] would[0] have[0] been[0] much[0] ado[0] about[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
