at first glance , i thought that the sword and the sorceror had promise . 	Translation	Positive	Negative	EmotionRationale
never once does the story seem to connect together , it just jumps around repeatedly . 	never once does the story seem to connect together , it just jumps around repeatedly .	1	-1	 never[0] once[0] does[0] the[0] story[0] seem[0] to[0] connect[0] together[0] it[0] just[0] jumps[0] around[0] repeatedly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this problem is extremely noticeable in the opening scene where cromwell resurrects xusia . 	this problem is extremely noticeable in the opening scene where cromwell resurrects xusia .	1	-2	 this[0] problem[-1] is[0] extremely[0] noticeable[0] in[0] the[0] opening[0] scene[0] where[0] cromwell[0] resurrects[0] xusia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after telling him that he needs his help , he leads the warlock out into daylight , but then stabs him and sends him careening off a cliff afterwards . 	after telling him that he needs his help , he leads the warlock out into daylight , but then stabs him and sends him careening off a cliff afterwards .	1	-2	 after[0] telling[0] him[0] that[0] he[0] needs[0] his[0] help[0] he[0] leads[0] the[0] warlock[0] out[0] into[0] daylight[0] but[0] then[0] stabs[-1] him[0] and[0] sends[0] him[0] careening[0] off[0] a[0] cliff[0] afterwards[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wait a minute , didn't the plotline say that he needs the help of xusia in order to invade eh-dan , which he cannot do by military force ? 	wait a minute , didn't the plotline say that he needs the help of xusia in order to invade eh-dan , which he cannot do by military force ?	1	-2	 wait[0] a[0] minute[0] didn't[0] the[0] plotline[0] say[0] that[0] he[0] needs[0] the[0] help[0] of[0] xusia[0] in[0] order[0] to[0] invade[-1] eh[0] dan[0] which[0] he[0] cannot[0] do[0] by[0] military[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if that is the case , why does he dispose of xusia after resurrecting him ? 	if that is the case , why does he dispose of xusia after resurrecting him ?	1	-2	 if[0] that[0] is[0] the[0] case[0] why[0] does[0] he[0] dispose[-1] of[0] xusia[0] after[0] resurrecting[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and why does he manage to take over eh-dan anyway ? 	and why does he manage to take over eh-dan anyway ?	1	-1	 and[0] why[0] does[0] he[0] manage[0] to[0] take[0] over[0] eh[0] dan[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these questions are just never - no , never - answered in the film . 	these questions are just never - no , never - answered in the film .	1	-1	 these[0] questions[0] are[0] just[0] never[0] no[0] never[0] answered[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another example is that one moment we see talon fighting for his life , another moment we see him just about to be crucified during alana's wedding to cromwell ( ! ) , and finally at the end , instead of settling down with alana , he just tells her to " wait " , and then he just rides off ! 	another example is that one moment we see talon fighting for his life , another moment we see him just about to be crucified during alana's wedding to cromwell ( !<br> ) , and finally at the end , instead of settling down with alana , he just tells her to " wait " , and then he just rides off !	1	-3	 another[0] example[0] is[0] that[0] one[0] moment[0] we[0] see[0] talon[0] fighting[-2] for[0] his[0] life[0] another[0] moment[0] we[0] see[0] him[0] just[0] about[0] to[0] be[0] crucified[0] during[0] alana's[0] wedding[0] to[0] cromwell[0] [[Sentence=-3,1=word max, 1-5]] and[0] finally[0] at[0] the[0] end[0] instead[0] of[0] settling[0] down[0] with[0] alana[0] he[0] just[0] tells[0] her[0] to[0] wait[0] and[0] then[0] he[0] just[0] rides[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
in addition to the extremely bloody scenes , this uneven plot jumping completely destroys what would have been a great fantasy adventure . 	in addition to the extremely bloody scenes , this uneven plot jumping completely destroys what would have been a great fantasy adventure .	3	-4	 in[0] addition[0] to[0] the[0] extremely[0] bloody[-1][-2 LastWordBoosterStrength] scenes[0] this[0] uneven[-1] plot[0] jumping[0] completely[0] destroys[-2][-1 LastWordBoosterStrength] what[0] would[0] have[0] been[0] a[0] great[2] fantasy[0] adventure[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
even some attempts to make it exciting , a few fire scenes , battle scenes , don't work . 	even some attempts to make it exciting , a few fire scenes , battle scenes , don't work .	3	-2	 even[0] some[0] attempts[0] to[0] make[0] it[0] exciting[2] a[0] few[0] fire[0] scenes[0] battle[-1] scenes[0] don't[0] work[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it just completely fails altogether miserably . 	it just completely fails altogether miserably .	1	-4	 it[0] just[0] completely[0] fails[-2][-1 LastWordBoosterStrength] altogether[0] miserably[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only good thing about this film is its musical score , contributed by david whittaker , who had an ( extremely ) short music composing career . 	the only good thing about this film is its musical score , contributed by david whittaker , who had an ( extremely ) short music composing career .	2	-1	 the[0] only[0] good[1] thing[0] about[0] this[0] film[0] is[0] its[0] musical[0] score[0] contributed[0] by[0] david[0] whittaker[0] who[0] had[0] an[0] extremely[0] short[0] music[0] composing[0] career[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the score is boomy and adventurous , powerful , and a billion times better than this film is . 	the score is boomy and adventurous , powerful , and a billion times better than this film is .	1	-1	 the[0] score[0] is[0] boomy[0] and[0] adventurous[0] powerful[0] and[0] a[0] billion[0] times[0] better[0] than[0] this[0] film[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my suggestion : steer the hell away from this bloody mess and buy the soundtrack album instead ( if you can find it ) . 	my suggestion : steer the hell away from this bloody mess and buy the soundtrack album instead ( if you can find it ) .	1	-2	 my[0] suggestion[0] steer[0] the[0] hell[-1] away[0] from[0] this[0] bloody[-1] mess[0] and[0] buy[0] the[0] soundtrack[0] album[0] instead[0] if[0] you[0] can[0] find[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ironically , though , before the film's credits roll , there is a message indicating that a sequel , tales of the ancient empire , would follow . 	ironically , though , before the film's credits roll , there is a message indicating that a sequel , tales of the ancient empire , would follow .	1	-2	 ironically[-1] though[0] before[0] the[0] film's[0] credits[0] roll[0] there[0] is[0] a[0] message[0] indicating[0] that[0] a[0] sequel[0] tales[0] of[0] the[0] ancient[0] empire[0] would[0] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to my relief ( and delight ) , it never got into production , because the sword and the sorcerer laid an egg at the box office , grossing only  39 million . 	to my relief ( and delight ) , it never got into production , because the sword and the sorcerer laid an egg at the box office , grossing only  39 million .	3	-2	 to[0] my[0] relief[1] and[0] delight[2] it[0] never[0] got[0] into[0] production[0] because[0] the[0] sword[0] and[0] the[0] sorcerer[0] laid[0] an[0] egg[0] at[0] the[0] box[0] office[0] grossing[-1] only[0] 39[0] million[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
critics were right on in slamming the sword and the sorcerer , all right . 	critics were right on in slamming the sword and the sorcerer , all right .	1	-2	 critics[0] were[0] right[0] on[0] in[0] slamming[-1] the[0] sword[0] and[0] the[0] sorcerer[0] all[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leonard maltin rightfully called it " second rate in scripting , and acting " and at-a-glance film reviews called it " a confusing , stupid , unimaginative , unengaging , bloodfilled bore " . 	leonard maltin rightfully called it " second rate in scripting , and acting " and at-a-glance film reviews called it " a confusing , stupid , unimaginative , unengaging , bloodfilled bore " .	1	-2	 leonard[0] maltin[0] rightfully[0] called[0] it[0] second[0] rate[0] in[0] scripting[0] and[0] acting[0] and[0] at[0] a[0] glance[0] film[0] reviews[0] called[0] it[0] a[0] confusing[-1] stupid[-1] unimaginative[0] unengaging[0] bloodfilled[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i totally agree with these reviews , all right , and i hope that this piece of # % ! 	i totally agree with these reviews , all right , and i hope that this piece of # % !	3	-1	 i[0] totally[0] agree[0] with[0] these[0] reviews[0] all[0] right[0] and[0] i[0] hope[2] that[0] this[0] piece[0] of[0] #[0] %[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
will be forgotten about . 	will be forgotten about .	1	-1	 will[0] be[0] forgotten[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are far better fantasy movies than the sword and the sorcerer . 	there are far better fantasy movies than the sword and the sorcerer .	1	-1	 there[0] are[0] far[0] better[0] fantasy[0] movies[0] than[0] the[0] sword[0] and[0] the[0] sorcerer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i hope you get a good laugh out of this review , but i am not laughing . 	i hope you get a good laugh out of this review , but i am not laughing .	3	-2	 i[0] hope[2] you[0] get[0] a[0] good[1] laugh[1] out[0] of[0] this[0] review[0] but[0] i[0] am[0] not[0] laughing[1][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , my insults don't even come close to the gruesome sickness that this film gave me throughout its 100 minute running time . 	in fact , my insults don't even come close to the gruesome sickness that this film gave me throughout its 100 minute running time .	1	-3	 in[0] fact[0] my[0] insults[-2] don't[0] even[0] come[0] close[0] to[0] the[0] gruesome[0] sickness[-1] that[0] this[0] film[0] gave[0] me[0] throughout[0] its[0] 100[0] minute[0] running[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
