the classic story & the production which ruined it 	Translation	Positive	Negative	EmotionRationale
dr . moreau is a man obsessed with creating a race of beings which is free from hate and violence . . . but the savage within every beast is not something one can suppress for long . 	dr .<br> moreau is a man obsessed with creating a race of beings which is free from hate and violence .<br> .<br> .<br> but the savage within every beast is not something one can suppress for long .	1	-4	 dr[0] [[Sentence=-1,1=word max, 1-5]] moreau[0] is[0] a[0] man[0] obsessed[-2] with[0] creating[0] a[0] race[0] of[0] beings[0] which[0] is[0] free[0] from[0] hate[-3] and[0] violence[-3] [[Sentence=-4,1=word max, 1-5]] but[0] the[0] savage[-2] within[0] every[0] beast[0] is[0] not[0] something[0] one[0] can[0] suppress[-1] for[0] long[0] [[Sentence=-3,1=word max, 1-5]][[[1,-4 max of sentences]]]
moreau has no doubt a very interesting premise within its grasp . 	moreau has no doubt a very interesting premise within its grasp .	3	-2	 moreau[0] has[0] no[0] doubt[-1] a[0] very[0] interesting[1][1 LastWordBoosterStrength] premise[0] within[0] its[0] grasp[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even so , the production has failed to make the most out of it . 	even so , the production has failed to make the most out of it .	1	-3	 even[0] so[0] the[0] production[0] has[0] failed[-2] to[0] make[0] the[0] most[0] out[0] of[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are too many characters to put your attention to and the worst thing is , the characters are not " prioritized " so when the audience is led to believe that a particular character is important , before they know it , he or she or it perishes . . . . rather 	there are too many characters to put your attention to and the worst thing is , the characters are not " prioritized " so when the audience is led to believe that a particular character is important , before they know it , he or she or it perishes .<br> .<br> .<br> .<br> rather	1	-3	 there[0] are[0] too[0] many[0] characters[0] to[0] put[0] your[0] attention[0] to[0] and[0] the[0] worst[-2] thing[0] is[0] the[0] characters[0] are[0] not[0] prioritized[0] so[0] when[0] the[0] audience[0] is[0] led[0] to[0] believe[0] that[0] a[0] particular[0] character[0] is[0] important[0] before[0] they[0] know[0] it[0] he[0] or[0] she[0] or[0] it[0] perishes[-1] [[Sentence=-3,1=word max, 1-5]] rather[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
ungloriously at times too . 	ungloriously at times too .	1	-1	 ungloriously[0] at[0] times[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps there is some redemption in the development of the beast people , especially aissa ( balk ) , the most human of moreau's creations . 	perhaps there is some redemption in the development of the beast people , especially aissa ( balk ) , the most human of moreau's creations .	1	-2	 perhaps[0] there[0] is[0] some[0] redemption[0] in[0] the[0] development[0] of[0] the[0] beast[0] people[0] especially[0] aissa[0] balk[-1] the[0] most[0] human[0] of[0] moreau's[0] creations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two very important characters , montgomery and dr . moreau himself receive no development at all and it is in this area that the script fails miserably . 	the two very important characters , montgomery and dr .<br> moreau himself receive no development at all and it is in this area that the script fails miserably .	1	-4	 the[0] two[0] very[0] important[0] characters[0] montgomery[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]] moreau[0] himself[0] receive[0] no[0] development[0] at[0] all[0] and[0] it[0] is[0] in[0] this[0] area[0] that[0] the[0] script[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
more screen time could have been used for character interaction and development . 	more screen time could have been used for character interaction and development .	1	-1	 more[0] screen[0] time[0] could[0] have[0] been[0] used[0] for[0] character[0] interaction[0] and[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i really would have liked it better if , say , they delved more into dr . moreau's obsession , montgomery's purpose in the story and justification to as why the beast-people had to rebel . 	i really would have liked it better if , say , they delved more into dr .<br> moreau's obsession , montgomery's purpose in the story and justification to as why the beast-people had to rebel .	3	-3	 i[0] really[0] would[0] have[0] liked[2] it[0] better[0] if[0] say[0] they[0] delved[0] more[0] into[0] dr[0] [[Sentence=-1,3=word max, 1-5]] moreau's[0] obsession[-2] montgomery's[0] purpose[0] in[0] the[0] story[0] and[0] justification[0] to[0] as[0] why[0] the[0] beast[0] people[0] had[0] to[0] rebel[-1] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
maybe the nature of the screenplay , which incidently , does not incorporate much action sequences in the film , forced the filmmakers to " cut a long story short " and make it more of an action film than anything else ( it's still summer , and movies have to be " marketable " ) . 	maybe the nature of the screenplay , which incidently , does not incorporate much action sequences in the film , forced the filmmakers to " cut a long story short " and make it more of an action film than anything else ( it's still summer , and movies have to be " marketable " ) .	1	-1	 maybe[0] the[0] nature[0] of[0] the[0] screenplay[0] which[0] incidently[0] does[0] not[0] incorporate[0] much[0] action[0] sequences[0] in[0] the[0] film[0] forced[0] the[0] filmmakers[0] to[0] cut[0] a[0] long[0] story[0] short[0] and[0] make[0] it[0] more[0] of[0] an[0] action[0] film[0] than[0] anything[0] else[0] it's[0] still[0] summer[0] and[0] movies[0] have[0] to[0] be[0] marketable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects too , are really nothing for anyone to shout about . 	the special effects too , are really nothing for anyone to shout about .	2	-1	 the[0] special[1] effects[0] too[0] are[0] really[0] nothing[0] for[0] anyone[0] to[0] shout[0] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at most , i would say the beast-men looked just a bit more realistic than those apes in planet of the apes . 	at most , i would say the beast-men looked just a bit more realistic than those apes in planet of the apes .	1	-1	 at[0] most[0] i[0] would[0] say[0] the[0] beast[0] men[0] looked[0] just[0] a[0] bit[0] more[0] realistic[0] than[0] those[0] apes[0] in[0] planet[0] of[0] the[0] apes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this h . g . wells classic really has potential to be a good film . 	this h .<br> grin� .<br> wells classic really has potential to be a good film .	2	-1	 this[0] h[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] wells[0] classic[0] really[0] has[0] potential[0] to[0] be[0] a[0] good[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , after 2 adaptations , they still could not decide on how and what to focus their attention on to really bring out that important message which makes up the entire essence of the story . 	unfortunately , after 2 adaptations , they still could not decide on how and what to focus their attention on to really bring out that important message which makes up the entire essence of the story .	1	-2	 unfortunately[-1] after[0] 2[0] adaptations[0] they[0] still[0] could[0] not[0] decide[0] on[0] how[0] and[0] what[0] to[0] focus[0] their[0] attention[0] on[0] to[0] really[0] bring[0] out[0] that[0] important[0] message[0] which[0] makes[0] up[0] the[0] entire[0] essence[0] of[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a third outing , the island of dr . moreau 	as a third outing , the island of dr .<br> moreau	1	-1	 as[0] a[0] third[0] outing[0] the[0] island[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]] moreau[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
accomplishes little and is nothing more than an inferior version of  the planet of the apes' . 	accomplishes little and is nothing more than an inferior version of  the planet of the apes' .	2	-2	 accomplishes[1] little[0] and[0] is[0] nothing[0] more[0] than[0] an[0] inferior[-1] version[0] of[0] the[0] planet[0] of[0] the[0] apes'[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
