old soldiers never die , they just turn into cliches 	Translation	Positive	Negative	EmotionRationale
chosen from birth as a soldier , he is raised by the government to be a killing machine . 	chosen from birth as a soldier , he is raised by the government to be a killing machine .	1	-2	 chosen[0] from[0] birth[0] as[0] a[0] soldier[0] he[0] is[0] raised[0] by[0] the[0] government[0] to[0] be[0] a[0] killing[-1] machine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his childhood is cruelty and competition . 	his childhood is cruelty and competition .	1	-4	 his[0] childhood[0] is[0] cruelty[-3] and[0] competition[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is indoctrinated with the big rules . 	he is indoctrinated with the big rules .	1	-1	 he[0] is[0] indoctrinated[0] with[0] the[0] big[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never question authority . 	never question authority .	1	-1	 never[0] question[0] authority[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
winning is everything . 	winning is everything .	2	-1	 winning[1] is[0] everything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
strength beats knowledge . 	strength beats knowledge .	1	-1	 strength[0] beats[0] knowledge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a veteran of numerous intergalactic wars , todd is 40 and he's obsolete . 	a veteran of numerous intergalactic wars , todd is 40 and he's obsolete .	1	-3	 a[0] veteran[0] of[0] numerous[0] intergalactic[0] wars[-2] todd[0] is[0] 40[0] and[0] he's[0] obsolete[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a new generation of genetically engineered soldiers are faster and stronger . 	a new generation of genetically engineered soldiers are faster and stronger .	1	-1	 a[0] new[0] generation[0] of[0] genetically[0] engineered[0] soldiers[0] are[0] faster[0] and[0] stronger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
left for dead after a test battle with the best of the new killers , caine 607 ( jason scott lee ) , he's unceremoniously dumped as trash on arcadia 234 , a garbage world . 	left for dead after a test battle with the best of the new killers , caine 607 ( jason scot lee ) , he's unceremoniously dumped as trash on arcadia 234 , a garbage world .	2	-3	 left[0] for[0] dead[-2] after[0] a[0] test[0] battle[-1] with[0] the[0] best[1] of[0] the[0] new[0] killers[0] caine[0] 607[0] jason[0] scott/scot[0] lee[0] he's[0] unceremoniously[0] dumped[-1] as[0] trash[-1] on[0] arcadia[0] 234[0] a[0] garbage[-2] world[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
obviously our hero is still alive . 	obviously our hero is still alive .	3	-1	 obviously[0] our[0] hero[2] is[0] still[0] alive[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he finds a group of shipwrecked settlers abandoned on the planet who nurse him back to health . 	he finds a group of shipwrecked settlers abandoned on the planet who nurse him back to health .	1	-2	 he[0] finds[0] a[0] group[0] of[0] shipwrecked[-1] settlers[0] abandoned[-1] on[0] the[0] planet[0] who[0] nurse[0] him[0] back[0] to[0] health[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the peace-loving colonists get a good look at who todd is , they are afraid of him and he is exiled to live by himself amid the junk on an environmentally hostile world . 	when the peace-loving colonists get a good look at who todd is , they are afraid of him and he is exiled to live by himself amid the junk on an environmentally hostile world .	4	-4	 when[0] the[0] peace[0] loving[3] colonists[0] get[0] a[0] good[1] look[0] at[0] who[0] todd[0] is[0] they[0] are[0] afraid[-3] of[0] him[0] and[0] he[0] is[0] exiled[-1] to[0] live[0] by[0] himself[0] amid[0] the[0] junk[-1] on[0] an[0] environmentally[0] hostile[-2] world[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
they are the other good guys . 	they are the other good guys .	2	-1	 they[0] are[0] the[0] other[0] good[1] guys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these lovers find that they need a warrior when the military coincidentally chooses this world to conduct exercises for their improved human weapons . 	these lovers find that they need a warrior when the military coincidentally chooses this world to conduct exercises for their improved human weapons .	4	-2	 these[0] lovers[3] find[0] that[0] they[0] need[0] a[0] warrior[0] when[0] the[0] military[0] coincidentally[0] chooses[0] this[0] world[0] to[0] conduct[0] exercises[0] for[0] their[0] improved[1] human[0] weapons[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
todd finds himself in the role of protector . 	todd finds himself in the role of protector .	1	-1	 todd[0] finds[0] himself[0] in[0] the[0] role[0] of[0] protector[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what could have been a fascinating look at the roles played in our culture and the fears of an ultra-right wing future is ruined by turning the film into a cartoon . 	what could have been a fascinating look at the roles played in our culture and the fears of an ultra-right wing future is ruined by turning the film into a cartoon .	1	-3	 what[0] could[0] have[0] been[0] a[0] fascinating[0] look[0] at[0] the[0] roles[0] played[0] in[0] our[0] culture[0] and[0] the[0] fears[-2] of[0] an[0] ultra[0] right[0] wing[0] future[0] is[0] ruined[-1] by[0] turning[0] the[0] film[0] into[0] a[0] cartoon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the effects are mostly second-rate explosions or jerky slow motion . 	the effects are mostly second-rate explosions or jerky slow motion .	1	-2	 the[0] effects[0] are[0] mostly[0] second[0] rate[0] explosions[-1] or[0] jerky[0] slow[0] motion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is old hat . 	the plot is old hat .	1	-1	 the[0] plot[0] is[0] old[0] hat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we don't get even a glimpse at the society that created the soldiers . 	we don't get even a glimpse at the society that created the soldiers .	1	-1	 we[0] don't[0] get[0] even[0] a[0] glimpse[0] at[0] the[0] society[0] that[0] created[0] the[0] soldiers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hardly anything makes sense . 	hardly anything makes sense .	1	-1	 hardly[0] anything[0] makes[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's science fares badly . 	the film's science fares badly .	1	-2	 the[0] film's[0] science[0] fares[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with all the remarkable advances we've made in just 37 years ( the film takes place in 2036 ) , we're still stupid . 	with all the remarkable advances we've made in just 37 years ( the film takes place in 2036 ) , we're still stupid .	1	-2	 with[0] all[0] the[0] remarkable[0] advances[0] we've[0] made[0] in[0] just[0] 37[0] years[0] the[0] film[0] takes[0] place[0] in[0] 2036[0] we're[0] still[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after conquering the stars , for some reason we use vast amounts of energy to load up huge space ships with rubbish tote it to a landfill light years away . 	after conquering the stars , for some reason we use vast amounts of energy to load up huge space ships with rubbish tote it to a landfill light years away .	1	-3	 after[0] conquering[0] the[0] stars[0] for[0] some[0] reason[0] we[0] use[0] vast[0] amounts[0] of[0] energy[0] to[0] load[0] up[0] huge[0] space[0] ships[0] with[0] rubbish[-2] tote[0] it[0] to[0] a[0] landfill[0] light[0] years[0] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even stranger , the garbage barges appear to double as time machines . 	even stranger , the garbage barges appear to double as time machines .	1	-3	 even[0] stranger[0] the[0] garbage[-2] barges[0] appear[0] to[0] double[0] as[0] time[0] machines[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
virtually all the trash is vintage 1960 . 	virtually all the trash is vintage 1960 .	1	-2	 virtually[0] all[0] the[0] trash[-1] is[0] vintage[0] 1960[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is nothing in the story that is not predictable . 	there is nothing in the story that is not predictable .	1	-1	 there[0] is[0] nothing[0] in[0] the[0] story[0] that[0] is[0] not[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first thing that todd sees after coming back to life is sandra ( connie nielsen ) , the woman just a little too beautiful to be living in such harsh conditions who is taking care of him . 	the first thing that todd sees after coming back to life is sandra ( connie nielsen ) , the woman just a little too beautiful to be living in such harsh conditions who is taking care of him .	3	-2	 the[0] first[0] thing[0] that[0] todd[0] sees[0] after[0] coming[0] back[0] to[0] life[0] is[0] sandra[0] connie[0] nielsen[0] the[0] woman[0] just[0] a[0] little[0] too[0] beautiful[2] to[0] be[0] living[0] in[0] such[0] harsh[-1] conditions[0] who[0] is[0] taking[0] care[1] of[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it doesn't take a genius to foresee that her husband isn't going to be around much longer . 	it doesn't take a genius to foresee that her husband isn't going to be around much longer .	1	-1	 it[0] doesn't[0] take[0] a[0] genius[0] to[0] foresee[0] that[0] her[0] husband[0] isn't[0] going[0] to[0] be[0] around[0] much[0] longer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a shock to find out that the film's climax is an unarmed battle between todd and caine ? 	is it a shock to find out that the film's climax is an unarmed battle between todd and caine ?	1	-3	 is[0] it[0] a[0] shock[-2] to[0] find[0] out[0] that[0] the[0] film's[0] climax[0] is[0] an[0] unarmed[0] battle[-1] between[0] todd[0] and[0] caine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
who would you guess wins ? 	who would you guess wins ?	1	-1	 who[0] would[0] you[0] guess[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the scenes would work if this were a comedy . 	some of the scenes would work if this were a comedy .	1	-1	 some[0] of[0] the[0] scenes[0] would[0] work[0] if[0] this[0] were[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
todd's first awakening of human emotion comes when he glimpses connie's nipple poking through her thin blouse . 	todd's first awakening of human emotion comes when he glimpses connie's nipple poking through her thin blouse .	1	-1	 todd's[0] first[0] awakening[0] of[0] human[0] emotion[0] comes[0] when[0] he[0] glimpses[0] connie's[0] nipple[0] poking[0] through[0] her[0] thin[0] blouse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later as he sits by his lonely campfire , a tear rolls down his dramatically lighted cheek in slow motion . 	later as he sits by his lonely campfire , a tear rolls down his dramatically lighted cheek in slow motion .	1	-2	 later[0] as[0] he[0] sits[0] by[0] his[0] lonely[-1] campfire[0] a[0] tear[-1] rolls[0] down[0] his[0] dramatically[0] lighted[0] cheek[0] in[0] slow[0] motion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
supposedly this clich ? isn't meant to be humorous . 	supposedly this clich ?<br> isn't meant to be humorous .	3	-1	 supposedly[0] this[0] clich[0] [[Sentence=-1,1=word max, 1-5]] isn't[0] meant[0] to[0] be[0] humorous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dastardly col . mekum ( jason isaacs ) with a pencil-thin mustache is as real as snidley whiplash . 	dastardly col .<br> mekum ( jason isacs ) with a pencil-thin mustache is as real as snidley whiplash .	1	-1	 dastardly[0] col[0] [[Sentence=-1,1=word max, 1-5]] mekum[0] jason[0] isaacs/isacs[0] with[0] a[0] pencil[0] thin[0] mustache[0] is[0] as[0] real[0] as[0] snidley[0] whiplash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responsible for last year's quirky and visually enticing but problematic " the fifth element " , director paul anderson sees the film as " shane " in outer space . 	responsible for last year's quirky and visually enticing but problematic " the fifth element " , director paul anderson sees the film as " shane " in outer space .	1	-2	 responsible[0] for[0] last[0] year's[0] quirky[0] and[0] visually[0] enticing[0] but[0] problematic[-1] the[0] fifth[0] element[0] director[0] paul[0] anderson[0] sees[0] the[0] film[0] as[0] shane[0] in[0] outer[0] space[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe , if shane were played by sylvester stallone in rambo mode . 	maybe , if shane were played by sylvester stallone in rambo mode .	1	-1	 maybe[0] if[0] shane[0] were[0] played[0] by[0] sylvester[0] stallone[0] in[0] rambo[0] mode[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie doesn't even work as an action film . 	the movie doesn't even work as an action film .	1	-1	 the[0] movie[0] doesn't[0] even[0] work[0] as[0] an[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is never a question as to the outcome . 	there is never a question as to the outcome .	1	-1	 there[0] is[0] never[0] a[0] question[0] as[0] to[0] the[0] outcome[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somehow the new superior soldiers don't prove much of a match for todd . 	somehow the new superior soldiers don't prove much of a match for todd .	3	-1	 somehow[0] the[0] new[0] superior[2] soldiers[0] don't[0] prove[0] much[0] of[0] a[0] match[0] for[0] todd[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting isn't anything to write home about . 	the acting isn't anything to write home about .	1	-1	 the[0] acting[0] isn't[0] anything[0] to[0] write[0] home[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nielsen almost comes across as a real person but is soon relegated to a background victim . 	nielsen almost comes across as a real person but is soon relegated to a background victim .	1	-3	 nielsen[0] almost[0] comes[0] across[0] as[0] a[0] real[0] person[0] but[0] is[0] soon[0] relegated[0] to[0] a[0] background[0] victim[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
russell is buffed-up and does a credible job but it's not much of a challenge . 	russell is buffed-up and does a credible job but it's not much of a challenge .	1	-2	 russell[0] is[0] buffed[0] up[0] and[0] does[0] a[0] credible[0] job[0] but[0] it's[0] not[0] much[0] of[0] a[0] challenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
uttering around 100 words during the film , mostly what todd does is hit things and stare grimly into space . 	uttering around 100 words during the film , mostly what todd does is hit things and stare grimly into space .	1	-3	 uttering[0] around[0] 100[0] words[0] during[0] the[0] film[0] mostly[0] what[0] todd[0] does[0] is[0] hit[0] things[0] and[0] stare[0] grimly[-2] into[0] space[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gary busey as todd's commanding officer is completely wasted in his low-key role . 	gary busey as todd's commanding officer is completely wasted in his low-key role .	1	-3	 gary[0] busey[0] as[0] todd's[0] commanding[0] officer[0] is[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] in[0] his[0] low[-1] key[0] role[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everything blows up and occasionally it looks cool . 	everything blows up and occasionally it looks cool .	2	-1	 everything[0] blows[0] up[0] and[0] occasionally[0] it[0] looks[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes the sets are impressive . 	sometimes the sets are impressive .	2	-1	 sometimes[0] the[0] sets[0] are[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately " occasionally " and " sometimes " don't make a film . 	unfortunately " occasionally " and " sometimes " don't make a film .	1	-2	 unfortunately[-1] occasionally[0] and[0] sometimes[0] don't[0] make[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most disappointing is that the screenplay is by david webb peoples who wrote " blade runner " , possibly the best science fiction movie ever made . 	most disappointing is that the screenplay is by david web peoples who wrote " blade runner " , possibly the best science fiction movie ever made .	2	-2	 most[0] disappointing[-1] is[0] that[0] the[0] screenplay[0] is[0] by[0] david[0] webb/web[0] peoples[0] who[0] wrote[0] blade[0] runner[0] possibly[0] the[0] best[1] science[0] fiction[0] movie[0] ever[0] made[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sharp-eyed viewers will notice a few obscure references to that film . 	sharp-eyed viewers will notice a few obscure references to that film .	1	-1	 sharp[0] eyed[0] viewers[0] will[0] notice[0] a[0] few[0] obscure[0] references[0] to[0] that[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peoples says that this is not a " blade runner " sequel , but a " sidequel " that takes place in the same universe . 	peoples says that this is not a " blade runner " sequel , but a " sidequel " that takes place in the same universe .	1	-1	 peoples[0] says[0] that[0] this[0] is[0] not[0] a[0] blade[0] runner[0] sequel[0] but[0] a[0] sidequel[0] that[0] takes[0] place[0] in[0] the[0] same[0] universe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although that may have been the intent in his original script , the result is more like a bad television series that the " blade runner " replicants watch to pass time . 	although that may have been the intent in his original script , the result is more like a bad television series that the " blade runner " replicants watch to pass time .	2	-2	 although[0] that[0] may[0] have[0] been[0] the[0] intent[0] in[0] his[0] original[0] script[0] the[0] result[0] is[0] more[0] like[1] a[0] bad[-1] television[0] series[0] that[0] the[0] blade[0] runner[0] replicants[0] watch[0] to[0] pass[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps those artificial humans would find this entertaining . 	perhaps those artificial humans would find this entertaining .	1	-1	 perhaps[0] those[0] artificial[0] humans[0] would[0] find[0] this[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( michael redman has written this column for over 23 years and wants to wish everyone an appropriate halloween . . . whatever 	 ( michael redman has written this column for over 23 years and wants to wish everyone an appropriate halloween .<br> .<br> .<br> whatever	1	-1	 michael[0] redman[0] has[0] written[0] this[0] column[0] for[0] over[0] 23[0] years[0] and[0] wants[0] to[0] wish[0] everyone[0] an[0] appropriate[0] halloween[0] [[Sentence=-1,1=word max, 1-5]] whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'd like it to be . ) 	you'd like it to be .<br> )	2	-1	 you'd[0] like[1] it[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
