take a look at the following equation . . . . 	Translation	Positive	Negative	EmotionRationale
whoever thought smacking that kane smacking murray in the head with a toaster was funny , should be fired straight away . 	whoever thought smacking that kane smacking murray in the head with a toaster was funny , should be fired straight away .	2	-3	 whoever[0] thought[0] smacking[-1] that[0] kane[0] smacking[-1] murray[0] in[0] the[0] head[0] with[0] a[0] toaster[0] was[0] funny[1] should[0] be[0] fired[-2] straight[0] away[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and the audience also has to suffer bobcat goldthwait ( the guy with the annoying voice in police academy 3 , if i remeber correctly . . . . ) 	and the audience also has to suffer bobcat goldthwait ( the guy with the annoying voice in police academy 3 , if i remeber correctly .<br> .<br> .<br> .<br> )	1	-4	 and[0] the[0] audience[0] also[0] has[0] to[0] suffer[-3] bobcat[0] goldthwait[0] the[0] guy[0] with[0] the[0] annoying[-2] voice[0] in[0] police[0] academy[0] 3[0] if[0] i[0] remeber[0] correctly[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
who , thankfully , dosen't say much . 	who , thankfully , dosen't say much .	2	-1	 who[0] thankfully[1] dosen't[0] say[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is horrendous . 	the script is horrendous .	1	-4	 the[0] script[0] is[0] horrendous[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
michael o'donaghue churns out terrible , bad taste jokes ( which i guess is the whole point really ) then changes direction completely to emotional scenes . 	michael o'donaghue churns out terrible , bad taste jokes ( which i guess is the whole point really ) then changes direction completely to emotional scenes .	2	-4	 michael[0] o'donaghue[0] churns[0] out[0] terrible[-3] bad[-1] taste[0] jokes[1] which[0] i[0] guess[0] is[0] the[0] whole[0] point[0] really[0] then[0] changes[0] direction[0] completely[0] to[0] emotional[-1] scenes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and he must of been on some drug when he wrote the final ten minutes , which are awful . 	and he must of been on some drug when he wrote the final ten minutes , which are awful .	1	-4	 and[0] he[0] must[0] of[0] been[0] on[0] some[0] drug[0] when[0] he[0] wrote[0] the[0] final[0] ten[0] minutes[0] which[0] are[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the special effects look nice , but do nothing for the film . 	the special effects look nice , but do nothing for the film .	2	-1	 the[0] special[1] effects[0] look[0] nice[1] but[0] do[0] nothing[0] for[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's some impressive make up effects also . 	there's some impressive make up effects also .	1	-1	 there's[0] some[0] impressive[1][-1 LastWordBoosterStrength] make[0] up[0] effects[0] also[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the music is also good , which is scored by danny elfman . 	the music is also good , which is scored by danny elfman .	2	-1	 the[0] music[0] is[0] also[0] good[1] which[0] is[0] scored[0] by[0] danny[0] elfman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but great effects and make up don't make a great film . 	but great effects and make up don't make a great film .	3	-1	 but[0] great[2] effects[0] and[0] make[0] up[0] don't[0] make[0] a[0] great[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scrooged is an appaling attempt to inject some christmas spirit into the audience , seeing as the first 1 hour 20 minutes of the film are so depressing anyway , and the last ten minutes had to make up for it with an godawful speech . 	scrooged is an appaling attempt to inject some christmas spirit into the audience , seeing as the first 1 hour 20 minutes of the film are so depressing anyway , and the last ten minutes had to make up for it with an godawful speech .	1	-4	 scrooged[0] is[0] an[0] appaling[0] attempt[0] to[0] inject[0] some[0] christmas[0] spirit[0] into[0] the[0] audience[0] seeing[0] as[0] the[0] first[0] 1[0] hour[0] 20[0] minutes[0] of[0] the[0] film[0] are[0] so[0] depressing[-3] anyway[0] and[0] the[0] last[0] ten[0] minutes[0] had[0] to[0] make[0] up[0] for[0] it[0] with[0] an[0] godawful[0] speech[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
why didn't cross just look out his exec window , and ask a young boy to buy a goose for him ? 	why didn't cross just look out his exec window , and ask a young boy to buy a goose for him ?	1	-2	 why[0] didn't[0] cross[-1] just[0] look[0] out[0] his[0] exec[0] window[0] and[0] ask[0] a[0] young[0] boy[0] to[0] buy[0] a[0] goose[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall , then , you'd have a much better christmas if you avoid this film like something that should be avoided ( perhaps a plague ) 	overall , then , you'd have a much better christmas if you avoid this film like something that should be avoided ( perhaps a plague )	2	-2	 overall[0] then[0] you'd[0] have[0] a[0] much[0] better[0] christmas[0] if[0] you[0] avoid[-1] this[0] film[0] like[1] something[0] that[0] should[0] be[0] avoided[-1] perhaps[0] a[0] plague[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
