this movie stinks ! 	Translation	Positive	Negative	EmotionRationale
duh ! 	duh !	1	-1	 duh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ultimately , brenner gets assigned to investigate the murder and possible rape of the commanding general's daughter , a young captain also assigned to the post . 	ultimately , brenner gets assigned to investigate the murder and possible rape of the commanding general's daughter , a young captain also assigned to the post .	1	-4	 ultimately[0] brenner[0] gets[0] assigned[0] to[0] investigate[0] the[0] murder[-3] and[0] possible[0] rape[-3] of[0] the[0] commanding[0] general's[0] daughter[0] a[0] young[0] captain[0] also[0] assigned[0] to[0] the[0] post[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when brenner finds graphic sex tapes featuring the general's daughter , does he use them to generate a suspect list and begin grilling suspects . 	when brenner finds graphic sex tapes featuring the general's daughter , does he use them to generate a suspect list and begin grilling suspects .	1	-2	 when[0] brenner[0] finds[0] graphic[0] sex[0] tapes[0] featuring[0] the[0] general's[0] daughter[0] does[0] he[0] use[0] them[0] to[0] generate[0] a[0] suspect[-1] list[0] and[0] begin[0] grilling[0] suspects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , his instinct is to suppress them because they might be potentially embarrassing . 	no , his instinct is to suppress them because they might be potentially embarrassing .	1	-3	 no[0] his[0] instinct[0] is[0] to[0] suppress[-1] them[0] because[0] they[0] might[0] be[0] potentially[0] embarrassing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eventually , brenner discovers that this murder is related to a violent gang rape at west point eight years earlier . 	eventually , brenner discovers that this murder is related to a violent gang rape at west point eight years earlier .	1	-4	 eventually[0] brenner[0] discovers[0] that[0] this[0] murder[-3] is[0] related[0] to[0] a[0] violent[-2] gang[0] rape[-3] at[0] west[0] point[0] eight[0] years[0] earlier[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i won't even go into the totally unbelievable rationale for the army's suppression of this horrendous crime . 	i won't even go into the totally unbelievable rationale for the army's suppression of this horrendous crime .	1	-4	 i[0] won't[0] even[0] go[0] into[0] the[0] totally[0] unbelievable[-1][-1 LastWordBoosterStrength] rationale[0] for[0] the[0] army's[0] suppression[-1] of[0] this[0] horrendous[-3] crime[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i will just mention one final flaw . 	i will just mention one final flaw .	1	-2	 i[0] will[0] just[0] mention[0] one[0] final[0] flaw[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brenner is investigating a crime that occurred in georgia . 	brenner is investigating a crime that occurred in georgia .	1	-2	 brenner[0] is[0] investigating[0] a[0] crime[-1] that[0] occurred[0] in[0] georgia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rape occurred in west point , which is in new york . 	the rape occurred in west point , which is in new york .	1	-4	 the[0] rape[-3] occurred[0] in[0] west[0] point[0] which[0] is[0] in[0] new[0] york[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is under a very tight ( and totally implausible ) 36-hour deadline to solve this case . 	he is under a very tight ( and totally implausible ) 36-hour deadline to solve this case .	1	-1	 he[0] is[0] under[0] a[0] very[0] tight[0] and[0] totally[0] implausible[0] 36[0] hour[0] deadline[0] to[0] solve[0] this[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he needs to discuss the rape with a psychiatrist at west point . 	he needs to discuss the rape with a psychiatrist at west point .	1	-4	 he[0] needs[0] to[0] discuss[0] the[0] rape[-3] with[0] a[0] psychiatrist[0] at[0] west[0] point[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
does he phone the doctor ? 	does he phone the doctor ?	1	-1	 does[0] he[0] phone[0] the[0] doctor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , he travels ( via some unexplained very fast transport ) to new york to question the psychiatrist in person , and then he returns to georgia ( again by the miracle transport ) , without once worrying about the impact any of this will have on his deadline . 	no , he travels ( via some unexplained very fast transport ) to new york to question the psychiatrist in person , and then he returns to georgia ( again by the miracle transport ) , without once worrying about the impact any of this will have on his deadline .	1	-4	 no[0] he[0] travels[0] via[0] some[0] unexplained[0] very[0] fast[0] transport[0] to[0] new[0] york[0] to[0] question[0] the[0] psychiatrist[0] in[0] person[0] and[0] then[0] he[0] returns[0] to[0] georgia[0] again[0] by[0] the[0] miracle[0] transport[0] without[0] once[0] worrying[-3] about[0] the[0] impact[0] any[0] of[0] this[0] will[0] have[0] on[0] his[0] deadline[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you have been warned , stay away from this one . 	you have been warned , stay away from this one .	1	-1	 you[0] have[0] been[0] warned[0] stay[0] away[0] from[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
