_soldier_ is hands down one of the worst movies a person could ever have to sit through that doesn't have jean claude van damme in it . 	Translation	Positive	Negative	EmotionRationale
the renegade society on this trash heap is so clich you half-expect tina turner and master blaster to come strolling into frame any minute . 	the renegade society on this trash heap is so clich you half-expect tina turner and master blaster to come strolling into frame any minute .	1	-2	 the[0] renegade[0] society[0] on[0] this[0] trash[-1] heap[0] is[0] so[0] clich[0] you[0] half[0] expect[0] tina[0] turner[0] and[0] master[0] blaster[0] to[0] come[0] strolling[0] into[0] frame[0] any[0] minute[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's surprising that _soldier_ is the brain-child of _blade runner_ co-writer david webb peoples . 	it's surprising that _soldier_ is the brain-child of _blade runner_ co-writer david web peoples .	1	-1	 it's[0] surprising[0] that[0] _soldier_[0] is[0] the[0] brain[0] child[0] of[0] _blade[0] runner_[0] co[0] writer[0] david[0] webb/web[0] peoples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike that mind-twisting classic , this film contains just barely enough dialogue to fill about three double-spaced pages . 	unlike that mind-twisting classic , this film contains just barely enough dialogue to fill about three double-spaced pages .	1	-1	 unlike[0] that[0] mind[0] twisting[0] classic[0] this[0] film[0] contains[0] just[0] barely[0] enough[0] dialogue[0] to[0] fill[0] about[0] three[0] double[0] spaced[0] pages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
add into the mix the _mortal kombat_'s paul anderson inept direction , and it's easy to see how _soldier_ turned out so bad . 	add into the mix the _mortal kombat_'s paul anderson inept direction , and it's easy to see how _soldier_ turned out so bad .	1	-2	 add[0] into[0] the[0] mix[0] the[0] _mortal[0] kombat_'s[0] paul[0] anderson[0] inept[0] direction[0] and[0] it's[0] easy[0] to[0] see[0] how[0] _soldier_[0] turned[0] out[0] so[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the special effects ! 	and the special effects !	2	-1	 and[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
remember the flying steam irons in hardware wars ? 	remember the flying steam irons in hardware wars ?	1	-3	 remember[0] the[0] flying[0] steam[0] irons[0] in[0] hardware[0] wars[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gary busey is in this movie . 	gary busey is in this movie .	1	-1	 gary[0] busey[0] is[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'nuff said . 	'nuff said .	1	-1	 'nuff[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_soldier_ is proof that hollywood still has plenty of bad ideas sitting in its script vaults . 	_soldier_ is proof that hollywood still has plenty of bad ideas sitting in its script vaults .	1	-2	 _soldier_[0] is[0] proof[0] that[0] hollywood[0] still[0] has[0] plenty[0] of[0] bad[-1] ideas[0] sitting[0] in[0] its[0] script[0] vaults[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that this sad film made it to the silver screen should encourage plenty of aspiring screenwriters out there that there is hope after all . 	that this sad film made it to the silver screen should encourage plenty of aspiring screenwriters out there that there is hope after all .	3	-4	 that[0] this[0] sad[-3] film[0] made[0] it[0] to[0] the[0] silver[0] screen[0] should[0] encourage[1][-1 LastWordBoosterStrength] plenty[0] of[0] aspiring[0] screenwriters[0] out[0] there[0] that[0] there[0] is[0] hope[2] after[0] all[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
now if you'll excuse me , i have to go weep for the future . 	now if you'll excuse me , i have to go weep for the future .	1	-3	 now[0] if[0] you'll[0] excuse[0] me[0] i[0] have[0] to[0] go[0] weep[-2] for[0] the[0] future[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
