by starring in amy heckerling's " clueless " two summers ago , alicia silverstone proved she wasn't just another pretty , pouty ingenue , showing a buoyant comedic craftiness that blew all previous jobs -- namely a stint as the aerosmith girl and a silly turn as the lethal lolita of " the crush " -- out of the water . 	Translation	Positive	Negative	EmotionRationale
 " do you like my tummy ? " 	 " do you like my tummy ?<br> "	2	-1	 do[0] you[0] like[1] my[0] tummy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
emily coos to vincent at one point in the film . 	emily coos to vincent at one point in the film .	1	-1	 emily[0] coos[0] to[0] vincent[0] at[0] one[0] point[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did i miss something ? 	did i miss something ?	2	-2	 did[0] i[0] miss[-1] something[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
the hard-edged , foul-mouthed grrrl is suddenly gone and replaced with a pair of batting goo-goo eyes . 	the hard-edged , foul-mouthed grrl is suddenly gone and replaced with a pair of batting goo-goo eyes .	1	-3	 the[0] hard[0] edged[0] foul[0] mouthed[0] grrrl/grrl[-2] is[0] suddenly[0] gone[0] and[0] replaced[0] with[0] a[0] pair[0] of[0] batting[0] goo[0] goo[0] eyes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then again , " excess baggage " becomes so weak in so many areas that the personality transplant is not a complete surprise . 	then again , " excess baggage " becomes so weak in so many areas that the personality transplant is not a complete surprise .	1	-2	 then[0] again[0] excess[-1] baggage[0] becomes[0] so[0] weak[-1] in[0] so[0] many[0] areas[0] that[0] the[0] personality[0] transplant[0] is[0] not[0] a[0] complete[0] surprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a supporting cast attempts to do what they can with colorful but empty secondary roles , but the movie isn't game enough to use them all and therefore seems overcrowded . 	a supporting cast attempts to do what they can with colorful but empty secondary roles , but the movie isn't game enough to use them all and therefore seems overcrowded .	2	-1	 a[0] supporting[1] cast[0] attempts[0] to[0] do[0] what[0] they[0] can[0] with[0] colorful[0] but[0] empty[0] secondary[0] roles[0] but[0] the[0] movie[0] isn't[0] game[0] enough[0] to[0] use[0] them[0] all[0] and[0] therefore[0] seems[0] overcrowded[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
motivations keep shifting , resulting in an often confusing narrative . 	motivations keep shifting , resulting in an often confusing narrative .	1	-2	 motivations[0] keep[0] shifting[0] resulting[0] in[0] an[0] often[0] confusing[-1] narrative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scant existing story background confuses matters even worse and adds to the growing list of unanswered questions . 	scant existing story background confuses matters even worse and adds to the growing list of unanswered questions .	1	-3	 scant[0] existing[0] story[0] background[0] confuses[-1] matters[0] even[0] worse[-2] and[0] adds[0] to[0] the[0] growing[0] list[0] of[0] unanswered[0] questions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " excess baggage " has too many characters , too much plot and juggles with one arm behind its back and a remaining shaky hand . 	 " excess baggage " has too many characters , too much plot and juggles with one arm behind its back and a remaining shaky hand .	1	-2	 excess[-1] baggage[0] has[0] too[0] many[0] characters[0] too[0] much[0] plot[0] and[0] juggles[0] with[0] one[0] arm[0] behind[0] its[0] back[0] and[0] a[0] remaining[0] shaky[-1] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i loved silverstone's turn in " clueless " as an aloof , pampered beverly hills matchmaker inspired by jane austen's " emma . " 	i loved silverstone's turn in " clueless " as an aloof , pampered beverly hills matchmaker inspired by jane austen's " emma .<br> "	4	-2	 i[0] loved[3] silverstone's[0] turn[0] in[0] clueless[0] as[0] an[0] aloof[-1] pampered[2] beverly[0] hills[0] matchmaker[0] inspired[2] by[0] jane[0] austen's[0] emma[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
looking back at the skill she displayed for comedy there , it's simple to justify any high expectation or enthusiasm that i had mustered for " excess baggage . " 	looking back at the skill she displayed for comedy there , it's simple to justify any high expectation or enthusiasm that i had mustered for " excess baggage .<br> "	3	-2	 looking[0] back[0] at[0] the[0] skill[0] she[0] displayed[0] for[0] comedy[0] there[0] it's[0] simple[0] to[0] justify[0] any[0] high[0] expectation[0] or[0] enthusiasm[2] that[0] i[0] had[0] mustered[0] for[0] excess[-1] baggage[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sadly , however , " excess baggage " is no " clueless . " 	sadly , however , " excess baggage " is no " clueless .<br> "	1	-2	 sadly[-1] however[0] excess[-1] baggage[0] is[0] no[0] clueless[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , on the other hand , it is clueless . 	but , on the other hand , it is clueless .	1	-1	 but[0] on[0] the[0] other[0] hand[0] it[0] is[0] clueless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
