the job of the film critic is to see a movie and write a review of it that tells you what it's about and why it's good or bad . 	Translation	Positive	Negative	EmotionRationale
the actual story involves carter's investigation into his brother richie's death . 	the actual story involves carter's investigation into his brother richie's death .	1	-3	 the[0] actual[0] story[0] involves[0] carter's[0] investigation[0] into[0] his[0] brother[0] richie's[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's in a town that's not his but somehow the local top dogs know him very well . 	he's in a town that's not his but somehow the local top dogs know him very well .	1	-1	 he's[0] in[0] a[0] town[0] that's[0] not[0] his[0] but[0] somehow[0] the[0] local[0] top[0] dogs[0] know[0] him[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mickey rourke co-stars as one of these characters , a sort of crime boss who has something to do with running a porno web site and blackmailing a young internet tycoon ( played by alan cummings looking and acting a lot like pee wee herman ) . 	mickey rourke co-stars as one of these characters , a sort of crime boss who has something to do with running a porno web site and blackmailing a young internet tycoon ( played by alan cummings looking and acting a lot like pee wee herman ) .	2	-3	 mickey[0] rourke[0] co[0] stars[0] as[0] one[0] of[0] these[0] characters[0] a[0] sort[0] of[0] crime[-1] boss[0] who[0] has[0] something[0] to[0] do[0] with[0] running[0] a[0] porno[0] web[0] site[0] and[0] blackmailing[-2] a[0] young[0] internet[0] tycoon[0] played[0] by[0] alan[0] cummings[0] looking[0] and[0] acting[0] a[0] lot[0] like[1] pee[0] wee[-1] herman[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's also another plot involving richie's mistress , a secret cd-rom with some convicting and disturbing evidence on it and something terrible involving one of carter's still-living relatives . 	there's also another plot involving richie's mistress , a secret cd-rom with some convicting and disturbing evidence on it and something terrible involving one of carter's still-living relatives .	1	-4	 there's[0] also[0] another[0] plot[0] involving[0] richie's[0] mistress[0] a[0] secret[0] cd[0] rom[0] with[0] some[0] convicting[-1][--1 LastWordBoosterStrength] and[0] disturbing[-1] evidence[0] on[0] it[0] and[0] something[0] terrible[-3] involving[0] one[0] of[0] carter's[0] still[0] living[0] relatives[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'm rolling my eyes just thinking about trying to critique all this in a way that could be remotely comprehendible . 	i'm rolling my eyes just thinking about trying to critique all this in a way that could be remotely comprehendible .	1	-1	 i'm[0] rolling[0] my[0] eyes[0] just[0] thinking[0] about[0] trying[0] to[0] critique[0] all[0] this[0] in[0] a[0] way[0] that[0] could[0] be[0] remotely[0] comprehendible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could just rip the screenplay to shreds , plus the direction or the editing or the production values but that would require discussion of nearly every scene in order to explain it all . 	i could just rip the screenplay to shreds , plus the direction or the editing or the production values but that would require discussion of nearly every scene in order to explain it all .	2	-2	 i[0] could[0] just[0] rip[-1][--1 LastWordBoosterStrength] the[0] screenplay[0] to[0] shreds[-1] plus[0] the[0] direction[0] or[0] the[0] editing[0] or[0] the[0] production[0] values[1] but[0] that[0] would[0] require[0] discussion[0] of[0] nearly[0] every[0] scene[0] in[0] order[0] to[0] explain[0] it[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i don't like to put spoliers in my reviews either intentionally or accidentally . 	i don't like to put spoliers in my reviews either intentionally or accidentally .	1	-2	 i[0] don't[0] like[1][NegatedDueToPreviousWord] to[0] put[0] spoliers[0] in[0] my[0] reviews[0] either[0] intentionally[0] or[0] accidentally[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , " get carter " is just that complicated and complex . 	yes , " get carter " is just that complicated and complex .	1	-2	 yes[0] get[0] carter[0] is[0] just[0] that[0] complicated[-1] and[0] complex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and what's worse is that it's not this intricate to make it seem smart like " the usual suspects " for example - just the opposite . 	and what's worse is that it's not this intricate to make it seem smart like " the usual suspects " for example - just the opposite .	2	-3	 and[0] what's[0] worse[-2] is[0] that[0] it's[0] not[0] this[0] intricate[0] to[0] make[0] it[0] seem[0] smart[1] like[1] the[0] usual[0] suspects[0] for[0] example[0] just[0] the[0] opposite[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you get the feeling whoever wrote this script did it in short intervals spaced far apart and they probably didn't remember what had already happened and didn't figure out how each scene would lead in to the next one or how the major plot points would work towards the climax . 	you get the feeling whoever wrote this script did it in short intervals spaced far apart and they probably didn't remember what had already happened and didn't figure out how each scene would lead in to the next one or how the major plot points would work towards the climax .	1	-1	 you[0] get[0] the[0] feeling[0] whoever[0] wrote[0] this[0] script[0] did[0] it[0] in[0] short[0] intervals[0] spaced[0] far[0] apart[0] and[0] they[0] probably[0] didn't[0] remember[0] what[0] had[0] already[0] happened[0] and[0] didn't[0] figure[0] out[0] how[0] each[0] scene[0] would[0] lead[0] in[0] to[0] the[0] next[0] one[0] or[0] how[0] the[0] major[0] plot[0] points[0] would[0] work[0] towards[0] the[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all you really need to know is that most of the film is just scenes of carter tracking down one scumbag or supposed witness after another , asking them what they know , getting information and then realizing that if he wasn't a complete idiot he could have figured it out in the first five minutes . 	all you really need to know is that most of the film is just scenes of carter tracking down one scumbag or supposed witness after another , asking them what they know , getting information and then realizing that if he wasn't a complete idiot he could have figured it out in the first five minutes .	1	-4	 all[0] you[0] really[0] need[0] to[0] know[0] is[0] that[0] most[0] of[0] the[0] film[0] is[0] just[0] scenes[0] of[0] carter[0] tracking[0] down[0] one[0] scumbag[0] or[0] supposed[0] witness[0] after[0] another[0] asking[0] them[0] what[0] they[0] know[0] getting[0] information[0] and[0] then[0] realizing[0] that[0] if[0] he[0] wasn't[0] a[0] complete[0] idiot[-2][-1 LastWordBoosterStrength] he[0] could[0] have[0] figured[0] it[0] out[0] in[0] the[0] first[0] five[0] minutes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although the supporting characters are equally stupid themselves since they tell him everything which comes back to haunt them in one violent way or another . 	although the supporting characters are equally stupid themselves since they tell him everything which comes back to haunt them in one violent way or another .	2	-3	 although[0] the[0] supporting[1] characters[0] are[0] equally[0] stupid[-1] themselves[0] since[0] they[0] tell[0] him[0] everything[0] which[0] comes[0] back[0] to[0] haunt[-1] them[0] in[0] one[0] violent[-2] way[0] or[0] another[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
making a movie entirely about criminals doesn't necessarily mean they have to be unlikable and cliche cutout characters . 	making a movie entirely about criminals doesn't necessarily mean they have to be unlikable and cliche cutout characters .	1	-2	 making[0] a[0] movie[0] entirely[0] about[0] criminals[-1] doesn't[0] necessarily[0] mean[0] they[0] have[0] to[0] be[0] unlikable[0] and[0] cliche[0] cutout[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mel gibson starred in " payback " a few years ago that had a story not unlike this one but had such a good screenplay you couldn't help but like him even though he was just as bad a guy as jack carter . 	mel gibson starred in " payback " a few years ago that had a story not unlike this one but had such a good screenplay you couldn't help but like him even though he was just as bad a guy as jack carter .	2	-2	 mel[0] gibson[0] starred[0] in[0] payback[0] a[0] few[0] years[0] ago[0] that[0] had[0] a[0] story[0] not[0] unlike[0] this[0] one[0] but[0] had[0] such[0] a[0] good[1] screenplay[0] you[0] couldn't[0] help[0] but[0] like[1] him[0] even[0] though[0] he[0] was[0] just[0] as[0] bad[-1] a[0] guy[0] as[0] jack[0] carter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so ultimately " get carter " fails for pretty much every selling point it has . 	so ultimately " get carter " fails for pretty much every selling point it has .	3	-3	 so[0] ultimately[0] get[0] carter[0] fails[-2] for[0] pretty[2] much[0] every[0] selling[0] point[0] it[0] has[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
carter is not a likable character and you really don't care if he gets revenge or not . 	carter is not a likable character and you really don't care if he gets revenge or not .	1	-2	 carter[0] is[0] not[0] a[0] likable[0] character[0] and[0] you[0] really[0] don't[0] care[1][NegatedDueToPreviousWord] if[0] he[0] gets[0] revenge[-1] or[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action sequences are not at all exciting or original . 	the action sequences are not at all exciting or original .	3	-1	 the[0] action[0] sequences[0] are[0] not[0] at[0] all[0] exciting[2] or[0] original[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the enemies and their massive conspiracy are not threatening at all ( c'mon , you know who's going to win every brawl and shoot-out and car chase ) . 	the enemies and their massive conspiracy are not threatening at all ( c'mon , you know who's going to win every brawl and shoot-out and car chase ) .	3	-2	 the[0] enemies[-1] and[0] their[0] massive[0] conspiracy[-1] are[0] not[0] threatening[-2][NegatedDueToPreviousWord] at[0] all[0] c'mon[0] you[0] know[0] who's[0] going[0] to[0] win[0] every[0] brawl[-1] and[0] shoot[-1] out[0] and[0] car[0] chase[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the end you don't feel nearly satisfied with the results . 	in the end you don't feel nearly satisfied with the results .	2	-1	 in[0] the[0] end[0] you[0] don't[0] feel[0] nearly[0] satisfied[1] with[0] the[0] results[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the filmmakers did a good job in doing everything as unoriginal as possible . 	the filmmakers did a good job in doing everything as unoriginal as possible .	2	-1	 the[0] filmmakers[0] did[0] a[0] good[1] job[0] in[0] doing[0] everything[0] as[0] unoriginal[0] as[0] possible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 * the city is never mentioned by name but i assume it's seattle since all the cars have washington license plates and it's always raining . 	 * the city is never mentioned by name but i assume it's seattle since all the cars have washington license plates and it's always raining .	1	-1	 the[0] city[0] is[0] never[0] mentioned[0] by[0] name[0] but[0] i[0] assume[0] it's[0] seattle[0] since[0] all[0] the[0] cars[0] have[0] washington[0] license[0] plates[0] and[0] it's[0] always[0] raining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
