that's exactly how long the movie felt to me . 	Translation	Positive	Negative	EmotionRationale
more like a hugh asshole , but that's beside the point , which is : nine months includes too many needlessly stupid jokes that get laughs from the ten year olds in the audience while everyone else shakes his or her head in disbelief . 	more like a hugh asshole , but that's beside the point , which is : nine months includes too many needlessly stupid jokes that get laughs from the ten year olds in the audience while everyone else shakes his or her head in disbelief .	2	-3	 more[0] like[1] a[0] hugh[0] asshole[-2] but[0] that's[0] beside[0] the[0] point[0] which[0] is[0] nine[0] months[0] includes[0] too[0] many[0] needlessly[0] stupid[-1] jokes[1] that[0] get[0] laughs[1] from[0] the[0] ten[0] year[0] olds[0] in[0] the[0] audience[0] while[0] everyone[0] else[0] shakes[-1] his[0] or[0] her[0] head[0] in[0] disbelief[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so , anyway , grant finds out his girlfriend is pregnant and does his usual reaction ( fluttered eyelashes , nervous smiles ) . 	so , anyway , grant finds out his girlfriend is pregnant and does his usual reaction ( fluttered eyelashes , nervous smiles ) .	3	-3	 so[0] anyway[0] grant[0] finds[0] out[0] his[0] girlfriend[0] is[0] pregnant[0] and[0] does[0] his[0] usual[0] reaction[0] fluttered[0] eyelashes[0] nervous[-2] smiles[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this paves the way for every possible pregnancy/child birth gag in the book , especially since grant's equally annoying friend's wife is also pregnant . 	this paves the way for every possible pregnancy/child birth gag in the book , especially since grant's equally annoying friend's wife is also pregnant .	2	-3	 this[0] paves[0] the[0] way[0] for[0] every[0] possible[0] pregnancy/child[0] birth[0] gag[0] in[0] the[0] book[0] especially[0] since[0] grant's[0] equally[0] annoying[-2] friend's[1] wife[0] is[0] also[0] pregnant[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the annoying friend is played by tom arnold , who provides most of the cacophonous slapstick , none of which is funny , such as a scene where arnold beats up a costumed " arnie the dinosaur " ( you draw your own parallels on that one ) in a toy store . 	the annoying friend is played by tom arnold , who provides most of the cacophonous slapstick , none of which is funny , such as a scene where arnold beats up a costumed " arnie the dinosaur " ( you draw your own parallels on that one ) in a toy store .	2	-3	 the[0] annoying[-2] friend[1] is[0] played[0] by[0] tom[0] arnold[0] who[0] provides[0] most[0] of[0] the[0] cacophonous[0] slapstick[-1] none[0] of[0] which[0] is[0] funny[1] such[0] as[0] a[0] scene[0] where[0] arnold[0] beats[0] up[0] a[0] costumed[0] arnie[0] the[0] dinosaur[0] you[0] draw[0] your[0] own[0] parallels[0] on[0] that[0] one[0] in[0] a[0] toy[0] store[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only interesting character in the movie is played by jeff goldblum , who should have hid himself away somewhere after the dreadful hideaway , as an artist with a fear of ( and simultaneous longing for ) commitment . 	the only interesting character in the movie is played by jeff goldblum , who should have hid himself away somewhere after the dreadful hideaway , as an artist with a fear of ( and simultaneous longing for ) commitment .	2	-4	 the[0] only[0] interesting[1] character[0] in[0] the[0] movie[0] is[0] played[0] by[0] jeff[0] goldblum[0] who[0] should[0] have[0] hid[0] himself[0] away[0] somewhere[0] after[0] the[0] dreadful[-3] hideaway[0] as[0] an[0] artist[0] with[0] a[0] fear[-3] of[0] and[0] simultaneous[0] longing[-2] for[0] commitment[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
not even robin williams , who plays a russian doctor who has recently decided to switch from veterinary medicine to obstetrics , has much humor . 	not even robin williams , who plays a russian doctor who has recently decided to switch from veterinary medicine to obstetrics , has much humor .	3	-1	 not[0] even[0] robin[0] williams[0] who[0] plays[1] a[0] russian[0] doctor[0] who[0] has[0] recently[0] decided[0] to[0] switch[0] from[0] veterinary[0] medicine[0] to[0] obstetrics[0] has[0] much[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his is a one-joke character-- the old foreign-guy-who-mispronounces-english stereotype ( did someone say yakov smirnov ? 	his is a one-joke character- the old foreign-guy-who-mispronounces-english stereotype ( did someone say yakov smirnov ?	2	-2	 his[0] is[0] a[0] one[0] joke[1] character[0] the[0] old[0] foreign[-1] guy[0] who[0] mispronounces[0] english[0] stereotype[0] did[0] someone[0] say[0] yakov[0] smirnov[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's my favorite vodka , by the way ) , hence the line " now it's time to take a look at your volvo , " another nasty but unamusing joke , except this one goes right over the ten year olds' heads , while the adults simultaneously groan . 	that's my favorite vodka , by the way ) , hence the line " now it's time to take a look at your volvo , " another nasty but unamusing joke , except this one goes right over the ten year olds' heads , while the adults simultaneously groan .	2	-3	 that's[0] my[0] favorite[1] vodka[0] by[0] the[0] way[0] hence[0] the[0] line[0] now[0] it's[0] time[0] to[0] take[0] a[0] look[0] at[0] your[0] volvo[0] another[0] nasty[-2] but[0] unamusing[0] joke[1] except[0] this[0] one[0] goes[0] right[0] over[0] the[0] ten[0] year[0] olds'[0] heads[0] while[0] the[0] adults[0] simultaneously[0] groan[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nine months is a complete failure , low on laughs and intelligence and high on loud , unfunny slapstick , failed jokes and other uninspired lunacy . 	nine months is a complete failure , low on laughs and intelligence and high on loud , unfunny slapstick , failed jokes and other uninspired lunacy .	2	-4	 nine[0] months[0] is[0] a[0] complete[0] failure[-2][-1 LastWordBoosterStrength] low[-1] on[0] laughs[1] and[0] intelligence[0] and[0] high[0] on[0] loud[0] unfunny[0] slapstick[-1] failed[-2] jokes[1] and[0] other[0] uninspired[0] lunacy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hugh grant's sunset boulevard arrest ( please , no caught-with-his-pants-down jokes ) may bring more people into the theaters , but they certainly won't leave with a smile on their faces , not after 90 minutes of grant's nervous smiles . 	hugh grant's sunset boulevard arrest ( please , no caught-with-his-pants-down jokes ) may bring more people into the theaters , but they certainly won't leave with a smile on their faces , not after 90 minutes of grant's nervous smiles .	3	-3	 hugh[0] grant's[0] sunset[0] boulevard[0] arrest[0] please[1] no[0] caught[0] with[0] his[0] pants[0] down[0] jokes[1] may[0] bring[0] more[0] people[0] into[0] the[0] theaters[0] but[0] they[0] certainly[0] won't[0] leave[0] with[0] a[0] smile[2] on[0] their[0] faces[0] not[0] after[0] 90[0] minutes[0] of[0] grant's[0] nervous[-2] smiles[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
everything in the movie is so forced , so unauthentic that anyone with an i . q . 	everything in the movie is so forced , so unauthentic that anyone with an i .<br> q .	1	-2	 everything[0] in[0] the[0] movie[0] is[0] so[0] forced[0] so[0] unauthentic[-1] that[0] anyone[0] with[0] an[0] i[0] [[Sentence=-2,1=word max, 1-5]] q[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
over 80 ( sorry , hugh ) will know they wasted their money on an unfulfilled desire . 	over 80 ( sorry , hugh ) will know they wasted their money on an unfulfilled desire .	1	-2	 over[0] 80[0] sorry[-1] hugh[0] will[0] know[0] they[0] wasted[-1] their[0] money[0] on[0] an[0] unfulfilled[0] desire[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but at least they didn't spend 60 bucks for it . 	but at least they didn't spend 60 bucks for it .	1	-1	 but[0] at[0] least[0] they[0] didn't[0] spend[0] 60[0] bucks[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
