warning : may contain slight mild spoilers . 	Translation	Positive	Negative	EmotionRationale
sadly but truly again like most recent films , all the good parts are in the trailers . 	sadly but truly again like most recent films , all the good parts are in the trailers .	2	-2	 sadly[-1] but[0] truly[1] again[0] like[1] most[0] recent[0] films[0] all[0] the[0] good[1] parts[0] are[0] in[0] the[0] trailers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot which is very confusing at times is also very ludicrous and the movie is destined to be a hit in the first weekend , and flop in the next . 	the plot which is very confusing at times is also very ludicrous and the movie is destined to be a hit in the first weekend , and flop in the next .	1	-4	 the[0] plot[0] which[0] is[0] very[0] confusing[-1][-1 LastWordBoosterStrength] at[0] times[0] is[0] also[0] very[0] ludicrous[-2][-1 LastWordBoosterStrength] and[0] the[0] movie[0] is[0] destined[0] to[0] be[0] a[0] hit[0] in[0] the[0] first[0] weekend[0] and[0] flop[0] in[0] the[0] next[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jericho cane ( arnold schwarzneggar in hit typical macho role ) is a cop who finds out that he is chosen to track down satan ( living in gabriel byrnes body ) and stop him from impregnating christine york ( robin tunney ) because if he does , and she gives birth all existence as we know it will cease to exist . 	jericho cane ( arnold schwarzneggar in hit typical macho role ) is a cop who finds out that he is chosen to track down satan ( living in gabriel byrnes body ) and stop him from impregnating christine york ( robin tunney ) because if he does , and she gives birth all existence as we know it will cease to exist .	1	-3	 jericho[0] cane[0] arnold[0] schwarzneggar[0] in[0] hit[0] typical[0] macho[0] role[0] is[0] a[0] cop[0] who[0] finds[0] out[0] that[0] he[0] is[0] chosen[0] to[0] track[0] down[0] satan[-2] living[0] in[0] gabriel[0] byrnes[0] body[0] and[0] stop[0] him[0] from[0] impregnating[0] christine[0] york[0] robin[0] tunney[0] because[0] if[0] he[0] does[0] and[0] she[0] gives[0] birth[0] all[0] existence[0] as[0] we[0] know[0] it[0] will[0] cease[0] to[0] exist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he has to do this before it turns into the year 2000 , and strangely he's trying to fight him 5 minutes before 2000 comes . 	he has to do this before it turns into the year 200 , and strangely he's trying to fight him 5 minutes before 200 comes .	1	-3	 he[0] has[0] to[0] do[0] this[0] before[0] it[0] turns[0] into[0] the[0] year[0] 2000/200[0] and[0] strangely[0] he's[0] trying[0] to[0] fight[-2] him[0] 5[0] minutes[0] before[0] 2000/200[0] comes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he seeks help from the catholic church and help from rod stieger ( in a terrific role ) and tries to save this girl leading to an ending that's satisfying , but turns into a typical action movie . 	he seeks help from the catholic church and help from rod stieger ( in a terrific role ) and tries to save this girl leading to an ending that's satisfying , but turns into a typical action movie .	4	-1	 he[0] seeks[0] help[0] from[0] the[0] catholic[0] church[0] and[0] help[0] from[0] rod[0] stieger[0] in[0] a[0] terrific[3] role[0] and[0] tries[0] to[0] save[1] this[0] girl[0] leading[0] to[0] an[0] ending[0] that's[0] satisfying[1] but[0] turns[0] into[0] a[0] typical[0] action[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
that's pretty much it on plot . 	that's pretty much it on plot .	3	-1	 that's[0] pretty[2] much[0] it[0] on[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it does have the razzle and dazzle of a great action movie , and with the 100m dollar budget parts seem to show it , parts you have to wonder where all the money went . 	it does have the razle and dazle of a great action movie , and with the 100m dollar budget parts seem to show it , parts you have to wonder where all the money went .	3	-1	 it[0] does[0] have[0] the[0] razzle/razle[0] and[0] dazzle/dazle[0] of[0] a[0] great[2] action[0] movie[0] and[0] with[0] the[0] 100m[0] dollar[0] budget[0] parts[0] seem[0] to[0] show[0] it[0] parts[0] you[0] have[0] to[0] wonder[0] where[0] all[0] the[0] money[0] went[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for arnie ? 	as for arnie ?	1	-1	 as[0] for[0] arnie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good role , ok performance . 	good role , ok performance .	2	-1	 good[1] role[0] ok[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think since he is getting a little older he is held back a lot of his stunts . 	i think since he is getting a little older he is held back a lot of his stunts .	1	-1	 i[0] think[0] since[0] he[0] is[0] getting[0] a[0] little[0] older[0] he[0] is[0] held[0] back[0] a[0] lot[0] of[0] his[0] stunts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thing that disappointed me was the fact that there was nothing to the film . 	the thing that disappointed me was the fact that there was nothing to the film .	1	-2	 the[0] thing[0] that[0] disappointed[-1] me[0] was[0] the[0] fact[0] that[0] there[0] was[0] nothing[0] to[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the trailers it looks like a good scary , action film and ends up being a boring , long and preposterous drama that leads into something else that leaves us with questions . 	in the trailers it looks like a good scary , action film and ends up being a boring , long and preposterous drama that leads into something else that leaves us with questions .	2	-4	 in[0] the[0] trailers[0] it[0] looks[0] like[1] a[0] good[1] scary[-3] action[0] film[0] and[0] ends[0] up[0] being[0] a[0] boring[-1] long[0] and[0] preposterous[-1] drama[0] that[0] leads[0] into[0] something[0] else[0] that[0] leaves[0] us[0] with[0] questions[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
gabriel byrnes ( who ironically played a priest in " stigmata " ) here plays satan and gives a good performance but again seems held back and not into his character . 	gabriel byrnes ( who ironically played a priest in " stigmata " ) here plays satan and gives a good performance but again seems held back and not into his character .	2	-3	 gabriel[0] byrnes[0] who[0] ironically[-1] played[0] a[0] priest[0] in[0] stigmata[0] here[0] plays[1] satan[-2] and[0] gives[0] a[0] good[1] performance[0] but[0] again[0] seems[0] held[0] back[0] and[0] not[0] into[0] his[0] character[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
two years back al pacino gave a terrific performance in the fun " the devil's advocate " and here it seems like the idea of him is in the character also . 	two years back al pacino gave a terrific performance in the fun " the devil's advocate " and here it seems like the idea of him is in the character also .	4	-2	 two[0] years[0] back[0] al[0] pacino[0] gave[0] a[0] terrific[3] performance[0] in[0] the[0] fun[1] the[0] devil's[-1] advocate[0] and[0] here[0] it[0] seems[0] like[1] the[0] idea[0] of[0] him[0] is[0] in[0] the[0] character[0] also[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
robin tunney ( great performance as always ) plays satan's main person whom he wants to impregnate to carry his child . 	robin tunney ( great performance as always ) plays satan's main person whom he wants to impregnate to carry his child .	3	-3	 robin[0] tunney[0] great[2] performance[0] as[0] always[0] plays[1] satan's[-2] main[0] person[0] whom[0] he[0] wants[0] to[0] impregnate[0] to[0] carry[0] his[0] child[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
of course rod stieger gives another great performance which really isn't nothing new . 	of course rod stieger gives another great performance which really isn't nothing new .	3	-1	 of[0] course[0] rod[0] stieger[0] gives[0] another[0] great[2] performance[0] which[0] really[0] isn't[0] nothing[0] new[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the direction by peter hyams is at times a bit overblown , though not nearly as the visual style was in " stigmata " . 	the direction by peter hyams is at times a bit overblown , though not nearly as the visual style was in " stigmata " .	1	-1	 the[0] direction[0] by[0] peter[0] hyams[0] is[0] at[0] times[0] a[0] bit[0] overblown[0] though[0] not[0] nearly[0] as[0] the[0] visual[0] style[0] was[0] in[0] stigmata[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here we are given great camera work , and some great scenes that are terrifically directed but sadly just don't work in this movie . 	here we are given great camera work , and some great scenes that are terrifically directed but sadly just don't work in this movie .	4	-2	 here[0] we[0] are[0] given[0] great[2] camera[0] work[0] and[0] some[0] great[2][-1 LastWordBoosterStrength] scenes[0] that[0] are[0] terrifically[3] directed[0] but[0] sadly[-1] just[0] don't[0] work[0] in[0] this[0] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the script written by andrew marlowe has a few witty lines , but again the movie is all style and no substance and by the ending finale climax i was ready to go home . 	the script written by andrew marlowe has a few witty lines , but again the movie is all style and no substance and by the ending finale climax i was ready to go home .	1	-1	 the[0] script[0] written[0] by[0] andrew[0] marlowe[0] has[0] a[0] few[0] witty[0] lines[0] but[0] again[0] the[0] movie[0] is[0] all[0] style[0] and[0] no[0] substance[0] and[0] by[0] the[0] ending[0] finale[0] climax[0] i[0] was[0] ready[0] to[0] go[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only a few things work here and those are a few of the performances , the writing and visual style , but the storyline and the finished product don't work as well . 	only a few things work here and those are a few of the performances , the writing and visual style , but the storyline and the finished product don't work as well .	1	-1	 only[0] a[0] few[0] things[0] work[0] here[0] and[0] those[0] are[0] a[0] few[0] of[0] the[0] performances[0] the[0] writing[0] and[0] visual[0] style[0] but[0] the[0] storyline[0] and[0] the[0] finished[0] product[0] don't[0] work[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sad thing is that " end of days " had so many things going for it . 	the sad thing is that " end of days " had so many things going for it .	1	-4	 the[0] sad[-3] thing[0] is[0] that[0] end[0] of[0] days[0] had[0] so[0] many[0] things[0] going[0] for[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot could have been more organized , the action scenes could have been more brainy and less mind-numbing . 	the plot could have been more organized , the action scenes could have been more brainy and less mind-numbing .	1	-2	 the[0] plot[0] could[0] have[0] been[0] more[0] organized[0] the[0] action[0] scenes[0] could[0] have[0] been[0] more[0] brainy[0] and[0] less[0] mind[0] numbing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at times it seems like " armageddon " and started to get old and tiresome . 	at times it seems like " armageddon " and started to get old and tiresome .	2	-2	 at[0] times[0] it[0] seems[0] like[1] armageddon[0] and[0] started[0] to[0] get[0] old[0] and[0] tiresome[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hollywood is running out of ideas bad , and like i've always said before needs new ones . 	hollywood is running out of ideas bad , and like i've always said before needs new ones .	2	-2	 hollywood[0] is[0] running[0] out[0] of[0] ideas[0] bad[-1] and[0] like[1] i've[0] always[0] said[0] before[0] needs[0] new[0] ones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even with its 100m budget " end of days " is less than pleasing . 	even with its 100m budget " end of days " is less than pleasing .	3	-1	 even[0] with[0] its[0] 100m[0] budget[0] end[0] of[0] days[0] is[0] less[0] than[0] pleasing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact the 100m dollar budget is at least 30m over , and easily could have had a 70m budget . 	in fact the 100m dollar budget is at least 30m over , and easily could have had a 70m budget .	1	-1	 in[0] fact[0] the[0] 100m[0] dollar[0] budget[0] is[0] at[0] least[0] 30m[0] over[0] and[0] easily[0] could[0] have[0] had[0] a[0] 70m[0] budget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe i sound crazy , but i am really looking forward to the new exorcist film , and hope that they make it as good as the original . 	maybe i sound crazy , but i am really looking forward to the new exorcist film , and hope that they make it as good as the original .	3	-2	 maybe[0] i[0] sound[0] crazy[-1] but[0] i[0] am[0] really[0] looking[0] forward[0] to[0] the[0] new[0] exorcist[0] film[0] and[0] hope[2] that[0] they[0] make[0] it[0] as[0] good[1] as[0] the[0] original[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we need to get new ideas and stop recycling old ones just to make money at the box-office . 	we need to get new ideas and stop recycling old ones just to make money at the box-office .	1	-1	 we[0] need[0] to[0] get[0] new[0] ideas[0] and[0] stop[0] recycling[0] old[0] ones[0] just[0] to[0] make[0] money[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we need to get more films like " the blair witch project " that could scare people to death , while people thinking well what exactly is scaring them and how do i know that it is in fact the blair witch . 	we need to get more films like " the blair witch project " that could scare people to death , while people thinking well what exactly is scaring them and how do i know that it is in fact the blair witch .	2	-4	 we[0] need[0] to[0] get[0] more[0] films[0] like[1] the[0] blair[0] witch[0] project[0] that[0] could[0] scare[-3][--1 LastWordBoosterStrength] people[0] to[0] death[-2] while[0] people[0] thinking[0] well[0] what[0] exactly[0] is[0] scaring[-3] them[0] and[0] how[0] do[0] i[0] know[0] that[0] it[0] is[0] in[0] fact[0] the[0] blair[0] witch[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
overblown effects , stupid and thin plot-line , good performances , disappointing . . . . umm 	overblown effects , stupid and thin plot-line , good performances , disappointing .<br> .<br> .<br> .<br> um	2	-2	 overblown[0] effects[0] stupid[-1] and[0] thin[0] plot[0] line[0] good[1] performances[0] disappointing[-1] [[Sentence=-2,2=word max, 1-5]] umm/um[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
yup those pretty much describe " end of days " . 	yup those pretty much describe " end of days " .	3	-1	 yup[0] those[0] pretty[2] much[0] describe[0] end[0] of[0] days[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
