the yet-to-be-released krippendorf's tribe is being marketed as a family comedy , but buyer beware . 	Translation	Positive	Negative	EmotionRationale
hungry for recognition , micelli sets up interviews , lectures , etc . in an effort to make this the biggest sociological event in history , a sure fire way to go down in the history books . 	hungry for recognition , micelli sets up interviews , lectures , etc .<br> in an effort to make this the biggest sociological event in history , a sure fire way to go down in the history books .	1	-2	 hungry[-1] for[0] recognition[0] micelli[0] sets[0] up[0] interviews[0] lectures[0] etc[0] [[Sentence=-2,1=word max, 1-5]] in[0] an[0] effort[0] to[0] make[0] this[0] the[0] biggest[0] sociological[0] event[0] in[0] history[0] a[0] sure[0] fire[0] way[0] to[0] go[0] down[0] in[0] the[0] history[0] books[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
krippendorf , on the other hand , is seeing himself go down a jail cell corridor , not in history books , and with each new lecture , he must come up with something impressive to unleash about the tribe - mating habits , domestic structure , etc . thru fumbling improvisation , and often some quick thinking from his oldest son , krippendorf makes it thru each new lecture , but only creates more and more interest in the highly unique tribe . 	krippendorf , on the other hand , is seeing himself go down a jail cell corridor , not in history books , and with each new lecture , he must come up with something impressive to unleash about the tribe - mating habits , domestic structure , etc .<br> thru fumbling improvisation , and often some quick thinking from his oldest son , krippendorf makes it thru each new lecture , but only creates more and more interest in the highly unique tribe .	2	-2	 krippendorf[0] on[0] the[0] other[0] hand[0] is[0] seeing[0] himself[0] go[0] down[0] a[0] jail[-1] cell[0] corridor[0] not[0] in[0] history[0] books[0] and[0] with[0] each[0] new[0] lecture[0] he[0] must[0] come[0] up[0] with[0] something[0] impressive[1] to[0] unleash[0] about[0] the[0] tribe[0] mating[0] habits[0] domestic[0] structure[0] etc[0] [[Sentence=-2,2=word max, 1-5]] thru[0] fumbling[0] improvisation[0] and[0] often[0] some[0] quick[0] thinking[0] from[0] his[0] oldest[0] son[0] krippendorf[0] makes[0] it[0] thru[0] each[0] new[0] lecture[0] but[0] only[0] creates[0] more[0] and[0] more[0] interest[1] in[0] the[0] highly[0] unique[0] tribe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the opposing end is krippendorf's arch rival , ruth allen ( lily tomlin ) , an arrogant professor whose jealousy drives her on a mission to disprove the existance of the non-existent tribe . 	on the opposing end is krippendorf's arch rival , ruth allen ( lily tomlin ) , an arrogant professor whose jealousy drives her on a mission to disprove the existance of the non-existent tribe .	1	-3	 on[0] the[0] opposing[0] end[0] is[0] krippendorf's[0] arch[0] rival[-1] ruth[0] allen[0] lily[0] tomlin[0] an[0] arrogant[-2] professor[0] whose[0] jealousy[-2] drives[0] her[0] on[0] a[0] mission[0] to[0] disprove[-1] the[0] existance[0] of[0] the[0] non[0] existent[0] tribe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a cute idea , and approached with a more subtle ( and mature ) style , krippendorf's tribe could've been a real winner . 	it's a cute idea , and approached with a more subtle ( and mature ) style , krippendorf's tribe could've been a real winner .	2	-1	 it's[0] a[0] cute[1] idea[0] and[0] approached[0] with[0] a[0] more[0] subtle[0] and[0] mature[0] style[0] krippendorf's[0] tribe[0] could've[0] been[0] a[0] real[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly , the mostly-misfired toilet humor , overly comical musical score ( by bruce broughton ) , and sugar coated sentiments ( all the key ingredients of a " family comedy " ) just aren't the right tone for this film . 	sadly , the mostly-misfired toilet humor , overly comical musical score ( by bruce broughton ) , and sugar coated sentiments ( all the key ingredients of a " family comedy " ) just aren't the right tone for this film .	3	-2	 sadly[-1] the[0] mostly[0] misfired[0] toilet[0] humor[2] overly[0] comical[0] musical[0] score[0] by[0] bruce[0] broughton[0] and[0] sugar[0] coated[0] sentiments[0] all[0] the[0] key[0] ingredients[0] of[0] a[0] family[0] comedy[0] just[0] aren't[0] the[0] right[0] tone[0] for[0] this[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cut that crap out , add some razor sharp dialogue and witty sociological perceptions and you've got a good start . 	cut that crap out , add some razor sharp dialogue and witty sociological perceptions and you've got a good start .	2	-3	 cut[0] that[0] crap[-2] out[0] add[0] some[0] razor[0] sharp[0] dialogue[0] and[0] witty[0] sociological[0] perceptions[0] and[0] you've[0] got[0] a[0] good[1] start[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at the state it's in now , you've got something along the lines of medicine man meets mrs . 	at the state it's in now , you've got something along the lines of medicine man meets mrs .	1	-1	 at[0] the[0] state[0] it's[0] in[0] now[0] you've[0] got[0] something[0] along[0] the[0] lines[0] of[0] medicine[0] man[0] meets[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire meets dumb & dumber , and that's not a concoction anyone should be overly anxious to try . 	doubtfire meets dumb & dumber , and that's not a concoction anyone should be overly anxious to try .	1	-3	 doubtfire[-1] meets[0] dumb[-1] &[0] dumber[-1] and[0] that's[0] not[0] a[0] concoction[0] anyone[0] should[0] be[0] overly[0] anxious[-2] to[0] try[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the overall product here is a highly forgettable cup of " average " , with a few laugh-out-loud moments and a great big gap in between them . 	the overall product here is a highly forgettable cup of " average " , with a few laugh-out-loud moments and a great big gap in between them .	3	-1	 the[0] overall[0] product[0] here[0] is[0] a[0] highly[0] forgettable[0] cup[0] of[0] average[0] with[0] a[0] few[0] laugh[1] out[0] loud[0] moments[0] and[0] a[0] great[2] big[0] gap[0] in[0] between[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most of the characters are surprisingly two-dimensional , and the only one who seems to exhibit any real acting effort ( lyonne ) seems to go greatly unappreciated . 	most of the characters are surprisingly two-dimensional , and the only one who seems to exhibit any real acting effort ( lyonne ) seems to go greatly unappreciated .	3	-1	 most[0] of[0] the[0] characters[0] are[0] surprisingly[0] two[0] dimensional[0] and[0] the[0] only[0] one[0] who[0] seems[0] to[0] exhibit[0] any[0] real[0] acting[0] effort[0] lyonne[0] seems[0] to[0] go[0] greatly[2] unappreciated[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director todd holland has gone about making this film in all the wrong ways . 	director todd holland has gone about making this film in all the wrong ways .	1	-2	 director[0] todd[0] holland[0] has[0] gone[0] about[0] making[0] this[0] film[0] in[0] all[0] the[0] wrong[-1] ways[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's stuck in limbo between disney family fare ( jungle 2 jungle ) and potentially hilarious adult comedy ( a fish called wanda ) . 	it's stuck in limbo between disney family fare ( jungle 2 jungle ) and potentially hilarious adult comedy ( a fish called wanda ) .	3	-1	 it's[0] stuck[0] in[0] limbo[0] between[0] disney[0] family[0] fare[0] jungle[0] 2[0] jungle[0] and[0] potentially[0] hilarious[2] adult[0] comedy[0] a[0] fish[0] called[0] wanda[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's this unbalanced structure that really knocks it down a grade , and it's a brutal drop . 	it's this unbalanced structure that really knocks it down a grade , and it's a brutal drop .	1	-3	 it's[0] this[0] unbalanced[0] structure[0] that[0] really[0] knocks[0] it[0] down[0] a[0] grade[0] and[0] it's[0] a[0] brutal[-2] drop[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a strong warning to parents : forget the impression given by advertisements , do you want to take your kids to a film that has a woman asking a man if he finds her attractive merely because she's holding his penis ? 	a strong warning to parents : forget the impression given by advertisements , do you want to take your kids to a film that has a woman asking a man if he finds her attractive merely because she's holding his penis ?	2	-1	 a[0] strong[0] warning[0] to[0] parents[0] forget[0] the[0] impression[0] given[0] by[0] advertisements[0] do[0] you[0] want[0] to[0] take[0] your[0] kids[0] to[0] a[0] film[0] that[0] has[0] a[0] woman[0] asking[0] a[0] man[0] if[0] he[0] finds[0] her[0] attractive[1] merely[0] because[0] she's[0] holding[0] his[0] penis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , it's put that bluntly ! 	yes , it's put that bluntly !	1	-2	 yes[0] it's[0] put[0] that[0] bluntly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just be warned - this is merely one example of the many shocking subjects to be brought up in the film , and others might not be as tame . 	just be warned - this is merely one example of the many shocking subjects to be brought up in the film , and others might not be as tame .	1	-3	 just[0] be[0] warned[0] this[0] is[0] merely[0] one[0] example[0] of[0] the[0] many[0] shocking[-2] subjects[0] to[0] be[0] brought[0] up[0] in[0] the[0] film[0] and[0] others[0] might[0] not[0] be[0] as[0] tame[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
