plot : a little boy born in east germany ( named hansel ) loves the american music . 	Translation	Positive	Negative	EmotionRationale
all of which were part of the film and interested me somewhat . 	all of which were part of the film and interested me somewhat .	2	-1	 all[0] of[0] which[0] were[0] part[0] of[0] the[0] film[0] and[0] interested[1] me[0] somewhat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the only idea behind the film was for the main character to uncover his/her sexuality , then that's one thing , but as many of the relationships and situations presented themselves in this movie , i wanted some resolution to those pieces as well . 	if the only idea behind the film was for the main character to uncover his/her sexuality , then that's one thing , but as many of the relationships and situations presented themselves in this movie , i wanted some resolution to those pieces as well .	1	-1	 if[0] the[0] only[0] idea[0] behind[0] the[0] film[0] was[0] for[0] the[0] main[0] character[0] to[0] uncover[0] his/her[0] sexuality[0] then[0] that's[0] one[0] thing[0] but[0] as[0] many[0] of[0] the[0] relationships[0] and[0] situations[0] presented[0] themselves[0] in[0] this[0] movie[0] i[0] wanted[0] some[0] resolution[0] to[0] those[0] pieces[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't get it . 	i didn't get it .	1	-1	 i[0] didn't[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's humor also didn't tickle my funny bone either . 	the film's humor also didn't tickle my funny bone either .	3	-1	 the[0] film's[0] humor[2] also[0] didn't[0] tickle[0] my[0] funny[1] bone[0] either[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then again , i've seen many a film in these art-house theatres in which patrons are rolling down the aisles with laughter , while all i see is a tiny bit of whimsy on the screen . 	then again , i've seen many a film in these art-house theatres in which patrons are rolling down the aisles with laughter , while all i see is a tiny bit of whimsy on the screen .	2	-1	 then[0] again[0] i've[0] seen[0] many[0] a[0] film[0] in[0] these[0] art[0] house[0] theatres[0] in[0] which[0] patrons[0] are[0] rolling[0] down[0] the[0] aisles[0] with[0] laughter[1] while[0] all[0] i[0] see[0] is[0] a[0] tiny[0] bit[0] of[0] whimsy[0] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some of these films are also better enjoyed with the added " atmosphere " of a plant called marijuana , and i can certainly see how this movie ingrains within itself some nifty visual elements , in order to jazz up that experience . 	some of these films are also better enjoyed with the added " atmosphere " of a plant called marijuana , and i can certainly see how this movie ingrains within itself some nifty visual elements , in order to jaz up that experience .	3	-1	 some[0] of[0] these[0] films[0] are[0] also[0] better[0] enjoyed[2] with[0] the[0] added[0] atmosphere[0] of[0] a[0] plant[0] called[0] marijuana[0] and[0] i[0] can[0] certainly[0] see[0] how[0] this[0] movie[0] ingrains[0] within[0] itself[0] some[0] nifty[0] visual[0] elements[0] in[0] order[0] to[0] jazz/jaz[0] up[0] that[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but being sober as i was and expecting a coherent , funny , musical with a transsexual twist , i didn't leave the theater very satisfied . 	but being sober as i was and expecting a coherent , funny , musical with a transsexual twist , i didn't leave the theater very satisfied .	3	-1	 but[0] being[0] sober[0] as[0] i[0] was[0] and[0] expecting[0] a[0] coherent[0] funny[1] musical[0] with[0] a[0] transsexual[0] twist[0] i[0] didn't[0] leave[0] the[0] theater[0] very[0] satisfied[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i came out having watched an existential story of a confused man caught up in a musical lifestyle , wrapped in metaphors , dramatics and more questions than answers . 	i came out having watched an existential story of a confused man caught up in a musical lifestyle , wrapped in metaphors , dramatics and more questions than answers .	1	-2	 i[0] came[0] out[0] having[0] watched[0] an[0] existential[0] story[0] of[0] a[0] confused[-1] man[0] caught[0] up[0] in[0] a[0] musical[0] lifestyle[0] wrapped[0] in[0] metaphors[0] dramatics[0] and[0] more[0] questions[0] than[0] answers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i will , on the other hand , definitely hand some props out to the lead in this film , john cameron mitchell , who is also the man who wrote , directed and created the play on which this movie is based , and the tunes , which will likely be enjoyed by anyone who digs the sex pistols , david bowie and the whole 70s glam-rock scene . 	i will , on the other hand , definitely hand some props out to the lead in this film , john cameron mitchell , who is also the man who wrote , directed and created the play on which this movie is based , and the tunes , which will likely be enjoyed by anyone who digs the sex pistols , david bowie and the whole 70s glam-rock scene .	3	-1	 i[0] will[0] on[0] the[0] other[0] hand[0] definitely[0] hand[0] some[0] props[0] out[0] to[0] the[0] lead[0] in[0] this[0] film[0] john[0] cameron[0] mitchell[0] who[0] is[0] also[0] the[0] man[0] who[0] wrote[0] directed[0] and[0] created[0] the[0] play[0] on[0] which[0] this[0] movie[0] is[0] based[0] and[0] the[0] tunes[0] which[0] will[0] likely[0] be[0] enjoyed[2] by[0] anyone[0] who[0] digs[0] the[0] sex[0] pistols[0] david[0] bowie[0] and[0] the[0] whole[0] 70s[0] glam[0] rock[1] scene[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
note : btw , it seems as though pretty much every single " mainstream " critic in the united states loved this movie from top to bottom ( and thought that it was really funny to boot ! ) , so you might want to take that into consideration yourself . 	note : by the way , it seems as though pretty much every single " mainstream " critic in the united states loved this movie from top to bottom ( and thought that it was really funny to boot !<br> ) , so you might want to take that into consideration yourself .	4	-2	 note[0] btw[0] it[0] seems[0] as[0] though[0] pretty[2] much[0] every[0] single[0] mainstream[0] critic[-1] in[0] the[0] united[0] states[0] loved[3] this[0] movie[0] from[0] top[0] to[0] bottom[0] and[0] thought[0] that[0] it[0] was[0] really[0] funny[1][1 LastWordBoosterStrength] to[0] boot[0] [[Sentence=-2,4=word max, 1-5]] so[0] you[0] might[0] want[0] to[0] take[0] that[0] into[0] consideration[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
but having said that , the main reason that i started this dinky website in the first place was because films like this would sometimes be uniformly applauded by the " official " critics , while i , a regular " joblo " in the audience , just wouldn't get what all the fuss was about . 	but having said that , the main reason that i started this dinky website in the first place was because films like this would sometimes be uniformly applauded by the " official " critics , while i , a regular " joblo " in the audience , just wouldn't get what all the fuss was about .	2	-2	 but[0] having[0] said[0] that[0] the[0] main[0] reason[0] that[0] i[0] started[0] this[0] dinky[0] website[0] in[0] the[0] first[0] place[0] was[0] because[0] films[0] like[1] this[0] would[0] sometimes[0] be[0] uniformly[0] applauded[1] by[0] the[0] official[0] critics[0] while[0] i[0] a[0] regular[0] joblo[0] in[0] the[0] audience[0] just[0] wouldn't[0] get[0] what[0] all[0] the[0] fuss[-1] was[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this movie is a perfect example of why i continue to write movie reviews . 	this movie is a perfect example of why i continue to write movie reviews .	2	-1	 this[0] movie[0] is[0] a[0] perfect[1] example[0] of[0] why[0] i[0] continue[0] to[0] write[0] movie[0] reviews[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moulin rouge ( 8/10 ) - grease ( 8/10 ) - everyone says i love you ( 5/10 ) - the opposite of sex ( 8/10 ) - dancer in the dark ( 5/10 ) - o brother , where art thou ( 7/10 ) - love's labour's lost ( 8/10 ) 	moulin rouge ( 8/10 ) - grease ( 8/10 ) - everyone says i love you ( 5/10 ) - the opposite of sex ( 8/10 ) - dancer in the dark ( 5/10 ) - o brother , where art thou ( 7/10 ) - love's labour's lost ( 8/10 )	3	-1	 moulin[0] rouge[0] 8/10[0] grease[0] 8/10[0] everyone[0] says[0] i[0] love[2] you[0] 5/10[0] the[0] opposite[0] of[0] sex[0] 8/10[0] dancer[0] in[0] the[0] dark[0] 5/10[0] o[0] brother[0] where[0] art[0] thou[0] 7/10[0] love's[0] labour's[0] lost[0] 8/10[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
