vikings v . bears ? 	Translation	Positive	Negative	EmotionRationale
he is able to overcome the proud arrogance of the vikings , but will his skills ( and that of the group ) be enough to defeat whatever evil is menacing the countryside ? 	he is able to overcome the proud arrogance of the vikings , but will his skills ( and that of the group ) be enough to defeat whatever evil is menacing the countryside ?	2	-3	 he[0] is[0] able[0] to[0] overcome[0] the[0] proud[1] arrogance[-2] of[0] the[0] vikings[0] but[0] will[0] his[0] skills[0] and[0] that[0] of[0] the[0] group[0] be[0] enough[0] to[0] defeat[0] whatever[0] evil[-2] is[0] menacing[0] the[0] countryside[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it does not look promising . 	it does not look promising .	1	-2	 it[0] does[0] not[0] look[0] promising[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these creatures , resembling bears , are strong and have high morale . 	these creatures , resembling bears , are strong and have high morale .	1	-1	 these[0] creatures[0] resembling[0] bears[0] are[0] strong[0] and[0] have[0] high[0] morale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are fearless and display a desire for decapitating the heads of their enemies . 	they are fearless and display a desire for decapitating the heads of their enemies .	2	-2	 they[0] are[0] fearless[1] and[0] display[0] a[0] desire[0] for[0] decapitating[0] the[0] heads[0] of[0] their[0] enemies[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they attack by the hundreds and the next strike will come soon . 	they attack by the hundreds and the next strike will come soon .	1	-3	 they[0] attack[-2] by[0] the[0] hundreds[0] and[0] the[0] next[0] strike[-1] will[0] come[0] soon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the warriors prepare their defenses and pray to their gods . 	the warriors prepare their defenses and pray to their gods .	1	-1	 the[0] warriors[0] prepare[0] their[0] defenses[0] and[0] pray[0] to[0] their[0] gods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are ready to sacrifice their lives . 	they are ready to sacrifice their lives .	1	-1	 they[0] are[0] ready[0] to[0] sacrifice[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " this is a good way to die , " says one of the fallen warriors . 	 " this is a good way to die , " says one of the fallen warriors .	2	-1	 this[0] is[0] a[0] good[1] way[0] to[0] die[0] says[0] one[0] of[0] the[0] fallen[0] warriors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite the larger-than-life battle sequences , i was unmoved by the entire experience . 	despite the larger-than-life battle sequences , i was unmoved by the entire experience .	1	-2	 despite[0] the[0] larger[0] than[0] life[0] battle[-1] sequences[0] i[0] was[0] unmoved[-1] by[0] the[0] entire[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at many points , i was even confused . 	at many points , i was even confused .	1	-2	 at[0] many[0] points[0] i[0] was[0] even[0] confused[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , somewhere in the middle of the film , a sub-plot creeps up involving the prince of the threatened land . 	for example , somewhere in the middle of the film , a sub-plot creeps up involving the prince of the threatened land .	1	-3	 for[0] example[0] somewhere[0] in[0] the[0] middle[0] of[0] the[0] film[0] a[0] sub[0] plot[0] creeps[0] up[0] involving[0] the[0] prince[0] of[0] the[0] threatened[-2] land[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he seems to have an agenda to elevate himself to greater power during this crisis . 	he seems to have an agenda to elevate himself to greater power during this crisis .	3	-3	 he[0] seems[0] to[0] have[0] an[0] agenda[0] to[0] elevate[0] himself[0] to[0] greater[2] power[0] during[0] this[0] crisis[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , the sub-plot never fully materializes , and we are left scratching our heads as to the purpose of its inclusion . 	however , the sub-plot never fully materializes , and we are left scratching our heads as to the purpose of its inclusion .	1	-1	 however[0] the[0] sub[0] plot[0] never[0] fully[0] materializes[0] and[0] we[0] are[0] left[0] scratching[0] our[0] heads[0] as[0] to[0] the[0] purpose[0] of[0] its[0] inclusion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are other questions that i had , but the real problem was that the story ( little of it that there was ) offered no characters to love or hate . 	there are other questions that i had , but the real problem was that the story ( little of it that there was ) offered no characters to love or hate .	3	-4	 there[0] are[0] other[0] questions[0] that[0] i[0] had[0] but[0] the[0] real[0] problem[-1] was[0] that[0] the[0] story[0] little[0] of[0] it[0] that[0] there[0] was[0] offered[0] no[0] characters[0] to[0] love[2] or[0] hate[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the leader of the viking warriors had the most charisma . 	the leader of the viking warriors had the most charisma .	1	-1	 the[0] leader[0] of[0] the[0] viking[0] warriors[0] had[0] the[0] most[0] charisma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , banderas's role is completely underwritten and it is unclear why being the 13th warrior makes him so special . 	however , banderas's role is completely underwritten and it is unclear why being the 13th warrior makes him so special .	2	-2	 however[0] banderas's[0] role[0] is[0] completely[0] underwritten[0] and[0] it[0] is[0] unclear[-1] why[0] being[0] the[0] 13th[0] warrior[0] makes[0] him[0] so[0] special[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an entire rewrite of the ahmed character is in order . 	an entire rewrite of the ahmed character is in order .	1	-1	 an[0] entire[0] rewrite[0] of[0] the[0] ahmed[0] character[0] is[0] in[0] order[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , much of the action takes place during torrential downpours or at night , which made battles very difficult to follow . 	also , much of the action takes place during torrential downpours or at night , which made battles very difficult to follow .	1	-3	 also[0] much[0] of[0] the[0] action[0] takes[0] place[0] during[0] torrential[0] downpours[0] or[0] at[0] night[0] which[0] made[0] battles[-1] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] follow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i would have preferred more time looking at the viking culture and how their beliefs shaped their decision to do battle against the enemy . 	i would have preferred more time looking at the viking culture and how their beliefs shaped their decision to do battle against the enemy .	1	-2	 i[0] would[0] have[0] preferred[0] more[0] time[0] looking[0] at[0] the[0] viking[0] culture[0] and[0] how[0] their[0] beliefs[0] shaped[0] their[0] decision[0] to[0] do[0] battle[-1] against[-1] the[0] enemy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as it stands , the film manages more confusion than intensity . 	as it stands , the film manages more confusion than intensity .	1	-2	 as[0] it[0] stands[0] the[0] film[0] manages[0] more[0] confusion[-1] than[0] intensity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would make thor cry . 	it would make thor cry .	1	-4	 it[0] would[0] make[0] thor[0] cry[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
