one of my favorite songs by the stranglers includes the lyric , " you'd better watch out for the skin deep . " 	Translation	Positive	Negative	EmotionRationale
zach is a rich , '80s l . a . version of ritter's jack tripper character from " three's company . " 	zach is a rich , '80s l .<br> a .<br> version of ritter's jack tripper character from " three's company .<br> "	1	-1	 zach[0] is[0] a[0] rich[0] '80s[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] version[0] of[0] ritter's[0] jack[0] tripper[0] character[0] from[0] three's[0] company[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like jack , zach is clumsy and inept ; he's the type of guy whose bad aim makes him accidently squirt breath freshener into his eye . 	like jack , zach is clumsy and inept ; he's the type of guy whose bad aim makes him accidently squirt breath freshener into his eye .	2	-2	 like[1] jack[0] zach[0] is[0] clumsy[-1] and[0] inept[0] he's[0] the[0] type[0] of[0] guy[0] whose[0] bad[-1] aim[0] makes[0] him[0] accidently[-1] squirt[0] breath[0] freshener[0] into[0] his[0] eye[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
zach is supposed to be charming and charismatic , but i failed to see even one redeeming virtue in him . 	zach is supposed to be charming and charismatic , but i failed to see even one redeeming virtue in him .	3	-3	 zach[0] is[0] supposed[0] to[0] be[0] charming[1] and[0] charismatic[0] but[0] i[0] failed[-2] to[0] see[0] even[0] one[0] redeeming[0] virtue[2] in[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
consequently , i never felt the least bit of sympathy or pity for the philandering alcoholic during his moments of crisis . 	consequently , i never felt the least bit of sympathy or pity for the philandering alcoholic during his moments of crisis .	1	-3	 consequently[0] i[0] never[0] felt[0] the[0] least[0] bit[0] of[0] sympathy[0] or[0] pity[-1] for[0] the[0] philandering[0] alcoholic[0] during[0] his[0] moments[0] of[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , when zach crashes his ex-wife's wedding in a desperate attempt to stop her from remarrying , i actually rooted for her to go through with the ceremony . 	in fact , when zach crashes his ex-wife's wedding in a desperate attempt to stop her from remarrying , i actually rooted for her to go through with the ceremony .	1	-3	 in[0] fact[0] when[0] zach[0] crashes[0] his[0] ex[0] wife's[0] wedding[0] in[0] a[0] desperate[-2] attempt[0] to[0] stop[0] her[0] from[0] remarrying[0] i[0] actually[0] rooted[0] for[0] her[0] to[0] go[0] through[0] with[0] the[0] ceremony[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to add insult to injury , edwards gives his large supporting cast nothing but stereotypes with which to work . 	to add insult to injury , edwards gives his large supporting cast nothing but stereotypes with which to work .	2	-3	 to[0] add[0] insult[-2] to[0] injury[-1] edwards[0] gives[0] his[0] large[0] supporting[1] cast[0] nothing[0] but[0] stereotypes[0] with[0] which[0] to[0] work[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for instance , vincent gardenia's talents are wasted in his role as the fatherly bartender . 	for instance , vincent gardenia's talents are wasted in his role as the fatherly bartender .	2	-2	 for[0] instance[0] vincent[0] gardenia's[0] talents[1] are[0] wasted[-1] in[0] his[0] role[0] as[0] the[0] fatherly[0] bartender[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of all the women in the film--and there are many--alyson reed , alone , stands out as zach's wife ; reed brings intelligence and sensitivity to the role . 	of all the women in the film-and there are many-alyson reed , alone , stands out as zach's wife ; reed brings intelligence and sensitivity to the role .	1	-1	 of[0] all[0] the[0] women[0] in[0] the[0] film[0] and[0] there[0] are[0] many[0] alyson[0] reed[0] alone[0] stands[0] out[0] as[0] zach's[0] wife[0] reed[0] brings[0] intelligence[0] and[0] sensitivity[0] to[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because we don't care the slightest bit about anyone in skin deep , the film's few feeble attempts at drama inevitably fail . 	because we don't care the slightest bit about anyone in skin deep , the film's few feeble attempts at drama inevitably fail .	1	-3	 because[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] the[0] slightest[0] bit[0] about[0] anyone[0] in[0] skin[0] deep[0] the[0] film's[0] few[0] feeble[-1] attempts[0] at[0] drama[0] inevitably[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the comedy in skin deep doesn't fare much better . 	the comedy in skin deep doesn't fare much better .	1	-1	 the[0] comedy[0] in[0] skin[0] deep[0] doesn't[0] fare[0] much[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the jokes are dumb , predictable , and sitcomish . 	most of the jokes are dumb , predictable , and sitcomish .	2	-2	 most[0] of[0] the[0] jokes[1] are[0] dumb[-1] predictable[0] and[0] sitcomish[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
about every ten minutes , however , edwards does manage to come up with a good line or a novel sight-gag , the most effective of which involves a pair of " dueling " condoms . 	about every ten minutes , however , edwards does manage to come up with a good line or a novel sight-gag , the most effective of which involves a pair of " dueling " condoms .	2	-1	 about[0] every[0] ten[0] minutes[0] however[0] edwards[0] does[0] manage[0] to[0] come[0] up[0] with[0] a[0] good[1] line[0] or[0] a[0] novel[0] sight[0] gag[0] the[0] most[0] effective[0] of[0] which[0] involves[0] a[0] pair[0] of[0] dueling[0] condoms[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , the laughs in skin deep are just too infrequent and the characters just too shallow for the film to stay afloat . 	overall , the laughs in skin deep are just too infrequent and the characters just too shallow for the film to stay afloat .	2	-2	 overall[0] the[0] laughs[1] in[0] skin[0] deep[0] are[0] just[0] too[0] infrequent[0] and[0] the[0] characters[0] just[0] too[0] shallow[-1] for[0] the[0] film[0] to[0] stay[0] afloat[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my final criticism of the film lies in its glamorous depiction of alcohol and alcoholism . 	my final criticism of the film lies in its glamorous depiction of alcohol and alcoholism .	2	-3	 my[0] final[0] criticism[-1] of[0] the[0] film[0] lies[-2] in[0] its[0] glamorous[1] depiction[0] of[0] alcohol[0] and[0] alcoholism[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
zach's excessive drinking is clearly ruining his life , but nevertheless it seems to give him more pleasure than pain . 	zach's excessive drinking is clearly ruining his life , but nevertheless it seems to give him more pleasure than pain .	3	-4	 zach's[0] excessive[-1] drinking[0] is[0] clearly[0] ruining[-1] his[0] life[0] but[0] nevertheless[0] it[0] seems[0] to[0] give[0] him[0] more[0] pleasure[2] than[0] pain[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
zach's drinking binges never have any truly serious or lasting consequences . 	zach's drinking binges never have any truly serious or lasting consequences .	2	-2	 zach's[0] drinking[0] binges[0] never[0] have[0] any[0] truly[1] serious[-1] or[0] lasting[0] consequences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if he crashes his mercedes , he gets a new one . 	if he crashes his mercedes , he gets a new one .	1	-1	 if[0] he[0] crashes[0] his[0] mercedes[0] he[0] gets[0] a[0] new[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if he gets arrested , his lawyer bails him out of jail . 	if he gets arrested , his lawyer bails him out of jail .	1	-2	 if[0] he[0] gets[0] arrested[0] his[0] lawyer[0] bails[-1] him[0] out[0] of[0] jail[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if his wife leaves him , she will eventually decide to give him a second chance if he'll clean up his act . 	if his wife leaves him , she will eventually decide to give him a second chance if he'll clean up his act .	1	-1	 if[0] his[0] wife[0] leaves[0] him[0] she[0] will[0] eventually[0] decide[0] to[0] give[0] him[0] a[0] second[0] chance[0] if[0] he'll[0] clean[0] up[0] his[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the tone in skin deep is all wrong ; edwards treats a very serious issue far too lightly , making a joke out of a problem that is no joking matter . 	the tone in skin deep is all wrong ; edwards treats a very serious issue far too lightly , making a joke out of a problem that is no joking matter .	3	-3	 the[0] tone[0] in[0] skin[0] deep[0] is[0] all[0] wrong[-1] edwards[0] treats[0] a[0] very[0] serious[-1][-1 LastWordBoosterStrength] issue[0] far[0] too[0] lightly[0] making[0] a[0] joke[1] out[0] of[0] a[0] problem[-1] that[0] is[0] no[0] joking[2] matter[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
perhaps edwards should have studied dudley moore in arthur or , better yet , michael keaton in clean and sober before making skin deep . 	perhaps edwards should have studied dudley more in arthur or , better yet , michael keaton in clean and sober before making skin deep .	1	-1	 perhaps[0] edwards[0] should[0] have[0] studied[0] dudley[0] moore/more[0] in[0] arthur[0] or[0] better[0] yet[0] michael[0] keaton[0] in[0] clean[0] and[0] sober[0] before[0] making[0] skin[0] deep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
