you should have heard the old guys in the crowded bathroom following the " odd couple ii " sneak preview . 	Translation	Positive	Negative	EmotionRationale
jack lemmon and walter matthau reprise their roles as felix the neat freak and oscar the slob . 	jack lemon and walter matthau reprise their roles as felix the neat freak and oscar the slob .	1	-2	 jack[0] lemmon/lemon[0] and[0] walter[0] matthau[0] reprise[0] their[0] roles[0] as[0] felix[0] the[0] neat[0] freak[-1] and[0] oscar[0] the[0] slob[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while there is an undeniable chemistry between the pair , the impact of their reunion is lessened by the fact that they've headlined three films together since 1993 : " grumpy old men , " " grumpier old men " and " out to sea . " 	while there is an undeniable chemistry between the pair , the impact of their reunion is lessened by the fact that they've headlined three films together since 1993 : " grumpy old men , " " grumpier old men " and " out to sea .<br> "	1	-1	 while[0] there[0] is[0] an[0] undeniable[0] chemistry[0] between[0] the[0] pair[0] the[0] impact[0] of[0] their[0] reunion[0] is[0] lessened[0] by[0] the[0] fact[0] that[0] they've[0] headlined[0] three[0] films[0] together[0] since[0] 1993[0] grumpy[0] old[0] men[0] grumpier[0] old[0] men[0] and[0] out[0] to[0] sea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , the two veteran actors are fun to watch . 	still , the two veteran actors are fun to watch .	2	-1	 still[0] the[0] two[0] veteran[0] actors[0] are[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
matthau , whose magnificently rumpled face looks like a big pile of laundry with eyes , has a field day as oscar , the crown prince of the curmudgeons . 	matthau , whose magnificently rumpled face looks like a big pile of laundry with eyes , has a field day as oscar , the crown prince of the curmudgeons .	4	-1	 matthau[0] whose[0] magnificently[3] rumpled[0] face[0] looks[0] like[1] a[0] big[0] pile[0] of[0] laundry[0] with[0] eyes[0] has[0] a[0] field[0] day[0] as[0] oscar[0] the[0] crown[0] prince[0] of[0] the[0] curmudgeons[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
lemmon , looking pastier than usual , is fine as the ever- annoying felix , who still punctuates his chronic whining with occasional allergic honks of " phnah ! 	lemon , looking pastier than usual , is fine as the ever- annoying felix , who still punctuates his chronic whining with occasional allergic honks of " phnah !	3	-4	 lemmon/lemon[0] looking[0] pastier[0] than[0] usual[0] is[0] fine[2] as[0] the[0] ever[0] annoying[-2] felix[0] who[0] still[0] punctuates[0] his[0] chronic[-2] whining[-2][-1 MultiplePositiveWords] with[0] occasional[0] allergic[0] honks[0] of[0] phnah[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
phnah ! " 	phnah !<br> "	1	-1	 phnah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite their bickering , the characters have real affection for each other , providing a welcome respite from the non-stop barrage of insults that marked their previous three films together . 	despite their bickering , the characters have real affection for each other , providing a welcome respite from the non-stop barrage of insults that marked their previous three films together .	3	-3	 despite[0] their[0] bickering[0] the[0] characters[0] have[0] real[0] affection[2] for[0] each[0] other[0] providing[0] a[0] welcome[1] respite[0] from[0] the[0] non[0] stop[0] barrage[0] of[0] insults[-2] that[0] marked[0] their[0] previous[0] three[0] films[0] together[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , matthau and lemmon's charm isn't enough to compensate for simon's hack script , which wouldn't pass muster even on a upn sitcom . 	unfortunately , matthau and lemmon's charm isn't enough to compensate for simon's hack script , which wouldn't pass muster even on a upn sitcom .	2	-2	 unfortunately[-1] matthau[0] and[0] lemmon's[0] charm[1] isn't[0] enough[0] to[0] compensate[0] for[0] simon's[0] hack[-1] script[0] which[0] wouldn't[0] pass[0] muster[0] even[0] on[0] a[0] upn[0] sitcom[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one contrived situation follows another , lathered with enough stale one- liners to supply a dozen would-be comics on open-mike night at the local comedy club . 	one contrived situation follows another , lathered with enough stale one- liners to supply a dozen would-be comics on open-mike night at the local comedy club .	1	-2	 one[0] contrived[0] situation[0] follows[0] another[0] lathered[0] with[0] enough[0] stale[-1] one[0] liners[0] to[0] supply[0] a[0] dozen[0] would[0] be[0] comics[0] on[0] open[0] mike[0] night[0] at[0] the[0] local[0] comedy[0] club[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if someone drags you to this film and you find yourself as bored as i was , try entertaining yourself by counting the product placements . 	if someone drags you to this film and you find yourself as bored as i was , try entertaining yourself by counting the product placements .	1	-2	 if[0] someone[0] drags[0] you[0] to[0] this[0] film[0] and[0] you[0] find[0] yourself[0] as[0] bored[-1] as[0] i[0] was[0] try[0] entertaining[0] yourself[0] by[0] counting[0] the[0] product[0] placements[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
burger king gets one , as does the el pollo loco taco joint , but budget rent-a- car really hits the jackpot . 	burger king gets one , as does the el polo loco taco joint , but budget rent-a- car really hits the jackpot .	1	-1	 burger[0] king[0] gets[0] one[0] as[0] does[0] the[0] el[0] pollo/polo[0] loco[0] taco[0] joint[0] but[0] budget[0] rent[0] a[0] car[0] really[0] hits[0] the[0] jackpot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
between script references to their business and shots of signs and stickers bearing their company name , i couldn't keep count of all the plugs . 	between script references to their business and shots of signs and stickers bearing their company name , i couldn't keep count of all the plugs .	1	-1	 between[0] script[0] references[0] to[0] their[0] business[0] and[0] shots[0] of[0] signs[0] and[0] stickers[0] bearing[0] their[0] company[0] name[0] i[0] couldn't[0] keep[0] count[0] of[0] all[0] the[0] plugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i did , however , keep track of some of the swearing . 	i did , however , keep track of some of the swearing .	1	-1	 i[0] did[0] however[0] keep[0] track[0] of[0] some[0] of[0] the[0] swearing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i came up with four " god-damns , " three " shitheads " and two " fucks . " 	i came up with four " god-damns , " three " shitheads " and two " fucks .<br> "	1	-3	 i[0] came[0] up[0] with[0] four[0] god[0] damns[-1] three[0] shitheads[-1] and[0] two[0] fucks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the inclusion of those particular profanities seemed odd for a film aimed at an older audience , but the theater full of seniors appeared to have no problem with them , howling like crazy every time the boys let rip with a naughty word . 	the inclusion of those particular profanities seemed odd for a film aimed at an older audience , but the theater full of seniors appeared to have no problem with them , howling like crazy every time the boys let rip with a naughty word .	2	-2	 the[0] inclusion[0] of[0] those[0] particular[0] profanities[0] seemed[0] odd[0] for[0] a[0] film[0] aimed[0] at[0] an[0] older[0] audience[0] but[0] the[0] theater[0] full[0] of[0] seniors[0] appeared[0] to[0] have[0] no[0] problem[-1] with[0] them[0] howling[0] like[1] crazy[-1] every[0] time[0] the[0] boys[0] let[0] rip[-1] with[0] a[0] naughty[-1] word[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's sad that a writer of neil simon's stature has grown desperate enough to resort to swearing for cheap laughs , but not surprising when you look at what else gets passed off as humor in this tepid exercise . 	it's sad that a writer of neil simon's stature has grown desperate enough to resort to swearing for cheap laughs , but not surprising when you look at what else gets passed off as humor in this tepid exercise .	3	-4	 it's[0] sad[-3] that[0] a[0] writer[0] of[0] neil[0] simon's[0] stature[0] has[0] grown[0] desperate[-2] enough[0] to[0] resort[0] to[0] swearing[0] for[0] cheap[-1] laughs[1] but[0] not[0] surprising[0] when[0] you[0] look[0] at[0] what[0] else[0] gets[0] passed[0] off[0] as[0] humor[2] in[0] this[0] tepid[0] exercise[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one running gag involves oscar and felix's inability to remember the name of the town where the wedding is to be held . 	one running gag involves oscar and felix's inability to remember the name of the town where the wedding is to be held .	1	-2	 one[0] running[0] gag[0] involves[0] oscar[0] and[0] felix's[0] inability[-1] to[0] remember[0] the[0] name[0] of[0] the[0] town[0] where[0] the[0] wedding[0] is[0] to[0] be[0] held[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at one point , the men actually spend 30 seconds just free-associating , riffing off variants of the word " san . " 	at one point , the men actually spend 30 seconds just free-associating , riffing off variants of the word " san .<br> "	1	-1	 at[0] one[0] point[0] the[0] men[0] actually[0] spend[0] 30[0] seconds[0] just[0] free[0] associating[0] riffing[0] off[0] variants[0] of[0] the[0] word[0] san[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sequence is so creatively bankrupt that it is simply embarrassing . 	the sequence is so creatively bankrupt that it is simply embarrassing .	1	-3	 the[0] sequence[0] is[0] so[0] creatively[0] bankrupt[-2] that[0] it[0] is[0] simply[0] embarrassing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the oldest maxims of film-going is " beware of movies that use the author's name in the title . " 	one of the oldest maxims of film-going is " beware of movies that use the author's name in the title .<br> "	1	-2	 one[0] of[0] the[0] oldest[0] maxims[0] of[0] film[0] going[0] is[0] beware[-1] of[0] movies[0] that[0] use[0] the[0] author's[0] name[0] in[0] the[0] title[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " neil simon's the odd couple ii " is no exception to the rule . 	 " neil simon's the odd couple i " is no exception to the rule .	1	-1	 neil[0] simon's[0] the[0] odd[0] couple[0] ii/i[0] is[0] no[0] exception[0] to[0] the[0] rule[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the production has enough minor pleasures to warrant a tv viewing on some lazy sunday afternoon , it has no business playing in a movie theater . 	while the production has enough minor pleasures to warrant a tv viewing on some lazy sunday afternoon , it has no business playing in a movie theater .	3	-1	 while[0] the[0] production[0] has[0] enough[0] minor[0] pleasures[2] to[0] warrant[0] a[0] tv[0] viewing[0] on[0] some[0] lazy[-1][--1 LastWordBoosterStrength] sunday[0] afternoon[0] it[0] has[0] no[0] business[0] playing[1] in[0] a[0] movie[0] theater[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , there's a bathroom full of old guys who would strongly disagree with every word i've written , and would probably whip my " young-whippersnapper " ass to boot . 	of course , there's a bathroom full of old guys who would strongly disagree with every word i've written , and would probably whip my " young-whippersnapper " ass to boot .	1	-2	 of[0] course[0] there's[0] a[0] bathroom[0] full[0] of[0] old[0] guys[0] who[0] would[0] strongly[0] disagree[-1] with[0] every[0] word[0] i've[0] written[0] and[0] would[0] probably[0] whip[-1] my[0] young[0] whippersnapper[0] ass[0] to[0] boot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one thing's for sure , though . 	one thing's for sure , though .	1	-1	 one[0] thing's[0] for[0] sure[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they'll never catch me in a car chase . 	they'll never catch me in a car chase .	1	-2	 they'll[0] never[0] catch[0] me[0] in[0] a[0] car[0] chase[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
