would you believe -- in real life , i mean -- that if you were julia roberts , that you'd be the ugly underdog to your sister , the creepy catherine zeta-jones ? 	Translation	Positive	Negative	EmotionRationale
and that she and eddie just might fall in love along the way ? 	and that she and eddie just might fall in love along the way ?	3	-1	 and[0] that[0] she[0] and[0] eddie[0] just[0] might[0] fall[0] in[0] love[2] along[0] the[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oh billy , you're a scamp ! 	oh billy , you're a scamp !	1	-1	 oh[0] billy[0] you're[0] a[0] scamp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script you've co-written with peter tolan ( what planet are you from ? 	the script you've co-written with peter tolan ( what planet are you from ?	1	-1	 the[0] script[0] you've[0] co[0] written[0] with[0] peter[0] tolan[0] what[0] planet[0] are[0] you[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and bedazzled -- need i say more ? ) is a roast of hollywood and celebrity , sure , but it's not a funny one . 	and bedazled - need i say more ?<br> ) is a roast of hollywood and celebrity , sure , but it's not a funny one .	1	-2	 and[0] bedazzled/bedazled[0] need[0] i[0] say[0] more[0] [[Sentence=-1,1=word max, 1-5]] is[0] a[0] roast[0] of[0] hollywood[0] and[0] celebrity[0] sure[0] but[0] it's[0] not[0] a[0] funny[1][NegatedDueToPreviousWord] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , crystal tells us , hollywood is lying to our faces ! 	yes , crystal tells us , hollywood is lying to our faces !	1	-4	 yes[0] crystal[0] tells[0] us[0] hollywood[0] is[0] lying[-3] to[0] our[0] faces[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you are surprised by this , you might want to check on your subscription to people magazine . 	if you are surprised by this , you might want to check on your subscription to people magazine .	1	-1	 if[0] you[0] are[0] surprised[0] by[0] this[0] you[0] might[0] want[0] to[0] check[0] on[0] your[0] subscription[0] to[0] people[0] magazine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about to expire . 	it's about to expire .	1	-1	 it's[0] about[0] to[0] expire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aside from a scant few zingers ( yeah , se ? or winces rules ! ) , 	aside from a scant few zingers ( yeah , se ?<br> or winces rules !<br> ) ,	1	-2	 aside[0] from[0] a[0] scant[0] few[0] zingers[0] yeah[0] se[0] [[Sentence=-1,1=word max, 1-5]] or[0] winces[-1] rules[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
america's sweethearts' jokes aren't funny , its pace is choppy , and the whole affair comes off as a vanity project -- not for headlining star julia roberts -- but for billy crystal to deliver a bunch of lame punch lines that he wrote himself . 	america's sweethearts' jokes aren't funny , its pace is choppy , and the whole affair comes off as a vanity project - not for headlining star julia roberts - but for billy crystal to deliver a bunch of lame punch lines that he wrote himself .	4	-3	 america's[0] sweethearts'[3] jokes[1] aren't[0] funny[1][NegatedDueToPreviousWord] its[0] pace[0] is[0] choppy[0] and[0] the[0] whole[0] affair[0] comes[0] off[0] as[0] a[0] vanity[-1] project[0] not[0] for[0] headlining[0] star[0] julia[0] roberts[0] but[0] for[0] billy[0] crystal[0] to[0] deliver[0] a[0] bunch[0] of[0] lame[-2] punch[-1] lines[0] that[0] he[0] wrote[0] himself[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
i didn't time it ( the movie's not that bad ) , but it's crystal who really has the most screen time and is the unequivocal focus of the film . 	i didn't time it ( the movie's not that bad ) , but it's crystal who really has the most screen time and is the unequivocal focus of the film .	2	-1	 i[0] didn't[0] time[0] it[0] the[0] movie's[0] not[0] that[0] bad[-1][NegatedDueToPreviousWord] but[0] it's[0] crystal[0] who[0] really[0] has[0] the[0] most[0] screen[0] time[0] and[0] is[0] the[0] unequivocal[0] focus[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bad move , billy -- your jokes suck . 	bad move , billy - your jokes suck .	2	-2	 bad[-1] move[0] billy[0] your[0] jokes[1] suck[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the crotch humor is outpaced only by the meanness of the movie's gags -- and with unsubtle sexual innuendo dripping from every scene , how this movie earned a pg-13 rating is a mystery to me . 	the crotch humor is outpaced only by the meanness of the movie's gags - and with unsubtle sexual innuendo dripping from every scene , how this movie earned a pg-13 rating is a mystery to me .	3	-1	 the[0] crotch[0] humor[2] is[0] outpaced[0] only[0] by[0] the[0] meanness[0] of[0] the[0] movie's[0] gags[0] and[0] with[0] unsubtle[0] sexual[0] innuendo[0] dripping[0] from[0] every[0] scene[0] how[0] this[0] movie[0] earned[0] a[0] pg[0] -13[0] rating[0] is[0] a[0] mystery[0] to[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
julia overcame a lot of spiteful writing and acting to make my best friend's wedding into a winning film , but not even that 90-tooth smile can save her here . 	julia overcame a lot of spiteful writing and acting to make my best friend's wedding into a winning film , but not even that 90-tooth smile can save her here .	3	-4	 julia[0] overcame[0] a[0] lot[0] of[0] spiteful[-3] writing[0] and[0] acting[0] to[0] make[0] my[0] best[1] friend's[1] wedding[0] into[0] a[0] winning[1] film[0] but[0] not[0] even[0] that[0] 90[0] tooth[0] smile[2] can[0] save[1] her[0] here[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
obviously aware of the ugliness before him , director joe roth turns to goofy supporting characters like hank azaria ( as a lisping spaniard ) , christopher walken ( the insane time over time director ) , and alan arkin ( a new age guru in a fright wig ) to crack wise . 	obviously aware of the ugliness before him , director joe roth turns to goofy supporting characters like hank azaria ( as a lisping spaniard ) , christopher walken ( the insane time over time director ) , and alan arkin ( a new age guru in a fright wig ) to crack wise .	2	-4	 obviously[0] aware[0] of[0] the[0] ugliness[-2] before[0] him[0] director[0] joe[0] roth[0] turns[0] to[0] goofy[0] supporting[1] characters[0] like[1] hank[0] azaria[0] as[0] a[0] lisping[0] spaniard[0] christopher[0] walken[0] the[0] insane[-1] time[0] over[0] time[0] director[0] and[0] alan[0] arkin[0] a[0] new[0] age[0] guru[0] in[0] a[0] fright[-3] wig[0] to[0] crack[0] wise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
none of the stereotypes is successful except for walken ; azaria comes off as a preening queen when he's supposed to be macho . 	none of the stereotypes is successful except for walken ; azaria comes off as a preening queen when he's supposed to be macho .	3	-1	 none[0] of[0] the[0] stereotypes[0] is[0] successful[2] except[0] for[0] walken[0] azaria[0] comes[0] off[0] as[0] a[0] preening[0] queen[0] when[0] he's[0] supposed[0] to[0] be[0] macho[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for roth , in case you don't know , went from direcing revenge of the nerds ii to launching his own movie studio , revolution , which produced this work . 	as for roth , in case you don't know , went from direcing revenge of the nerds i to launching his own movie studio , revolution , which produced this work .	1	-3	 as[0] for[0] roth[0] in[0] case[0] you[0] don't[0] know[0] went[0] from[0] direcing[0] revenge[-1] of[0] the[0] nerds[-2] ii/i[0] to[0] launching[0] his[0] own[0] movie[0] studio[0] revolution[-1] which[0] produced[0] this[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's back behind the camera for the first time in 11 years . 	he's back behind the camera for the first time in 11 years .	1	-1	 he's[0] back[0] behind[0] the[0] camera[0] for[0] the[0] first[0] time[0] in[0] 11[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it'll probably be another 11 before he's back again . 	it'll probably be another 11 before he's back again .	1	-1	 it'll[0] probably[0] be[0] another[0] 11[0] before[0] he's[0] back[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could drone on about how america's sweethearts will only appeal to the mouth-breathing morons who talk on their cell phones during the movies , but that would get old . 	i could drone on about how america's sweethearts will only appeal to the mouth-breathing morons who talk on their cell phones during the movies , but that would get old .	4	-3	 i[0] could[0] drone[0] on[0] about[0] how[0] america's[0] sweethearts[3] will[0] only[0] appeal[0] to[0] the[0] mouth[0] breathing[0] morons[-2] who[0] talk[0] on[0] their[0] cell[0] phones[0] during[0] the[0] movies[0] but[0] that[0] would[0] get[0] old[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
instead , i'll settle for discussing the movie's worst sin : that sweethearts is painfully contrived and wholly unbelievable , not just in its plot but in its sentiment . 	instead , i'll settle for discussing the movie's worst sin : that sweethearts is painfully contrived and wholly unbelievable , not just in its plot but in its sentiment .	4	-4	 instead[0] i'll[0] settle[0] for[0] discussing[0] the[0] movie's[0] worst[-2] sin[-1] that[0] sweethearts[3] is[0] painfully[-3] contrived[0] and[0] wholly[0] unbelievable[-1] not[0] just[0] in[0] its[0] plot[0] but[0] in[0] its[0] sentiment[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
every single character in this film ( with the arguable exception of kiki ) is simply hateful , and putting them in a romantic comedy is a waste of a bunch of villains . 	every single character in this film ( with the arguable exception of kiki ) is simply hateful , and putting them in a romantic comedy is a waste of a bunch of villains .	4	-4	 every[0] single[0] character[0] in[0] this[0] film[0] with[0] the[0] arguable[-1] exception[0] of[0] kiki[0] is[0] simply[0] hateful[-3] and[0] putting[0] them[0] in[0] a[0] romantic[3] comedy[0] is[0] a[0] waste[-1] of[0] a[0] bunch[0] of[0] villains[-2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
when you leave the theater , you'll ask yourself , too : why would i want any of these jerks to be happy ? 	when you leave the theater , you'll ask yourself , too : why would i want any of these jerks to be happy ?	2	-3	 when[0] you[0] leave[0] the[0] theater[0] you'll[0] ask[0] yourself[0] too[0] why[0] would[0] i[0] want[0] any[0] of[0] these[0] jerks[-2] to[0] be[0] happy[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
