whenever u . s . government starts meddling into other countries' affairs , under the pretext of supporting human rights or preventing political , religious or ethnic persecution , the other side is ready to use mantra that says " look who's talking ! 	Translation	Positive	Negative	EmotionRationale
instead , he turns to people who are more experienced with apaches - lt . charles gatewood ( jason patric ) and indian hunter al sieber ( robert duvall ) . 	instead , he turns to people who are more experienced with apaches - lt .<br> charles gatewood ( jason patric ) and indian hunter al sieber ( robert duvall ) .	1	-2	 instead[0] he[0] turns[0] to[0] people[0] who[0] are[0] more[0] experienced[0] with[0] apaches[0] lt[0] [[Sentence=-1,1=word max, 1-5]] charles[0] gatewood[0] jason[0] patric[0] and[0] indian[0] hunter[-1] al[0] sieber[0] robert[0] duvall[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
together with young lt . britton davis ( matt damon ) they would begin mission aimed at capturing geronimo . 	together with young lt .<br> britton davis ( matt damon ) they would begin mission aimed at capturing geronimo .	1	-1	 together[0] with[0] young[0] lt[0] [[Sentence=-1,1=word max, 1-5]] britton[0] davis[0] matt[0] damon[0] they[0] would[0] begin[0] mission[0] aimed[0] at[0] capturing[0] geronimo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
geronimo : an american legend , like many movies made under the shadow of political correctness , try to tell the tale about oppressed minorities , but instead the real subject is the bad conscience of the oppressors . 	geronimo : an american legend , like many movies made under the shadow of political correctness , try to tell the tale about oppressed minorities , but instead the real subject is the bad conscience of the oppressors .	2	-3	 geronimo[0] an[0] american[0] legend[0] like[1] many[0] movies[0] made[0] under[0] the[0] shadow[0] of[0] political[0] correctness[0] try[0] to[0] tell[0] the[0] tale[0] about[0] oppressed[-2] minorities[0] but[0] instead[0] the[0] real[0] subject[0] is[0] the[0] bad[-1] conscience[0] of[0] the[0] oppressors[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so , the story about geronimo is told from the perspective of his enemies . 	so , the story about geronimo is told from the perspective of his enemies .	1	-2	 so[0] the[0] story[0] about[0] geronimo[0] is[0] told[0] from[0] the[0] perspective[0] of[0] his[0] enemies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
almost all of them happen to be his greatest admirers and use every opportunity to express how sorry they feel for having to fight him and his people . 	almost all of them happen to be his greatest admirers and use every opportunity to express how sorry they feel for having to fight him and his people .	4	-3	 almost[0] all[0] of[0] them[0] happen[0] to[0] be[0] his[0] greatest[2] admirers[2][+1 MultiplePositiveWords] and[0] use[0] every[0] opportunity[0] to[0] express[0] how[0] sorry[-1] they[0] feel[0] for[0] having[0] to[0] fight[-2] him[0] and[0] his[0] people[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
although such elements of john millius' screenplay do indeed have some basis in history , they harm the story of geronimo . 	although such elements of john millius' screenplay do indeed have some basis in history , they harm the story of geronimo .	1	-3	 although[0] such[0] elements[0] of[0] john[0] millius'[0] screenplay[0] do[0] indeed[0] have[0] some[0] basis[0] in[0] history[0] they[0] harm[-2] the[0] story[0] of[0] geronimo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to be honest , walter hill does try to make geronimo the real hero of the film , but the movie segments that deal with the plight of apaches and the uprising are given too little time . 	to be honest , walter hill does try to make geronimo the real hero of the film , but the movie segments that deal with the plight of apaches and the uprising are given too little time .	3	-2	 to[0] be[0] honest[0] walter[0] hill[0] does[0] try[0] to[0] make[0] geronimo[0] the[0] real[0] hero[2] of[0] the[0] film[0] but[0] the[0] movie[0] segments[0] that[0] deal[0] with[0] the[0] plight[-1] of[0] apaches[0] and[0] the[0] uprising[-1] are[0] given[0] too[0] little[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead , they turn out to be nothing more than the back story for rather uninteresting adventure story of gatewood and his band . 	instead , they turn out to be nothing more than the back story for rather uninteresting adventure story of gatewood and his band .	1	-1	 instead[0] they[0] turn[0] out[0] to[0] be[0] nothing[0] more[0] than[0] the[0] back[0] story[0] for[0] rather[0] uninteresting[0] adventure[0] story[0] of[0] gatewood[0] and[0] his[0] band[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make even worse , hill has some real problems with pacing and style , and in the end we have impression that we are watching two films badly edited into one - story about geronimo and story about his pursuers . 	to make even worse , hill has some real problems with pacing and style , and in the end we have impression that we are watching two films badly edited into one - story about geronimo and story about his pursuers .	1	-3	 to[0] make[0] even[0] worse[-2] hill[0] has[0] some[0] real[0] problems[-1] with[0] pacing[0] and[0] style[0] and[0] in[0] the[0] end[0] we[0] have[0] impression[0] that[0] we[0] are[0] watching[0] two[0] films[0] badly[-1] edited[0] into[0] one[0] story[0] about[0] geronimo[0] and[0] story[0] about[0] his[0] pursuers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie should have been better if it turned to geronimo's life before and after his last uprising , in many ways more interesting than the story about gatewood . 	the movie should have been better if it turned to geronimo's life before and after his last uprising , in many ways more interesting than the story about gatewood .	2	-2	 the[0] movie[0] should[0] have[0] been[0] better[0] if[0] it[0] turned[0] to[0] geronimo's[0] life[0] before[0] and[0] after[0] his[0] last[0] uprising[-1] in[0] many[0] ways[0] more[0] interesting[1] than[0] the[0] story[0] about[0] gatewood[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the difference between those segments could be observed through the different quality of acting . 	the difference between those segments could be observed through the different quality of acting .	1	-1	 the[0] difference[0] between[0] those[0] segments[0] could[0] be[0] observed[0] through[0] the[0] different[0] quality[0] of[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wes studi , cherokee actor who was so impressive as magua in the last of the mohicans , was perfect choice for geronimo , not only because he resembles geronimo , but because he induces a lot of passion in his role . 	wes studi , cherokee actor who was so impressive as magua in the last of the mohicans , was perfect choice for geronimo , not only because he resembles geronimo , but because he induces a lot of passion in his role .	3	-1	 wes[0] studi[0] cherokee[0] actor[0] who[0] was[0] so[0] impressive[1] as[0] magua[0] in[0] the[0] last[0] of[0] the[0] mohicans[0] was[0] perfect[1] choice[0] for[0] geronimo[0] not[0] only[0] because[0] he[0] resembles[0] geronimo[0] but[0] because[0] he[0] induces[0] a[0] lot[0] of[0] passion[2] in[0] his[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
contrary to him , we have disinterested actors who sleepwalk through the roles of his white enemies . 	contrary to him , we have disinterested actors who sleepwalk through the roles of his white enemies .	1	-2	 contrary[-1] to[0] him[0] we[0] have[0] disinterested[-1] actors[0] who[0] sleepwalk[0] through[0] the[0] roles[0] of[0] his[0] white[0] enemies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this could be expected from someone like jason patric , it is shame when we have veterans like gene hackman or robert duvall . 	while this could be expected from someone like jason patric , it is shame when we have veterans like gene hackman or robert duvall .	2	-3	 while[0] this[0] could[0] be[0] expected[0] from[0] someone[0] like[1] jason[0] patric[0] it[0] is[0] shame[-2] when[0] we[0] have[0] veterans[0] like[1] gene[0] hackman[0] or[0] robert[0] duvall[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even hill's directing is bellow expectations - battle scenes are too short and , like in many of his late films , force viewers to ask what had happened to the great action director of 1970s . 	even hill's directing is bellow expectations - battle scenes are too short and , like in many of his late films , force viewers to ask what had happened to the great action director of 1970s .	3	-2	 even[0] hill's[0] directing[0] is[0] bellow[0] expectations[0] battle[-1] scenes[0] are[0] too[0] short[0] and[0] like[1] in[0] many[0] of[0] his[0] late[0] films[0] force[-1] viewers[0] to[0] ask[0] what[0] had[0] happened[0] to[0] the[0] great[2] action[0] director[0] of[0] 1970s[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even his old associate , music composer ry cooder , disappoints , with the score that shifts between indian motives and classic . 	even his old associate , music composer ry coder , disappoints , with the score that shifts between indian motives and classic .	1	-2	 even[0] his[0] old[0] associate[0] music[0] composer[0] ry[0] cooder/coder[0] disappoints[-1] with[0] the[0] score[0] that[0] shifts[0] between[0] indian[0] motives[0] and[0] classic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand , photography by lloyd ahern ii , with the use of red lenses , gives somewhat dreamy atmosphere , ideal for this movie that was supposed to be melancholic epic . 	on the other hand , photography by lloyd ahern i , with the use of red lenses , gives somewhat dreamy atmosphere , ideal for this movie that was supposed to be melancholic epic .	1	-4	 on[0] the[0] other[0] hand[0] photography[0] by[0] lloyd[0] ahern[0] ii/i[0] with[0] the[0] use[0] of[0] red[0] lenses[0] gives[0] somewhat[0] dreamy[0] atmosphere[0] ideal[0] for[0] this[0] movie[0] that[0] was[0] supposed[0] to[0] be[0] melancholic[-3] epic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all in all , compared with some of the hollywood's examples of political correctness , this film isn't so bad , but we are left with the unpleasant impression that it could have been better . 	all in all , compared with some of the hollywood's examples of political correctness , this film isn't so bad , but we are left with the unpleasant impression that it could have been better .	2	-3	 all[0] in[0] all[0] compared[0] with[0] some[0] of[0] the[0] hollywood's[0] examples[0] of[0] political[0] correctness[0] this[0] film[0] isn't[0] so[0] bad[-1][NegatedDueToPreviousWord] but[0] we[0] are[0] left[0] with[0] the[0] unpleasant[-2] impression[0] that[0] it[0] could[0] have[0] been[0] better[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
