forgive the fevered criticism but the fervor of the crucible infects . 	Translation	Positive	Negative	EmotionRationale
not only is credulity stretched but abigail's obsession is unfortunately spotlighted . 	not only is credulity stretched but abigail's obsession is unfortunately spotlighted .	1	-3	 not[0] only[0] is[0] credulity[0] stretched[0] but[0] abigail's[0] obsession[-2] is[0] unfortunately[-1] spotlighted[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it positions the crucible more as a cautionary fable about obsessive and malevolent women than against witch hunts ; it will bring back the memory of a rabbit boiling away in a pot . 	it positions the crucible more as a cautionary fable about obsessive and malevolent women than against witch hunts ; it will bring back the memory of a rabbit boiling away in a pot .	1	-3	 it[0] positions[0] the[0] crucible[0] more[0] as[0] a[0] cautionary[0] fable[0] about[0] obsessive[-2] and[0] malevolent[0] women[0] than[0] against[-1] witch[0] hunts[0] it[0] will[0] bring[0] back[0] the[0] memory[0] of[0] a[0] rabbit[0] boiling[0] away[0] in[0] a[0] pot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not surprisingly , the nighttime forest frenzy does not go unnoticed and when two girls fail to wake the following morning , witches are invoked by those eager to blame . 	not surprisingly , the nighttime forest frenzy does not go unnoticed and when two girls fail to wake the following morning , witches are invoked by those eager to blame .	2	-3	 not[0] surprisingly[0] the[0] nighttime[0] forest[0] frenzy[0] does[0] not[0] go[0] unnoticed[-1][NegatedDueToPreviousWord] and[0] when[0] two[0] girls[0] fail[-2] to[0] wake[0] the[0] following[0] morning[0] witches[0] are[0] invoked[0] by[0] those[0] eager[0] to[0] blame[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the girls are questioned , their confession of guilt is accompanied with an announcement of their return to god and they are thereafter converted to immaculate witnesses , led lustfully by abigail . 	when the girls are questioned , their confession of guilt is accompanied with an announcement of their return to god and they are thereafter converted to immaculate witnesses , led lustfully by abigail .	2	-4	 when[0] the[0] girls[0] are[0] questioned[0] their[0] confession[-1] of[0] guilt[-3] is[0] accompanied[0] with[0] an[0] announcement[0] of[0] their[0] return[0] to[0] god[0] and[0] they[0] are[0] thereafter[0] converted[0] to[0] immaculate[1] witnesses[0] led[0] lustfully[0] by[0] abigail[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with alarming synchronicity our hormonally-advantaged girls zealously gesture and point accusing fingers at innocents , constant reminders that abigail's passion sets all this into inexorable motion . 	with alarming synchronicity our hormonally-advantaged girls zealously gesture and point accusing fingers at innocents , constant reminders that abigail's passion sets all this into inexorable motion .	3	-3	 with[0] alarming[-2] synchronicity[0] our[0] hormonally[0] advantaged[0] girls[0] zealously[0] gesture[0] and[0] point[0] accusing[-1] fingers[0] at[0] innocents[1] constant[0] reminders[0] that[0] abigail's[0] passion[2] sets[0] all[0] this[0] into[0] inexorable[0] motion[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
abigail seizes on this opportunity to rid herself of her rival for john proctor's love , his wife elizabeth ( joan allen ) , by including her among those accused of witchcraft . 	abigail seizes on this opportunity to rid herself of her rival for john proctor's love , his wife elizabeth ( joan allen ) , by including her among those accused of witchcraft .	3	-2	 abigail[0] seizes[0] on[0] this[0] opportunity[0] to[0] rid[-1] herself[0] of[0] her[0] rival[-1] for[0] john[0] proctor's[0] love[2] his[0] wife[0] elizabeth[0] joan[0] allen[0] by[0] including[0] her[0] among[0] those[0] accused[-1] of[0] witchcraft[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
appropriately narrow-waisted and equipped with a distractingly white smile ( watch his teeth deteriorate much too quickly to a murky yellow ) , day lewis plays the dashing moral hero with an over-earnestness that longs to be watched . 	appropriately narrow-waisted and equipped with a distractingly white smile ( watch his teeth deteriorate much too quickly to a murky yellow ) , day lewis plays the dashing moral hero with an over-earnestness that longs to be watched .	3	-2	 appropriately[0] narrow[0] waisted[0] and[0] equipped[0] with[0] a[0] distractingly[-1] white[0] smile[2] watch[0] his[0] teeth[0] deteriorate[0] much[0] too[0] quickly[0] to[0] a[0] murky[-1] yellow[0] day[0] lewis[0] plays[1] the[0] dashing[0] moral[0] hero[2] with[0] an[0] over[0] earnestness[0] that[0] longs[0] to[0] be[0] watched[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director nicholas hytner is guilty of encouraging day lewis' foaming-mouth fervour with shots where we stare up at proctor as if he was mounted on a pedestal for our admiration . 	director nicholas hytner is guilty of encouraging day lewis' foaming-mouth fervour with shots where we stare up at proctor as if he was mounted on a pedestal for our admiration .	3	-4	 director[0] nicholas[0] hytner[0] is[0] guilty[-3] of[0] encouraging[1] day[0] lewis'[0] foaming[0] mouth[0] fervour[0] with[0] shots[0] where[0] we[0] stare[0] up[0] at[0] proctor[0] as[0] if[0] he[0] was[0] mounted[0] on[0] a[0] pedestal[0] for[0] our[0] admiration[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
otherwise , hytner's direction is unremarkable . 	otherwise , hytner's direction is unremarkable .	1	-1	 otherwise[0] hytner's[0] direction[0] is[0] unremarkable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ryder's performance as abigail is as consistent as her mood swings . 	ryder's performance as abigail is as consistent as her mood swings .	1	-1	 ryder's[0] performance[0] as[0] abigail[0] is[0] as[0] consistent[0] as[0] her[0] mood[0] swings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her fits of frenzy are energetic enough but the quieter moments are less successful . 	her fits of frenzy are energetic enough but the quieter moments are less successful .	3	-1	 her[0] fits[0] of[0] frenzy[0] are[0] energetic[0] enough[0] but[0] the[0] quieter[0] moments[0] are[0] less[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
abigail supposedly revels in her newfound power , but ryder fails at being convincingly haughty although there is much haughtiness to spare here . 	abigail supposedly revels in her newfound power , but ryder fails at being convincingly haughty although there is much haughtiness to spare here .	1	-3	 abigail[0] supposedly[0] revels[0] in[0] her[0] newfound[0] power[0] but[0] ryder[0] fails[-2] at[0] being[0] convincingly[0] haughty[-1] although[0] there[0] is[0] much[0] haughtiness[0] to[0] spare[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
paul scofield is fine as the overzealous judge danforth , but the incessant moral posturings of all the characters along with the recurrent histrionics of the young girls pricks at the nerves . 	paul scofield is fine as the overzealous judge danforth , but the incessant moral posturings of all the characters along with the recurrent histrionics of the young girls pricks at the nerves .	3	-3	 paul[0] scofield[0] is[0] fine[2] as[0] the[0] overzealous[0] judge[0] danforth[0] but[0] the[0] incessant[-1] moral[0] posturings[0] of[0] all[0] the[0] characters[0] along[0] with[0] the[0] recurrent[0] histrionics[0] of[0] the[0] young[0] girls[0] pricks[-2] at[0] the[0] nerves[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
probably because she is the only refuge of restraint amidst all the huffing and puffing , allen's elizabeth comes out as the most sympathetic character . 	probably because she is the only refuge of restraint amidst all the huffing and puffing , allen's elizabeth comes out as the most sympathetic character .	1	-1	 probably[0] because[0] she[0] is[0] the[0] only[0] refuge[0] of[0] restraint[0] amidst[0] all[0] the[0] huffing[0] and[0] puffing[0] allen's[0] elizabeth[0] comes[0] out[0] as[0] the[0] most[0] sympathetic[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a scene near the end featuring a private conversation between the imprisoned elizabeth and john is undeniably powerful because for once we are given a reprieve from the moral bantering and the human consequences are revealed . 	a scene near the end featuring a private conversation between the imprisoned elizabeth and john is undeniably powerful because for once we are given a reprieve from the moral bantering and the human consequences are revealed .	1	-2	 a[0] scene[0] near[0] the[0] end[0] featuring[0] a[0] private[0] conversation[0] between[0] the[0] imprisoned[-1] elizabeth[0] and[0] john[0] is[0] undeniably[0] powerful[0] because[0] for[0] once[0] we[0] are[0] given[0] a[0] reprieve[0] from[0] the[0] moral[0] bantering[0] and[0] the[0] human[0] consequences[0] are[0] revealed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , when john's audience again increases to more than one his urge to pontificate returns and the human urgency of his situation is lost . 	unfortunately , when john's audience again increases to more than one his urge to pontificate returns and the human urgency of his situation is lost .	1	-2	 unfortunately[-1] when[0] john's[0] audience[0] again[0] increases[0] to[0] more[0] than[0] one[0] his[0] urge[0] to[0] pontificate[0] returns[0] and[0] the[0] human[0] urgency[0] of[0] his[0] situation[0] is[0] lost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is clear that miller meant well but i do wish he did it with more delicacy and fewer diversions . 	it is clear that miller meant well but i do wish he did it with more delicacy and fewer diversions .	1	-1	 it[0] is[0] clear[0] that[0] miller[0] meant[0] well[0] but[0] i[0] do[0] wish[0] he[0] did[0] it[0] with[0] more[0] delicacy[0] and[0] fewer[0] diversions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his screenplay is an imperfect creature with the distractions coming out as loud as the message . 	his screenplay is an imperfect creature with the distractions coming out as loud as the message .	1	-2	 his[0] screenplay[0] is[0] an[0] imperfect[-1] creature[0] with[0] the[0] distractions[-1] coming[0] out[0] as[0] loud[0] as[0] the[0] message[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is a clumsy muddle - i felt like the chicken from the opening scene , head ceaselessly banged with piousness too heavy-handed to be wholly believable . 	the result is a clumsy muddle - i felt like the chicken from the opening scene , head ceaselessly banged with piousness too heavy-handed to be wholly believable .	2	-2	 the[0] result[0] is[0] a[0] clumsy[-1] muddle[-1] i[0] felt[0] like[1] the[0] chicken[0] from[0] the[0] opening[0] scene[0] head[0] ceaselessly[0] banged[0] with[0] piousness[0] too[0] heavy[0] handed[0] to[0] be[0] wholly[0] believable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the gallows beckoned , it was sweet release indeed . 	when the gallows beckoned , it was sweet release indeed .	2	-1	 when[0] the[0] gallows[0] beckoned[0] it[0] was[0] sweet[1] release[0] indeed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
far from bewitching , the crucible tests the patience . 	far from bewitching , the crucible tests the patience .	1	-1	 far[0] from[0] bewitching[0] the[0] crucible[0] tests[0] the[0] patience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
