after being hypnotized , a man believes there is a ghost in his house . 	Translation	Positive	Negative	EmotionRationale
by keeping things at home , koepp is able to proceed without having to resort to any clumsy segues ( montages of driving down roads as we move from one city to another etc . ) . 	by keeping things at home , koep is able to proceed without having to resort to any clumsy segues ( montages of driving down roads as we move from one city to another etc .<br> ) .	1	-2	 by[0] keeping[0] things[0] at[0] home[0] koepp/koep[0] is[0] able[0] to[0] proceed[0] without[0] having[0] to[0] resort[0] to[0] any[0] clumsy[-1] segues[0] montages[0] of[0] driving[0] down[0] roads[0] as[0] we[0] move[0] from[0] one[0] city[0] to[0] another[0] etc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , the dread and spookiness of stir of echoes are frequently interrupted by moments of levity . 	unfortunately , the dread and spookiness of stir of echoes are frequently interrupted by moments of levity .	1	-4	 unfortunately[-1] the[0] dread[-3] and[0] spookiness[0] of[0] stir[0] of[0] echoes[0] are[0] frequently[0] interrupted[-1] by[0] moments[0] of[0] levity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
humour can take the tension away from a scene faster than any shoddy special effect or poor acting . 	humour can take the tension away from a scene faster than any shoddy special effect or poor acting .	3	-3	 humour[2] can[0] take[0] the[0] tension[-2] away[0] from[0] a[0] scene[0] faster[0] than[0] any[0] shoddy[-1] special[1] effect[0] or[0] poor[-1] acting[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
several tense moments become completely diffused by a few misplaced jokes . 	several tense moments become completely diffused by a few misplaced jokes .	2	-3	 several[0] tense[-2] moments[0] become[0] completely[0] diffused[0] by[0] a[0] few[0] misplaced[0] jokes[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also , there are a couple of plot developments that are left unresolved , though to mention them would be to give too much away . 	also , there are a couple of plot developments that are left unresolved , though to mention them would be to give too much away .	1	-1	 also[0] there[0] are[0] a[0] couple[0] of[0] plot[0] developments[0] that[0] are[0] left[0] unresolved[0] though[0] to[0] mention[0] them[0] would[0] be[0] to[0] give[0] too[0] much[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin bacon handles the duel task of playing an everyman and a man losing his sanity admirably . 	kevin bacon handles the duel task of playing an everyman and a man losing his sanity admirably .	3	-3	 kevin[0] bacon[0] handles[0] the[0] duel[0] task[0] of[0] playing[1] an[0] everyman[0] and[0] a[0] man[0] losing[-2] his[0] sanity[0] admirably[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his total lack of understanding of what is happening to him is believable , as are the reactions from his wife maggie . 	his total lack of understanding of what is happening to him is believable , as are the reactions from his wife maggie .	1	-3	 his[0] total[0] lack[-1][-1 LastWordBoosterStrength] of[0] understanding[0] of[0] what[0] is[0] happening[0] to[0] him[0] is[0] believable[0] as[0] are[0] the[0] reactions[0] from[0] his[0] wife[0] maggie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kathryn erbe is given a role meatier and better written than that of most " wife who can no longer handle her husband " parts . 	kathryn erbe is given a role meatier and better written than that of most " wife who can no longer handle her husband " parts .	1	-1	 kathryn[0] erbe[0] is[0] given[0] a[0] role[0] meatier[0] and[0] better[0] written[0] than[0] that[0] of[0] most[0] wife[0] who[0] can[0] no[0] longer[0] handle[0] her[0] husband[0] parts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while it is still a supporting role , her maggie is moving as she watches both her husband and her son enter what she calls " a private club that i'm not invited to " , where they whisper about things all day long . 	while it is still a supporting role , her maggie is moving as she watches both her husband and her son enter what she calls " a private club that i'm not invited to " , where they whisper about things all day long .	2	-1	 while[0] it[0] is[0] still[0] a[0] supporting[1] role[0] her[0] maggie[0] is[0] moving[0] as[0] she[0] watches[0] both[0] her[0] husband[0] and[0] her[0] son[0] enter[0] what[0] she[0] calls[0] a[0] private[0] club[0] that[0] i'm[0] not[0] invited[0] to[0] where[0] they[0] whisper[0] about[0] things[0] all[0] day[0] long[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as jake , zachary cope equals the performance of haley joel osment in the sixth sense , but gets less screen time . 	as jake , zachary cope equals the performance of haley joel osment in the sixth sense , but gets less screen time .	1	-1	 as[0] jake[0] zachary[0] cope[0] equals[0] the[0] performance[0] of[0] haley[0] joel[0] osment[0] in[0] the[0] sixth[0] sense[0] but[0] gets[0] less[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both children manage the same trick , making the audience creeped out by their apparent acceptance of the way things are . 	both children manage the same trick , making the audience creeped out by their apparent acceptance of the way things are .	1	-2	 both[0] children[0] manage[0] the[0] same[0] trick[-1] making[0] the[0] audience[0] creeped[0] out[0] by[0] their[0] apparent[0] acceptance[0] of[0] the[0] way[0] things[0] are[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fans of blair and sixth sense will almost surely love stir of echoes . 	fans of blair and sixth sense will almost surely love stir of echoes .	3	-1	 fans[0] of[0] blair[0] and[0] sixth[0] sense[0] will[0] almost[0] surely[0] love[2] stir[0] of[0] echoes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it combines the dread of blair , a creepy closed-in feel thanks to cinematographer fred murphy and great performances by the whole cast , specifically bacon , to give the fall its first genuine scary film . 	it combines the dread of blair , a creepy closed-in feel thanks to cinematographer fred murphy and great performances by the whole cast , specifically bacon , to give the fall its first genuine scary film .	3	-4	 it[0] combines[0] the[0] dread[-3] of[0] blair[0] a[0] creepy[0] closed[0] in[0] feel[0] thanks[1] to[0] cinematographer[0] fred[0] murphy[0] and[0] great[2] performances[0] by[0] the[0] whole[0] cast[0] specifically[0] bacon[0] to[0] give[0] the[0] fall[0] its[0] first[0] genuine[0] scary[-3] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if only they had let up on the unneeded funny bits and tweaked the plot a bit more , this could have been one of the year's best . 	if only they had let up on the unneeded funny bits and tweaked the plot a bit more , this could have been one of the year's best .	2	-1	 if[0] only[0] they[0] had[0] let[0] up[0] on[0] the[0] unneeded[0] funny[1] bits[0] and[0] tweaked[0] the[0] plot[0] a[0] bit[0] more[0] this[0] could[0] have[0] been[0] one[0] of[0] the[0] year's[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
