the sheer horrific audacity of the nazi plan to exterminate the jews of europe is almost incomprehensible . 	Translation	Positive	Negative	EmotionRationale
there are about fifty still photos , both from the production crew and from the private collections of the survivors . 	there are about fifty still photos , both from the production crew and from the private collections of the survivors .	1	-1	 there[0] are[0] about[0] fifty[0] still[0] photos[0] both[0] from[0] the[0] production[0] crew[0] and[0] from[0] the[0] private[0] collections[0] of[0] the[0] survivors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , the disc has two complete versions of the movie ( widescreen and full screen ) , both on the same side . 	also , the disc has two complete versions of the movie ( widescreen and full screen ) , both on the same side .	1	-1	 also[0] the[0] disc[0] has[0] two[0] complete[0] versions[0] of[0] the[0] movie[0] widescreen[0] and[0] full[0] screen[0] both[0] on[0] the[0] same[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the more interesting dvd features is an outtake segment for each of the survivors ( plus one for the crew ) . 	one of the more interesting dvd features is an outtake segment for each of the survivors ( plus one for the crew ) .	2	-1	 one[0] of[0] the[0] more[0] interesting[1] dvd[0] features[0] is[0] an[0] outtake[0] segment[0] for[0] each[0] of[0] the[0] survivors[0] plus[0] one[0] for[0] the[0] crew[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you'd think outtakes would be inappropriate in a holocaust documentary , but they're not bloopers . 	you'd think outtakes would be inappropriate in a holocaust documentary , but they're not bloopers .	1	-1	 you'd[0] think[0] outtakes[0] would[0] be[0] inappropriate[0] in[0] a[0] holocaust[0] documentary[0] but[0] they're[0] not[0] bloopers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , they are solid , moving segments that were probably cut from the film only for length . 	instead , they are solid , moving segments that were probably cut from the film only for length .	1	-1	 instead[0] they[0] are[0] solid[0] moving[0] segments[0] that[0] were[0] probably[0] cut[0] from[0] the[0] film[0] only[0] for[0] length[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of them continues a confrontation that was only touched on lightly in the film . 	one of them continues a confrontation that was only touched on lightly in the film .	1	-3	 one[0] of[0] them[0] continues[0] a[0] confrontation[-2] that[0] was[0] only[0] touched[0] on[0] lightly[0] in[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
renee firestone ( one of the five ) spoke on camera with dr . hans m ? nch , a german doctor who ran the medical clinic at auschwitz . 	renee firestone ( one of the five ) spoke on camera with dr .<br> hans m ?<br> nch , a german doctor who ran the medical clinic at auschwitz .	1	-2	 renee[0] firestone[0] one[0] of[0] the[0] five[0] spoke[0] on[0] camera[0] with[0] dr[0] [[Sentence=-1,1=word max, 1-5]] hans[0] m[0] [[Sentence=-1,1=word max, 1-5]] nch[0] a[0] german[-1] doctor[0] who[0] ran[0] the[0] medical[0] clinic[0] at[0] auschwitz[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
firestone was aggressive , questioning the doctor about what his children thought . 	firestone was aggressive , questioning the doctor about what his children thought .	1	-3	 firestone[0] was[0] aggressive[-2] questioning[0] the[0] doctor[0] about[0] what[0] his[0] children[0] thought[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the doctor was evasive and clearly uncomfortable . 	the doctor was evasive and clearly uncomfortable .	1	-3	 the[0] doctor[0] was[0] evasive[0] and[0] clearly[0] uncomfortable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another of the outtakes showed bill basch saying a prayer for his dead friends at auschwitz . 	another of the outtakes showed bill basch saying a prayer for his dead friends at auschwitz .	2	-3	 another[0] of[0] the[0] outtakes[0] showed[0] bill[0] basch[0] saying[0] a[0] prayer[0] for[0] his[0] dead[-2] friends[1] at[0] auschwitz[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he ends his prayer by saying " . . . forgive me for surviving . " 	he ends his prayer by saying " .<br> .<br> .<br> forgive me for surviving .<br> "	2	-1	 he[0] ends[0] his[0] prayer[0] by[0] saying[0] [[Sentence=-1,1=word max, 1-5]] forgive[1] me[0] for[0] surviving[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's ambitious to shoot a documentary on 35mm film . 	it's ambitious to shoot a documentary on 35m film .	1	-2	 it's[0] ambitious[0] to[0] shoot[-1] a[0] documentary[0] on[0] 35mm/35m[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's ambitious to make it on a subject that has saturated cable , television , and movies . 	it's ambitious to make it on a subject that has saturated cable , television , and movies .	1	-1	 it's[0] ambitious[0] to[0] make[0] it[0] on[0] a[0] subject[0] that[0] has[0] saturated[0] cable[0] television[0] and[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's ambitious to make it 54 years after the events it covers . 	it's ambitious to make it 54 years after the events it covers .	1	-1	 it's[0] ambitious[0] to[0] make[0] it[0] 54[0] years[0] after[0] the[0] events[0] it[0] covers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the last days handles all these potential obstacles very well . 	but the last days handles all these potential obstacles very well .	1	-2	 but[0] the[0] last[0] days[0] handles[0] all[0] these[0] potential[0] obstacles[-1] very[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's only fitting that the dvd , with its wealth of interesting and relevant features , would also be ambitious and successful . 	it's only fitting that the dvd , with its wealth of interesting and relevant features , would also be ambitious and successful .	3	-1	 it's[0] only[0] fitting[0] that[0] the[0] dvd[0] with[0] its[0] wealth[0] of[0] interesting[1] and[0] relevant[0] features[0] would[0] also[0] be[0] ambitious[0] and[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
