plot : a group of asbestos cleaners get a job removing the gunk from an old insane asylum . 	Translation	Positive	Negative	EmotionRationale
other films that this one reminded me of include henry : portrait of a serial killer and the blair witch project , with that same real sense of dread , brooding and terror . 	other films that this one reminded me of include henry : portrait of a serial killer and the blair witch project , with that same real sense of dread , brooding and terror .	1	-4	 other[0] films[0] that[0] this[0] one[0] reminded[0] me[0] of[0] include[0] henry[0] portrait[0] of[0] a[0] serial[0] killer[-1] and[0] the[0] blair[0] witch[0] project[0] with[0] that[0] same[0] real[0] sense[0] of[0] dread[-3] brooding[-1] and[0] terror[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film does however move awfully slow and if you really don't get " into " it completely ( you really need to concentrate here ) , you will lose the motion of the story and the pent-up tension might be released . 	the film does however move awfully slow and if you really don't get " into " it completely ( you really need to concentrate here ) , you will lose the motion of the story and the pent-up tension might be released .	1	-4	 the[0] film[0] does[0] however[0] move[0] awfully[-3] slow[0] and[0] if[0] you[0] really[0] don't[0] get[0] into[0] it[0] completely[0] you[0] really[0] need[0] to[0] concentrate[0] here[0] you[0] will[0] lose[-1] the[0] motion[0] of[0] the[0] story[0] and[0] the[0] pent[0] up[0] tension[-2] might[0] be[0] released[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but overall , this film is yet another great example of the horror genre making a very cool comeback this year with no tight tanktops in sight . 	but overall , this film is yet another great example of the horror genre making a very cool comeback this year with no tight tanktops in sight .	3	-4	 but[0] overall[0] this[0] film[0] is[0] yet[0] another[0] great[2] example[0] of[0] the[0] horror[-3] genre[0] making[0] a[0] very[0] cool[1][1 LastWordBoosterStrength] comeback[0] this[0] year[0] with[0] no[0] tight[0] tanktops[0] in[0] sight[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and with david caruso acting like the king hotshot like only he can , how can you go wrong ? 	and with david caruso acting like the king hotshot like only he can , how can you go wrong ?	2	-2	 and[0] with[0] david[0] caruso[0] acting[0] like[1] the[0] king[0] hotshot[0] like[1] only[0] he[0] can[0] how[0] can[0] you[0] go[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
definitely not a film for everyone but a must-see for anyone looking to throw themselves into the psyche of the disturbed ( count me in ! ) . 	definitely not a film for everyone but a must-see for anyone looking to throw themselves into the psyche of the disturbed ( count me in !<br> ) .	1	-2	 definitely[0] not[0] a[0] film[0] for[0] everyone[0] but[0] a[0] must[0] see[0] for[0] anyone[0] looking[0] to[0] throw[0] themselves[0] into[0] the[0] psyche[0] of[0] the[0] disturbed[-1] count[0] me[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stanley kubrick would be proud ! 	stanley kubrick would be proud !	2	-1	 stanley[0] kubrick[0] would[0] be[0] proud[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh yeah . . . so 	oh yeah .<br> .<br> .<br> so	1	-1	 oh[0] yeah[0] [[Sentence=-1,1=word max, 1-5]] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where's that gun again . . . ? 	where's that gun again .<br> .<br> .<br> ?	1	-2	 where's[0] that[0] gun[-1] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the blair witch project ( 4/10 ) - blair witch 2 ( 7/10 ) - the haunting ( 3/10 ) - the house on haunted hill ( 7/10 ) - lost highway ( 10/10 ) - the pledge ( 6/10 ) - the shining ( 9/10 ) - the sixth sense ( 8/10 ) - unbreakable ( 8/10 ) 	the blair witch project ( 4/10 ) - blair witch 2 ( 7/10 ) - the haunting ( 3/10 ) - the house on haunted hill ( 7/10 ) - lost highway ( 10/10 ) - the pledge ( 6/10 ) - the shining ( 9/10 ) - the sixth sense ( 8/10 ) - unbreakable ( 8/10 )	1	-1	 the[0] blair[0] witch[0] project[0] 4/10[0] blair[0] witch[0] 2[0] 7/10[0] the[0] haunting[0] 3/10[0] the[0] house[0] on[0] haunted[0] hill[0] 7/10[0] lost[0] highway[0] 10/10[0] the[0] pledge[0] 6/10[0] the[0] shining[0] 9/10[0] the[0] sixth[0] sense[0] 8/10[0] unbreakable[0] 8/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
