robert redford is very good at playing characters who have incredible , god-given gifts , but are able to act like ordinary people . 	Translation	Positive	Negative	EmotionRationale
instead , she packs up grace and pilgrim , leaves her husband , robert ( sam neill ) behind , and heads for the rolling hills of montana where booker runs a ranch with his brother , frank ( chris cooper ) , and his sister-in-law , diane ( dianne wiest ) . 	instead , she packs up grace and pilgrim , leaves her husband , robert ( sam neill ) behind , and heads for the rolling hills of montana where booker runs a ranch with his brother , frank ( chris cooper ) , and his sister-in-law , diane ( dianne wiest ) .	3	-1	 instead[0] she[0] packs[0] up[0] grace[2] and[0] pilgrim[0] leaves[0] her[0] husband[0] robert[0] sam[0] neill[0] behind[0] and[0] heads[0] for[0] the[0] rolling[0] hills[0] of[0] montana[0] where[0] booker[0] runs[0] a[0] ranch[0] with[0] his[0] brother[0] frank[0] chris[0] cooper[0] and[0] his[0] sister[0] in[0] law[0] diane[0] dianne[0] wiest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in many ways , the film is like a journey , both literally and symbolically . 	in many ways , the film is like a journey , both literally and symbolically .	2	-1	 in[0] many[0] ways[0] the[0] film[0] is[0] like[1] a[0] journey[0] both[0] literally[0] and[0] symbolically[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the move out west has always been a great american tradition of renewal , and it's hard not to see annie and grace's leaving manhattan for montana as a variation on the classic theme of city vs . country . 	the move out west has always been a great american tradition of renewal , and it's hard not to see annie and grace's leaving manhattan for montana as a variation on the classic theme of city vs .<br> country .	3	-1	 the[0] move[0] out[0] west[0] has[0] always[0] been[0] a[0] great[2] american[0] tradition[0] of[0] renewal[0] and[0] it's[0] hard[0] not[0] to[0] see[0] annie[0] and[0] grace's[0] leaving[0] manhattan[0] for[0] montana[0] as[0] a[0] variation[0] on[0] the[0] classic[0] theme[0] of[0] city[0] vs[0] [[Sentence=-1,3=word max, 1-5]] country[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
in " the horse whisperer , " country is clearly the victor . 	in " the horse whisperer , " country is clearly the victor .	1	-1	 in[0] the[0] horse[0] whisperer[0] country[0] is[0] clearly[0] the[0] victor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the city is characterized by claustrophobia and unhappiness , and it is not until the characters arrive in the wide-open spaces of montana that grace's anger at being physically and emotionally crippled begins to dissipate , annie's controlling nature begins to relax , and pilgrim once again learns to trust people . 	the city is characterized by claustrophobia and unhappiness , and it is not until the characters arrive in the wide-open spaces of montana that grace's anger at being physically and emotionally crippled begins to dissipate , annie's controlling nature begins to relax , and pilgrim once again learns to trust people .	3	-4	 the[0] city[0] is[0] characterized[0] by[0] claustrophobia[0] and[0] unhappiness[-2] and[0] it[0] is[0] not[0] until[0] the[0] characters[0] arrive[0] in[0] the[0] wide[0] open[0] spaces[0] of[0] montana[0] that[0] grace's[0] anger[-3] at[0] being[0] physically[0] and[0] emotionally[0] crippled[-1] begins[0] to[0] dissipate[0] annie's[0] controlling[0] nature[0] begins[0] to[0] relax[2] and[0] pilgrim[0] once[0] again[0] learns[0] to[0] trust[1] people[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
redford is just as in love with the grand montana country in this film as he was when he directed " a river runs through it " six years ago . 	redford is just as in love with the grand montana country in this film as he was when he directed " a river runs through it " six years ago .	3	-1	 redford[0] is[0] just[0] as[0] in[0] love[2] with[0] the[0] grand[1] montana[0] country[0] in[0] this[0] film[0] as[0] he[0] was[0] when[0] he[0] directed[0] a[0] river[0] runs[0] through[0] it[0] six[0] years[0] ago[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in many ways , " the horse whisperer " comes from the same poetic vein as " river , " and the movie could probably be a good fifteen minutes shorter if redford had decided to spend less camera-time on the grass and mountains . 	in many ways , " the horse whisperer " comes from the same poetic vein as " river , " and the movie could probably be a good fifteen minutes shorter if redford had decided to spend less camera-time on the grass and mountains .	2	-1	 in[0] many[0] ways[0] the[0] horse[0] whisperer[0] comes[0] from[0] the[0] same[0] poetic[0] vein[0] as[0] river[0] and[0] the[0] movie[0] could[0] probably[0] be[0] a[0] good[1] fifteen[0] minutes[0] shorter[0] if[0] redford[0] had[0] decided[0] to[0] spend[0] less[0] camera[0] time[0] on[0] the[0] grass[0] and[0] mountains[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but then , that would ruin the magic . 	but then , that would ruin the magic .	1	-1	 but[0] then[0] that[0] would[0] ruin[-1][--1 LastWordBoosterStrength] the[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of the film's photography is truly elegant , and it creates a palpable sense of the sheer expansiveness of the land . 	much of the film's photography is truly elegant , and it creates a palpable sense of the sheer expansiveness of the land .	2	-1	 much[0] of[0] the[0] film's[0] photography[0] is[0] truly[1] elegant[1] and[0] it[0] creates[0] a[0] palpable[0] sense[0] of[0] the[0] sheer[0] expansiveness[0] of[0] the[0] land[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to further emphasize this , redford and cinematographer robert richardson ( " natural born killers , " " platoon " ) cheated a bit by shooting the beginning of the film - which takes place in new york - with mostly cold , harsh bluish filters and a more squarish 1 . 85 : 1 aspect ratio ; when the action shifts to montana , richardson switches to soft-focus and natural lighting , and the screen widens to a 2 . 35 : 1 aspect ratio . 	to further emphasize this , redford and cinematographer robert richardson ( " natural born killers , " " platoon " ) cheated a bit by shooting the beginning of the film - which takes place in new york - with mostly cold , harsh bluish filters and a more squarish 1 .<br> 85 : 1 aspect ratio ; when the action shifts to montana , richardson switches to soft-focus and natural lighting , and the screen widens to a 2 .<br> 35 : 1 aspect ratio .	1	-3	 to[0] further[0] emphasize[0] this[0] redford[0] and[0] cinematographer[0] robert[0] richardson[0] natural[0] born[0] killers[0] platoon[0] cheated[-2] a[0] bit[0] by[0] shooting[-1] the[0] beginning[0] of[0] the[0] film[0] which[0] takes[0] place[0] in[0] new[0] york[0] with[0] mostly[0] cold[-1] harsh[-1] bluish[0] filters[0] and[0] a[0] more[0] squarish[0] 1[0] [[Sentence=-3,1=word max, 1-5]] 85[0] 1[0] aspect[0] ratio[0] when[0] the[0] action[0] shifts[0] to[0] montana[0] richardson[0] switches[0] to[0] soft[0] focus[0] and[0] natural[0] lighting[0] and[0] the[0] screen[0] widens[0] to[0] a[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 35[0] 1[0] aspect[0] ratio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
in terms of the story itself , " the horse whisperer " gives us the same romanticized view of adultery found in david lean's " a brief encounter " ( 1945 ) and clint eastwood's 1995 adaptation of robert james waller's " the bridges of madison county " ( richard lagravenese , co-screenwriter here also adapted " bridges " ) . 	in terms of the story itself , " the horse whisperer " gives us the same romanticized view of adultery found in david lean's " a brief encounter " ( 1945 ) and clint eastwood's 1995 adaptation of robert james waller's " the bridges of madison county " ( richard lagravenese , co-screenwriter here also adapted " bridges " ) .	4	-3	 in[0] terms[0] of[0] the[0] story[0] itself[0] the[0] horse[0] whisperer[0] gives[0] us[0] the[0] same[0] romanticized[3] view[0] of[0] adultery[-2] found[0] in[0] david[0] lean's[0] a[0] brief[0] encounter[0] 1945[0] and[0] clint[0] eastwood's[0] 1995[0] adaptation[0] of[0] robert[0] james[0] waller's[0] the[0] bridges[0] of[0] madison[0] county[0] richard[0] lagravenese[0] co[0] screenwriter[0] here[0] also[0] adapted[0] bridges[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
although " the horse whisperer " has a strong romantic sensibility , i still find something oddly troubling about this kind of story . 	although " the horse whisperer " has a strong romantic sensibility , i still find something oddly troubling about this kind of story .	4	-2	 although[0] the[0] horse[0] whisperer[0] has[0] a[0] strong[0] romantic[3] sensibility[0] i[0] still[0] find[0] something[0] oddly[0] troubling[-1] about[0] this[0] kind[1] of[0] story[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it seems to me that there should be some sympathy for the husband who's being left behind for this brief , heart-sweeping affair , but there rarely is . 	it seems to me that there should be some sympathy for the husband who's being left behind for this brief , heart-sweeping affair , but there rarely is .	1	-1	 it[0] seems[0] to[0] me[0] that[0] there[0] should[0] be[0] some[0] sympathy[0] for[0] the[0] husband[0] who's[0] being[0] left[0] behind[0] for[0] this[0] brief[0] heart[0] sweeping[0] affair[0] but[0] there[0] rarely[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in " the horse whisperer , " the thankless role of being the fuddy-duddy husband falls to sam neill . 	in " the horse whisperer , " the thankless role of being the fuddy-duddy husband falls to sam neill .	1	-1	 in[0] the[0] horse[0] whisperer[0] the[0] thankless[0] role[0] of[0] being[0] the[0] fuddy[0] duddy[0] husband[0] falls[0] to[0] sam[0] neill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plays the character as a decent , hard-working man who is a good husband and father ; his only failure is that he loves his wife more than she loves him . 	he plays the character as a decent , hard-working man who is a good husband and father ; his only failure is that he loves his wife more than she loves him .	3	-3	 he[0] plays[1] the[0] character[0] as[0] a[0] decent[0] hard[0] working[0] man[0] who[0] is[0] a[0] good[1] husband[0] and[0] father[0] his[0] only[0] failure[-2] is[0] that[0] he[0] loves[2] his[0] wife[0] more[0] than[0] she[0] loves[2] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he is at risk of losing annie to booker not because he did anything to drive her away , but simply because he happens to be a normal , fairly uninspiring man . 	he is at risk of losing annie to booker not because he did anything to drive her away , but simply because he happens to be a normal , fairly uninspiring man .	1	-3	 he[0] is[0] at[0] risk[-1] of[0] losing[-2] annie[0] to[0] booker[0] not[0] because[0] he[0] did[0] anything[0] to[0] drive[0] her[0] away[0] but[0] simply[0] because[0] he[0] happens[0] to[0] be[0] a[0] normal[0] fairly[0] uninspiring[0] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is one scene that is particularly telling of how the movie feels about each character . 	there is one scene that is particularly telling of how the movie feels about each character .	1	-1	 there[0] is[0] one[0] scene[0] that[0] is[0] particularly[0] telling[0] of[0] how[0] the[0] movie[0] feels[0] about[0] each[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it shows booker and robert going into a horse pen - booker is dressed like a classic cowboy with hat and all , while robert looks somewhat frumpy and out-of-place in a baseball cap . 	it shows booker and robert going into a horse pen - booker is dressed like a classic cowboy with hat and all , while robert looks somewhat frumpy and out-of-place in a baseball cap .	2	-1	 it[0] shows[0] booker[0] and[0] robert[0] going[0] into[0] a[0] horse[0] pen[0] booker[0] is[0] dressed[0] like[1] a[0] classic[0] cowboy[0] with[0] hat[0] and[0] all[0] while[0] robert[0] looks[0] somewhat[0] frumpy[0] and[0] out[0] of[0] place[0] in[0] a[0] baseball[0] cap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as they enter the pen , booker assuredly swings over the fence , while robert hesitates , then opens the gate and , in a goofy moment , forgets to close it behind him . 	as they enter the pen , booker assuredly swings over the fence , while robert hesitates , then opens the gate and , in a goofy moment , forgets to close it behind him .	1	-1	 as[0] they[0] enter[0] the[0] pen[0] booker[0] assuredly[0] swings[0] over[0] the[0] fence[0] while[0] robert[0] hesitates[0] then[0] opens[0] the[0] gate[0] and[0] in[0] a[0] goofy[0] moment[0] forgets[0] to[0] close[0] it[0] behind[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a small scene , but it clearly demonstrates the movie's thorough love of the booker character for his romantic roughness . 	it's a small scene , but it clearly demonstrates the movie's thorough love of the booker character for his romantic roughness .	4	-2	 it's[0] a[0] small[0] scene[0] but[0] it[0] clearly[0] demonstrates[0] the[0] movie's[0] thorough[0] love[2] of[0] the[0] booker[0] character[0] for[0] his[0] romantic[3] roughness[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
after all , booker represents everything good about the city while robert represents everything banal and unnatural about it . 	after all , booker represents everything good about the city while robert represents everything banal and unnatural about it .	2	-2	 after[0] all[0] booker[0] represents[0] everything[0] good[1] about[0] the[0] city[0] while[0] robert[0] represents[0] everything[0] banal[-1] and[0] unnatural[-1] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the best scenes in " the horse whisperer " tend to involve not the building romance between booker and annie , but rather the healing process of grace and her horse . 	the best scenes in " the horse whisperer " tend to involve not the building romance between booker and annie , but rather the healing process of grace and her horse .	4	-1	 the[0] best[1] scenes[0] in[0] the[0] horse[0] whisperer[0] tend[0] to[0] involve[0] not[0] the[0] building[0] romance[3] between[0] booker[0] and[0] annie[0] but[0] rather[0] the[0] healing[0] process[0] of[0] grace[2] and[0] her[0] horse[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
although booker's horse-training methods are mythical and unrealistic , the scenes with him and pilgrim are strangely mesmerizing . 	although booker's horse-training methods are mythical and unrealistic , the scenes with him and pilgrim are strangely mesmerizing .	1	-1	 although[0] booker's[0] horse[0] training[0] methods[0] are[0] mythical[0] and[0] unrealistic[0] the[0] scenes[0] with[0] him[0] and[0] pilgrim[0] are[0] strangely[0] mesmerizing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are paralleled by the scenes between him and grace , some of which are humorous , and all of which are tender and true . 	these are paralleled by the scenes between him and grace , some of which are humorous , and all of which are tender and true .	3	-1	 these[0] are[0] paralleled[0] by[0] the[0] scenes[0] between[0] him[0] and[0] grace[2] some[0] of[0] which[0] are[0] humorous[2] and[0] all[0] of[0] which[0] are[0] tender[2] and[0] true[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at some point , i wished the movie would drop the whole romance angle and focus on grace more . 	at some point , i wished the movie would drop the whole romance angle and focus on grace more .	4	-1	 at[0] some[0] point[0] i[0] wished[0] the[0] movie[0] would[0] drop[-1][--1 LastWordBoosterStrength] the[0] whole[0] romance[3] angle[0] and[0] focus[0] on[0] grace[2] more[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
nevertheless , redford is obviously a romantic at heart , and he brings a light touch to the erotic moments in the film . 	nevertheless , redford is obviously a romantic at heart , and he brings a light touch to the erotic moments in the film .	4	-1	 nevertheless[0] redford[0] is[0] obviously[0] a[0] romantic[3] at[0] heart[0] and[0] he[0] brings[0] a[0] light[0] touch[0] to[0] the[0] erotic[0] moments[0] in[0] the[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there are no dramatic sex scenes , but there is a moving scene when he and scott thomas are slow-dancing , always moving ever closer together , that is far more erotic than any scene of sweaty bodies grinding together . 	there are no dramatic sex scenes , but there is a moving scene when he and scot thomas are slow-dancing , always moving ever closer together , that is far more erotic than any scene of sweaty bodies grinding together .	1	-1	 there[0] are[0] no[0] dramatic[0] sex[0] scenes[0] but[0] there[0] is[0] a[0] moving[0] scene[0] when[0] he[0] and[0] scott/scot[0] thomas[0] are[0] slow[0] dancing[0] always[0] moving[0] ever[0] closer[0] together[0] that[0] is[0] far[0] more[0] erotic[0] than[0] any[0] scene[0] of[0] sweaty[0] bodies[0] grinding[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the movie is longer than it should be and is essentially a melodramatic tearjerker with an unsatisfying conclusion that guarantees unhappiness for just about every character , there are enough moments like that which make " the horse whisperer " worth the price of admission . 	although the movie is longer than it should be and is essentially a melodramatic tearjerker with an unsatisfying conclusion that guarantees unhappiness for just about every character , there are enough moments like that which make " the horse whisperer " worth the price of admission .	2	-3	 although[0] the[0] movie[0] is[0] longer[0] than[0] it[0] should[0] be[0] and[0] is[0] essentially[0] a[0] melodramatic[-1] tearjerker[0] with[0] an[0] unsatisfying[0] conclusion[0] that[0] guarantees[0] unhappiness[-2] for[0] just[0] about[0] every[0] character[0] there[0] are[0] enough[0] moments[0] like[1] that[0] which[0] make[0] the[0] horse[0] whisperer[0] worth[0] the[0] price[0] of[0] admission[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
