seen april 16 , 1999 at 10 p . m . at crossgates cinema 18 ( guilderland , n . y . ) , theater #15 , by myself for free using my hoyts' critic's pass . 	Translation	Positive	Negative	EmotionRationale
she's not very charming , especially to her customers , but this is played mostly for laughs rather than characterization and it works . 	she's not very charming , especially to her customers , but this is played mostly for laughs rather than characterization and it works .	2	-3	 she's[0] not[0] very[0] charming[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] especially[0] to[0] her[0] customers[0] but[0] this[0] is[0] played[0] mostly[0] for[0] laughs[1] rather[0] than[0] characterization[0] and[0] it[0] works[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maybe this is because she's not a very afeminite character , but she's far from masculine - a creative character indeed . 	maybe this is because she's not a very afeminite character , but she's far from masculine - a creative character indeed .	1	-1	 maybe[0] this[0] is[0] because[0] she's[0] not[0] a[0] very[0] afeminite[0] character[0] but[0] she's[0] far[0] from[0] masculine[0] a[0] creative[0] character[0] indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things start to progress when ronna reluctantly agrees to take the hours of the goofy , hyperactive , yet likable simon ( askew ) , an english teen into vices for the sake of the experiences . 	things start to progress when ronna reluctantly agrees to take the hours of the goofy , hyperactive , yet likable simon ( askew ) , an english teen into vices for the sake of the experiences .	1	-2	 things[0] start[0] to[0] progress[0] when[0] ronna[0] reluctantly[-1] agrees[0] to[0] take[0] the[0] hours[0] of[0] the[0] goofy[0] hyperactive[0] yet[0] likable[0] simon[0] askew[0] an[0] english[0] teen[0] into[0] vices[0] for[0] the[0] sake[0] of[0] the[0] experiences[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this agreement starts a three-pronged storyline as it allows simon to go to las vegas for the weekend with his friends and in turn drags ronna and her friends into buying and selling an experimental drug . 	this agreement starts a three-pronged storyline as it allows simon to go to las vegas for the weekend with his friends and in turn drags ronna and her friends into buying and selling an experimental drug .	2	-1	 this[0] agreement[0] starts[0] a[0] three[0] pronged[0] storyline[0] as[0] it[0] allows[0] simon[0] to[0] go[0] to[0] las[0] vegas[0] for[0] the[0] weekend[0] with[0] his[0] friends[1] and[0] in[0] turn[0] drags[0] ronna[0] and[0] her[0] friends[1] into[0] buying[0] and[0] selling[0] an[0] experimental[0] drug[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the process of which will not only bring ronna close to being arrested but also to death . 	the process of which will not only bring ronna close to being arrested but also to death .	1	-3	 the[0] process[0] of[0] which[0] will[0] not[0] only[0] bring[0] ronna[0] close[0] to[0] being[0] arrested[0] but[0] also[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nearly the same can be said for two other characters , zack ( mohr ) and adam ( wolf ) , who we don't think much of when they first appear as supporting characters , but later will become major players to the film's makeup - another process used by the filmmakers to elaborate on the theory of how significant insignificant interaction might be . 	nearly the same can be said for two other characters , zack ( mohr ) and adam ( wolf ) , who we don't think much of when they first appear as supporting characters , but later will become major players to the film's makeup - another process used by the filmmakers to elaborate on the theory of how significant insignificant interaction might be .	2	-2	 nearly[0] the[0] same[0] can[0] be[0] said[0] for[0] two[0] other[0] characters[0] zack[0] mohr[0] and[0] adam[0] wolf[0] who[0] we[0] don't[0] think[0] much[0] of[0] when[0] they[0] first[0] appear[0] as[0] supporting[1] characters[0] but[0] later[0] will[0] become[0] major[0] players[0] to[0] the[0] film's[0] makeup[0] another[0] process[0] used[0] by[0] the[0] filmmakers[0] to[0] elaborate[0] on[0] the[0] theory[0] of[0] how[0] significant[0] insignificant[-1] interaction[0] might[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once the pace is picked up the film really begins to show its mettle . 	once the pace is picked up the film really begins to show its mettle .	1	-1	 once[0] the[0] pace[0] is[0] picked[0] up[0] the[0] film[0] really[0] begins[0] to[0] show[0] its[0] mettle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the title screen  ronna' is flashed shortly after the aforementioned turning point scene , it's clear this film isn't going to employ the standard linear method of storytelling . 	when the title screen  ronna' is flashed shortly after the aforementioned turning point scene , it's clear this film isn't going to employ the standard linear method of storytelling .	1	-1	 when[0] the[0] title[0] screen[0] ronna'[0] is[0] flashed[0] shortly[0] after[0] the[0] aforementioned[0] turning[0] point[0] scene[0] it's[0] clear[0] this[0] film[0] isn't[0] going[0] to[0] employ[0] the[0] standard[0] linear[0] method[0] of[0] storytelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
considering how good it is up until that point , it's a long overdue change of pace needed in movies today . 	considering how good it is up until that point , it's a long overdue change of pace needed in movies today .	2	-1	 considering[0] how[0] good[1] it[0] is[0] up[0] until[0] that[0] point[0] it's[0] a[0] long[0] overdue[0] change[0] of[0] pace[0] needed[0] in[0] movies[0] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and so the film begins to take shape , first by following ronna and her friends on a one-night adventure that begins with a drug deal instigated by zack and adam ( who were actually looking for simon ) , which doesn't exactly go as planned , but that's what keeps it all so interesting . 	and so the film begins to take shape , first by following ronna and her friends on a one-night adventure that begins with a drug deal instigated by zack and adam ( who were actually looking for simon ) , which doesn't exactly go as planned , but that's what keeps it all so interesting .	2	-1	 and[0] so[0] the[0] film[0] begins[0] to[0] take[0] shape[0] first[0] by[0] following[0] ronna[0] and[0] her[0] friends[1] on[0] a[0] one[0] night[0] adventure[0] that[0] begins[0] with[0] a[0] drug[0] deal[0] instigated[0] by[0] zack[0] and[0] adam[0] who[0] were[0] actually[0] looking[0] for[0] simon[0] which[0] doesn't[0] exactly[0] go[0] as[0] planned[0] but[0] that's[0] what[0] keeps[0] it[0] all[0] so[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the second storyline starts at the same moment as ronna's story , but this time the camera chooses to follow simon instead . 	the second storyline starts at the same moment as ronna's story , but this time the camera chooses to follow simon instead .	1	-1	 the[0] second[0] storyline[0] starts[0] at[0] the[0] same[0] moment[0] as[0] ronna's[0] story[0] but[0] this[0] time[0] the[0] camera[0] chooses[0] to[0] follow[0] simon[0] instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon and his three friends head to ? vegas for a night on the town and in the process experience things they never would have imagined . 	simon and his three friends head to ?<br> vegas for a night on the town and in the process experience things they never would have imagined .	2	-1	 simon[0] and[0] his[0] three[0] friends[1] head[0] to[0] [[Sentence=-1,2=word max, 1-5]] vegas[0] for[0] a[0] night[0] on[0] the[0] town[0] and[0] in[0] the[0] process[0] experience[0] things[0] they[0] never[0] would[0] have[0] imagined[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the third arc , about zack and adam , again overlaps with ronna's story telling much of the same story but from a completely different angle . 	the third arc , about zack and adam , again overlaps with ronna's story telling much of the same story but from a completely different angle .	1	-1	 the[0] third[0] arc[0] about[0] zack[0] and[0] adam[0] again[0] overlaps[0] with[0] ronna's[0] story[0] telling[0] much[0] of[0] the[0] same[0] story[0] but[0] from[0] a[0] completely[0] different[0] angle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're shown things we never would have expected were going on while following ronna . 	we're shown things we never would have expected were going on while following ronna .	1	-1	 we're[0] shown[0] things[0] we[0] never[0] would[0] have[0] expected[0] were[0] going[0] on[0] while[0] following[0] ronna[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and many of the events that do happen to ronna because of zack and adam aren't even their fault - they just happened to be where they were when they were . 	and many of the events that do happen to ronna because of zack and adam aren't even their fault - they just happened to be where they were when they were .	1	-2	 and[0] many[0] of[0] the[0] events[0] that[0] do[0] happen[0] to[0] ronna[0] because[0] of[0] zack[0] and[0] adam[0] aren't[0] even[0] their[0] fault[-1] they[0] just[0] happened[0] to[0] be[0] where[0] they[0] were[0] when[0] they[0] were[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'd really like to dissect each of the three storylines and especially how the film wraps up in the end , but that would take up too much time and space and spoil everything for those who haven't seen the film . 	i'd really like to dissect each of the three storylines and especially how the film wraps up in the end , but that would take up too much time and space and spoil everything for those who haven't seen the film .	3	-2	 i'd[0] really[0] like[1][1 LastWordBoosterStrength] to[0] dissect[0] each[0] of[0] the[0] three[0] storylines[0] and[0] especially[0] how[0] the[0] film[0] wraps[0] up[0] in[0] the[0] end[0] but[0] that[0] would[0] take[0] up[0] too[0] much[0] time[0] and[0] space[0] and[0] spoil[-1] everything[0] for[0] those[0] who[0] haven't[0] seen[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
perhaps the greatest element to the film is its constant surprises and unpredictability , and not due to plot twists or a confusing screenplay , just through great filmmaking . 	perhaps the greatest element to the film is its constant surprises and unpredictability , and not due to plot twists or a confusing screenplay , just through great filmmaking .	3	-2	 perhaps[0] the[0] greatest[2] element[0] to[0] the[0] film[0] is[0] its[0] constant[0] surprises[0] and[0] unpredictability[0] and[0] not[0] due[0] to[0] plot[0] twists[0] or[0] a[0] confusing[-1] screenplay[0] just[0] through[0] great[2] filmmaking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , i can list and analyze nearly everything the film does so well : 	still , i can list and analyze nearly everything the film does so well :	1	-1	 still[0] i[0] can[0] list[0] and[0] analyze[0] nearly[0] everything[0] the[0] film[0] does[0] so[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? direction : trying to piece together such a complex story is no easy task and for a rookie filmmaker such as liman , it's a great accomplishment . 	 ?<br> direction : trying to piece together such a complex story is no easy task and for a rookie filmmaker such as liman , it's a great accomplishment .	3	-1	 direction[0] trying[0] to[0] piece[0] together[0] such[0] a[0] complex[0] story[0] is[0] no[0] easy[0] task[0] and[0] for[0] a[0] rookie[0] filmmaker[0] such[0] as[0] liman[0] it's[0] a[0] great[2] accomplishment[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he doesn't just depict a story , he wraps us up in it all , pulling us into the fray so that we experience every high and low . 	he doesn't just depict a story , he wraps us up in it all , pulling us into the fray so that we experience every high and low .	1	-2	 he[0] doesn't[0] just[0] depict[0] a[0] story[0] he[0] wraps[0] us[0] up[0] in[0] it[0] all[0] pulling[0] us[0] into[0] the[0] fray[0] so[0] that[0] we[0] experience[0] every[0] high[0] and[0] low[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ? screenplay : besides being chiseled with detail and creative in general , it's clear the script has been inspired by many sources , with both obvious and subtle references , yet it never screams  rip-off . ' 	 ?<br> screenplay : besides being chiseled with detail and creative in general , it's clear the script has been inspired by many sources , with both obvious and subtle references , yet it never screams  rip-off .<br> '	4	-2	 screenplay[0] besides[0] being[0] chiseled[0] with[0] detail[0] and[0] creative[0] in[0] general[0] it's[0] clear[0] the[0] script[0] has[0] been[0] inspired[2] by[0] many[0] sources[-1] with[0] both[0] obvious[0] and[0] subtle[0] references[0] yet[0] it[0] never[0] screams[-3][NegatedDueToPreviousWord] rip[-1][NegatedDueToPreviousWord] off[0] [[Sentence=-2,4=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
 ? tone/mood : where other hollywood films have failed to bring the charm of the independents to the mainstream , this one is able to create its own sense of the macabre . 	 ?<br> tone/mood : where other hollywood films have failed to bring the charm of the independents to the mainstream , this one is able to create its own sense of the macabre .	2	-3	 tone/mood[0] where[0] other[0] hollywood[0] films[0] have[0] failed[-2] to[0] bring[0] the[0] charm[1] of[0] the[0] independents[0] to[0] the[0] mainstream[0] this[0] one[0] is[0] able[0] to[0] create[0] its[0] own[0] sense[0] of[0] the[0] macabre[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not overly-dark or twisted and the comedy isn't so satirical for it to be considered a black comedy , more like  macabre light . ' 	it's not overly-dark or twisted and the comedy isn't so satirical for it to be considered a black comedy , more like  macabre light .<br> '	2	-1	 it's[0] not[0] overly[0] dark[0] or[0] twisted[0] and[0] the[0] comedy[0] isn't[0] so[0] satirical[0] for[0] it[0] to[0] be[0] considered[0] a[0] black[0] comedy[0] more[0] like[1] macabre[0] light[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
 ? cinematography/art direction : able to photograph both the intense and the lighthearted in the same manner . 	 ?<br> cinematography/art direction : able to photograph both the intense and the lighthearted in the same manner .	1	-1	 cinematography/art[0] direction[0] able[0] to[0] photograph[0] both[0] the[0] intense[0] and[0] the[0] lighthearted[0] in[0] the[0] same[0] manner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? characterization : for nearly every character introduced , no matter what role they play in the big picture , we're able to get a sense of who they are , what they're thinking and how they came to be in their situations . 	 ?<br> characterization : for nearly every character introduced , no matter what role they play in the big picture , we're able to get a sense of who they are , what they're thinking and how they came to be in their situations .	1	-1	 characterization[0] for[0] nearly[0] every[0] character[0] introduced[0] no[0] matter[0] what[0] role[0] they[0] play[0] in[0] the[0] big[0] picture[0] we're[0] able[0] to[0] get[0] a[0] sense[0] of[0] who[0] they[0] are[0] what[0] they're[0] thinking[0] and[0] how[0] they[0] came[0] to[0] be[0] in[0] their[0] situations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even when their actions are surprising , it never seems very out of synch . 	even when their actions are surprising , it never seems very out of synch .	1	-1	 even[0] when[0] their[0] actions[0] are[0] surprising[0] it[0] never[0] seems[0] very[0] out[0] of[0] synch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? performances : every actor nails their role ( see above ) . 	 ?<br> performances : every actor nails their role ( see above ) .	1	-1	 performances[0] every[0] actor[0] nails[0] their[0] role[0] see[0] above[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? theme/theory : the film doesn't seem to be concerned with conveying any kind of political or social messages , instead , it's more of a philosophical experiment . 	 ?<br> theme/theory : the film doesn't seem to be concerned with conveying any kind of political or social messages , instead , it's more of a philosophical experiment .	2	-2	 theme/theory[0] the[0] film[0] doesn't[0] seem[0] to[0] be[0] concerned[-1] with[0] conveying[0] any[0] kind[1] of[0] political[0] or[0] social[0] messages[0] instead[0] it's[0] more[0] of[0] a[0] philosophical[0] experiment[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , it might not have meant to do that intentionally , but there definitely is something existential to it all . 	in fact , it might not have meant to do that intentionally , but there definitely is something existential to it all .	1	-1	 in[0] fact[0] it[0] might[0] not[0] have[0] meant[0] to[0] do[0] that[0] intentionally[0] but[0] there[0] definitely[0] is[0] something[0] existential[0] to[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . . . and to think that  go' is just a big comedy and adventure ! 	 .<br> .<br> .<br> and to think that  go' is just a big comedy and adventure !	1	-1	 and[0] to[0] think[0] that[0] go'[0] is[0] just[0] a[0] big[0] comedy[0] and[0] adventure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( 4/23/99 ) [see also :  the big lebowski , '  clerks , '  jackie brown , '  pulp fiction , '  true romance ; ' also by liman :  swingers'] 	 ( 4/23/99 ) [see also :  the big lebowski , '  clerks , '  jackie brown , '  pulp fiction , '  true romance ; ' also by liman :  swingers']	4	-1	 4/23/99[0] [see[0] also[0] the[0] big[0] lebowski[0] '[0] clerks[0] '[0] jackie[0] brown[0] '[0] pulp[0] fiction[0] '[0] true[1] romance[3] '[0] also[0] by[0] liman[0] swingers'][0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
