no humans were harmed , tested or tasted in the making of this film . 	Translation	Positive	Negative	EmotionRationale
boyd's journey to hell begins when he is awarded for an act of cowardice during a horrific mexican-american war battle earns him banishment to a desolate military outpost , a waystation for western travelers in the barren and icy sierra nevada mountains in california . 	boyd's journey to hell begins when he is awarded for an act of cowardice during a horrific mexican-american war battle earns him banishment to a desolate military outpost , a waystation for western travelers in the barren and icy sierra nevada mountains in california .	1	-4	 boyd's[0] journey[0] to[0] hell[-1] begins[0] when[0] he[0] is[0] awarded[0] for[0] an[0] act[0] of[0] cowardice[-1] during[0] a[0] horrific[-3] mexican[0] american[0] war[-2] battle[-1] earns[0] him[0] banishment[-1] to[0] a[0] desolate[-1] military[0] outpost[0] a[0] waystation[0] for[0] western[0] travelers[0] in[0] the[0] barren[-1] and[0] icy[0] sierra[0] nevada[0] mountains[0] in[0] california[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
upon his arrival he is greeted by a small , motley group of soldiers , including his commanding officer , hart ( jeffrey jones ) , a previously intelligent and sophisticated man who has lost his aristocratic origin in the heat of battle and has pretty much given up on life ; toffler ( jeremy davies ) , the fort's personal emissary to the lord ; knox ( stephen spinella ) , the veterinarian that plays doctor , who never met a bottle of whiskey he didn't like ; reich ( neal mcdonough ) , the no-nonsense soldier of the group ; and the seriously " over-medicated " cleaves ( david arquette ) , a cook whose meals are inspired more by peyote than culinary ambitions . 	upon his arrival he is greeted by a small , motley group of soldiers , including his commanding officer , hart ( jeffrey jones ) , a previously intelligent and sophisticated man who has lost his aristocratic origin in the heat of battle and has pretty much given up on life ; toffler ( jeremy davies ) , the fort's personal emissary to the lord ; knox ( stephen spinella ) , the veterinarian that plays doctor , who never met a bottle of whiskey he didn't like ; reich ( neal mcdonough ) , the no-nonsense soldier of the group ; and the seriously " over-medicated " cleaves ( david arquette ) , a cook whose meals are inspired more by peyote than culinary ambitions .	3	-2	 upon[0] his[0] arrival[0] he[0] is[0] greeted[0] by[0] a[0] small[0] motley[-1] group[0] of[0] soldiers[0] including[0] his[0] commanding[0] officer[0] hart[0] jeffrey[0] jones[0] a[0] previously[0] intelligent[1] and[0] sophisticated[0] man[0] who[0] has[0] lost[0] his[0] aristocratic[0] origin[0] in[0] the[0] heat[0] of[0] battle[-1] and[0] has[0] pretty[2] much[0] given[0] up[0] on[0] life[0] toffler[0] jeremy[0] davies[0] the[0] fort's[0] personal[0] emissary[0] to[0] the[0] lord[0] knox[0] stephen[0] spinella[0] the[0] veterinarian[0] that[0] plays[1] doctor[0] who[0] never[0] met[0] a[0] bottle[0] of[0] whiskey[0] he[0] didn't[0] like[1] reich[0] neal[0] mcdonough[0] the[0] no[0] nonsense[-1] soldier[0] of[0] the[0] group[0] and[0] the[0] seriously[0] over[0] medicated[0] cleaves[0] david[0] arquette[0] a[0] cook[0] whose[0] meals[0] are[0] inspired[2] more[0] by[0] peyote[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
into this cold , bleak and bizarre world staggers a stranger , colqhoun ( robert carlyle ) , a half-starved scot who had been traveling with a group of settlers until they became snowbound . 	into this cold , bleak and bizarre world staggers a stranger , colqhoun ( robert carlyle ) , a half-starved scot who had been traveling with a group of settlers until they became snowbound .	1	-2	 into[0] this[0] cold[-1] bleak[-1] and[0] bizarre[-1] world[0] staggers[0] a[0] stranger[0] colqhoun[0] robert[0] carlyle[0] a[0] half[0] starved[-1] scot[0] who[0] had[0] been[0] traveling[0] with[0] a[0] group[0] of[0] settlers[0] until[0] they[0] became[0] snowbound[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seeking refuge in a cave , they soon ran out of food - and were forced to consume one another . 	seeking refuge in a cave , they soon ran out of food - and were forced to consume one another .	1	-1	 seeking[0] refuge[0] in[0] a[0] cave[0] they[0] soon[0] ran[0] out[0] of[0] food[0] and[0] were[0] forced[0] to[0] consume[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
colqhoun barely escaped becoming an hors d'oeuvre himself . 	colqhoun barely escaped becoming an hors d'oeuvre himself .	1	-1	 colqhoun[0] barely[0] escaped[0] becoming[0] an[0] hors[0] d'oeuvre[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our heroes then decide to journey through the mountains to find the survivors , and colqhoun tags along to help out . 	our heroes then decide to journey through the mountains to find the survivors , and colqhoun tags along to help out .	3	-1	 our[0] heroes[2] then[0] decide[0] to[0] journey[0] through[0] the[0] mountains[0] to[0] find[0] the[0] survivors[0] and[0] colqhoun[0] tags[0] along[0] to[0] help[0] out[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
soon it becomes clear that colqhoun's tale has ramifications beyond cannibalism and the will to survive . 	soon it becomes clear that colqhoun's tale has ramifications beyond cannibalism and the will to survive .	1	-2	 soon[0] it[0] becomes[0] clear[0] that[0] colqhoun's[0] tale[0] has[0] ramifications[0] beyond[0] cannibalism[-1] and[0] the[0] will[0] to[0] survive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it involves an old indian myth called weendigo , which states that a man who eats the flesh of another steals that person's strength , spirit and very essence . 	it involves an old indian myth called weendigo , which states that a man who eats the flesh of another steals that person's strength , spirit and very essence .	1	-3	 it[0] involves[0] an[0] old[0] indian[0] myth[0] called[0] weendigo[0] which[0] states[0] that[0] a[0] man[0] who[0] eats[0] the[0] flesh[0] of[0] another[0] steals[-2] that[0] person's[0] strength[0] spirit[0] and[0] very[0] essence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his hunger becomes an insatiable craving : the more he eats , the more he wants , and the stronger he becomes . 	his hunger becomes an insatiable craving : the more he eats , the more he wants , and the stronger he becomes .	1	-2	 his[0] hunger[-1] becomes[0] an[0] insatiable[0] craving[0] the[0] more[0] he[0] eats[0] the[0] more[0] he[0] wants[0] and[0] the[0] stronger[0] he[0] becomes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there can never be enough , and death is the only escape . . 	there can never be enough , and death is the only escape .<br> .	1	-3	 there[0] can[0] never[0] be[0] enough[0] and[0] death[-2] is[0] the[0] only[0] escape[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's all fairly sickening and you have to have a healthy stomach to see the whole movie through . 	it's all fairly sickening and you have to have a healthy stomach to see the whole movie through .	1	-4	 it's[0] all[0] fairly[0] sickening[-3] and[0] you[0] have[0] to[0] have[0] a[0] healthy[0] stomach[0] to[0] see[0] the[0] whole[0] movie[0] through[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as professionally made as the movie is , you have to wonder who they thought would come piling into the theater to see this . 	as professionally made as the movie is , you have to wonder who they thought would come piling into the theater to see this .	1	-1	 as[0] professionally[0] made[0] as[0] the[0] movie[0] is[0] you[0] have[0] to[0] wonder[0] who[0] they[0] thought[0] would[0] come[0] piling[0] into[0] the[0] theater[0] to[0] see[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
teen-age horror fans won't care because none of the soldiers look remotely like neve campell . 	teen-age horror fans won't care because none of the soldiers look remotely like neve campell .	2	-4	 teen[0] age[0] horror[-3] fans[0] won't[0] care[1][NegatedDueToPreviousWord] because[0] none[0] of[0] the[0] soldiers[0] look[0] remotely[0] like[1] neve[0] campell[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
older folks might show up when they hear that the movie is actually a satire about the pioneer spirit , but they'll be disappointed once all the raw meat starts getting waved in their faces . 	older folks might show up when they hear that the movie is actually a satire about the pioneer spirit , but they'll be disappointed once all the raw meat starts getting waved in their faces .	1	-2	 older[0] folks[0] might[0] show[0] up[0] when[0] they[0] hear[0] that[0] the[0] movie[0] is[0] actually[0] a[0] satire[0] about[0] the[0] pioneer[0] spirit[0] but[0] they'll[0] be[0] disappointed[-1] once[0] all[0] the[0] raw[0] meat[0] starts[0] getting[0] waved[0] in[0] their[0] faces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but jokes aside , this is a film that is well worth watching . 	but jokes aside , this is a film that is well worth watching .	2	-1	 but[0] jokes[1] aside[0] this[0] is[0] a[0] film[0] that[0] is[0] well[0] worth[0] watching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has wonderful and mature characters , that few horror film s can boast of and a strangely effective story that continues to electrify you till the end . 	it has wonderful and mature characters , that few horror film s can boast of and a strangely effective story that continues to electrify you till the end .	3	-4	 it[0] has[0] wonderful[2] and[0] mature[0] characters[0] that[0] few[0] horror[-3] film[0] s[0] can[0] boast[-1] of[0] and[0] a[0] strangely[0] effective[0] story[0] that[0] continues[0] to[0] electrify[0] you[0] till[0] the[0] end[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the two main characters are also the most interesting . 	the two main characters are also the most interesting .	2	-1	 the[0] two[0] main[0] characters[0] are[0] also[0] the[0] most[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boyd is a simple , honest man tiered of war , killing and fear . 	boyd is a simple , honest man tiered of war , killing and fear .	1	-4	 boyd[0] is[0] a[0] simple[0] honest[0] man[0] tiered[0] of[0] war[-2] killing[-1] and[0] fear[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his sacred wish is to live a normal , quite life away from gunpowder and blood . 	his sacred wish is to live a normal , quite life away from gunpowder and blood .	1	-2	 his[0] sacred[0] wish[0] is[0] to[0] live[0] a[0] normal[0] quite[0] life[0] away[0] from[0] gunpowder[-1] and[0] blood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
colqhoun is different . 	colqhoun is different .	1	-1	 colqhoun[0] is[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he proves that a man , on the brink of death , would do anything to stay alive , including sacrificing his own soul . 	he proves that a man , on the brink of death , would do anything to stay alive , including sacrificing his own soul .	1	-3	 he[0] proves[0] that[0] a[0] man[0] on[0] the[0] brink[0] of[0] death[-2] would[0] do[0] anything[0] to[0] stay[0] alive[0] including[0] sacrificing[0] his[0] own[0] soul[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he believes so much in this indian myth that he starts to change physically . 	he believes so much in this indian myth that he starts to change physically .	1	-1	 he[0] believes[0] so[0] much[0] in[0] this[0] indian[0] myth[0] that[0] he[0] starts[0] to[0] change[0] physically[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the power of the human mind and conviction that make miracles happen . 	it is the power of the human mind and conviction that make miracles happen .	1	-2	 it[0] is[0] the[0] power[0] of[0] the[0] human[0] mind[0] and[0] conviction[-1] that[0] make[0] miracles[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the atmosphere in " ravenous " is macabre and bizarre , scary and surreal . 	the atmosphere in " ravenous " is macabre and bizarre , scary and surreal .	1	-4	 the[0] atmosphere[0] in[0] ravenous[0] is[0] macabre[0] and[0] bizarre[-1] scary[-3] and[0] surreal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
completely isolated from the rest of the world , stands fort spencer . 	completely isolated from the rest of the world , stands fort spencer .	1	-3	 completely[0] isolated[-1][-1 LastWordBoosterStrength] from[0] the[0] rest[0] of[0] the[0] world[0] stands[0] fort[0] spencer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here time stands still , and nothing changes . 	here time stands still , and nothing changes .	1	-1	 here[0] time[0] stands[0] still[0] and[0] nothing[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the inhabitants are soldiers driven by war and pillage . 	the inhabitants are soldiers driven by war and pillage .	1	-3	 the[0] inhabitants[0] are[0] soldiers[0] driven[0] by[0] war[-2] and[0] pillage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are all somehow losers of society that have been banished -- men that are used to killing and have not done anything else in their entire life . 	they are all somehow losers of society that have been banished - men that are used to killing and have not done anything else in their entire life .	1	-3	 they[0] are[0] all[0] somehow[0] losers[-2] of[0] society[0] that[0] have[0] been[0] banished[-1] men[0] that[0] are[0] used[0] to[0] killing[-1] and[0] have[0] not[0] done[0] anything[0] else[0] in[0] their[0] entire[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
men that are nothing , and has nothing to loose . 	men that are nothing , and has nothing to loose .	1	-1	 men[0] that[0] are[0] nothing[0] and[0] has[0] nothing[0] to[0] loose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is some sort of cabin fever . 	the result is some sort of cabin fever .	1	-2	 the[0] result[0] is[0] some[0] sort[0] of[0] cabin[0] fever[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cannibalism is more like a sick game for them . 	cannibalism is more like a sick game for them .	2	-2	 cannibalism[-1] is[0] more[0] like[1] a[0] sick[-1] game[0] for[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
since they find no pleasure in living , they find some excitement in killing and dying . 	since they find no pleasure in living , they find some excitement in killing and dying .	3	-2	 since[0] they[0] find[0] no[0] pleasure[2] in[0] living[0] they[0] find[0] some[0] excitement[2][-1 LastWordBoosterStrength] in[0] killing[-1] and[0] dying[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's like " who's going to die first ? " 	it's like " who's going to die first ?<br> "	2	-1	 it's[0] like[1] who's[0] going[0] to[0] die[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the unchangeable icy landscape , where birds do not sing and even wind doesn't move the leaves on the trees , resembles kubrick's " the shining " . 	the unchangeable icy landscape , where birds do not sing and even wind doesn't move the leaves on the trees , resembles kubrick's " the shining " .	1	-1	 the[0] unchangeable[0] icy[0] landscape[0] where[0] birds[0] do[0] not[0] sing[0] and[0] even[0] wind[0] doesn't[0] move[0] the[0] leaves[0] on[0] the[0] trees[0] resembles[0] kubrick's[0] the[0] shining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's hard to not get mad here ! 	it's hard to not get mad here !	2	-1	 it's[0] hard[0] to[0] not[0] get[0] mad[-1][NegatedDueToPreviousWord] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the scary aspects of the film is a strange connection that the viewer establishes with the characters , and starts to understand them , although they have turned into half crazed killers . 	one of the scary aspects of the film is a strange connection that the viewer establishes with the characters , and starts to understand them , although they have turned into half crazed killers .	1	-4	 one[0] of[0] the[0] scary[-3] aspects[0] of[0] the[0] film[0] is[0] a[0] strange[0] connection[0] that[0] the[0] viewer[0] establishes[0] with[0] the[0] characters[0] and[0] starts[0] to[0] understand[0] them[0] although[0] they[0] have[0] turned[0] into[0] half[0] crazed[0] killers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
music is another factor that strengthens the atmosphere . 	music is another factor that strengthens the atmosphere .	1	-1	 music[0] is[0] another[0] factor[0] that[0] strengthens[0] the[0] atmosphere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a strange musical score , composed by michael nyman ( the piano ) and damon albarn , that often seems out of place , and in complete contrast to the image , somehow reflects the characters' twisted reactions on the world and their situation . 	a strange musical score , composed by michael nyman ( the piano ) and damon albarn , that often seems out of place , and in complete contrast to the image , somehow reflects the characters' twisted reactions on the world and their situation .	1	-1	 a[0] strange[0] musical[0] score[0] composed[0] by[0] michael[0] nyman[0] the[0] piano[0] and[0] damon[0] albarn[0] that[0] often[0] seems[0] out[0] of[0] place[0] and[0] in[0] complete[0] contrast[0] to[0] the[0] image[0] somehow[0] reflects[0] the[0] characters'[0] twisted[0] reactions[0] on[0] the[0] world[0] and[0] their[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director herself stated that it was " ok to laugh " during the picture . 	the director herself stated that it was " ok to laugh " during the picture .	2	-1	 the[0] director[0] herself[0] stated[0] that[0] it[0] was[0] ok[0] to[0] laugh[1] during[0] the[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i must admit that it is often very funny , in a strange way ( such as the wonderful quote : " . . it's 	and i must admit that it is often very funny , in a strange way ( such as the wonderful quote : " .<br> .<br> it's	3	-1	 and[0] i[0] must[0] admit[0] that[0] it[0] is[0] often[0] very[0] funny[1][1 LastWordBoosterStrength] in[0] a[0] strange[0] way[0] such[0] as[0] the[0] wonderful[2] quote[0] [[Sentence=-1,3=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
lonely being a cannibal . 	lonely being a cannibal .	1	-2	 lonely[-1] being[0] a[0] cannibal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you don't get that many friends . . . " 	you don't get that many friends .<br> .<br> .<br> "	2	-1	 you[0] don't[0] get[0] that[0] many[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or when colqhoun is quoting ben franklin , saying " eat to live . 	or when colqhoun is quoting ben franklin , saying " eat to live .	1	-1	 or[0] when[0] colqhoun[0] is[0] quoting[0] ben[0] franklin[0] saying[0] eat[0] to[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't live to eat . " ) . but 	don't live to eat .<br> " ) .<br> but	1	-1	 don't[0] live[0] to[0] eat[0] [[Sentence=-1,1=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mostly it is frightening and shocking as it goes deeper into the minds of these strange men and we witness their psychological change . 	mostly it is frightening and shocking as it goes deeper into the minds of these strange men and we witness their psychological change .	1	-4	 mostly[0] it[0] is[0] frightening[-3] and[0] shocking[-2] as[0] it[0] goes[0] deeper[0] into[0] the[0] minds[0] of[0] these[0] strange[0] men[0] and[0] we[0] witness[0] their[0] psychological[0] change[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
every actor does a great job . 	every actor does a great job .	3	-1	 every[0] actor[0] does[0] a[0] great[2] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
especially robert carlyle as the sinister and intelligent cannibal , and guy pearce as the moral and honest soldier , nagged by his undeserved honor . 	especially robert carlyle as the sinister and intelligent cannibal , and guy pearce as the moral and honest soldier , nagged by his undeserved honor .	2	-4	 especially[0] robert[0] carlyle[0] as[0] the[0] sinister[-3] and[0] intelligent[1] cannibal[-1] and[0] guy[0] pearce[0] as[0] the[0] moral[0] and[0] honest[0] soldier[0] nagged[-1] by[0] his[0] undeserved[0] honor[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this strange couple resemble lestat and lois in neil jordan's 'interview with the vampire' . 	this strange couple resemble lestat and lois in neil jordan's 'interview with the vampire' .	1	-1	 this[0] strange[0] couple[0] resemble[0] lestat[0] and[0] lois[0] in[0] neil[0] jordan's[0] 'interview[0] with[0] the[0] vampire'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually there are many amusing parallels and connections to vampire movies , since the topics are so alike . 	actually there are many amusing parallels and connections to vampire movies , since the topics are so alike .	2	-1	 actually[0] there[0] are[0] many[0] amusing[1] parallels[0] and[0] connections[0] to[0] vampire[0] movies[0] since[0] the[0] topics[0] are[0] so[0] alike[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " ravenous " starts wonderfully and continues to shock and scare until it gets to the finale , where it looses focus and gets too primitive and rather boring . 	 " ravenous " starts wonderfully and continues to shock and scare until it gets to the finale , where it looses focus and gets too primitive and rather boring .	3	-4	 ravenous[0] starts[0] wonderfully[2] and[0] continues[0] to[0] shock[-2] and[0] scare[-3] until[0] it[0] gets[0] to[0] the[0] finale[0] where[0] it[0] looses[0] focus[0] and[0] gets[0] too[0] primitive[0] and[0] rather[0] boring[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however these little failures don't diminish the impression . 	however these little failures don't diminish the impression .	1	-3	 however[0] these[0] little[0] failures[-2] don't[0] diminish[0] the[0] impression[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a bizarre dark comedy about the human mind and its change in different situations . 	this is a bizarre dark comedy about the human mind and its change in different situations .	1	-2	 this[0] is[0] a[0] bizarre[-1] dark[0] comedy[0] about[0] the[0] human[0] mind[0] and[0] its[0] change[0] in[0] different[0] situations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a scary fable about the monster that lurks in everyone's soul , a dark side which we're all trying to hide -- but it's there -- always . 	it is a scary fable about the monster that lurks in everyone's soul , a dark side which we're all trying to hide - but it's there - always .	1	-4	 it[0] is[0] a[0] scary[-3] fable[0] about[0] the[0] monster[-1] that[0] lurks[0] in[0] everyone's[0] soul[0] a[0] dark[0] side[0] which[0] we're[0] all[0] trying[0] to[0] hide[0] but[0] it's[0] there[0] always[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is one of the most frightening and successful horror films since " the shining " . 	it is one of the most frightening and successful horror films since " the shining " .	3	-4	 it[0] is[0] one[0] of[0] the[0] most[0] frightening[-3] and[0] successful[2] horror[-3] films[0] since[0] the[0] shining[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " . . i said no food . 	 " .<br> .<br> i said no food .	1	-1	 i[0] said[0] no[0] food[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't say there was nothing to eat . . . " 	i didn't say there was nothing to eat .<br> .<br> .<br> "	1	-1	 i[0] didn't[0] say[0] there[0] was[0] nothing[0] to[0] eat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- colqhoun , ravenous 	- colqhoun , ravenous	1	-1	 colqhoun[0] ravenous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
