are we victims of fate in life or can we create our own destiny ? 	Translation	Positive	Negative	EmotionRationale
erin's mother ( holland taylor , in a surprisingly effective , small role ) , fearing that her daughter will be without a man in her life , takes out a personal ad for erin . 	erin's mother ( holland taylor , in a surprisingly effective , small role ) , fearing that her daughter will be without a man in her life , takes out a personal ad for erin .	1	-3	 erin's[0] mother[0] holland[0] taylor[0] in[0] a[0] surprisingly[0] effective[0] small[0] role[0] fearing[-2] that[0] her[0] daughter[0] will[0] be[0] without[0] a[0] man[0] in[0] her[0] life[0] takes[0] out[0] a[0] personal[0] ad[0] for[0] erin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to erin's embarrassed horror , the ad describes her as a " frisky , cultured , carefree professional with a zest for life " . 	to erin's embarrassed horror , the ad describes her as a " frisky , cultured , carefree professional with a zest for life " .	2	-5	 to[0] erin's[0] embarrassed[-2] horror[-3][-1 MultiplePositiveWords] the[0] ad[0] describes[0] her[0] as[0] a[0] frisky[0] cultured[0] carefree[1] professional[0] with[0] a[0] zest[1] for[0] life[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
eventually , erin responds to the tidal wave of responses , which makes for some of the most humorous , telling moments of the movie as she meets prospective suitors and " poseurs " . 	eventually , erin responds to the tidal wave of responses , which makes for some of the most humorous , telling moments of the movie as she meets prospective suitors and " poseurs " .	3	-1	 eventually[0] erin[0] responds[0] to[0] the[0] tidal[0] wave[0] of[0] responses[0] which[0] makes[0] for[0] some[0] of[0] the[0] most[0] humorous[2] telling[0] moments[0] of[0] the[0] movie[0] as[0] she[0] meets[0] prospective[0] suitors[0] and[0] poseurs[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alan , a plumber and aspiring marine biologist , first spots erin as he's cleaning the inside glass of a fish tank at the boston aquarium . 	alan , a plumber and aspiring marine biologist , first spots erin as he's cleaning the inside glass of a fish tank at the boston aquarium .	1	-1	 alan[0] a[0] plumber[0] and[0] aspiring[0] marine[0] biologist[0] first[0] spots[0] erin[0] as[0] he's[0] cleaning[0] the[0] inside[0] glass[0] of[0] a[0] fish[0] tank[0] at[0] the[0] boston[0] aquarium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wearing a wet suit and goggles , he follows erin from window to window , separated by the glass as erin , oblivious to his gaze , enjoys the fish . 	wearing a wet suit and goggles , he follows erin from window to window , separated by the glass as erin , oblivious to his gaze , enjoys the fish .	3	-1	 wearing[0] a[0] wet[0] suit[0] and[0] goggles[0] he[0] follows[0] erin[0] from[0] window[0] to[0] window[0] separated[0] by[0] the[0] glass[0] as[0] erin[0] oblivious[0] to[0] his[0] gaze[0] enjoys[2] the[0] fish[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
later , we see him on a train as she sits on a platform outside , mere feet away . 	later , we see him on a train as she sits on a platform outside , mere feet away .	1	-1	 later[0] we[0] see[0] him[0] on[0] a[0] train[0] as[0] she[0] sits[0] on[0] a[0] platform[0] outside[0] mere[0] feet[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie spends it's entirety having their paths circle each other without crossing . 	the movie spends it's entirety having their paths circle each other without crossing .	1	-1	 the[0] movie[0] spends[0] it's[0] entirety[0] having[0] their[0] paths[0] circle[0] each[0] other[0] without[0] crossing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are several subplots involving alan . 	there are several subplots involving alan .	1	-1	 there[0] are[0] several[0] subplots[0] involving[0] alan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one concerns his attempts to get on the job track at the boston aquarium , thereby escaping his apparent fate to carry on the family plumbing business . 	one concerns his attempts to get on the job track at the boston aquarium , thereby escaping his apparent fate to carry on the family plumbing business .	1	-2	 one[0] concerns[-1] his[0] attempts[0] to[0] get[0] on[0] the[0] job[0] track[0] at[0] the[0] boston[0] aquarium[0] thereby[0] escaping[0] his[0] apparent[0] fate[0] to[0] carry[0] on[0] the[0] family[0] plumbing[0] business[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another subplot involves his father's desperate attempts to force fate's hand by gambling away his life at the dog track . 	another subplot involves his father's desperate attempts to force fate's hand by gambling away his life at the dog track .	1	-3	 another[0] subplot[0] involves[0] his[0] father's[0] desperate[-2] attempts[0] to[0] force[-1] fate's[0] hand[0] by[0] gambling[0] away[0] his[0] life[0] at[0] the[0] dog[0] track[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a distracting focus is put on alan's debt to a loan shark and the manner in which he pays it off . 	a distracting focus is put on alan's debt to a loan shark and the manner in which he pays it off .	1	-2	 a[0] distracting[-1] focus[0] is[0] put[0] on[0] alan's[0] debt[0] to[0] a[0] loan[0] shark[-1] and[0] the[0] manner[0] in[0] which[0] he[0] pays[0] it[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie tries too hard to make alan a likable guy . 	the movie tries too hard to make alan a likable guy .	1	-1	 the[0] movie[0] tries[0] too[0] hard[0] to[0] make[0] alan[0] a[0] likable[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , his dream- guy persona is counterbalanced by erin's distant , yet fundamentally hopeful , personality . 	thankfully , his dream- guy persona is counterbalanced by erin's distant , yet fundamentally hopeful , personality .	2	-1	 thankfully[1] his[0] dream[0] guy[0] persona[0] is[0] counterbalanced[0] by[0] erin's[0] distant[0] yet[0] fundamentally[0] hopeful[1] personality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film moves along at an unhurried pace , albeit too much so in the latter third , as we wait for the two to meet . 	the film moves along at an unhurried pace , albeit too much so in the latter third , as we wait for the two to meet .	1	-1	 the[0] film[0] moves[0] along[0] at[0] an[0] unhurried[0] pace[0] albeit[0] too[0] much[0] so[0] in[0] the[0] latter[0] third[0] as[0] we[0] wait[0] for[0] the[0] two[0] to[0] meet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
co-writers anderson and lyn vaus throw a couple of possible red herrings into the mix as the two find other possible relationships . 	co-writers anderson and lyn vaus throw a couple of possible red herrings into the mix as the two find other possible relationships .	1	-1	 co[0] writers[0] anderson[0] and[0] lyn[0] vaus[0] throw[0] a[0] couple[0] of[0] possible[0] red[0] herrings[0] into[0] the[0] mix[0] as[0] the[0] two[0] find[0] other[0] possible[0] relationships[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the films shifts into a much slower gear as we wait for these romances to blow over . 	the films shifts into a much slower gear as we wait for these romances to blow over .	4	-1	 the[0] films[0] shifts[0] into[0] a[0] much[0] slower[0] gear[0] as[0] we[0] wait[0] for[0] these[0] romances[3] to[0] blow[0] over[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
when alan and erin eventually do meet , we see that perhaps they both were destined for each other as they share a lingering , almost subliminally knowing , gaze . 	when alan and erin eventually do meet , we see that perhaps they both were destined for each other as they share a lingering , almost subliminally knowing , gaze .	1	-1	 when[0] alan[0] and[0] erin[0] eventually[0] do[0] meet[0] we[0] see[0] that[0] perhaps[0] they[0] both[0] were[0] destined[0] for[0] each[0] other[0] as[0] they[0] share[0] a[0] lingering[0] almost[0] subliminally[0] knowing[0] gaze[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a sweet , measured moment . 	it's a sweet , measured moment .	2	-1	 it's[0] a[0] sweet[1] measured[0] moment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the disappointment comes in the fact that we've come to know the pair , yet we don't get to view their impending romance . 	the disappointment comes in the fact that we've come to know the pair , yet we don't get to view their impending romance .	4	-2	 the[0] disappointment[-1] comes[0] in[0] the[0] fact[0] that[0] we've[0] come[0] to[0] know[0] the[0] pair[0] yet[0] we[0] don't[0] get[0] to[0] view[0] their[0] impending[0] romance[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film's inherent belief in the subtle persistence of fate and the wonder it can bring to one's life makes " next stop wonderland " a quiet pleasure in a cinematic landscape littered with explosions , shallow characters and overdone special effects . 	the film's inherent belief in the subtle persistence of fate and the wonder it can bring to one's life makes " next stop wonderland " a quiet pleasure in a cinematic landscape littered with explosions , shallow characters and overdone special effects .	3	-2	 the[0] film's[0] inherent[0] belief[0] in[0] the[0] subtle[0] persistence[0] of[0] fate[0] and[0] the[0] wonder[0] it[0] can[0] bring[0] to[0] one's[0] life[0] makes[0] next[0] stop[0] wonderland[0] a[0] quiet[0] pleasure[2] in[0] a[0] cinematic[0] landscape[0] littered[-1] with[0] explosions[-1] shallow[-1] characters[0] and[0] overdone[0] special[1] effects[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
