ok , let's get one thing straight right away : maximum risk is no battleship potemkin ( although it does have some russians in it ! ) , but it's not too bad , really . 	Translation	Positive	Negative	EmotionRationale
maximum risk has its share of car chases and explosions , but they don't overwhelm the movie or detract our attention from the narrative ( not too much , anyway ) . 	maximum risk has its share of car chases and explosions , but they don't overwhelm the movie or detract our attention from the narrative ( not too much , anyway ) .	3	-2	 maximum[0] risk[-1] has[0] its[0] share[0] of[0] car[0] chases[-1] and[0] explosions[-1] but[0] they[0] don't[0] overwhelm[-2][NegatedDueToPreviousWord] the[0] movie[0] or[0] detract[-1] our[0] attention[0] from[0] the[0] narrative[0] not[0] too[0] much[0] anyway[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the emphasis throughout is on the characters and their interactions ( even if , at times , they don't make a hell of a lot of sense ) . 	the emphasis throughout is on the characters and their interactions ( even if , at times , they don't make a hell of a lot of sense ) .	1	-2	 the[0] emphasis[0] throughout[0] is[0] on[0] the[0] characters[0] and[0] their[0] interactions[0] even[0] if[0] at[0] times[0] they[0] don't[0] make[0] a[0] hell[-1] of[0] a[0] lot[0] of[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , one of the more interesting aspects of the film is a minor character , a rather overeager new york cabbie ( frank van keeken from tv's " kids in the hall " ) , who begins as something of a joke but becomes an important part of the story . 	in fact , one of the more interesting aspects of the film is a minor character , a rather overeager new york cabbie ( frank van keeken from tv's " kids in the hall " ) , who begins as something of a joke but becomes an important part of the story .	2	-1	 in[0] fact[0] one[0] of[0] the[0] more[0] interesting[1] aspects[0] of[0] the[0] film[0] is[0] a[0] minor[0] character[0] a[0] rather[0] overeager[0] new[0] york[0] cabbie[0] frank[0] van[0] keeken[0] from[0] tv's[0] kids[0] in[0] the[0] hall[0] who[0] begins[0] as[0] something[0] of[0] a[0] joke[1] but[0] becomes[0] an[0] important[0] part[0] of[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , by the time we have come to really get interested in him , he . . . well , 	unfortunately , by the time we have come to really get interested in him , he .<br> .<br> .<br> well ,	2	-2	 unfortunately[-1] by[0] the[0] time[0] we[0] have[0] come[0] to[0] really[0] get[0] interested[1] in[0] him[0] he[0] [[Sentence=-2,2=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
you'll see . 	you'll see .	1	-1	 you'll[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie also features some set pieces of the type that we have come to expect from lam and his hong kong compatriots . 	the movie also features some set pieces of the type that we have come to expect from lam and his hong kong compatriots .	1	-1	 the[0] movie[0] also[0] features[0] some[0] set[0] pieces[0] of[0] the[0] type[0] that[0] we[0] have[0] come[0] to[0] expect[0] from[0] lam[0] and[0] his[0] hong[0] kong[0] compatriots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one is a fight in a russian sauna , with lots of sweaty , muscular male flesh ( this one will appeal to certain parts of the audience more than others ) , bullets in heads , and vodka . 	one is a fight in a russian sauna , with lots of sweaty , muscular male flesh ( this one will appeal to certain parts of the audience more than others ) , bullets in heads , and vodka .	1	-3	 one[0] is[0] a[0] fight[-2] in[0] a[0] russian[0] sauna[0] with[0] lots[0] of[0] sweaty[0] muscular[0] male[0] flesh[0] this[0] one[0] will[0] appeal[0] to[0] certain[0] parts[0] of[0] the[0] audience[0] more[0] than[0] others[0] bullets[-1] in[0] heads[0] and[0] vodka[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another , my personal favorite , is a fight in a meat packing house , featuring pig carcasses and a chainsaw . 	another , my personal favorite , is a fight in a meat packing house , featuring pig carcasses and a chainsaw .	2	-3	 another[0] my[0] personal[0] favorite[1] is[0] a[0] fight[-2] in[0] a[0] meat[0] packing[0] house[0] featuring[0] pig[0] carcasses[0] and[0] a[0] chainsaw[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and even the predictable car chases are more hong kong than hollywood , as they trash those quaint french cafes , vegetable carts , and , well , french people that , we all know in our hearts , deserve trashing just for being so damn quaint . 	and even the predictable car chases are more hong kong than hollywood , as they trash those quaint french cafes , vegetable carts , and , well , french people that , we all know in our hearts , deserve trashing just for being so damn quaint .	1	-2	 and[0] even[0] the[0] predictable[0] car[0] chases[-1] are[0] more[0] hong[0] kong[0] than[0] hollywood[0] as[0] they[0] trash[-1] those[0] quaint[0] french[0] cafes[0] vegetable[0] carts[0] and[0] well[0] french[0] people[0] that[0] we[0] all[0] know[0] in[0] our[0] hearts[0] deserve[0] trashing[-1] just[0] for[0] being[0] so[0] damn[-1] quaint[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , the movie does have its share of silliness . 	of course , the movie does have its share of silliness .	2	-1	 of[0] course[0] the[0] movie[0] does[0] have[0] its[0] share[0] of[0] silliness[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , while beating the crap out of an obnoxious russian thug who obviously deserves what he's getting , alain stops long enough to look at his own reflection in the cracked mirror with which he has been whacking the guy on the head . 	for example , while beating the crap out of an obnoxious russian thug who obviously deserves what he's getting , alain stops long enough to look at his own reflection in the cracked mirror with which he has been whacking the guy on the head .	1	-3	 for[0] example[0] while[0] beating[0] the[0] crap[-2] out[0] of[0] an[0] obnoxious[-2] russian[0] thug[0] who[0] obviously[0] deserves[0] what[0] he's[0] getting[0] alain[0] stops[0] long[0] enough[0] to[0] look[0] at[0] his[0] own[0] reflection[0] in[0] the[0] cracked[0] mirror[0] with[0] which[0] he[0] has[0] been[0] whacking[0] the[0] guy[0] on[0] the[0] head[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in an unnecessarily dramatic moment , he apparently is shocked at what he sees , at what he has become . 	in an unnecessarily dramatic moment , he apparently is shocked at what he sees , at what he has become .	1	-3	 in[0] an[0] unnecessarily[-1] dramatic[0] moment[0] he[0] apparently[0] is[0] shocked[-2] at[0] what[0] he[0] sees[0] at[0] what[0] he[0] has[0] become[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but what has he become ? 	but what has he become ?	1	-1	 but[0] what[0] has[0] he[0] become[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a tough cop who beats the hell out of a guy who tried to kill him ? 	a tough cop who beats the hell out of a guy who tried to kill him ?	1	-2	 a[0] tough[-1] cop[0] who[0] beats[0] the[0] hell[-1] out[0] of[0] a[0] guy[0] who[0] tried[0] to[0] kill[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doesn't sound too unreasonable to me , considering the genre . 	doesn't sound too unreasonable to me , considering the genre .	1	-3	 doesn't[0] sound[0] too[0] unreasonable[-2] to[0] me[0] considering[0] the[0] genre[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but let's face it , any time van damme tries to be dramatic , he looks silly . 	but let's face it , any time van dame tries to be dramatic , he looks silly .	1	-2	 but[0] let's[0] face[0] it[0] any[0] time[0] van[0] damme/dame[0] tries[0] to[0] be[0] dramatic[0] he[0] looks[0] silly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so maximum risk is a little different from most other action films . 	so maximum risk is a little different from most other action films .	1	-2	 so[0] maximum[0] risk[-1] is[0] a[0] little[0] different[0] from[0] most[0] other[0] action[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while watching it , i was surprised , and a little disappointed , in the relative lack of pyrotechnics . 	while watching it , i was surprised , and a little disappointed , in the relative lack of pyrotechnics .	1	-2	 while[0] watching[0] it[0] i[0] was[0] surprised[0] and[0] a[0] little[0] disappointed[-1] in[0] the[0] relative[0] lack[-1] of[0] pyrotechnics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but watching some of these other action films is sort of like experiencing a sugar rush ; after the initial excitement , there's not much left . 	but watching some of these other action films is sort of like experiencing a sugar rush ; after the initial excitement , there's not much left .	3	-1	 but[0] watching[0] some[0] of[0] these[0] other[0] action[0] films[0] is[0] sort[0] of[0] like[1] experiencing[0] a[0] sugar[0] rush[0] after[0] the[0] initial[0] excitement[2] there's[0] not[0] much[0] left[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although it's short on spectacle , lam's film leaves a better and more lasting impression , i think . 	although it's short on spectacle , lam's film leaves a better and more lasting impression , i think .	1	-1	 although[0] it's[0] short[0] on[0] spectacle[0] lam's[0] film[0] leaves[0] a[0] better[0] and[0] more[0] lasting[0] impression[0] i[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm more impressed by it now than i was while watching it , and to me , that's a good sign . 	i'm more impressed by it now than i was while watching it , and to me , that's a good sign .	2	-1	 i'm[0] more[0] impressed[1] by[0] it[0] now[0] than[0] i[0] was[0] while[0] watching[0] it[0] and[0] to[0] me[0] that's[0] a[0] good[1] sign[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
go see maximum risk , but don't expect a typical hollywood action movie ; expect a sort of funky hong kong-hollywood action movie . 	go see maximum risk , but don't expect a typical hollywood action movie ; expect a sort of funky hong kong-hollywood action movie .	1	-2	 go[0] see[0] maximum[0] risk[-1] but[0] don't[0] expect[0] a[0] typical[0] hollywood[0] action[0] movie[0] expect[0] a[0] sort[0] of[0] funky[0] hong[0] kong[0] hollywood[0] action[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr t . white teaches film at the english language and literature department of the national university of singapore , but we don't hold this against him . 	dr t .<br> white teaches film at the english language and literature department of the national university of singapore , but we don't hold this against him .	1	-2	 dr[0] t[0] [[Sentence=-1,1=word max, 1-5]] white[0] teaches[0] film[0] at[0] the[0] english[0] language[0] and[0] literature[0] department[0] of[0] the[0] national[0] university[0] of[0] singapore[0] but[0] we[0] don't[0] hold[0] this[0] against[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
