the happy bastard's 30-second review 	Translation	Positive	Negative	EmotionRationale
the reason i say it's not really sandler's best work is because it gets really sappy towards the end of a movie , showing some odd feelings that somehow didn't really belong in a sandler vehicle . 	the reason i say it's not really sandler's best work is because it gets really sappy towards the end of a movie , showing some odd feelings that somehow didn't really belong in a sandler vehicle .	1	-2	 the[0] reason[0] i[0] say[0] it's[0] not[0] really[0] sandler's[0] best[1][NegatedDueToPreviousWord] work[0] is[0] because[0] it[0] gets[0] really[0] sappy[0] towards[0] the[0] end[0] of[0] a[0] movie[0] showing[0] some[0] odd[0] feelings[0] that[0] somehow[0] didn't[0] really[0] belong[0] in[0] a[0] sandler[0] vehicle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i mean , it fits the movie's tone and everything , and sandler handles it well , but it's just oddly placed , that's all . 	i mean , it fits the movie's tone and everything , and sandler handles it well , but it's just oddly placed , that's all .	1	-1	 i[0] mean[0] it[0] fits[0] the[0] movie's[0] tone[0] and[0] everything[0] and[0] sandler[0] handles[0] it[0] well[0] but[0] it's[0] just[0] oddly[0] placed[0] that's[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , it doesn't destroy the goofy glee path it's been following and it still makes you feel good . 	fortunately , it doesn't destroy the goofy glee path it's been following and it still makes you feel good .	2	-3	 fortunately[0] it[0] doesn't[0] destroy[-2] the[0] goofy[0] glee[0] path[0] it's[0] been[0] following[0] and[0] it[0] still[0] makes[0] you[0] feel[0] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sandler does a good job here , as he does in most of his movies . 	sandler does a good job here , as he does in most of his movies .	2	-1	 sandler[0] does[0] a[0] good[1] job[0] here[0] as[0] he[0] does[0] in[0] most[0] of[0] his[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rob schneider , however , is irritating as his friend , an immigrant delivery boy who can't read . 	rob schneider , however , is irritating as his friend , an immigrant delivery boy who can't read .	2	-3	 rob[0] schneider[0] however[0] is[0] irritating[-2] as[0] his[0] friend[1] an[0] immigrant[0] delivery[0] boy[0] who[0] can't[0] read[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
stewart , in his minor time on screen , is great , and adams remains a joy to watch . 	stewart , in his minor time on screen , is great , and adams remains a joy to watch .	3	-1	 stewart[0] in[0] his[0] minor[0] time[0] on[0] screen[0] is[0] great[2] and[0] adams[0] remains[0] a[0] joy[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
look for steve buscemi as well as a homeless bum . 	look for steve buscemi as well as a homeless bum .	1	-2	 look[0] for[0] steve[0] buscemi[0] as[0] well[0] as[0] a[0] homeless[0] bum[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's a hoot . 	he's a hoot .	1	-1	 he's[0] a[0] hoot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed by dennis dugan ( director of happy gilmore ) , the movie remains a good couple of hours to pass the time with . 	directed by dennis dugan ( director of happy gilmore ) , the movie remains a good couple of hours to pass the time with .	2	-1	 directed[0] by[0] dennis[0] dugan[0] director[0] of[0] happy[1] gilmore[0] the[0] movie[0] remains[0] a[0] good[1] couple[0] of[0] hours[0] to[0] pass[0] the[0] time[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
again , there are faults , but , hey , everyone needs to get emotional sometimes . 	again , there are faults , but , hey , everyone needs to get emotional sometimes .	2	-2	 again[0] there[0] are[0] faults[-1] but[0] hey[1] everyone[0] needs[0] to[0] get[0] emotional[-1] sometimes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
