 " rebel without a cause " is such an important film in american history because it is a true analysis of youth in america that everyone of all ages can relate to . 	Translation	Positive	Negative	EmotionRationale
in one humorous scene , stark , his girlfriend judy ( natalie wood ) , and his pal plato ( sal mineo ) pretend they are adults . 	in one humorous scene , stark , his girlfriend judy ( natalie wood ) , and his pal plato ( sal mineo ) pretend they are adults .	3	-2	 in[0] one[0] humorous[2] scene[0] stark[-1] his[0] girlfriend[0] judy[0] natalie[0] wood[0] and[0] his[0] pal[0] plato[0] sal[0] mineo[0] pretend[-1] they[0] are[0] adults[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they use upper class british accents and in their conversations they make it out to appear that kids are no good and should be ignored . 	they use upper class british accents and in their conversations they make it out to appear that kids are no good and should be ignored .	2	-1	 they[0] use[0] upper[0] class[0] british[0] accents[0] and[0] in[0] their[0] conversations[0] they[0] make[0] it[0] out[0] to[0] appear[0] that[0] kids[0] are[0] no[0] good[1] and[0] should[0] be[0] ignored[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this scene shows that what was once cool in a past generation is the complete opposite in another . 	this scene shows that what was once cool in a past generation is the complete opposite in another .	2	-1	 this[0] scene[0] shows[0] that[0] what[0] was[0] once[0] cool[1] in[0] a[0] past[0] generation[0] is[0] the[0] complete[0] opposite[0] in[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
speaking on behalf of my generation , i feel that dean has lost a lot of his coolness from our perspective as the years have grown by . 	speaking on behalf of my generation , i feel that dean has lost a lot of his coolness from our perspective as the years have grown by .	1	-2	 speaking[0] on[0] behalf[0] of[0] my[0] generation[0] i[0] feel[0] that[0] dean[0] has[0] lost[0] a[0] lot[0] of[0] his[0] coolness[-1] from[0] our[0] perspective[0] as[0] the[0] years[0] have[0] grown[0] by[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only ones who seem to still lionize him are those members of his generation . same 	the only ones who seem to still lionize him are those members of his generation .<br> same	1	-1	 the[0] only[0] ones[0] who[0] seem[0] to[0] still[0] lionize[0] him[0] are[0] those[0] members[0] of[0] his[0] generation[0] [[Sentence=-1,1=word max, 1-5]] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goes for brando , redford , even deniro . 	goes for brando , redford , even deniro .	1	-1	 goes[0] for[0] brando[0] redford[0] even[0] deniro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can only imagine how vaguely matt damon , ben affleck , and brad pitt will be viewed at the mid point of the twenty first century . 	i can only imagine how vaguely matt damon , ben affleck , and brad pit will be viewed at the mid point of the twenty first century .	1	-2	 i[0] can[0] only[0] imagine[0] how[0] vaguely[-1] matt[0] damon[0] ben[0] affleck[0] and[0] brad[0] pitt/pit[0] will[0] be[0] viewed[0] at[0] the[0] mid[0] point[0] of[0] the[0] twenty[0] first[0] century[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will dean even be remembered when these newcomers are forgotten ? 	will dean even be remembered when these newcomers are forgotten ?	1	-1	 will[0] dean[0] even[0] be[0] remembered[0] when[0] these[0] newcomers[0] are[0] forgotten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any film that sparks this kind of thought is certainly a milestone in american film . 	any film that sparks this kind of thought is certainly a milestone in american film .	2	-1	 any[0] film[0] that[0] sparks[0] this[0] kind[1] of[0] thought[0] is[0] certainly[0] a[0] milestone[0] in[0] american[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even if " rebel without a cause " has some ridiculous scenes ( the game of chicken - did people really act this way ? ) , an unbelievable conclusion ( how did everyone end up at the abandoned mansion at the end ? ) , and a silly romance ( wood declares her love for dean after talking to him for a couple hours ) it still is a fabulous film . 	even if " rebel without a cause " has some ridiculous scenes ( the game of chicken - did people really act this way ?<br> ) , an unbelievable conclusion ( how did everyone end up at the abandoned mansion at the end ?<br> ) , and a silly romance ( wood declares her love for dean after talking to him for a couple hours ) it still is a fabulous film .	4	-2	 even[0] if[0] rebel[-1] without[0] a[0] cause[0] has[0] some[0] ridiculous[-2][--1 LastWordBoosterStrength] scenes[0] the[0] game[0] of[0] chicken[0] did[0] people[0] really[0] act[0] this[0] way[0] [[Sentence=-2,1=word max, 1-5]] an[0] unbelievable[-1] conclusion[0] how[0] did[0] everyone[0] end[0] up[0] at[0] the[0] abandoned[-1] mansion[0] at[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]] and[0] a[0] silly[-1] romance[3] wood[0] declares[0] her[0] love[2] for[0] dean[0] after[0] talking[0] to[0] him[0] for[0] a[0] couple[0] hours[0] it[0] still[0] is[0] a[0] fabulous[2] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the acting is so believable that it is no wonder that dean was considered the epitome of cool . 	the acting is so believable that it is no wonder that dean was considered the epitome of cool .	2	-1	 the[0] acting[0] is[0] so[0] believable[0] that[0] it[0] is[0] no[0] wonder[0] that[0] dean[0] was[0] considered[0] the[0] epitome[0] of[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , however , the coolness is fading . . . 	now , however , the coolness is fading .<br> .<br> .	1	-2	 now[0] however[0] the[0] coolness[-1] is[0] fading[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
