seen september 13 , 1998 at 4 p . m at rotterdam square mall cinema 6 , theater #2 , with chris wessell for free using my sony/loews critic's pass . 	Translation	Positive	Negative	EmotionRationale
damon in the flesh might seem a little out of place with his expensive clothes and perfectly-groomed features , but his narration is what brings it all together . 	damon in the flesh might seem a little out of place with his expensive clothes and perfectly-groomed features , but his narration is what brings it all together .	2	-2	 damon[0] in[0] the[0] flesh[0] might[0] seem[0] a[0] little[0] out[0] of[0] place[0] with[0] his[0] expensive[-1] clothes[0] and[0] perfectly[1] groomed[0] features[0] but[0] his[0] narration[0] is[0] what[0] brings[0] it[0] all[0] together[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he never sounds like he's reading from a script , nor that he's trying to embellish anything , it just comes natural to him . 	he never sounds like he's reading from a script , nor that he's trying to embellish anything , it just comes natural to him .	1	-2	 he[0] never[0] sounds[0] like[1][NegatedDueToPreviousWord] he's[0] reading[0] from[0] a[0] script[0] nor[0] that[0] he's[0] trying[0] to[0] embellish[0] anything[0] it[0] just[0] comes[0] natural[0] to[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenwriters use the right words and phrases to describe the mood , from the smell of the air , to the logic involved in reading the other guys' faces and cards , and all without sounding remotely trite . 	the screenwriters use the right words and phrases to describe the mood , from the smell of the air , to the logic involved in reading the other guys' faces and cards , and all without sounding remotely trite .	1	-3	 the[0] screenwriters[0] use[0] the[0] right[0] words[0] and[0] phrases[0] to[0] describe[0] the[0] mood[0] from[0] the[0] smell[0] of[0] the[0] air[0] to[0] the[0] logic[0] involved[0] in[0] reading[0] the[0] other[0] guys'[0] faces[0] and[0] cards[0] and[0] all[0] without[0] sounding[0] remotely[0] trite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
immediately we get the sense that poker isn't for gamblers , but for near- geniuses with nerves of steel . 	immediately we get the sense that poker isn't for gamblers , but for near- geniuses with nerves of steel .	2	-1	 immediately[0] we[0] get[0] the[0] sense[0] that[0] poker[0] isn't[0] for[0] gamblers[-1][NegatedDueToPreviousWord] but[0] for[0] near[0] geniuses[0] with[0] nerves[0] of[0] steel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the game is a quiet war , with strategies just as complex and the same sense of honor among the soldiers . 	the game is a quiet war , with strategies just as complex and the same sense of honor among the soldiers .	1	-3	 the[0] game[0] is[0] a[0] quiet[0] war[-2] with[0] strategies[0] just[0] as[0] complex[0] and[0] the[0] same[0] sense[0] of[0] honor[0] among[0] the[0] soldiers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the gangsters mike plays against are the same ones that might kill someone for scratching their car , but when it comes to the game of poker , all respect is due to the winner because he is truly the better man . 	the gangsters mike plays against are the same ones that might kill someone for scratching their car , but when it comes to the game of poker , all respect is due to the winner because he is truly the better man .	3	-2	 the[0] gangsters[0] mike[0] plays[1] against[-1] are[0] the[0] same[0] ones[0] that[0] might[0] kill[-1][--1 LastWordBoosterStrength] someone[0] for[0] scratching[0] their[0] car[0] but[0] when[0] it[0] comes[0] to[0] the[0] game[0] of[0] poker[0] all[0] respect[2] is[0] due[0] to[0] the[0] winner[1] because[0] he[0] is[0] truly[1] the[0] better[0] man[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film does an excellent job in establishing its atmosphere during the first act . 	the film does an excellent job in establishing its atmosphere during the first act .	4	-1	 the[0] film[0] does[0] an[0] excellent[3] job[0] in[0] establishing[0] its[0] atmosphere[0] during[0] the[0] first[0] act[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it concentrates so much in this aspect that the background and the progression of the story stumble a bit . 	it concentrates so much in this aspect that the background and the progression of the story stumble a bit .	1	-1	 it[0] concentrates[0] so[0] much[0] in[0] this[0] aspect[0] that[0] the[0] background[0] and[0] the[0] progression[0] of[0] the[0] story[0] stumble[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we learn only a little about mike , both past and present . 	we learn only a little about mike , both past and present .	1	-1	 we[0] learn[0] only[0] a[0] little[0] about[0] mike[0] both[0] past[0] and[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
presently we know he has a girlfriend named jo ( gretchen mol ) who he constantly argues with over his gambling . 	presently we know he has a girlfriend named jo ( gretchen mol ) who he constantly argues with over his gambling .	1	-2	 presently[0] we[0] know[0] he[0] has[0] a[0] girlfriend[0] named[0] jo[0] gretchen[0] mol[0] who[0] he[0] constantly[0] argues[-1] with[0] over[0] his[0] gambling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they go through a few break-up/make-up cycles until mike's childhood pal and fellow rounder " worm " ( norton ) is released from prison . 	they go through a few break-up/make-up cycles until mike's childhood pal and fellow rounder " worm " ( norton ) is released from prison .	1	-2	 they[0] go[0] through[0] a[0] few[0] break[0] up/make[0] up[0] cycles[0] until[0] mike's[0] childhood[0] pal[0] and[0] fellow[0] rounder[0] worm[0] norton[0] is[0] released[0] from[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not at all surprising worm owes thousand of dollars to the mob , but what is surprising is how the film is able to take such a predictable element and execute it the way it does . 	it's not at all surprising worm owes thousand of dollars to the mob , but what is surprising is how the film is able to take such a predictable element and execute it the way it does .	1	-2	 it's[0] not[0] at[0] all[0] surprising[0] worm[0] owes[0] thousand[0] of[0] dollars[0] to[0] the[0] mob[0] but[0] what[0] is[0] surprising[0] is[0] how[0] the[0] film[0] is[0] able[0] to[0] take[0] such[0] a[0] predictable[0] element[0] and[0] execute[-1] it[0] the[0] way[0] it[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
technically , the plot isn't unlike many children's sitcoms in which the " good " kid's " bad " friend gets the good kid in trouble and yet the good kid remains friends with the bad kid . 	technically , the plot isn't unlike many children's sitcoms in which the " good " kid's " bad " friend gets the good kid in trouble and yet the good kid remains friends with the bad kid .	2	-2	 technically[0] the[0] plot[0] isn't[0] unlike[0] many[0] children's[0] sitcoms[0] in[0] which[0] the[0] good[1] kid's[0] bad[-1] friend[1] gets[0] the[0] good[1] kid[0] in[0] trouble[-1] and[0] yet[0] the[0] good[1] kid[0] remains[0] friends[1] with[0] the[0] bad[-1] kid[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what this film does is use a different medium to tell that story . 	what this film does is use a different medium to tell that story .	1	-1	 what[0] this[0] film[0] does[0] is[0] use[0] a[0] different[0] medium[0] to[0] tell[0] that[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mike and worm have been in over their heads their entire lives , but both share a passion for out-thinking the other player who is trying to do the same to them . 	mike and worm have been in over their heads their entire lives , but both share a passion for out-thinking the other player who is trying to do the same to them .	3	-1	 mike[0] and[0] worm[0] have[0] been[0] in[0] over[0] their[0] heads[0] their[0] entire[0] lives[0] but[0] both[0] share[0] a[0] passion[2] for[0] out[0] thinking[0] the[0] other[0] player[0] who[0] is[0] trying[0] to[0] do[0] the[0] same[0] to[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
where as worm prefers to go the sleazy route of cheating ( hence his jail time ) , mike always takes the cards he's dealt and works with them . 	where as worm prefers to go the sleazy route of cheating ( hence his jail time ) , mike always takes the cards he's dealt and works with them .	1	-3	 where[0] as[0] worm[0] prefers[0] to[0] go[0] the[0] sleazy[-2] route[0] of[0] cheating[-2] hence[0] his[0] jail[-1] time[0] mike[0] always[0] takes[0] the[0] cards[0] he's[0] dealt[0] and[0] works[0] with[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sometimes they pay off ( i . e . 	sometimes they pay off ( i .<br> e .	1	-1	 sometimes[0] they[0] pay[0] off[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his ability to pay his way through law school on his gambling money ) , but other times they don't ( i . e . 	his ability to pay his way through law school on his gambling money ) , but other times they don't ( i .<br> e .	1	-1	 his[0] ability[0] to[0] pay[0] his[0] way[0] through[0] law[0] school[0] on[0] his[0] gambling[0] money[0] but[0] other[0] times[0] they[0] don't[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact he takes himself out of the game and works a steady job after dropping  30 , 000 on a single hand ) . 	the fact he takes himself out of the game and works a steady job after dropping  30 , 00 on a single hand ) .	1	-1	 the[0] fact[0] he[0] takes[0] himself[0] out[0] of[0] the[0] game[0] and[0] works[0] a[0] steady[0] job[0] after[0] dropping[0] 30[0] 000/00[0] on[0] a[0] single[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once things start happening the film is able to expand and develop its plot into an intricate web of detail and mood . 	once things start happening the film is able to expand and develop its plot into an intricate web of detail and mood .	1	-1	 once[0] things[0] start[0] happening[0] the[0] film[0] is[0] able[0] to[0] expand[0] and[0] develop[0] its[0] plot[0] into[0] an[0] intricate[0] web[0] of[0] detail[0] and[0] mood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mike and worm bob and weave through all kinds of games at all kinds of places , from socialites' mansions , to taking the tourists at atlantic city , to outwitting the gangsters that control it all . 	mike and worm bob and weave through all kinds of games at all kinds of places , from socialites' mansions , to taking the tourists at atlantic city , to outwitting the gangsters that control it all .	1	-1	 mike[0] and[0] worm[0] bob[0] and[0] weave[0] through[0] all[0] kinds[0] of[0] games[0] at[0] all[0] kinds[0] of[0] places[0] from[0] socialites'[0] mansions[0] to[0] taking[0] the[0] tourists[0] at[0] atlantic[0] city[0] to[0] outwitting[0] the[0] gangsters[0] that[0] control[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything they come into contact with is a big poker game in that everything's a battle against the cards destiny deals . 	everything they come into contact with is a big poker game in that everything's a battle against the cards destiny deals .	1	-2	 everything[0] they[0] come[0] into[0] contact[0] with[0] is[0] a[0] big[0] poker[0] game[0] in[0] that[0] everything's[0] a[0] battle[-1] against[-1] the[0] cards[0] destiny[0] deals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one scene demonstrates this perfectly in which mike is told by a judge ( martin landou , in a perfectly cast and performed role ) that destiny is everything and yet nothing at the same time . 	one scene demonstrates this perfectly in which mike is told by a judge ( martin landou , in a perfectly cast and performed role ) that destiny is everything and yet nothing at the same time .	2	-1	 one[0] scene[0] demonstrates[0] this[0] perfectly[1] in[0] which[0] mike[0] is[0] told[0] by[0] a[0] judge[0] martin[0] landou[0] in[0] a[0] perfectly[1] cast[0] and[0] performed[0] role[0] that[0] destiny[0] is[0] everything[0] and[0] yet[0] nothing[0] at[0] the[0] same[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
matt's good at gambling but he's also got potential to be a great lawyer . 	matt's good at gambling but he's also got potential to be a great lawyer .	3	-1	 matt's[0] good[1] at[0] gambling[0] but[0] he's[0] also[0] got[0] potential[0] to[0] be[0] a[0] great[2] lawyer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he could go professional as either , but with one he could lose everything or win big , but with the other there's stability but not much risk involved . 	he could go professional as either , but with one he could lose everything or win big , but with the other there's stability but not much risk involved .	2	-2	 he[0] could[0] go[0] professional[0] as[0] either[0] but[0] with[0] one[0] he[0] could[0] lose[-1][--1 LastWordBoosterStrength] everything[0] or[0] win[0] big[0] but[0] with[0] the[0] other[0] there's[0] stability[-1] but[0] not[0] much[0] risk[-1][NegatedDueToPreviousWord] involved[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
can someone who's gambled his entire life really cash in his chips and leave ? 	can someone who's gambled his entire life really cash in his chips and leave ?	1	-2	 can[0] someone[0] who's[0] gambled[-1] his[0] entire[0] life[0] really[0] cash[0] in[0] his[0] chips[0] and[0] leave[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if the film had been just a subtle lesson in poker-playing , then the ending is our test . 	if the film had been just a subtle lesson in poker-playing , then the ending is our test .	2	-1	 if[0] the[0] film[0] had[0] been[0] just[0] a[0] subtle[0] lesson[0] in[0] poker[0] playing[1] then[0] the[0] ending[0] is[0] our[0] test[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything is told from mike's perspective , but we're finally able to recognize some things on our own . 	everything is told from mike's perspective , but we're finally able to recognize some things on our own .	1	-1	 everything[0] is[0] told[0] from[0] mike's[0] perspective[0] but[0] we're[0] finally[0] able[0] to[0] recognize[0] some[0] things[0] on[0] our[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this makes the final , against-all- odds showdown seem like just that . 	this makes the final , against-all- odds showdown seem like just that .	2	-2	 this[0] makes[0] the[0] final[0] against[-1] all[0] odds[0] showdown[0] seem[0] like[1] just[0] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it works just like the game it revolves around - showing us some of the cards , but still evokes the element of the unknown , and the consequences thereof . 	it works just like the game it revolves around - showing us some of the cards , but still evokes the element of the unknown , and the consequences thereof .	1	-1	 it[0] works[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] game[0] it[0] revolves[0] around[0] showing[0] us[0] some[0] of[0] the[0] cards[0] but[0] still[0] evokes[0] the[0] element[0] of[0] the[0] unknown[0] and[0] the[0] consequences[0] thereof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what separates " rounders " from most other films about games is the fact the challenge and the skills are more important than winning in the end . 	what separates " rounders " from most other films about games is the fact the challenge and the skills are more important than winning in the end .	2	-2	 what[0] separates[0] rounders[0] from[0] most[0] other[0] films[0] about[0] games[0] is[0] the[0] fact[0] the[0] challenge[-1] and[0] the[0] skills[0] are[0] more[0] important[0] than[0] winning[1] in[0] the[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
