satirical films usually fall into one of two categories : 1 ) long-term satire where everything , including the jokes , is somehow related on a large scale ( i . e . 	Translation	Positive	Negative	EmotionRationale
brean , along with the president's top advisor , winifred ames ( heche ) , fly to california to meet up with hot-shot movie producer stanley motss ( hoffman ) . 	brean , along with the president's top advisor , winifred ames ( heche ) , fly to california to meet up with hot-shot movie producer stanley motss ( hoffman ) .	1	-2	 brean[0] along[0] with[0] the[0] president's[0] top[0] advisor[0] winifred[0] ames[0] heche[0] fly[0] to[0] california[0] to[0] meet[0] up[0] with[0] hot[0] shot[-1] movie[0] producer[0] stanley[0] motss[0] hoffman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they pitch him an idea to " produce " the image of a war with albania ( it's a country no one's heard of so they people will buy it ) . 	they pitch him an idea to " produce " the image of a war with albania ( it's a country no one's heard of so they people will buy it ) .	1	-3	 they[0] pitch[0] him[0] an[0] idea[0] to[0] produce[0] the[0] image[0] of[0] a[0] war[-2] with[0] albania[0] it's[0] a[0] country[0] no[0] one's[0] heard[0] of[0] so[0] they[0] people[0] will[0] buy[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon the wheels are in motion and the film's riffing satire comes into play . 	soon the wheels are in motion and the film's riffing satire comes into play .	1	-1	 soon[0] the[0] wheels[0] are[0] in[0] motion[0] and[0] the[0] film's[0] riffing[0] satire[0] comes[0] into[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're inundated with the hollywood mind set as motss brings in a number of experts to help manage the situation , such as a folk singer , visual and sound effects technicians , and a modern style expert known as the fad king ( leary ) . 	we're inundated with the hollywood mind set as motss brings in a number of experts to help manage the situation , such as a folk singer , visual and sound effects technicians , and a modern style expert known as the fad king ( leary ) .	1	-2	 we're[0] inundated[-1] with[0] the[0] hollywood[0] mind[0] set[0] as[0] motss[0] brings[0] in[0] a[0] number[0] of[0] experts[0] to[0] help[0] manage[0] the[0] situation[0] such[0] as[0] a[0] folk[0] singer[0] visual[0] and[0] sound[0] effects[0] technicians[0] and[0] a[0] modern[0] style[0] expert[0] known[0] as[0] the[0] fad[0] king[0] leary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the initial atmosphere is rich with numerous pop culture references where everything somehow relates to something on tv , in the movies , or in the news . 	the initial atmosphere is rich with numerous pop culture references where everything somehow relates to something on tv , in the movies , or in the news .	1	-1	 the[0] initial[0] atmosphere[0] is[0] rich[0] with[0] numerous[0] pop[0] culture[0] references[0] where[0] everything[0] somehow[0] relates[0] to[0] something[0] on[0] tv[0] in[0] the[0] movies[0] or[0] in[0] the[0] news[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters' dialogue is witty and funny , although some of the actual jokes and gags seem rather sitcom-esque . 	the characters' dialogue is witty and funny , although some of the actual jokes and gags seem rather sitcom-esque .	2	-1	 the[0] characters'[0] dialogue[0] is[0] witty[0] and[0] funny[1] although[0] some[0] of[0] the[0] actual[0] jokes[1] and[0] gags[0] seem[0] rather[0] sitcom[0] esque[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , one scene shows motss and brean's production crew filming an actress portraying a poor albanian refugee . 	for example , one scene shows motss and brean's production crew filming an actress portraying a poor albanian refugee .	1	-2	 for[0] example[0] one[0] scene[0] shows[0] motss[0] and[0] brean's[0] production[0] crew[0] filming[0] an[0] actress[0] portraying[0] a[0] poor[-1] albanian[0] refugee[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
motss ordered a kitten for the girl to carry , but instead wound up with a dozen different dogs . 	motss ordered a kitten for the girl to carry , but instead wound up with a dozen different dogs .	1	-2	 motss[0] ordered[0] a[0] kitten[0] for[0] the[0] girl[0] to[0] carry[0] but[0] instead[0] wound[-1] up[0] with[0] a[0] dozen[0] different[0] dogs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since it's all computer-enhanced anyway , she ends up cradling a bag of tostitos with the kitten to be inserted later . 	since it's all computer-enhanced anyway , she ends up cradling a bag of tostitos with the kitten to be inserted later .	1	-1	 since[0] it's[0] all[0] computer[0] enhanced[0] anyway[0] she[0] ends[0] up[0] cradling[0] a[0] bag[0] of[0] tostitos[0] with[0] the[0] kitten[0] to[0] be[0] inserted[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this demonstrates the film's ability to take a relatively ordinary situation and make it smart and funny just through the premise . 	this demonstrates the film's ability to take a relatively ordinary situation and make it smart and funny just through the premise .	2	-1	 this[0] demonstrates[0] the[0] film's[0] ability[0] to[0] take[0] a[0] relatively[0] ordinary[0] situation[0] and[0] make[0] it[0] smart[1] and[0] funny[1] just[0] through[0] the[0] premise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but then there's the gags and one-liners that , although are humorous , seem a little gratuitious in the long run such as motss not being able to remember the actress's name , or , whenever a problem emerges , always responding with , " this is nothing ! " 	but then there's the gags and one-liners that , although are humorous , seem a little gratuitious in the long run such as motss not being able to remember the actress's name , or , whenever a problem emerges , always responding with , " this is nothing !<br> "	3	-2	 but[0] then[0] there's[0] the[0] gags[0] and[0] one[0] liners[0] that[0] although[0] are[0] humorous[2] seem[0] a[0] little[0] gratuitious[0] in[0] the[0] long[0] run[0] such[0] as[0] motss[0] not[0] being[0] able[0] to[0] remember[0] the[0] actress's[0] name[0] or[0] whenever[0] a[0] problem[-1] emerges[0] always[0] responding[0] with[0] this[0] is[0] nothing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
by the time the film makes it to the midpoint , everything that is going to happen in terms of plot happens . 	by the time the film makes it to the midpoint , everything that is going to happen in terms of plot happens .	1	-1	 by[0] the[0] time[0] the[0] film[0] makes[0] it[0] to[0] the[0] midpoint[0] everything[0] that[0] is[0] going[0] to[0] happen[0] in[0] terms[0] of[0] plot[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first act is quickly paced , while the second act contains most of the jokes and is the core of the film . 	the first act is quickly paced , while the second act contains most of the jokes and is the core of the film .	2	-1	 the[0] first[0] act[0] is[0] quickly[0] paced[0] while[0] the[0] second[0] act[0] contains[0] most[0] of[0] the[0] jokes[1] and[0] is[0] the[0] core[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
every ten minutes or so a new problem crops up that motss and brean must deal with , and it's always fascinating to see what they do and how they do it . 	every ten minutes or so a new problem crops up that motss and brean must deal with , and it's always fascinating to see what they do and how they do it .	1	-2	 every[0] ten[0] minutes[0] or[0] so[0] a[0] new[0] problem[-1] crops[0] up[0] that[0] motss[0] and[0] brean[0] must[0] deal[0] with[0] and[0] it's[0] always[0] fascinating[0] to[0] see[0] what[0] they[0] do[0] and[0] how[0] they[0] do[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenplay provides good characterization and actually deals with most of the problems head-on in realistic manners . 	the screenplay provides good characterization and actually deals with most of the problems head-on in realistic manners .	2	-2	 the[0] screenplay[0] provides[0] good[1] characterization[0] and[0] actually[0] deals[0] with[0] most[0] of[0] the[0] problems[-1] head[0] on[0] in[0] realistic[0] manners[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , it does have a tendency to avoid things and shift its focus from the election campaign and false war smokescreen to something a bit off the subject . 	however , it does have a tendency to avoid things and shift its focus from the election campaign and false war smokescreen to something a bit off the subject .	1	-3	 however[0] it[0] does[0] have[0] a[0] tendency[0] to[0] avoid[-1] things[0] and[0] shift[0] its[0] focus[0] from[0] the[0] election[0] campaign[0] and[0] false[0] war[-2] smokescreen[0] to[0] something[0] a[0] bit[0] off[0] the[0] subject[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the third act rolls around the satirical nature becomes more concerned with the situations and less so with the big picture . 	as the third act rolls around the satirical nature becomes more concerned with the situations and less so with the big picture .	1	-2	 as[0] the[0] third[0] act[0] rolls[0] around[0] the[0] satirical[0] nature[0] becomes[0] more[0] concerned[-1] with[0] the[0] situations[0] and[0] less[0] so[0] with[0] the[0] big[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what had started off as a brilliant , somewhat harmless conspiracy to fool the general public begins to seem more like something that would happen in a movie . 	what had started off as a brilliant , somewhat harmless conspiracy to fool the general public begins to seem more like something that would happen in a movie .	2	-2	 what[0] had[0] started[0] off[0] as[0] a[0] brilliant[1] somewhat[0] harmless[1] conspiracy[-1] to[0] fool[-1] the[0] general[0] public[0] begins[0] to[0] seem[0] more[0] like[1] something[0] that[0] would[0] happen[0] in[0] a[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , the situation comedy is quite funny , especially a montage showing the entire country flinging old shoes into trees to honor sgt . 	still , the situation comedy is quite funny , especially a montage showing the entire country flinging old shoes into trees to honor sgt .	2	-1	 still[0] the[0] situation[0] comedy[0] is[0] quite[0] funny[1] especially[0] a[0] montage[0] showing[0] the[0] entire[0] country[0] flinging[0] old[0] shoes[0] into[0] trees[0] to[0] honor[0] sgt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
willie schumann - a war hero motss and brean concocted . 	willie schuman - a war hero motss and brean concocted .	3	-3	 willie[0] schumann/schuman[0] a[0] war[-2] hero[2] motss[0] and[0] brean[0] concocted[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
truly great satire manages to create for an entertaining story that makes you laugh at the time , but think about afterwards and " wag the dog " at least succeeds in this respect . 	truly great satire manages to create for an entertaining story that makes you laugh at the time , but think about afterwards and " wag the dog " at least succeeds in this respect .	3	-1	 truly[1] great[2] satire[0] manages[0] to[0] create[0] for[0] an[0] entertaining[0] story[0] that[0] makes[0] you[0] laugh[1] at[0] the[0] time[0] but[0] think[0] about[0] afterwards[0] and[0] wag[0] the[0] dog[0] at[0] least[0] succeeds[2] in[0] this[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , in retrospect it seems like so much more could have been done , namely by extending the running time and filling in the plot holes . 	however , in retrospect it seems like so much more could have been done , namely by extending the running time and filling in the plot holes .	2	-1	 however[0] in[0] retrospect[0] it[0] seems[0] like[1] so[0] much[0] more[0] could[0] have[0] been[0] done[0] namely[0] by[0] extending[0] the[0] running[0] time[0] and[0] filling[0] in[0] the[0] plot[0] holes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then again , it's a valiant effort . 	then again , it's a valiant effort .	1	-1	 then[0] again[0] it's[0] a[0] valiant[0] effort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
