the farrelly brothers' third film , after dumb and dumber ( 7 . 5/10 ) and kingpin ( 8/10 ) , brings together the real-life couple of cameron diaz and matt dillon , some nasty humour , a cute dog , and a mix of love , fate and romance . 	Translation	Positive	Negative	EmotionRationale
little known facts : the farrellys big break came when they somehow got a copy of their script " dust to dust " into the hands of eddie murphy via ? murphy's neighbour . 	little known facts : the farrellys big break came when they somehow got a copy of their script " dust to dust " into the hands of eddie murphy via ?<br> murphy's neighbour .	1	-1	 little[0] known[0] facts[0] the[0] farrellys[0] big[0] break[0] came[0] when[0] they[0] somehow[0] got[0] a[0] copy[0] of[0] their[0] script[0] dust[0] to[0] dust[0] into[0] the[0] hands[0] of[0] eddie[0] murphy[0] via[0] [[Sentence=-1,1=word max, 1-5]] murphy's[0] neighbour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they only found out about murphy's interest , when they saw eddie mention the script on the david letterman show one night . 	they only found out about murphy's interest , when they saw eddie mention the script on the david letterman show one night .	2	-1	 they[0] only[0] found[0] out[0] about[0] murphy's[0] interest[1] when[0] they[0] saw[0] eddie[0] mention[0] the[0] script[0] on[0] the[0] david[0] letterman[0] show[0] one[0] night[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
matt dillon is a high school dropout . 	matt dillon is a high school dropout .	1	-1	 matt[0] dillon[0] is[0] a[0] high[0] school[0] dropout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in between acting gigs , dillon has branched out into the restaurant business . 	in between acting gigs , dillon has branched out into the restaurant business .	1	-1	 in[0] between[0] acting[0] gigs[0] dillon[0] has[0] branched[0] out[0] into[0] the[0] restaurant[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
close to home in his native new york , he co-owns both a bar called the whiskey and a swanky uptown eatery called the falls . 	close to home in his native new york , he co-owns both a bar called the whiskey and a swanky uptown eatery called the falls .	1	-1	 close[0] to[0] home[0] in[0] his[0] native[0] new[0] york[0] he[0] co[0] owns[0] both[0] a[0] bar[0] called[0] the[0] whiskey[0] and[0] a[0] swanky[0] uptown[0] eatery[0] called[0] the[0] falls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cameron diaz stands 5 " 9 , started working as a model at the early age of 16 , and loves cats . 	cameron diaz stands 5 " 9 , started working as a model at the early age of 16 , and loves cats .	3	-1	 cameron[0] diaz[0] stands[0] 5[0] 9[0] started[0] working[0] as[0] a[0] model[0] at[0] the[0] early[0] age[0] of[0] 16[0] and[0] loves[2] cats[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ben stiller's father is jerry stiller . 	ben stiller's father is jerry stiller .	1	-1	 ben[0] stiller's[0] father[0] is[0] jerry[0] stiller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he played george costanza's ( jason alexander ) father on tv's " seinfeld " . 	he played george costanza's ( jason alexander ) father on tv's " seinfeld " .	1	-1	 he[0] played[0] george[0] costanza's[0] jason[0] alexander[0] father[0] on[0] tv's[0] seinfeld[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter farrelly has written a novel entitled " outside providence " which is currently being filmed starring alec baldwin . 	peter farrelly has written a novel entitled " outside providence " which is currently being filmed starring alec baldwin .	1	-1	 peter[0] farrelly[0] has[0] written[0] a[0] novel[0] entitled[0] outside[0] providence[0] which[0] is[0] currently[0] being[0] filmed[0] starring[0] alec[0] baldwin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rob moran , who plays the cop in this film , also played the millionaire bowler in kingpin , and the bartender in dumb and dumber . 	rob moran , who plays the cop in this film , also played the millionaire bowler in kingpin , and the bartender in dumb and dumber .	2	-2	 rob[0] moran[0] who[0] plays[1] the[0] cop[0] in[0] this[0] film[0] also[0] played[0] the[0] millionaire[0] bowler[0] in[0] kingpin[0] and[0] the[0] bartender[0] in[0] dumb[-1] and[0] dumber[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is old friends with the farrelly brothers from college , and is currently married to entertainment tonight anchor/correspondant julie moran . 	he is old friends with the farrelly brothers from college , and is currently married to entertainment tonight anchor/correspondant julie moran .	2	-1	 he[0] is[0] old[0] friends[1] with[0] the[0] farrelly[0] brothers[0] from[0] college[0] and[0] is[0] currently[0] married[0] to[0] entertainment[0] tonight[0] anchor/correspondant[0] julie[0] moran[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
harland williams , who plays the nutty hitchhiker in this film , also played a state trooper in the farrelly's earlier dumb and dumber , and was the star of the unfortunate rocket man . 	harland williams , who plays the nutty hitchiker in this film , also played a state trooper in the farrelly's earlier dumb and dumber , and was the star of the unfortunate rocket man .	2	-2	 harland[0] williams[0] who[0] plays[1] the[0] nutty[0] hitchhiker/hitchiker[0] in[0] this[0] film[0] also[0] played[0] a[0] state[0] trooper[0] in[0] the[0] farrelly's[0] earlier[0] dumb[-1] and[0] dumber[-1] and[0] was[0] the[0] star[0] of[0] the[0] unfortunate[-1] rocket[0] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
