historical epic as a genre was almost banished from hollywood in early 1990s . 	Translation	Positive	Negative	EmotionRationale
braveheart was only the second film in the directorial career by mel gibson , so it wouldn't be fair to compare it to the better known genre classics directed by david lean or anthony mann . 	braveheart was only the second film in the directorial career by mel gibson , so it wouldn't be fair to compare it to the better known genre classics directed by david lean or anthony man .	3	-1	 braveheart[2] was[0] only[0] the[0] second[0] film[0] in[0] the[0] directorial[0] career[0] by[0] mel[0] gibson[0] so[0] it[0] wouldn't[0] be[0] fair[0] to[0] compare[0] it[0] to[0] the[0] better[0] known[0] genre[0] classics[0] directed[0] by[0] david[0] lean[0] or[0] anthony[0] mann/man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , even when we apply such criteria braveheart is more than decent historical epic that takes new and refreshing approach to the genre . 	however , even when we apply such criteria braveheart is more than decent historical epic that takes new and refreshing approach to the genre .	3	-1	 however[0] even[0] when[0] we[0] apply[0] such[0] criteria[0] braveheart[2] is[0] more[0] than[0] decent[0] historical[0] epic[0] that[0] takes[0] new[0] and[0] refreshing[0] approach[0] to[0] the[0] genre[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the most noticeable element of this approach is naturalism . 	the most noticeable element of this approach is naturalism .	1	-1	 the[0] most[0] noticeable[0] element[0] of[0] this[0] approach[0] is[0] naturalism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while older hollywood films set in medieval europe used to give fairytale-like vision of picturesque castles , splendid costumes and knights in shining armour , gibson shows us the extremely unpleasant world of poverty and feudal injustice where might made right and life was hard , short and brutish . 	while older hollywood films set in medieval europe used to give fairytale-like vision of picturesque castles , splendid costumes and knights in shining armour , gibson shows us the extremely unpleasant world of poverty and feudal injustice where might made right and life was hard , short and brutish .	3	-5	 while[0] older[0] hollywood[0] films[0] set[0] in[0] medieval[0] europe[0] used[0] to[0] give[0] fairytale[0] like[1] vision[0] of[0] picturesque[1] castles[0] splendid[2] costumes[0] and[0] knights[0] in[0] shining[0] armour[0] gibson[0] shows[0] us[0] the[0] extremely[0] unpleasant[-2][-2 LastWordBoosterStrength] world[0] of[0] poverty[-1] and[0] feudal[-2] injustice[0] where[0] might[0] made[0] right[0] and[0] life[0] was[0] hard[0] short[0] and[0] brutish[-1] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
this general unpleasantness is especially underlined in the scenes of battle , where hand-to-hand combat is naturalistically displayed in all its gory details , never seen since verhoeven's ultra-naturalistic flesh & blood . 	this general unpleasantness is especially underlined in the scenes of battle , where hand-to-hand combat is naturalistically displayed in all its gory details , never seen since verhoeven's ultra-naturalistic flesh & blood .	1	-3	 this[0] general[0] unpleasantness[-2] is[0] especially[0] underlined[0] in[0] the[0] scenes[0] of[0] battle[-1] where[0] hand[0] to[0] hand[0] combat[-1] is[0] naturalistically[0] displayed[0] in[0] all[0] its[0] gory[0] details[0] never[0] seen[0] since[0] verhoeven's[0] ultra[0] naturalistic[0] flesh[0] &[0] blood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
compared with this naturalistic approach , most of old hollywood epics look like stage plays . 	compared with this naturalistic approach , most of old hollywood epics look like stage plays .	2	-1	 compared[0] with[0] this[0] naturalistic[0] approach[0] most[0] of[0] old[0] hollywood[0] epics[0] look[0] like[1] stage[0] plays[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
braveheart also employs humour at the right places , not only to make bloody realities of medieval british isles more bearable to sensitive audiences , but also to underline its down-to-earth atmosphere , so different from previous historical epics . 	braveheart also employs humour at the right places , not only to make bloody realities of medieval british isles more bearable to sensitive audiences , but also to underline its down-to-earth atmosphere , so different from previous historical epics .	3	-2	 braveheart[2] also[0] employs[0] humour[2] at[0] the[0] right[0] places[0] not[0] only[0] to[0] make[0] bloody[-1] realities[0] of[0] medieval[0] british[0] isles[0] more[0] bearable[0] to[0] sensitive[0] audiences[0] but[0] also[0] to[0] underline[0] its[0] down[0] to[0] earth[0] atmosphere[0] so[0] different[0] from[0] previous[0] historical[0] epics[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what makes braveheart " larger than life " is his protagonist . 	what makes braveheart " larger than life " is his protagonist .	3	-1	 what[0] makes[0] braveheart[2] larger[0] than[0] life[0] is[0] his[0] protagonist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mel gibson obviously invested plenty of his energy and talent in bringing the mythical figure of william wallace and , as a result , character of 15th century poems is transformed into superhuman being that resembles late 20th century comic book hero . 	mel gibson obviously invested plenty of his energy and talent in bringing the mythical figure of william wallace and , as a result , character of 15th century poems is transformed into superhuman being that resembles late 20th century comic book hero .	3	-1	 mel[0] gibson[0] obviously[0] invested[0] plenty[0] of[0] his[0] energy[0] and[0] talent[1] in[0] bringing[0] the[0] mythical[0] figure[0] of[0] william[0] wallace[0] and[0] as[0] a[0] result[0] character[0] of[0] 15th[0] century[0] poems[0] is[0] transformed[0] into[0] superhuman[0] being[0] that[0] resembles[0] late[0] 20th[0] century[0] comic[0] book[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wallace is more than superior to his enemies , both physically and mentally , yet he is able to show his sensitive , more vulnerable side . 	wallace is more than superior to his enemies , both physically and mentally , yet he is able to show his sensitive , more vulnerable side .	3	-3	 wallace[0] is[0] more[0] than[0] superior[2] to[0] his[0] enemies[-1] both[0] physically[0] and[0] mentally[0] yet[0] he[0] is[0] able[0] to[0] show[0] his[0] sensitive[0] more[0] vulnerable[-2] side[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
naturally , when the character is based on epic poems , most of historical accuracy is going down the drain ( which was the case with almost every historical epic from hollywood in 1990s ) . 	naturally , when the character is based on epic poems , most of historical accuracy is going down the drain ( which was the case with almost every historical epic from hollywood in 1990s ) .	1	-1	 naturally[0] when[0] the[0] character[0] is[0] based[0] on[0] epic[0] poems[0] most[0] of[0] historical[0] accuracy[0] is[0] going[0] down[0] the[0] drain[0] which[0] was[0] the[0] case[0] with[0] almost[0] every[0] historical[0] epic[0] from[0] hollywood[0] in[0] 1990s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , even those who don't particularly care about history or are willing to give poetic license to scriptwriter randall wallace might think that he went over the top in idolising wallace , especially in the second part of film when scottish superhero manages to seduce princess isabel ( played by sophie marceau ) and make her a child . 	however , even those who don't particularly care about history or are willing to give poetic license to scriptwriter randall wallace might think that he went over the top in idolising wallace , especially in the second part of film when scottish superhero manages to seduce princess isabel ( played by sophie marceau ) and make her a child .	1	-2	 however[0] even[0] those[0] who[0] don't[0] particularly[0] care[1][NegatedDueToPreviousWord] about[0] history[0] or[0] are[0] willing[0] to[0] give[0] poetic[0] license[0] to[0] scriptwriter[0] randall[0] wallace[0] might[0] think[0] that[0] he[0] went[0] over[0] the[0] top[0] in[0] idolising[0] wallace[0] especially[0] in[0] the[0] second[0] part[0] of[0] film[0] when[0] scottish[0] superhero[0] manages[0] to[0] seduce[0] princess[0] isabel[0] played[0] by[0] sophie[0] marceau[0] and[0] make[0] her[0] a[0] child[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because of that the disbelief is hardly suspended , and final scenes aren't as effective as they should be . 	because of that the disbelief is hardly suspended , and final scenes aren't as effective as they should be .	1	-2	 because[0] of[0] that[0] the[0] disbelief[-1] is[0] hardly[0] suspended[0] and[0] final[0] scenes[0] aren't[0] as[0] effective[0] as[0] they[0] should[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mel gibson as an actor is truly wonderful , and he is also helped by small army of very good british and irish actors . 	mel gibson as an actor is truly wonderful , and he is also helped by small army of very good british and irish actors .	3	-1	 mel[0] gibson[0] as[0] an[0] actor[0] is[0] truly[1] wonderful[2] and[0] he[0] is[0] also[0] helped[0] by[0] small[0] army[0] of[0] very[0] good[1][1 LastWordBoosterStrength] british[0] and[0] irish[0] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most memorable of them all is patrick mcgoohan , whose cold , calculated and evil medieval monarch is one of the most effective villains seen in contemporary cinema . 	most memorable of them all is patrick mcgoohan , whose cold , calculated and evil medieval monarch is one of the most effective villains seen in contemporary cinema .	1	-3	 most[0] memorable[0] of[0] them[0] all[0] is[0] patrick[0] mcgoohan[0] whose[0] cold[-1] calculated[0] and[0] evil[-2] medieval[0] monarch[0] is[0] one[0] of[0] the[0] most[0] effective[0] villains[-2] seen[0] in[0] contemporary[0] cinema[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
brendan gleeson ( who would later become famous for his role in boorman's general ) is also very good as wallace's trusted companion , as well as ian bannen is effective as leprosy-stricken king john balliol . 	brendan gleeson ( who would later become famous for his role in boorman's general ) is also very good as wallace's trusted companion , as well as ian bannen is effective as leprosy-stricken king john balliol .	3	-2	 brendan[0] gleeson[0] who[0] would[0] later[0] become[0] famous[0] for[0] his[0] role[0] in[0] boorman's[0] general[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] as[0] wallace's[0] trusted[1] companion[0] as[0] well[0] as[0] ian[0] bannen[0] is[0] effective[0] as[0] leprosy[0] stricken[-1] king[0] john[0] balliol[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
david o'harra is very entertaining as wallace's irish ally , and angus macfadyen brings a lot of anxiety into his conscience-stricken character of robert the bruce . 	david o'harra is very entertaining as wallace's irish ally , and angus macfadyen brings a lot of anxiety into his conscience-stricken character of robert the bruce .	1	-3	 david[0] o'harra[0] is[0] very[0] entertaining[0] as[0] wallace's[0] irish[0] ally[0] and[0] angus[0] macfadyen[0] brings[0] a[0] lot[0] of[0] anxiety[-2] into[0] his[0] conscience[0] stricken[-1] character[0] of[0] robert[0] the[0] bruce[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
women in this film have rather thankless roles , especially marceau as one-dimensional french princess . 	women in this film have rather thankless roles , especially marceau as one-dimensional french princess .	1	-1	 women[0] in[0] this[0] film[0] have[0] rather[0] thankless[0] roles[0] especially[0] marceau[0] as[0] one[0] dimensional[0] french[0] princess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
catherine mccormack as wallace's wife was more interesting , but she was eliminated from the picture early on . 	catherine mccormack as wallace's wife was more interesting , but she was eliminated from the picture early on .	2	-1	 catherine[0] mccormack[0] as[0] wallace's[0] wife[0] was[0] more[0] interesting[1] but[0] she[0] was[0] eliminated[0] from[0] the[0] picture[0] early[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
from the technical point of view , the film is also very good . 	from the technical point of view , the film is also very good .	3	-1	 from[0] the[0] technical[0] point[0] of[0] view[0] the[0] film[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
photography by john toll brings a lot of scottish natural beauty to the screen . 	photography by john toll brings a lot of scottish natural beauty to the screen .	3	-1	 photography[0] by[0] john[0] toll[0] brings[0] a[0] lot[0] of[0] scottish[0] natural[0] beauty[2] to[0] the[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the other hand , the musical score by james horner employs too much of modern-day instruments for period piece set in medieval times . 	on the other hand , the musical score by james horner employs too much of modern-day instruments for period piece set in medieval times .	1	-1	 on[0] the[0] other[0] hand[0] the[0] musical[0] score[0] by[0] james[0] horner[0] employs[0] too[0] much[0] of[0] modern[0] day[0] instruments[0] for[0] period[0] piece[0] set[0] in[0] medieval[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although mostly welcomed by critics and audiences alike , braveheart was often criticised for homophobia and other forms of extreme conservatism . 	although mostly welcomed by critics and audiences alike , braveheart was often criticised for homophobia and other forms of extreme conservatism .	3	-2	 although[0] mostly[0] welcomed[1] by[0] critics[0] and[0] audiences[0] alike[0] braveheart[2] was[0] often[0] criticised[-1] for[0] homophobia[0] and[0] other[0] forms[0] of[0] extreme[0] conservatism[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the main reason for that was the fact that gibson , among many historical facts , chose to be faithful only to those related to sexual orientation of " longshank " 's son prince edward ( played by peter hanly ) . 	the main reason for that was the fact that gibson , among many historical facts , chose to be faithful only to those related to sexual orientation of " longshank " 's son prince edward ( played by peter hanly ) .	2	-1	 the[0] main[0] reason[0] for[0] that[0] was[0] the[0] fact[0] that[0] gibson[0] among[0] many[0] historical[0] facts[0] chose[0] to[0] be[0] faithful[1] only[0] to[0] those[0] related[0] to[0] sexual[0] orientation[0] of[0] longshank[0] 's[0] son[0] prince[0] edward[0] played[0] by[0] peter[0] hanly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is not only presented as a villain , but also as one of the less competent in villain's camp - and portraying of homosexuals as villains or inferior to heterosexuals is almost unforgivable sin in " politically correct " hollywood . 	he is not only presented as a villain , but also as one of the less competent in villain's camp - and portraying of homosexuals as villains or inferior to heterosexuals is almost unforgivable sin in " politically correct " hollywood .	1	-3	 he[0] is[0] not[0] only[0] presented[0] as[0] a[0] villain[-2] but[0] also[0] as[0] one[0] of[0] the[0] less[0] competent[0] in[0] villain's[-2] camp[0] and[0] portraying[0] of[0] homosexuals[0] as[0] villains[-2] or[0] inferior[-1] to[0] heterosexuals[0] is[0] almost[0] unforgivable[0] sin[-1] in[0] politically[0] correct[0] hollywood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to make things even more obvious , good guys in this film are the total opposite of effeminate and incompetent edward - rugged macho men of mountains who are more practical and efficient because they tend to employ conservatives' common sense instead of fashionable theories of ivory tower liberals . 	to make things even more obvious , good guys in this film are the total opposite of effeminate and incompetent edward - rugged macho men of mountains who are more practical and efficient because they tend to employ conservatives' common sense instead of fashionable theories of ivory tower liberals .	2	-3	 to[0] make[0] things[0] even[0] more[0] obvious[0] good[1] guys[0] in[0] this[0] film[0] are[0] the[0] total[0] opposite[0] of[0] effeminate[0] and[0] incompetent[-2] edward[0] rugged[0] macho[0] men[0] of[0] mountains[0] who[0] are[0] more[0] practical[0] and[0] efficient[0] because[0] they[0] tend[0] to[0] employ[0] conservatives'[0] common[0] sense[0] instead[0] of[0] fashionable[0] theories[0] of[0] ivory[0] tower[0] liberals[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , although the message of this film might look right-wing , it owes more to leftist ideology of various national liberation movements in 20th century . 	however , although the message of this film might look right-wing , it owes more to leftist ideology of various national liberation movements in 20th century .	1	-1	 however[0] although[0] the[0] message[0] of[0] this[0] film[0] might[0] look[0] right[0] wing[0] it[0] owes[0] more[0] to[0] leftist[0] ideology[0] of[0] various[0] national[0] liberation[0] movements[0] in[0] 20th[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
according to that ideology , oppressed classes ( workers , peasants ) are better suited to fight for national freedom because their members has less to lose in that struggle and , as such , they are more radical , less willing to make compromises and more efficient ; on the other hand , privileged classes ( aristocracy , bourgeoisie ) are more likely to betray the cause of freedom and be in cahoots with foreign oppressors in order to keep their privileges . 	according to that ideology , oppressed classes ( workers , peasants ) are better suited to fight for national freedom because their members has less to lose in that struggle and , as such , they are more radical , less willing to make compromises and more efficient ; on the other hand , privileged classes ( aristocracy , bourgeoisie ) are more likely to betray the cause of freedom and be in cahoots with foreign oppressors in order to keep their privileges .	2	-3	 according[0] to[0] that[0] ideology[0] oppressed[-2] classes[0] workers[0] peasants[0] are[0] better[0] suited[0] to[0] fight[-2] for[0] national[0] freedom[0] because[0] their[0] members[0] has[0] less[0] to[0] lose[-1] in[0] that[0] struggle[-1] and[0] as[0] such[0] they[0] are[0] more[0] radical[-1] less[0] willing[0] to[0] make[0] compromises[0] and[0] more[0] efficient[0] on[0] the[0] other[0] hand[0] privileged[1] classes[0] aristocracy[0] bourgeoisie[0] are[0] more[0] likely[0] to[0] betray[-2] the[0] cause[0] of[0] freedom[0] and[0] be[0] in[0] cahoots[0] with[0] foreign[-1] oppressors[-2] in[0] order[0] to[0] keep[0] their[0] privileges[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this marxist worldview is presented in braveheart without any subtlety . 	this marxist worldview is presented in braveheart without any subtlety .	3	-1	 this[0] marxist[0] worldview[0] is[0] presented[0] in[0] braveheart[2] without[0] any[0] subtlety[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the end , whether the audience is patient enough to discover hidden meanings or simply wants to enjoy entertaining historical epic , braveheart is more than adequate choice for all fans of this recently resurrected genre . 	in the end , whether the audience is patient enough to discover hidden meanings or simply wants to enjoy entertaining historical epic , braveheart is more than adequate choice for all fans of this recently resurrected genre .	3	-1	 in[0] the[0] end[0] whether[0] the[0] audience[0] is[0] patient[0] enough[0] to[0] discover[0] hidden[0] meanings[0] or[0] simply[0] wants[0] to[0] enjoy[2] entertaining[0] historical[0] epic[0] braveheart[2] is[0] more[0] than[0] adequate[0] choice[0] for[0] all[0] fans[0] of[0] this[0] recently[0] resurrected[0] genre[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
