as a revolutionary war hero in the patriot , mel gibson provides another macho man performance for hollywood audiences . 	Translation	Positive	Negative	EmotionRationale
this character is viciously evil ; he kills women and children and then laughs about it on the way home ; even his eyes are evil . 	this character is viciously evil ; he kills women and children and then laughs about it on the way home ; even his eyes are evil .	2	-4	 this[0] character[0] is[0] viciously[-3] evil[-2][-1 MultiplePositiveWords] he[0] kills[0] women[0] and[0] children[0] and[0] then[0] laughs[1] about[0] it[0] on[0] the[0] way[0] home[0] even[0] his[0] eyes[0] are[0] evil[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his portrayal has sparked some controversy in britain , some claim that he falsely represents his countrymen as " cowardly " and " sadistic . " 	his portrayal has sparked some controversy in britain , some claim that he falsely represents his countrymen as " cowardly " and " sadistic .<br> "	1	-2	 his[0] portrayal[0] has[0] sparked[0] some[0] controversy[-1][--1 LastWordBoosterStrength] in[0] britain[0] some[0] claim[0] that[0] he[0] falsely[0] represents[0] his[0] countrymen[0] as[0] cowardly[-1] and[0] sadistic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i disagree with this accusation . 	i disagree with this accusation .	1	-2	 i[0] disagree[-1] with[0] this[0] accusation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tavington does not represent his country ; his unnecessary executions shock his own colleagues and even anger his general . 	tavington does not represent his country ; his unnecessary executions shock his own colleagues and even anger his general .	1	-4	 tavington[0] does[0] not[0] represent[0] his[0] country[0] his[0] unnecessary[-1] executions[0] shock[-2] his[0] own[0] colleagues[0] and[0] even[0] anger[-3] his[0] general[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
besides tavington , the redcoats remain stick figures that are neither glorified nor patronized . 	besides tavington , the redcoats remain stick figures that are neither glorified nor patronized .	2	-1	 besides[0] tavington[0] the[0] redcoats[0] remain[0] stick[0] figures[0] that[0] are[0] neither[0] glorified[1] nor[0] patronized[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and stick figures make the easiest enemies in these kinds of movies - why give the audience a reason to love the bad guys ? 	and stick figures make the easiest enemies in these kinds of movies - why give the audience a reason to love the bad guys ?	3	-2	 and[0] stick[0] figures[0] make[0] the[0] easiest[0] enemies[-1] in[0] these[0] kinds[0] of[0] movies[0] why[0] give[0] the[0] audience[0] a[0] reason[0] to[0] love[2] the[0] bad[-1] guys[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
heck , why not spend the entire film glossing up the good guys ? 	heck , why not spend the entire film glossing up the good guys ?	2	-1	 heck[0] why[0] not[0] spend[0] the[0] entire[0] film[0] glossing[0] up[0] the[0] good[1] guys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the patriot is three hours of fictional fireworks . 	the patriot is three hours of fictional fireworks .	1	-1	 the[0] patriot[0] is[0] three[0] hours[0] of[0] fictional[0] fireworks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with an action hero seeking revenge and a comic book villain ready to take him down , it's a lethal weapon for the colonial times . 	with an action hero seeking revenge and a comic book villain ready to take him down , it's a lethal weapon for the colonial times .	3	-3	 with[0] an[0] action[0] hero[2] seeking[0] revenge[-1] and[0] a[0] comic[0] book[0] villain[-2] ready[0] to[0] take[0] him[0] down[0] it's[0] a[0] lethal[0] weapon[-1] for[0] the[0] colonial[0] times[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
god bless america ! 	god bless america !	2	-1	 god[0] bless[1] america[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and god bless the patriot ! 	and god bless the patriot !	2	-1	 and[0] god[0] bless[1] the[0] patriot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
