the calendar year has not even reached its midway point , but that hasn't prevented columbia pictures from trotting out a lavish period drama more befitting of the winter oscar-bait season . 	Translation	Positive	Negative	EmotionRationale
he and screenwriter rafael yglesias bring the sprawling tale into clear focus and keep the events moving at a brisk pace . 	he and screenwriter rafael yglesias bring the sprawling tale into clear focus and keep the events moving at a brisk pace .	1	-1	 he[0] and[0] screenwriter[0] rafael[0] yglesias[0] bring[0] the[0] sprawling[0] tale[0] into[0] clear[0] focus[0] and[0] keep[0] the[0] events[0] moving[0] at[0] a[0] brisk[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
production designer anna asp , costume designer gabriella pescucci , and cinematographer jorgen persson give les miserables a sumptuous period look whose accomplishment is mostly matched by the efforts of the cast . 	production designer anna asp , costume designer gabriella pescucci , and cinematographer jorgen person give les miserables a sumptuous period look whose accomplishment is mostly matched by the efforts of the cast .	2	-3	 production[0] designer[0] anna[0] asp[0] costume[0] designer[0] gabriella[0] pescucci[0] and[0] cinematographer[0] jorgen[0] persson/person[0] give[0] les[0] miserables[-2] a[0] sumptuous[0] period[0] look[0] whose[0] accomplishment[1] is[0] mostly[0] matched[0] by[0] the[0] efforts[0] of[0] the[0] cast[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
neeson is commanding yet endearingly vulnerable ; rush's finely modulated menace is far more rewarding than his overrated , oscar-winning theatrics in shine ; and thurman disappears nicely into her highly unglamorous role . 	neeson is commanding yet endearingly vulnerable ; rush's finely modulated menace is far more rewarding than his overrated , oscar-winning theatrics in shine ; and thurman disappears nicely into her highly unglamorous role .	2	-3	 neeson[0] is[0] commanding[0] yet[0] endearingly[0] vulnerable[-2] rush's[0] finely[0] modulated[0] menace[-2] is[0] far[0] more[0] rewarding[1] than[0] his[0] overrated[0] oscar[0] winning[1] theatrics[0] in[0] shine[0] and[0] thurman[0] disappears[0] nicely[1] into[0] her[0] highly[0] unglamorous[0] role[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the younger members of the cast fare less well . 	the younger members of the cast fare less well .	1	-1	 the[0] younger[0] members[0] of[0] the[0] cast[0] fare[0] less[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
danes is convincing as cosette , but her overdone lip quivering during her crying scenes becomes a distraction ; and matheson , while competent , is a less interesting robert sean leonard . 	danes is convincing as cosette , but her overdone lip quivering during her crying scenes becomes a distraction ; and matheson , while competent , is a less interesting robert sean leonard .	2	-4	 danes[0] is[0] convincing[0] as[0] cosette[0] but[0] her[0] overdone[0] lip[0] quivering[0] during[0] her[0] crying[-3] scenes[0] becomes[0] a[0] distraction[-1] and[0] matheson[0] while[0] competent[0] is[0] a[0] less[0] interesting[1] robert[0] sean[0] leonard[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as technically adept and cerebrally engaging the film is , by the time les miserables was over , my emotions had only been superficially involved . 	as technically adept and cerebrally engaging the film is , by the time les miserables was over , my emotions had only been superficially involved .	1	-3	 as[0] technically[0] adept[0] and[0] cerebrally[0] engaging[0] the[0] film[0] is[0] by[0] the[0] time[0] les[0] miserables[-2] was[0] over[0] my[0] emotions[0] had[0] only[0] been[0] superficially[-1] involved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while i was touched by valjean's relationships with fantine and cosette , i was not moved . 	while i was touched by valjean's relationships with fantine and cosette , i was not moved .	1	-1	 while[0] i[0] was[0] touched[0] by[0] valjean's[0] relationships[0] with[0] fantine[0] and[0] cosette[0] i[0] was[0] not[0] moved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not even reaching the " touching " level is the cosette-marius pairing . 	not even reaching the " touching " level is the cosette-marius pairing .	1	-1	 not[0] even[0] reaching[0] the[0] touching[0] level[0] is[0] the[0] cosette[0] marius[0] pairing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my only previous experience with les miserables is with the musical ( as i am sure many others' is ) , and i was dismayed to see eponine , a friend of marius's who selflessly dies in the name of her unspoken love for him , almost completely jettisoned from this adaptation ( the daughter of the thenardiers , here she is only briefly seen as a child ) . 	my only previous experience with les miserables is with the musical ( as i am sure many others' is ) , and i was dismayed to see eponine , a friend of marius's who selflessly dies in the name of her unspoken love for him , almost completely jettisoned from this adaptation ( the daughter of the thenardiers , here she is only briefly seen as a child ) .	3	-3	 my[0] only[0] previous[0] experience[0] with[0] les[0] miserables[-2] is[0] with[0] the[0] musical[0] as[0] i[0] am[0] sure[0] many[0] others'[0] is[0] and[0] i[0] was[0] dismayed[-2] to[0] see[0] eponine[0] a[0] friend[1] of[0] marius's[0] who[0] selflessly[0] dies[0] in[0] the[0] name[0] of[0] her[0] unspoken[0] love[2] for[0] him[0] almost[0] completely[0] jettisoned[0] from[0] this[0] adaptation[0] the[0] daughter[0] of[0] the[0] thenardiers[0] here[0] she[0] is[0] only[0] briefly[0] seen[0] as[0] a[0] child[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
her presence would have added some much-needed conflict and emotional heft to the youthful romance , but i suppose august and yglesias felt one tragic heroine ( fantine ) was enough . 	her presence would have added some much-needed conflict and emotional heft to the youthful romance , but i suppose august and yglesias felt one tragic heroine ( fantine ) was enough .	4	-3	 her[0] presence[0] would[0] have[0] added[0] some[0] much[0] needed[0] conflict[-1] and[0] emotional[-1] heft[0] to[0] the[0] youthful[0] romance[3] but[0] i[0] suppose[0] august[0] and[0] yglesias[0] felt[0] one[0] tragic[-2] heroine[2] fantine[0] was[0] enough[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
even so , as 1998 creeps into summer blockbuster season , les miserables is a thoughtful , well-made , entertaining film , one that will sate moviegoers hungry for a dose of drama before popcorn no-brainers invade the multiplex . 	even so , as 1998 creeps into summer blockbuster season , les miserables is a thoughtful , well-made , entertaining film , one that will sate moviegoers hungry for a dose of drama before popcorn no-brainers invade the multiplex .	2	-3	 even[0] so[0] as[0] 1998[0] creeps[0] into[0] summer[0] blockbuster[-1] season[0] les[0] miserables[-2] is[0] a[0] thoughtful[1] well[0] made[0] entertaining[0] film[0] one[0] that[0] will[0] sate[0] moviegoers[0] hungry[-1] for[0] a[0] dose[0] of[0] drama[0] before[0] popcorn[0] no[0] brainers[0] invade[-1] the[0] multiplex[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
