when you go to the movies as much as i do , you unfortunately end up seeing certain movie trailers one too many times . 	Translation	Positive	Negative	EmotionRationale
also , he apparently likes to have his films wrap up with a kick-ass ending . 	also , he apparently likes to have his films wrap up with a kick-ass ending .	3	-2	 also[0] he[0] apparently[0] likes[2] to[0] have[0] his[0] films[0] wrap[0] up[0] with[0] a[0] kick[-1] ass[0] ending[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
frequency is no exception , the ending is unpredictable and incredibly satisfying . 	frequency is no exception , the ending is unpredictable and incredibly satisfying .	4	-1	 frequency[0] is[0] no[0] exception[0] the[0] ending[0] is[0] unpredictable[0] and[0] incredibly[0] satisfying[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
hoblit is three for three , and i hope he can keep it up . 	hoblit is three for three , and i hope he can keep it up .	3	-1	 hoblit[0] is[0] three[0] for[0] three[0] and[0] i[0] hope[2] he[0] can[0] keep[0] it[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now everyone can argue logic this and logic that all you want with the sci-fi elements of frequency . 	now everyone can argue logic this and logic that all you want with the sci-fi elements of frequency .	1	-2	 now[0] everyone[0] can[0] argue[-1] logic[0] this[0] and[0] logic[0] that[0] all[0] you[0] want[0] with[0] the[0] sci[0] fi[0] elements[0] of[0] frequency[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the fact of the matter is that time travel has never been achieved . 	but the fact of the matter is that time travel has never been achieved .	1	-1	 but[0] the[0] fact[0] of[0] the[0] matter[0] is[0] that[0] time[0] travel[0] has[0] never[0] been[0] achieved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who's to say how something works and how it doesn't when it's never happened ? 	who's to say how something works and how it doesn't when it's never happened ?	1	-1	 who's[0] to[0] say[0] how[0] something[0] works[0] and[0] how[0] it[0] doesn't[0] when[0] it's[0] never[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it because we've become accustomed to time travel " laws " from other places like " star trek " and the back to the future trilogy and " quantum leap " ? 	is it because we've become accustomed to time travel " laws " from other places like " star trek " and the back to the future trilogy and " quantum leap " ?	2	-2	 is[0] it[0] because[0] we've[0] become[0] accustomed[-1] to[0] time[0] travel[0] laws[0] from[0] other[0] places[0] like[1] star[0] trek[0] and[0] the[0] back[0] to[0] the[0] future[0] trilogy[0] and[0] quantum[0] leap[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yes , if you sit down and think about it , certain plot elements in this film probably won't make any sense . 	yes , if you sit down and think about it , certain plot elements in this film probably won't make any sense .	1	-1	 yes[0] if[0] you[0] sit[0] down[0] and[0] think[0] about[0] it[0] certain[0] plot[0] elements[0] in[0] this[0] film[0] probably[0] won't[0] make[0] any[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most films are like that . 	most films are like that .	2	-1	 most[0] films[0] are[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't let that dissuade you from seeing this fantastically entertaining film however . 	don't let that dissuade you from seeing this fantastically entertaining film however .	1	-1	 don't[0] let[0] that[0] dissuade[0] you[0] from[0] seeing[0] this[0] fantastically[0] entertaining[0] film[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when frequency was over , it made me wish i had seen it with my father so i could have given him a hug ( okay okay , shut up ) . 	when frequency was over , it made me wish i had seen it with my father so i could have given him a hug ( okay okay , shut up ) .	3	-1	 when[0] frequency[0] was[0] over[0] it[0] made[0] me[0] wish[0] i[0] had[0] seen[0] it[0] with[0] my[0] father[0] so[0] i[0] could[0] have[0] given[0] him[0] a[0] hug[2] okay[0] okay[0] shut[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when you break it down past all its sci-fi elements and serial killer antics , frequency is simply a movie about a father and his son and the bond that they share . 	when you break it down past all its sci-fi elements and serial killer antics , frequency is simply a movie about a father and his son and the bond that they share .	1	-2	 when[0] you[0] break[0] it[0] down[0] past[0] all[0] its[0] sci[0] fi[0] elements[0] and[0] serial[0] killer[-1] antics[0] frequency[0] is[0] simply[0] a[0] movie[0] about[0] a[0] father[0] and[0] his[0] son[0] and[0] the[0] bond[0] that[0] they[0] share[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's touching , it's sincere , and it's what ultimately makes this movie work . 	it's touching , it's sincere , and it's what ultimately makes this movie work .	1	-1	 it's[0] touching[0] it's[0] sincere[0] and[0] it's[0] what[0] ultimately[0] makes[0] this[0] movie[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
