in my review of there's something about mary , i said something to the effect of " laughter isn't everything . " 	Translation	Positive	Negative	EmotionRationale
to describe the story of mafia ! 	to describe the story of mafia !	1	-1	 to[0] describe[0] the[0] story[0] of[0] mafia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is absurd and pointless , but i will mention that it basically follows the framework of the godfather films , with a lot of casino references inserted throughout . 	is absurd and pointless , but i will mention that it basically follows the framework of the godfather films , with a lot of casino references inserted throughout .	1	-2	 is[0] absurd[-1] and[0] pointless[-1] but[0] i[0] will[0] mention[0] that[0] it[0] basically[0] follows[0] the[0] framework[0] of[0] the[0] godfather[0] films[0] with[0] a[0] lot[0] of[0] casino[0] references[0] inserted[0] throughout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way , the parodies seem arbitrary , and rarely victimize mob films : pictures like the english patient , forrest gump , and jaws undergo severe and hilarious bashing . 	along the way , the parodies seem arbitrary , and rarely victimize mob films : pictures like the english patient , forest gump , and jaws undergo severe and hilarious bashing .	3	-3	 along[0] the[0] way[0] the[0] parodies[0] seem[0] arbitrary[-1] and[0] rarely[0] victimize[-2] mob[0] films[0] pictures[0] like[1] the[0] english[0] patient[0] forrest/forest[0] gump[0] and[0] jaws[0] undergo[0] severe[-1] and[0] hilarious[2] bashing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
movies like this rely on just a few things , but the most important element is direction . 	movies like this rely on just a few things , but the most important element is direction .	2	-1	 movies[0] like[1] this[0] rely[0] on[0] just[0] a[0] few[0] things[0] but[0] the[0] most[0] important[0] element[0] is[0] direction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
abrahams has been down this path many times before ( hot shots ! , top secret ! , airplane ! , and any other film with an exclamation point in the title ) , and so i hold most of the success of mafia ! 	abrahams has been down this path many times before ( hot shots !<br> , top secret !<br> , airplane !<br> , and any other film with an exclamation point in the title ) , and so i hold most of the success of mafia !	3	-1	 abrahams[0] has[0] been[0] down[0] this[0] path[0] many[0] times[0] before[0] hot[0] shots[0] [[Sentence=-1,1=word max, 1-5]] top[0] secret[0] [[Sentence=-1,1=word max, 1-5]] airplane[0] [[Sentence=-1,1=word max, 1-5]] and[0] any[0] other[0] film[0] with[0] an[0] exclamation[0] point[0] in[0] the[0] title[0] and[0] so[0] i[0] hold[0] most[0] of[0] the[0] success[2] of[0] mafia[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to his experience . 	to his experience .	1	-1	 to[0] his[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he takes just the right attitude in each scene , and manages to wring at least a bit laughter out of even the most oddly placed references ( one inexplicable moment seems like it wants to make fun of titanic , but it never develops ) . 	he takes just the right attitude in each scene , and manages to wring at least a bit laughter out of even the most oddly placed references ( one inexplicable moment seems like it wants to make fun of titanic , but it never develops ) .	2	-2	 he[0] takes[0] just[0] the[0] right[0] attitude[0] in[0] each[0] scene[0] and[0] manages[0] to[0] wring[0] at[0] least[0] a[0] bit[0] laughter[1] out[0] of[0] even[0] the[0] most[0] oddly[0] placed[0] references[0] one[0] inexplicable[-1] moment[0] seems[0] like[1] it[0] wants[0] to[0] make[0] fun[1] of[0] titanic[0] but[0] it[0] never[0] develops[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the actors are all energetic , which helps a lot with the tone of the film . 	the actors are all energetic , which helps a lot with the tone of the film .	1	-1	 the[0] actors[0] are[0] all[0] energetic[0] which[0] helps[0] a[0] lot[0] with[0] the[0] tone[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mohr ( suicide kings , paulie ) , who is quickly becoming one of my favorite actors , is so good here . 	mohr ( suicide kings , paulie ) , who is quickly becoming one of my favorite actors , is so good here .	2	-4	 mohr[0] suicide[-3] kings[0] paulie[0] who[0] is[0] quickly[0] becoming[0] one[0] of[0] my[0] favorite[1] actors[0] is[0] so[0] good[1] here[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he looks like he's having so much fun that he's containing his laughter in every scene ( watch his face in the sequence by the swimming pool ) . 	he looks like he's having so much fun that he's containing his laughter in every scene ( watch his face in the sequence by the swimming pool ) .	2	-1	 he[0] looks[0] like[1] he's[0] having[0] so[0] much[0] fun[1] that[0] he's[0] containing[0] his[0] laughter[1] in[0] every[0] scene[0] watch[0] his[0] face[0] in[0] the[0] sequence[0] by[0] the[0] swimming[0] pool[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's probably the only performer in the cast who manages to urge laughter without the help of the material . 	he's probably the only performer in the cast who manages to urge laughter without the help of the material .	2	-1	 he's[0] probably[0] the[0] only[0] performer[0] in[0] the[0] cast[0] who[0] manages[0] to[0] urge[0] laughter[1] without[0] the[0] help[0] of[0] the[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lloyd bridges does a decent imitation of brando's godfather , while pamela gidley is dead-on in a full-blown mockery of sharon stone . 	lloyd bridges does a decent imitation of brando's godfather , while pamela gidley is dead-on in a full-blown mockery of sharon stone .	1	-3	 lloyd[0] bridges[0] does[0] a[0] decent[0] imitation[0] of[0] brando's[0] godfather[0] while[0] pamela[0] gidley[0] is[0] dead[-2] on[0] in[0] a[0] full[0] blown[0] mockery[-2] of[0] sharon[0] stone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the hard thing about writing reviews for comedies is that i'm supposed to give examples of things and be specific . 	the hard thing about writing reviews for comedies is that i'm supposed to give examples of things and be specific .	1	-1	 the[0] hard[0] thing[0] about[0] writing[0] reviews[0] for[0] comedies[0] is[0] that[0] i'm[0] supposed[0] to[0] give[0] examples[0] of[0] things[0] and[0] be[0] specific[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , i was so constantly blindsided by laughter during mafia ! 	unfortunately , i was so constantly blindsided by laughter during mafia !	2	-2	 unfortunately[-1] i[0] was[0] so[0] constantly[0] blindsided[-1] by[0] laughter[1] during[0] mafia[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that i can't remember a lot of what made me laugh . 	that i can't remember a lot of what made me laugh .	2	-1	 that[0] i[0] can't[0] remember[0] a[0] lot[0] of[0] what[0] made[0] me[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but that's a good sign : mafia ! 	but that's a good sign : mafia !	2	-1	 but[0] that's[0] a[0] good[1] sign[0] mafia[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is so funny that i wasn't even given time to apply any of the scenes to memory . 	is so funny that i wasn't even given time to apply any of the scenes to memory .	2	-1	 is[0] so[0] funny[1] that[0] i[0] wasn't[0] even[0] given[0] time[0] to[0] apply[0] any[0] of[0] the[0] scenes[0] to[0] memory[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i laughed so hard that it shut off my brain . 	i laughed so hard that it shut off my brain .	2	-1	 i[0] laughed[1] so[0] hard[0] that[0] it[0] shut[0] off[0] my[0] brain[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i know that doesn't sound particularly complimentary , but when watching a dumb comedy like this , the first thing i want to do is shut off my brain . 	i know that doesn't sound particularly complimentary , but when watching a dumb comedy like this , the first thing i want to do is shut off my brain .	2	-2	 i[0] know[0] that[0] doesn't[0] sound[0] particularly[0] complimentary[1] but[0] when[0] watching[0] a[0] dumb[-1] comedy[0] like[1] this[0] the[0] first[0] thing[0] i[0] want[0] to[0] do[0] is[0] shut[0] off[0] my[0] brain[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally , a film that does this for me . 	finally , a film that does this for me .	1	-1	 finally[0] a[0] film[0] that[0] does[0] this[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
