with the sudden liberal emergence of personal privacy abounding in the news lately , what with that whole clinton thing going on ( you know , 100 million bucks to discover the president got boinked by an intern - oh , please , government , waste my taxes just a bit more , would you ? ) , 	Translation	Positive	Negative	EmotionRationale
he's a good dramatic actor ( just see the first half hour of " six degrees of separation " for proof of this , not that he isn't great the whole time ) , and here , he makes his character likable and sympathetic without any real strain on his character , which makes the film lack any real deep interesting qualities . 	he's a good dramatic actor ( just see the first half hour of " six degrees of separation " for proof of this , not that he isn't great the whole time ) , and here , he makes his character likable and sympathetic without any real strain on his character , which makes the film lack any real deep interesting qualities .	2	-3	 he's[0] a[0] good[1] dramatic[0] actor[0] just[0] see[0] the[0] first[0] half[0] hour[0] of[0] six[0] degrees[0] of[0] separation[0] for[0] proof[0] of[0] this[0] not[0] that[0] he[0] isn't[0] great[2][NegatedDueToPreviousWord] the[0] whole[0] time[0] and[0] here[0] he[0] makes[0] his[0] character[0] likable[0] and[0] sympathetic[0] without[0] any[0] real[0] strain[-1] on[0] his[0] character[0] which[0] makes[0] the[0] film[0] lack[-1] any[0] real[0] deep[0] interesting[1] qualities[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
smith becomes involved in a mass conspiracy involving the assasination of a senator opposed to a government law that would create world surveillance , extinguishing privacy as we know it from the world , under the pretense that it would make crime easier to control , when he is passed a disk of the event caught on tape by an outside party ( a nature observer played by , uh , jason lee ) . 	smith becomes involved in a mass conspiracy involving the assasination of a senator opposed to a government law that would create world surveillance , extinguishing privacy as we know it from the world , under the pretense that it would make crime easier to control , when he is passed a disk of the event caught on tape by an outside party ( a nature observer played by , uh , jason lee ) .	1	-2	 smith[0] becomes[0] involved[0] in[0] a[0] mass[0] conspiracy[-1] involving[0] the[0] assasination[0] of[0] a[0] senator[0] opposed[0] to[0] a[0] government[0] law[0] that[0] would[0] create[0] world[0] surveillance[0] extinguishing[-1] privacy[0] as[0] we[0] know[0] it[0] from[0] the[0] world[0] under[0] the[0] pretense[-1] that[0] it[0] would[0] make[0] crime[-1] easier[0] to[0] control[0] when[0] he[0] is[0] passed[0] a[0] disk[0] of[0] the[0] event[0] caught[0] on[0] tape[0] by[0] an[0] outside[0] party[0] a[0] nature[0] observer[0] played[0] by[0] uh[0] jason[0] lee[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the government wants the disk , and is prepared to destroy his life to get it . 	the government wants the disk , and is prepared to destroy his life to get it .	1	-3	 the[0] government[0] wants[0] the[0] disk[0] and[0] is[0] prepared[0] to[0] destroy[-2] his[0] life[0] to[0] get[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as smith's plight is dramatized , we are introduced to the masterminds who surveillance him , sitting in vans disguised as other businesses , staring at computers and pulling out tricks faster than a speeding bullet . 	as smith's plight is dramatized , we are introduced to the masterminds who surveillance him , sitting in vans disguised as other businesses , staring at computers and pulling out tricks faster than a speeding bullet .	1	-2	 as[0] smith's[0] plight[-1] is[0] dramatized[0] we[0] are[0] introduced[0] to[0] the[0] masterminds[0] who[0] surveillance[0] him[0] sitting[0] in[0] vans[0] disguised[0] as[0] other[0] businesses[0] staring[0] at[0] computers[0] and[0] pulling[0] out[0] tricks[-1] faster[0] than[0] a[0] speeding[0] bullet[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these guys ( played by jack black , jamie kennedy , and seth green ) are the most interesting part of this film because they're , well , fascinating : they're doing their jobs , which are evil , but the film doesn't view them as such , and they almost become our friends . 	these guys ( played by jack black , jamie kennedy , and seth green ) are the most interesting part of this film because they're , well , fascinating : they're doing their jobs , which are evil , but the film doesn't view them as such , and they almost become our friends .	2	-3	 these[0] guys[0] played[0] by[0] jack[0] black[0] jamie[0] kennedy[0] and[0] seth[0] green[0] are[0] the[0] most[0] interesting[1] part[0] of[0] this[0] film[0] because[0] they're[0] well[0] fascinating[0] they're[0] doing[0] their[0] jobs[0] which[0] are[0] evil[-2] but[0] the[0] film[0] doesn't[0] view[0] them[0] as[0] such[0] and[0] they[0] almost[0] become[0] our[0] friends[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we like these guys for the sole reason that the film doesn't automatically judge them as the villains . 	we like these guys for the sole reason that the film doesn't automatically judge them as the villains .	2	-3	 we[0] like[1] these[0] guys[0] for[0] the[0] sole[0] reason[0] that[0] the[0] film[0] doesn't[0] automatically[0] judge[0] them[0] as[0] the[0] villains[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they're also scary because we get the idea that they're not fully aware of the impact their jobs have on the world . 	they're also scary because we get the idea that they're not fully aware of the impact their jobs have on the world .	1	-4	 they're[0] also[0] scary[-3] because[0] we[0] get[0] the[0] idea[0] that[0] they're[0] not[0] fully[0] aware[0] of[0] the[0] impact[0] their[0] jobs[0] have[0] on[0] the[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's as if they're obsessed with their jobs , not because they're evil , but because , hey , it's a fun job , and no one else can do it like them . 	it's as if they're obsessed with their jobs , not because they're evil , but because , hey , it's a fun job , and no one else can do it like them .	2	-3	 it's[0] as[0] if[0] they're[0] obsessed[-2] with[0] their[0] jobs[0] not[0] because[0] they're[0] evil[-2] but[0] because[0] hey[1] it's[0] a[0] fun[1] job[0] and[0] no[0] one[0] else[0] can[0] do[0] it[0] like[1] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , this also backfires a bit on the film : instead of being the flashlight in the darkened room that " the game " was , you see everything , and are thus not as freaked out because you know what is going on . 	unfortunately , this also backfires a bit on the film : instead of being the flashlight in the darkened room that " the game " was , you see everything , and are thus not as freaked out because you know what is going on .	2	-2	 unfortunately[-1] this[0] also[0] backfires[0] a[0] bit[0] on[0] the[0] film[0] instead[0] of[0] being[0] the[0] flashlight[0] in[0] the[0] darkened[0] room[0] that[0] the[0] game[0] was[0] you[0] see[0] everything[0] and[0] are[0] thus[0] not[0] as[0] freaked[-1][NegatedDueToPreviousWord] out[0] because[0] you[0] know[0] what[0] is[0] going[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sure , you're chilled , but you're not exacty freaked out by what's going on . 	sure , you're chilled , but you're not exacty freaked out by what's going on .	2	-1	 sure[0] you're[0] chilled[0] but[0] you're[0] not[0] exacty[0] freaked[-1][NegatedDueToPreviousWord] out[0] by[0] what's[0] going[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what do you expect from tony scott , the man who never met a five-second piece of film he ever liked . 	but what do you expect from tony scot , the man who never met a five-second piece of film he ever liked .	3	-1	 but[0] what[0] do[0] you[0] expect[0] from[0] tony[0] scott/scot[0] the[0] man[0] who[0] never[0] met[0] a[0] five[0] second[0] piece[0] of[0] film[0] he[0] ever[0] liked[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's a not-bad director because , hell , he is always interesting to watch ( if not occasionally moronic - exhibit a : " days of thunder " ) , but the reason he's not great is because he's too technical and calculated . 	he's a not-bad director because , hell , he is always interesting to watch ( if not occasionally moronic - exhibit a : " days of thunder " ) , but the reason he's not great is because he's too technical and calculated .	3	-3	 he's[0] a[0] not[0] bad[-1][NegatedDueToPreviousWord] director[0] because[0] hell[-1] he[0] is[0] always[0] interesting[1] to[0] watch[0] if[0] not[0] occasionally[0] moronic[-2][NegatedDueToPreviousWord] exhibit[0] a[0] days[0] of[0] thunder[0] but[0] the[0] reason[0] he's[0] not[0] great[2][NegatedDueToPreviousWord] is[0] because[0] he's[0] too[0] technical[0] and[0] calculated[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his shots are perfectly executed , and leave nothing to the imagination , and they're always making sure you're paying attention . 	his shots are perfectly executed , and leave nothing to the imagination , and they're always making sure you're paying attention .	2	-2	 his[0] shots[0] are[0] perfectly[1] executed[-1] and[0] leave[0] nothing[0] to[0] the[0] imagination[0] and[0] they're[0] always[0] making[0] sure[0] you're[0] paying[0] attention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is incredibly annoying , and it reduces " enemy of the state " to a mechanical mishmash of flashy images that never expand the mind at any great depths , but still manage to entertain without any real problems . 	this is incredibly annoying , and it reduces " enemy of the state " to a mechanical mishmash of flashy images that never expand the mind at any great depths , but still manage to entertain without any real problems .	3	-5	 this[0] is[0] incredibly[0] annoying[-2][-2 LastWordBoosterStrength] and[0] it[0] reduces[0] enemy[-1] of[0] the[0] state[0] to[0] a[0] mechanical[0] mishmash[0] of[0] flashy[0] images[0] that[0] never[0] expand[0] the[0] mind[0] at[0] any[0] great[2] depths[0] but[0] still[0] manage[0] to[0] entertain[0] without[0] any[0] real[0] problems[-1] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
despite never actually becoming great , it's never actually boring and it's always intriguing . 	despite never actually becoming great , it's never actually boring and it's always intriguing .	3	-1	 despite[0] never[0] actually[0] becoming[0] great[2] it's[0] never[0] actually[0] boring[-1][NegatedDueToPreviousWord] and[0] it's[0] always[0] intriguing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watching the government set-up smith is endlessly fascinating , and since we care about smith's likeable protagonist , we are set-up for a good two hours worth of tom clancy-esque entertainment . 	watching the government set-up smith is endlessly fascinating , and since we care about smith's likeable protagonist , we are set-up for a good two hours worth of tom clancy-esque entertainment .	3	-1	 watching[0] the[0] government[0] set[0] up[0] smith[0] is[0] endlessly[0] fascinating[0] and[0] since[0] we[0] care[1] about[0] smith's[0] likeable[2] protagonist[0] we[0] are[0] set[0] up[0] for[0] a[0] good[1] two[0] hours[0] worth[0] of[0] tom[0] clancy[0] esque[0] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
add the best big cast this side of the annual woody allen film ( everyone from gabriel byrne to dan butler pop up for cameos ) , and you've got a good old fashioned escapist drama which does all the thinking for you so that you never have to actually question the debate over personal privacy and so you can follow will smith's plight without a minute's worth of boredom . 	add the best big cast this side of the annual woody allen film ( everyone from gabriel byrne to dan butler pop up for cameos ) , and you've got a good old fashioned escapist drama which does all the thinking for you so that you never have to actually question the debate over personal privacy and so you can follow will smith's plight without a minute's worth of boredom .	2	-2	 add[0] the[0] best[1] big[0] cast[0] this[0] side[0] of[0] the[0] annual[0] woody[0] allen[0] film[0] everyone[0] from[0] gabriel[0] byrne[0] to[0] dan[0] butler[0] pop[0] up[0] for[0] cameos[0] and[0] you've[0] got[0] a[0] good[1] old[0] fashioned[0] escapist[0] drama[0] which[0] does[0] all[0] the[0] thinking[0] for[0] you[0] so[0] that[0] you[0] never[0] have[0] to[0] actually[0] question[0] the[0] debate[0] over[0] personal[0] privacy[0] and[0] so[0] you[0] can[0] follow[0] will[0] smith's[0] plight[-1] without[0] a[0] minute's[0] worth[0] of[0] boredom[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
