it is with hesitance that i call " apocalypse now " a masterpiece . 	Translation	Positive	Negative	EmotionRationale
the narration is exquisite , as is the mystery of kurtz . 	the narration is exquisite , as is the mystery of kurtz .	1	-1	 the[0] narration[0] is[0] exquisite[0] as[0] is[0] the[0] mystery[0] of[0] kurtz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coppola sets about a hallucinatory ride through vietnam , kind of like " saving private ryan " on lsd . 	coppola sets about a hallucinatory ride through vietnam , kind of like " saving private ryan " on lsd .	2	-1	 coppola[0] sets[0] about[0] a[0] hallucinatory[0] ride[0] through[0] vietnam[0] kind[1] of[0] like[1] saving[0] private[0] ryan[0] on[0] lsd[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is jarring in its implications , and psychotic in its execution . 	the film is jarring in its implications , and psychotic in its execution .	1	-1	 the[0] film[0] is[0] jarring[0] in[0] its[0] implications[0] and[0] psychotic[0] in[0] its[0] execution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problems come when the film slows down . 	the problems come when the film slows down .	1	-2	 the[0] problems[-1] come[0] when[0] the[0] film[0] slows[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the major scenes in the film , where the boat arrives at the final army checkpoint before they start their search for kurtz , is a colossal mess . 	one of the major scenes in the film , where the boat arrives at the final army checkpoint before they start their search for kurtz , is a colossal mess .	1	-1	 one[0] of[0] the[0] major[0] scenes[0] in[0] the[0] film[0] where[0] the[0] boat[0] arrives[0] at[0] the[0] final[0] army[0] checkpoint[0] before[0] they[0] start[0] their[0] search[0] for[0] kurtz[0] is[0] a[0] colossal[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is confusing , the lighting is atrocious , and the scene drags on for 10 terrible minutes of film . 	the dialogue is confusing , the lighting is atrocious , and the scene drags on for 10 terrible minutes of film .	1	-4	 the[0] dialogue[0] is[0] confusing[-1] the[0] lighting[0] is[0] atrocious[-3] and[0] the[0] scene[0] drags[0] on[0] for[0] 10[0] terrible[-3] minutes[0] of[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the true problems happen after the crew does come into the kurtz compound . 	the true problems happen after the crew does come into the kurtz compound .	2	-2	 the[0] true[1] problems[-1] happen[0] after[0] the[0] crew[0] does[0] come[0] into[0] the[0] kurtz[0] compound[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film slows down to a drag . 	the film slows down to a drag .	1	-2	 the[0] film[0] slows[0] down[0] to[0] a[0] drag[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sheen seems forever captured by a madman , played by brando is a lazy performance that is not deserving of the accolades it received . 	sheen seems forever captured by a madman , played by brando is a lazy performance that is not deserving of the accolades it received .	1	-2	 sheen[0] seems[0] forever[0] captured[-1] by[0] a[0] madman[-1] played[0] by[0] brando[0] is[0] a[0] lazy[-1] performance[0] that[0] is[0] not[0] deserving[0] of[0] the[0] accolades[0] it[0] received[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brando is in the film for no more than 15 minutes , but is bathed in shadows the entire time , making the last half hour of the film visually pathetic . 	brando is in the film for no more than 15 minutes , but is bathed in shadows the entire time , making the last half hour of the film visually pathetic .	1	-3	 brando[0] is[0] in[0] the[0] film[0] for[0] no[0] more[0] than[0] 15[0] minutes[0] but[0] is[0] bathed[0] in[0] shadows[0] the[0] entire[0] time[0] making[0] the[0] last[0] half[0] hour[0] of[0] the[0] film[0] visually[0] pathetic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scenes are poorly done , the dialogue is muffled , and the whole mess is utterly confusing beyond all belief . 	the scenes are poorly done , the dialogue is muffled , and the whole mess is utterly confusing beyond all belief .	1	-2	 the[0] scenes[0] are[0] poorly[-1] done[0] the[0] dialogue[0] is[0] muffled[0] and[0] the[0] whole[0] mess[0] is[0] utterly[0] confusing[-1] beyond[0] all[0] belief[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sheen seems to adore this man , but why the viewers are never told . 	sheen seems to adore this man , but why the viewers are never told .	4	-1	 sheen[0] seems[0] to[0] adore[3] this[0] man[0] but[0] why[0] the[0] viewers[0] are[0] never[0] told[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the entire journey is supposed to be a prelude for a stunning entrance of this god-like kurtz , but the scenes fall way short of expectations . 	the entire journey is supposed to be a prelude for a stunning entrance of this god-like kurtz , but the scenes fall way short of expectations .	2	-1	 the[0] entire[0] journey[0] is[0] supposed[0] to[0] be[0] a[0] prelude[0] for[0] a[0] stunning[0] entrance[0] of[0] this[0] god[0] like[1] kurtz[0] but[0] the[0] scenes[0] fall[0] way[0] short[0] of[0] expectations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
granted , it has its moments , which are brutally horrific , but the general feeling is one of confusion . 	granted , it has its moments , which are brutally horrific , but the general feeling is one of confusion .	1	-5	 granted[0] it[0] has[0] its[0] moments[0] which[0] are[0] brutally[-2] horrific[-3][-1 MultiplePositiveWords] but[0] the[0] general[0] feeling[0] is[0] one[0] of[0] confusion[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
brando mumbles his lines in a incoherent stir , and my feeling was that this could never be a great man , this could never be a man who inspires hundreds to follow him , so why do they do it ? 	brando mumbles his lines in a incoherent stir , and my feeling was that this could never be a great man , this could never be a man who inspires hundreds to follow him , so why do they do it ?	3	-2	 brando[0] mumbles[-1] his[0] lines[0] in[0] a[0] incoherent[0] stir[0] and[0] my[0] feeling[0] was[0] that[0] this[0] could[0] never[0] be[0] a[0] great[2] man[0] this[0] could[0] never[0] be[0] a[0] man[0] who[0] inspires[2] hundreds[0] to[0] follow[0] him[0] so[0] why[0] do[0] they[0] do[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are moments of brilliance , but the visual confusion dilutes the power of the scene . 	there are moments of brilliance , but the visual confusion dilutes the power of the scene .	2	-2	 there[0] are[0] moments[0] of[0] brilliance[1] but[0] the[0] visual[0] confusion[-1] dilutes[0] the[0] power[0] of[0] the[0] scene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are too many questions left unanswered with the character of kurtz to have a satisfying ending . 	there are too many questions left unanswered with the character of kurtz to have a satisfying ending .	2	-1	 there[0] are[0] too[0] many[0] questions[0] left[0] unanswered[0] with[0] the[0] character[0] of[0] kurtz[0] to[0] have[0] a[0] satisfying[1] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the finest scene at the end is sheen's escape , and his entrace into the temple . 	the finest scene at the end is sheen's escape , and his entrace into the temple .	1	-1	 the[0] finest[0] scene[0] at[0] the[0] end[0] is[0] sheen's[0] escape[0] and[0] his[0] entrace[0] into[0] the[0] temple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his rise out of the water , with the smoke coming off of his slicked head , is a brilliant 30 seconds of film . 	his rise out of the water , with the smoke coming off of his slicked head , is a brilliant 30 seconds of film .	2	-1	 his[0] rise[0] out[0] of[0] the[0] water[0] with[0] the[0] smoke[0] coming[0] off[0] of[0] his[0] slicked[0] head[0] is[0] a[0] brilliant[1] 30[0] seconds[0] of[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet , you cannot shake the feeling that there is so much more this film could have done . 	yet , you cannot shake the feeling that there is so much more this film could have done .	2	-1	 yet[0] you[0] cannot[0] shake[-1][NegatedDueToPreviousWord] the[0] feeling[0] that[0] there[0] is[0] so[0] much[0] more[0] this[0] film[0] could[0] have[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the psychotic ride is unforgettable at times , and indeed the film on the whole is very good . 	the psychotic ride is unforgettable at times , and indeed the film on the whole is very good .	3	-1	 the[0] psychotic[0] ride[0] is[0] unforgettable[0] at[0] times[0] and[0] indeed[0] the[0] film[0] on[0] the[0] whole[0] is[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is a stunningly flawed expression of film , for it addresses major issues , such as man's mental stamina during bouts of war . 	it is a stunningly flawed expression of film , for it addresses major issues , such as man's mental stamina during bouts of war .	1	-3	 it[0] is[0] a[0] stunningly[0] flawed[0] expression[0] of[0] film[0] for[0] it[0] addresses[0] major[0] issues[0] such[0] as[0] man's[0] mental[0] stamina[0] during[0] bouts[0] of[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but one still cannot shake the feeling that this film could have so much more powerful , had the character of kurtz been more explored , and had sheen truly succumbed to the fate that the viewer thought he was destined for . 	but one still cannot shake the feeling that this film could have so much more powerful , had the character of kurtz been more explored , and had sheen truly succumbed to the fate that the viewer thought he was destined for .	2	-2	 but[0] one[0] still[0] cannot[0] shake[-1][NegatedDueToPreviousWord] the[0] feeling[0] that[0] this[0] film[0] could[0] have[0] so[0] much[0] more[0] powerful[0] had[0] the[0] character[0] of[0] kurtz[0] been[0] more[0] explored[0] and[0] had[0] sheen[0] truly[1] succumbed[-1] to[0] the[0] fate[0] that[0] the[0] viewer[0] thought[0] he[0] was[0] destined[0] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is too much good material in here not to be called a masterpiece , but it could have been so much more rewarding . 	there is too much good material in here not to be called a masterpiece , but it could have been so much more rewarding .	2	-1	 there[0] is[0] too[0] much[0] good[1] material[0] in[0] here[0] not[0] to[0] be[0] called[0] a[0] masterpiece[0] but[0] it[0] could[0] have[0] been[0] so[0] much[0] more[0] rewarding[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
