 " gattaca " represents a solid breakthrough in the recent onslaught of science-fiction films -- it's a genre picture that doesn't rely on alien creatures or loud explosions to tell its story . 	Translation	Positive	Negative	EmotionRationale
but on the figurative eve of his upcoming planetary departure , the mission director is murdered . 	but on the figurative eve of his upcoming planetary departure , the mission director is murdered .	1	-4	 but[0] on[0] the[0] figurative[0] eve[0] of[0] his[0] upcoming[0] planetary[0] departure[0] the[0] mission[0] director[0] is[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
two ardent detectives ( alan arkin and billy bathgate's loren dean ) determine the killer is on the inside of gattaca , and the sole clue they find at the crime scene -- one of vincent's eyelashes -- threatens to blow vincent's cover and derail his goal . 	two ardent detectives ( alan arkin and billy bathgate's loren dean ) determine the killer is on the inside of gattaca , and the sole clue they find at the crime scene - one of vincent's eyelashes - threatens to blow vincent's cover and derail his goal .	3	-3	 two[0] ardent[2] detectives[0] alan[0] arkin[0] and[0] billy[0] bathgate's[0] loren[0] dean[0] determine[0] the[0] killer[-1] is[0] on[0] the[0] inside[0] of[0] gattaca[0] and[0] the[0] sole[0] clue[0] they[0] find[0] at[0] the[0] crime[-1] scene[0] one[0] of[0] vincent's[0] eyelashes[0] threatens[-2] to[0] blow[0] vincent's[0] cover[0] and[0] derail[0] his[0] goal[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even if " gattaca " were dramatically empty , it would still boast a sublime set of production credentials -- the film's look is dazzling without ever being flashy . 	even if " gattaca " were dramatically empty , it would still boast a sublime set of production credentials - the film's look is dazling without ever being flashy .	1	-2	 even[0] if[0] gattaca[0] were[0] dramatically[0] empty[0] it[0] would[0] still[0] boast[-1] a[0] sublime[0] set[0] of[0] production[0] credentials[0] the[0] film's[0] look[0] is[0] dazzling/dazling[0] without[0] ever[0] being[0] flashy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first-time director/writer andrew niccol ( he also wrote the screenplay for the upcoming jim carrey drama " the truman show " ) demonstrates a keen eye for the stylish ; his collaboration with cinematographer slawomir idziak , production designer jan roelfs and costume designer colleen atwood result in a sophisticated composition that emanates classy , retro ambiance . 	first-time director/writer andrew niccol ( he also wrote the screenplay for the upcoming jim carrey drama " the truman show " ) demonstrates a keen eye for the stylish ; his collaboration with cinematographer slawomir idziak , production designer jan roelfs and costume designer colleen atwood result in a sophisticated composition that emanates classy , retro ambiance .	1	-1	 first[0] time[0] director/writer[0] andrew[0] niccol[0] he[0] also[0] wrote[0] the[0] screenplay[0] for[0] the[0] upcoming[0] jim[0] carrey[0] drama[0] the[0] truman[0] show[0] demonstrates[0] a[0] keen[0] eye[0] for[0] the[0] stylish[0] his[0] collaboration[0] with[0] cinematographer[0] slawomir[0] idziak[0] production[0] designer[0] jan[0] roelfs[0] and[0] costume[0] designer[0] colleen[0] atwood[0] result[0] in[0] a[0] sophisticated[0] composition[0] that[0] emanates[0] classy[0] retro[0] ambiance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an opening credits sequence -- where skin , nail and hair fragments fall in slow-motion through a colored camera lens -- displays these combined talents uncannily . 	an opening credits sequence - where skin , nail and hair fragments fall in slow-motion through a colored camera lens - displays these combined talents uncannily .	2	-1	 an[0] opening[0] credits[0] sequence[0] where[0] skin[0] nail[0] and[0] hair[0] fragments[0] fall[0] in[0] slow[0] motion[0] through[0] a[0] colored[0] camera[0] lens[0] displays[0] these[0] combined[0] talents[1] uncannily[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
niccol even utilizes voice-over narration ( a device almost always poorly-employed ) in an effective way . 	niccol even utilizes voice-over narration ( a device almost always poorly-employed ) in an effective way .	1	-2	 niccol[0] even[0] utilizes[0] voice[0] over[0] narration[0] a[0] device[0] almost[0] always[0] poorly[-1] employed[0] in[0] an[0] effective[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when it comes to acting , the movie is also flawless . 	when it comes to acting , the movie is also flawless .	2	-1	 when[0] it[0] comes[0] to[0] acting[0] the[0] movie[0] is[0] also[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ethan hawke does magnificent work , proving his ability to carry a film and reaffirming his enormously high charisma level . 	ethan hawke does magnificent work , proving his ability to carry a film and reaffirming his enormously high charisma level .	4	-1	 ethan[0] hawke[0] does[0] magnificent[3] work[0] proving[0] his[0] ability[0] to[0] carry[0] a[0] film[0] and[0] reaffirming[0] his[0] enormously[0] high[0] charisma[0] level[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his chemistry with thurman is a bit on the icy side , but needfully so , adding to the setting's clinical chill . 	his chemistry with thurman is a bit on the icy side , but needfully so , adding to the setting's clinical chill .	1	-1	 his[0] chemistry[0] with[0] thurman[0] is[0] a[0] bit[0] on[0] the[0] icy[0] side[0] but[0] needfully[0] so[0] adding[0] to[0] the[0] setting's[0] clinical[0] chill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the bitter jerome , jude law has a star-making presence , and it's his scenes with hawke that give the movie its fine emotional core . 	as the bitter jerome , jude law has a star-making presence , and it's his scenes with hawke that give the movie its fine emotional core .	3	-2	 as[0] the[0] bitter[-1] jerome[0] jude[0] law[0] has[0] a[0] star[0] making[0] presence[0] and[0] it's[0] his[0] scenes[0] with[0] hawke[0] that[0] give[0] the[0] movie[0] its[0] fine[2] emotional[-1] core[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in " gattaca " 's series of final shots , the fates of vincent and jerome are superimposed over each other , and the effect is sad , lyrical and beautiful . 	in " gattaca " 's series of final shots , the fates of vincent and jerome are superimposed over each other , and the effect is sad , lyrical and beautiful .	3	-4	 in[0] gattaca[0] 's[0] series[0] of[0] final[0] shots[0] the[0] fates[0] of[0] vincent[0] and[0] jerome[0] are[0] superimposed[0] over[0] each[0] other[0] and[0] the[0] effect[0] is[0] sad[-3] lyrical[0] and[0] beautiful[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
things get a little strange as the movie nears its climax , when vincent's relationship with his brother comes back into view . 	things get a little strange as the movie nears its climax , when vincent's relationship with his brother comes back into view .	1	-1	 things[0] get[0] a[0] little[0] strange[0] as[0] the[0] movie[0] nears[0] its[0] climax[0] when[0] vincent's[0] relationship[0] with[0] his[0] brother[0] comes[0] back[0] into[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the big dramatic culmination is a swim race , which is somewhat silly albeit beautifully photographed . 	the big dramatic culmination is a swim race , which is somewhat silly albeit beautifully photographed .	3	-2	 the[0] big[0] dramatic[0] culmination[0] is[0] a[0] swim[0] race[0] which[0] is[0] somewhat[0] silly[-1] albeit[0] beautifully[2] photographed[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , the single most surprising aspect of gattaca is its use of backdrop -- it's successful sci-fi without showy special effects , it's a crisp thriller with character-driven thrills , it's a futuristic fable without blood and guts . 	still , the single most surprising aspect of gattaca is its use of backdrop - it's successful sci-fi without showy special effects , it's a crisp thriller with character-driven thrills , it's a futuristic fable without blood and guts .	4	-1	 still[0] the[0] single[0] most[0] surprising[0] aspect[0] of[0] gattaca[0] is[0] its[0] use[0] of[0] backdrop[0] it's[0] successful[2] sci[0] fi[0] without[0] showy[0] special[1] effects[0] it's[0] a[0] crisp[0] thriller[1] with[0] character[0] driven[0] thrills[3] it's[0] a[0] futuristic[0] fable[0] without[0] blood[0] and[0] guts[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even its murder mystery is relegated to a secondary subplot , ensuring that a smart story about smart people and smart science takes center stage . 	even its murder mystery is relegated to a secondary subplot , ensuring that a smart story about smart people and smart science takes center stage .	2	-4	 even[0] its[0] murder[-3] mystery[0] is[0] relegated[0] to[0] a[0] secondary[0] subplot[0] ensuring[0] that[0] a[0] smart[1] story[0] about[0] smart[1] people[0] and[0] smart[1] science[0] takes[0] center[0] stage[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
although it's portrayal of the upcoming century is grim , " gattaca " serves up one of the most thought-provoking societal forecasts ever depicted on film . 	although it's portrayal of the upcoming century is grim , " gattaca " serves up one of the most thought-provoking societal forecasts ever depicted on film .	1	-3	 although[0] it's[0] portrayal[0] of[0] the[0] upcoming[0] century[0] is[0] grim[-2] gattaca[0] serves[0] up[0] one[0] of[0] the[0] most[0] thought[0] provoking[0] societal[0] forecasts[0] ever[0] depicted[0] on[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
