 " i know what you did last summer , " the first high-profile slasher thriller to be released after 1996's " scream , " and written by the same screenwriter , kevin williamson , is a stylish , effective horror film that became 1997's biggest hit of the fall season . 	Translation	Positive	Negative	EmotionRationale
the cinematography by denis crossan could very well be described as hitchcockian , as it put shadows , fog , steam , and other clever devices to add atmosphere to the proceedings . 	the cinematography by denis crossan could very well be described as hitchcockian , as it put shadows , fog , steam , and other clever devices to add atmosphere to the proceedings .	1	-1	 the[0] cinematography[0] by[0] denis[0] crossan[0] could[0] very[0] well[0] be[0] described[0] as[0] hitchcockian[0] as[0] it[0] put[0] shadows[0] fog[0] steam[0] and[0] other[0] clever[0] devices[0] to[0] add[0] atmosphere[0] to[0] the[0] proceedings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters , particularly julie and helen , are realistically written , and the film amazingly deals with their broken relationship in a few scenes , which is largely uncharacteristic in films of this sort . 	the characters , particularly julie and helen , are realistically written , and the film amazingly deals with their broken relationship in a few scenes , which is largely uncharacteristic in films of this sort .	3	-2	 the[0] characters[0] particularly[0] julie[0] and[0] helen[0] are[0] realistically[0] written[0] and[0] the[0] film[0] amazingly[2] deals[0] with[0] their[0] broken[-1] relationship[0] in[0] a[0] few[0] scenes[0] which[0] is[0] largely[0] uncharacteristic[0] in[0] films[0] of[0] this[0] sort[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and last , the film creates a few dazzling and scary set-pieces that are some of the most memorable i've seen in a horror movie , particularly the suspenseful , superbly shot sequence involving helen at her family's store with the killer inside with her . 	and last , the film creates a few dazling and scary set-pieces that are some of the most memorable i've seen in a horror movie , particularly the suspenseful , superbly shot sequence involving helen at her family's store with the killer inside with her .	1	-4	 and[0] last[0] the[0] film[0] creates[0] a[0] few[0] dazzling/dazling[0] and[0] scary[-3] set[0] pieces[0] that[0] are[0] some[0] of[0] the[0] most[0] memorable[0] i've[0] seen[0] in[0] a[0] horror[-3] movie[0] particularly[0] the[0] suspenseful[0] superbly[0] shot[-1] sequence[0] involving[0] helen[0] at[0] her[0] family's[0] store[0] with[0] the[0] killer[-1] inside[0] with[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
perhaps the best character is that of missy egan ( anne heche ) , a lonely backwoods woman whose brother was the one julie thinks they hit . 	perhaps the best character is that of missy egan ( anne heche ) , a lonely backwoods woman whose brother was the one julie thinks they hit .	2	-2	 perhaps[0] the[0] best[1] character[0] is[0] that[0] of[0] missy[0] egan[0] anne[0] heche[0] a[0] lonely[-1] backwoods[0] woman[0] whose[0] brother[0] was[0] the[0] one[0] julie[0] thinks[0] they[0] hit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
heche's performance is a standout , as she is able to create a full character in only about ten minutes of screen time . 	heche's performance is a standout , as she is able to create a full character in only about ten minutes of screen time .	1	-1	 heche's[0] performance[0] is[0] a[0] standout[0] as[0] she[0] is[0] able[0] to[0] create[0] a[0] full[0] character[0] in[0] only[0] about[0] ten[0] minutes[0] of[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i know what you did last summer , " could have been a great horror movie if not for a few problems . 	 " i know what you did last summer , " could have been a great horror movie if not for a few problems .	3	-4	 i[0] know[0] what[0] you[0] did[0] last[0] summer[0] could[0] have[0] been[0] a[0] great[2] horror[-3] movie[0] if[0] not[0] for[0] a[0] few[0] problems[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
prinze jr . gives a performance to be desired here , and much of his dialogue sounds wooden coming out of his mouth . 	prinze jr .<br> gives a performance to be desired here , and much of his dialogue sounds wooden coming out of his mouth .	1	-1	 prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] gives[0] a[0] performance[0] to[0] be[0] desired[0] here[0] and[0] much[0] of[0] his[0] dialogue[0] sounds[0] wooden[0] coming[0] out[0] of[0] his[0] mouth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , the climax of the film almost completely loses its frightening grip after it unveils the mystery killer , who is a decidedly bad actor and should not have been given any lines . 	also , the climax of the film almost completely loses its frightening grip after it unveils the mystery killer , who is a decidedly bad actor and should not have been given any lines .	1	-4	 also[0] the[0] climax[0] of[0] the[0] film[0] almost[0] completely[0] loses[-1][-1 LastWordBoosterStrength] its[0] frightening[-3] grip[0] after[0] it[0] unveils[0] the[0] mystery[0] killer[-1] who[0] is[0] a[0] decidedly[0] bad[-1] actor[0] and[0] should[0] not[0] have[0] been[0] given[0] any[0] lines[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
luckily , the penultimate scene saves the disappointing finale , which includes an expertly crafted " jump-in-your-seat " scare . 	luckily , the penultimate scene saves the disappointing finale , which includes an expertly crafted " jump-in-your-seat " scare .	3	-4	 luckily[2] the[0] penultimate[0] scene[0] saves[1] the[0] disappointing[-1] finale[0] which[0] includes[0] an[0] expertly[0] crafted[0] jump[0] in[0] your[0] seat[0] scare[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in the main roles , hewitt and gellar are highly talented , and hewitt , especially , is one of the best screamers i've ever heard . 	in the main roles , hewitt and gellar are highly talented , and hewitt , especially , is one of the best screamers i've ever heard .	2	-4	 in[0] the[0] main[0] roles[0] hewitt[0] and[0] gellar[0] are[0] highly[0] talented[1] and[0] hewitt[0] especially[0] is[0] one[0] of[0] the[0] best[1] screamers[-3] i've[0] ever[0] heard[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she honestly could give jamie lee curtis a little competition for the best " scream queen . " 	she honestly could give jamie lee curtis a little competition for the best " scream queen .<br> "	2	-4	 she[0] honestly[0] could[0] give[0] jamie[0] lee[0] curtis[0] a[0] little[0] competition[0] for[0] the[0] best[1] scream[-3] queen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and gellar is touching as a young woman who , in the course of one year , finds her dream of being an actress ultimately shattered . 	and gellar is touching as a young woman who , in the course of one year , finds her dream of being an actress ultimately shattered .	1	-1	 and[0] gellar[0] is[0] touching[0] as[0] a[0] young[0] woman[0] who[0] in[0] the[0] course[0] of[0] one[0] year[0] finds[0] her[0] dream[0] of[0] being[0] an[0] actress[0] ultimately[0] shattered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although not up to the level of either " scream " movies , or the more recent , " urban legend , " " i know what you did last summer " is a respectable , smartly-scripted slasher film that firmly proved good horror movies were once again being made . 	although not up to the level of either " scream " movies , or the more recent , " urban legend , " " i know what you did last summer " is a respectable , smartly-scripted slasher film that firmly proved good horror movies were once again being made .	3	-4	 although[0] not[0] up[0] to[0] the[0] level[0] of[0] either[0] scream[-3] movies[0] or[0] the[0] more[0] recent[0] urban[0] legend[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] a[0] respectable[2] smartly[1] scripted[0] slasher[-1] film[0] that[0] firmly[0] proved[0] good[1] horror[-3] movies[0] were[0] once[0] again[0] being[0] made[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
