aliens ! ! well , that is what this movie is about . 	Translation	Positive	Negative	EmotionRationale
k aims to recruit our poor j , but that is not the whole point of this movie . 	k aims to recruit our poor j , but that is not the whole point of this movie .	1	-2	 k[0] aims[0] to[0] recruit[0] our[0] poor[-1] j[0] but[0] that[0] is[0] not[0] the[0] whole[0] point[0] of[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main duty of the mib is to police the extra terrestrials on earth who have chosen it as a home or a refuge . 	the main duty of the mib is to police the extra terrestrials on earth who have chosen it as a home or a refuge .	1	-2	 the[0] main[0] duty[-1] of[0] the[0] mib[0] is[0] to[0] police[0] the[0] extra[0] terrestrials[0] on[0] earth[0] who[0] have[0] chosen[0] it[0] as[0] a[0] home[0] or[0] a[0] refuge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's also the main point of this movie : protect the earth from the scum of the galaxy . 	that's also the main point of this movie : protect the earth from the scum of the galaxy .	1	-3	 that's[0] also[0] the[0] main[0] point[0] of[0] this[0] movie[0] protect[0] the[0] earth[0] from[0] the[0] scum[-2] of[0] the[0] galaxy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some of the scum from space is awfully bad and just down right nasty . 	some of the scum from space is awfully bad and just down right nasty .	1	-4	 some[0] of[0] the[0] scum[-2] from[0] space[0] is[0] awfully[-3] bad[-1] and[0] just[0] down[0] right[0] nasty[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
color commentary abounds when forced to deal with alien scum and none other than will smith and tommy lee jones are there to deliver the punch . 	color commentary abounds when forced to deal with alien scum and none other than will smith and tommy lee jones are there to deliver the punch .	1	-3	 color[0] commentary[0] abounds[0] when[0] forced[0] to[0] deal[0] with[0] alien[-1] scum[-2] and[0] none[0] other[0] than[0] will[0] smith[0] and[0] tommy[0] lee[0] jones[0] are[0] there[0] to[0] deliver[0] the[0] punch[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the dialogue is witty to say the least . 	the dialogue is witty to say the least .	1	-1	 the[0] dialogue[0] is[0] witty[0] to[0] say[0] the[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this wittiness lets the movie flow well from scene to scene developing the characters to the extent needed for this movie . 	this wittiness lets the movie flow well from scene to scene developing the characters to the extent needed for this movie .	1	-1	 this[0] wittiness[0] lets[0] the[0] movie[0] flow[0] well[0] from[0] scene[0] to[0] scene[0] developing[0] the[0] characters[0] to[0] the[0] extent[0] needed[0] for[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tommy lee jones ( as k ) and will smith ( as j ) provide both the action and the comedy beautifully . 	tommy lee jones ( as k ) and will smith ( as j ) provide both the action and the comedy beautifully .	3	-1	 tommy[0] lee[0] jones[0] as[0] k[0] and[0] will[0] smith[0] as[0] j[0] provide[0] both[0] the[0] action[0] and[0] the[0] comedy[0] beautifully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the characters they play don't seem to be wrong in any way nor does their performance as them . 	the characters they play don't seem to be wrong in any way nor does their performance as them .	1	-2	 the[0] characters[0] they[0] play[0] don't[0] seem[0] to[0] be[0] wrong[-1] in[0] any[0] way[0] nor[0] does[0] their[0] performance[0] as[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i would have to say that k is more amusing than j , but what's one without the other . 	i would have to say that k is more amusing than j , but what's one without the other .	2	-1	 i[0] would[0] have[0] to[0] say[0] that[0] k[0] is[0] more[0] amusing[1] than[0] j[0] but[0] what's[0] one[0] without[0] the[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both roles complemented each other very well and the script seemed to be written for these two actors . 	both roles complemented each other very well and the script seemed to be written for these two actors .	1	-1	 both[0] roles[0] complemented[0] each[0] other[0] very[0] well[0] and[0] the[0] script[0] seemed[0] to[0] be[0] written[0] for[0] these[0] two[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story also goes deep enough to provide a proper background so the audience is not totally clueless . 	the story also goes deep enough to provide a proper background so the audience is not totally clueless .	1	-1	 the[0] story[0] also[0] goes[0] deep[0] enough[0] to[0] provide[0] a[0] proper[0] background[0] so[0] the[0] audience[0] is[0] not[0] totally[0] clueless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
altogether good performances were put in by all the cast and the director blended everything marvelously with the necessary special effects to create a good movie . 	altogether good performances were put in by all the cast and the director blended everything marvelously with the necessary special effects to create a good movie .	2	-1	 altogether[0] good[1] performances[0] were[0] put[0] in[0] by[0] all[0] the[0] cast[0] and[0] the[0] director[0] blended[0] everything[0] marvelously[0] with[0] the[0] necessary[0] special[1] effects[0] to[0] create[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a movie well worth seeing if you are up for some lighthearted and witty humor . 	a movie well worth seeing if you are up for some lighthearted and witty humor .	3	-1	 a[0] movie[0] well[0] worth[0] seeing[0] if[0] you[0] are[0] up[0] for[0] some[0] lighthearted[0] and[0] witty[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as most movies have their good things they also have their bad things . 	as most movies have their good things they also have their bad things .	2	-2	 as[0] most[0] movies[0] have[0] their[0] good[1] things[0] they[0] also[0] have[0] their[0] bad[-1] things[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the character development in this movie was not all that grand because it didn't need to be . 	the character development in this movie was not all that grand because it didn't need to be .	2	-1	 the[0] character[0] development[0] in[0] this[0] movie[0] was[0] not[0] all[0] that[0] grand[1] because[0] it[0] didn't[0] need[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but if there was more character development and if there was some development of the alien characters that might have added quite considerable to the movie . 	but if there was more character development and if there was some development of the alien characters that might have added quite considerable to the movie .	1	-2	 but[0] if[0] there[0] was[0] more[0] character[0] development[0] and[0] if[0] there[0] was[0] some[0] development[0] of[0] the[0] alien[-1] characters[0] that[0] might[0] have[0] added[0] quite[0] considerable[0] to[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
especially the evil alien , he did need some work . 	especially the evil alien , he did need some work .	1	-3	 especially[0] the[0] evil[-2] alien[-1] he[0] did[0] need[0] some[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
though this could have been worked on , the movie was what it proposed to be a rather shallow and witty comedy . 	though this could have been worked on , the movie was what it proposed to be a rather shallow and witty comedy .	1	-2	 though[0] this[0] could[0] have[0] been[0] worked[0] on[0] the[0] movie[0] was[0] what[0] it[0] proposed[0] to[0] be[0] a[0] rather[0] shallow[-1] and[0] witty[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that was achieved rather well , with some interesting commentary and observations . 	that was achieved rather well , with some interesting commentary and observations .	1	-1	 that[0] was[0] achieved[0] rather[0] well[0] with[0] some[0] interesting[1][-1 LastWordBoosterStrength] commentary[0] and[0] observations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a movie worth a view , but keep in mind what the movie is and if you are not fond of will smith's form of humor then i wouldn't go . 	a movie worth a view , but keep in mind what the movie is and if you are not fond of will smith's form of humor then i wouldn't go .	3	-3	 a[0] movie[0] worth[0] a[0] view[0] but[0] keep[0] in[0] mind[0] what[0] the[0] movie[0] is[0] and[0] if[0] you[0] are[0] not[0] fond[2][NegatedDueToPreviousWord] of[0] will[0] smith's[0] form[0] of[0] humor[2] then[0] i[0] wouldn't[0] go[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
originally written after original release . 	originally written after original release .	1	-1	 originally[0] written[0] after[0] original[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
totally rewritten december 26 , 1997 	totally rewritten december 26 , 1997	1	-1	 totally[0] rewritten[0] december[0] 26[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
