it is hard to imagine that a movie which includes abortion and incest as prominent plot devices could be so sensitive , so delicate , so insightful and yes , even so enjoyable . 	Translation	Positive	Negative	EmotionRationale
befriending a young couple who had come to see dr . larch , he hitches a ride with them and parlays that into landing a job as an apple picker with a group of black migrant workers at the orchard where they lived . 	befriending a young couple who had come to see dr .<br> larch , he hitches a ride with them and parlays that into landing a job as an apple picker with a group of black migrant workers at the orchard where they lived .	1	-1	 befriending[0] a[0] young[0] couple[0] who[0] had[0] come[0] to[0] see[0] dr[0] [[Sentence=-1,1=word max, 1-5]] larch[0] he[0] hitches[0] a[0] ride[0] with[0] them[0] and[0] parlays[0] that[0] into[0] landing[0] a[0] job[0] as[0] an[0] apple[0] picker[0] with[0] a[0] group[0] of[0] black[0] migrant[0] workers[0] at[0] the[0] orchard[0] where[0] they[0] lived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thus , homer begins his worldly instruction , with new friend candy kendall ( charlize theron , the astronaut's wife ) a willing tutor . 	thus , homer begins his worldly instruction , with new friend candy kendall ( charlize theron , the astronaut's wife ) a willing tutor .	2	-1	 thus[0] homer[0] begins[0] his[0] worldly[0] instruction[0] with[0] new[0] friend[1] candy[0] kendall[0] charlize[0] theron[0] the[0] astronaut's[0] wife[0] a[0] willing[0] tutor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tobey maguire is well cast yet again as an inherently good man who is seeking answers to life's questions . . . 	tobey maguire is well cast yet again as an inherently good man who is seeking answers to life's questions .<br> .<br> .	2	-1	 tobey[0] maguire[0] is[0] well[0] cast[0] yet[0] again[0] as[0] an[0] inherently[0] good[1] man[0] who[0] is[0] seeking[0] answers[0] to[0] life's[0] questions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many of which he was unaware needed to be asked . 	many of which he was unaware needed to be asked .	1	-1	 many[0] of[0] which[0] he[0] was[0] unaware[0] needed[0] to[0] be[0] asked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he demonstrates a quiet strength and thoughtful curiosity that is both warm and appealing . 	he demonstrates a quiet strength and thoughtful curiosity that is both warm and appealing .	2	-1	 he[0] demonstrates[0] a[0] quiet[0] strength[0] and[0] thoughtful[1] curiosity[0] that[0] is[0] both[0] warm[0] and[0] appealing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael caine is , in a word , brilliant as the caring caretaker of these orphans , many of whom he helped to bring into the world . 	michael caine is , in a word , brilliant as the caring caretaker of these orphans , many of whom he helped to bring into the world .	3	-1	 michael[0] caine[0] is[0] in[0] a[0] word[0] brilliant[1] as[0] the[0] caring[2] caretaker[0] of[0] these[0] orphans[0] many[0] of[0] whom[0] he[0] helped[0] to[0] bring[0] into[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
calling them " princes of maine , kings of new england " in his ritualistic goodnight , mr . caine manages to communicate the love and commitment larch has towards these children without becoming maudlin or saccharine . 	calling them " princes of maine , kings of new england " in his ritualistic goodnight , mr .<br> caine manages to communicate the love and commitment larch has towards these children without becoming maudlin or saccharine .	3	-1	 calling[0] them[0] princes[0] of[0] maine[0] kings[0] of[0] new[0] england[0] in[0] his[0] ritualistic[0] goodnight[0] mr[0] [[Sentence=-1,1=word max, 1-5]] caine[0] manages[0] to[0] communicate[0] the[0] love[2] and[0] commitment[0] larch[0] has[0] towards[0] these[0] children[0] without[0] becoming[0] maudlin[0] or[0] saccharine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
delroy lindo ( a life less ordinary ) has many powerful moments as mr . rose , the strong and charismatic leader of the apple pickers whom homer joins . 	delroy lindo ( a life less ordinary ) has many powerful moments as mr .<br> rose , the strong and charismatic leader of the apple pickers whom homer joins .	1	-1	 delroy[0] lindo[0] a[0] life[0] less[0] ordinary[0] has[0] many[0] powerful[0] moments[0] as[0] mr[0] [[Sentence=-1,1=word max, 1-5]] rose[0] the[0] strong[0] and[0] charismatic[0] leader[0] of[0] the[0] apple[0] pickers[0] whom[0] homer[0] joins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director lasse hallstrom ( what's eating gilbert grape ? ) and screenwriter/novelist john irving ( the world according to garp ) , who adapted his own work for this movie deserve much of the credit for the balanced approach to the sensitive subject matter . 	director lase hallstrom ( what's eating gilbert grape ?<br> ) and screenwriter/novelist john irving ( the world according to garp ) , who adapted his own work for this movie deserve much of the credit for the balanced approach to the sensitive subject matter .	1	-1	 director[0] lasse/lase[0] hallstrom[0] what's[0] eating[0] gilbert[0] grape[0] [[Sentence=-1,1=word max, 1-5]] and[0] screenwriter/novelist[0] john[0] irving[0] the[0] world[0] according[0] to[0] garp[0] who[0] adapted[0] his[0] own[0] work[0] for[0] this[0] movie[0] deserve[0] much[0] of[0] the[0] credit[0] for[0] the[0] balanced[0] approach[0] to[0] the[0] sensitive[0] subject[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regardless of one's personal stand on the divisive matter of abortion , it is hard to imagine anyone becoming offended by the evenhanded treatment used by these filmmakers . 	regardless of one's personal stand on the divisive matter of abortion , it is hard to imagine anyone becoming offended by the evenhanded treatment used by these filmmakers .	1	-3	 regardless[-1] of[0] one's[0] personal[0] stand[0] on[0] the[0] divisive[0] matter[0] of[0] abortion[0] it[0] is[0] hard[0] to[0] imagine[0] anyone[0] becoming[0] offended[-2] by[0] the[0] evenhanded[0] treatment[0] used[0] by[0] these[0] filmmakers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the title is a reference to a list of rules posted in the quarters of the illiterate apple pickers . 	the title is a reference to a list of rules posted in the quarters of the illiterate apple pickers .	1	-2	 the[0] title[0] is[0] a[0] reference[0] to[0] a[0] list[0] of[0] rules[0] posted[0] in[0] the[0] quarters[0] of[0] the[0] illiterate[-1] apple[0] pickers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
figuring the rules didn't apply to them since they didn't have a hand in writing them , they decide to ignore the list and make up their own rules as they go along . 	figuring the rules didn't apply to them since they didn't have a hand in writing them , they decide to ignore the list and make up their own rules as they go along .	1	-1	 figuring[0] the[0] rules[0] didn't[0] apply[0] to[0] them[0] since[0] they[0] didn't[0] have[0] a[0] hand[0] in[0] writing[0] them[0] they[0] decide[0] to[0] ignore[0] the[0] list[0] and[0] make[0] up[0] their[0] own[0] rules[0] as[0] they[0] go[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . larch , in his own way , acts similarly . 	dr .<br> larch , in his own way , acts similarly .	1	-1	 dr[0] [[Sentence=-1,1=word max, 1-5]] larch[0] in[0] his[0] own[0] way[0] acts[0] similarly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a danger in that line of reasoning . 	there is a danger in that line of reasoning .	1	-2	 there[0] is[0] a[0] danger[-1] in[0] that[0] line[0] of[0] reasoning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
god has also given us a set of rules . 	god has also given us a set of rules .	1	-1	 god[0] has[0] also[0] given[0] us[0] a[0] set[0] of[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike the list posted in the cider house , god's rules , if followed , promise us benefits beyond our imagination . 	unlike the list posted in the cider house , god's rules , if followed , promise us benefits beyond our imagination .	2	-1	 unlike[0] the[0] list[0] posted[0] in[0] the[0] cider[0] house[0] god's[0] rules[0] if[0] followed[0] promise[1] us[0] benefits[0] beyond[0] our[0] imagination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and yet , many continue to ignore his " rules " preferring to make up their own as they go through life . 	and yet , many continue to ignore his " rules " preferring to make up their own as they go through life .	1	-1	 and[0] yet[0] many[0] continue[0] to[0] ignore[0] his[0] rules[0] preferring[0] to[0] make[0] up[0] their[0] own[0] as[0] they[0] go[0] through[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " trust in the lord with all thine heart ; and lean not unto thine own understanding . " 	 " trust in the lord with all thine heart ; and lean not unto thine own understanding .<br> "	2	-1	 trust[1] in[0] the[0] lord[0] with[0] all[0] thine[0] heart[0] and[0] lean[0] not[0] unto[0] thine[0] own[0] understanding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
proverbs 3 : 5 [kjv] 	proverbs 3 : 5 [kjv]	1	-1	 proverbs[0] 3[0] 5[0] [kjv][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just as a builder follows a designer's blueprint or a conductor follows a composer's score , why shouldn't we follow the rules of life given to us by life's architect for our own blessing ? 	just as a builder follows a designer's blueprint or a conductor follows a composer's score , why shouldn't we follow the rules of life given to us by life's architect for our own blessing ?	2	-1	 just[0] as[0] a[0] builder[0] follows[0] a[0] designer's[0] blueprint[0] or[0] a[0] conductor[0] follows[0] a[0] composer's[0] score[0] why[0] shouldn't[0] we[0] follow[0] the[0] rules[0] of[0] life[0] given[0] to[0] us[0] by[0] life's[0] architect[0] for[0] our[0] own[0] blessing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
