 " last night " could have an " aka " tagged on the end of it that says , " it's the end of the world , and we feel fine " . 	Translation	Positive	Negative	EmotionRationale
the film is set in toronto , and follows several people in their various escapades on the last night of existence . 	the film is set in toronto , and follows several people in their various escapades on the last night of existence .	1	-1	 the[0] film[0] is[0] set[0] in[0] toronto[0] and[0] follows[0] several[0] people[0] in[0] their[0] various[0] escapades[0] on[0] the[0] last[0] night[0] of[0] existence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's mckellar , who plays a man who just wants to be alone when the moment occurs , but keeps getting interrupted by a woman ( sandra oh ) in search of her husband . 	there's mckellar , who plays a man who just wants to be alone when the moment occurs , but keeps getting interrupted by a woman ( sandra oh ) in search of her husband .	2	-2	 there's[0] mckellar[0] who[0] plays[1] a[0] man[0] who[0] just[0] wants[0] to[0] be[0] alone[0] when[0] the[0] moment[0] occurs[0] but[0] keeps[0] getting[0] interrupted[-1] by[0] a[0] woman[0] sandra[0] oh[0] in[0] search[0] of[0] her[0] husband[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her husband , played by david cronenberg , is spending the day working at the gas company , informing people that they will attempt to keep providing gas right up until the end . 	her husband , played by david cronenberg , is spending the day working at the gas company , informing people that they will attempt to keep providing gas right up until the end .	1	-1	 her[0] husband[0] played[0] by[0] david[0] cronenberg[0] is[0] spending[0] the[0] day[0] working[0] at[0] the[0] gas[0] company[0] informing[0] people[0] that[0] they[0] will[0] attempt[0] to[0] keep[0] providing[0] gas[0] right[0] up[0] until[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , there's mckellar's friend , played by callum keith rennie , a man who has spent his final months trying out every sexual perversion you can think of . 	finally , there's mckellar's friend , played by callum keith rennie , a man who has spent his final months trying out every sexual perversion you can think of .	2	-2	 finally[0] there's[0] mckellar's[0] friend[1] played[0] by[0] callum[0] keith[0] rennie[0] a[0] man[0] who[0] has[0] spent[0] his[0] final[0] months[0] trying[0] out[0] every[0] sexual[0] perversion[-1] you[0] can[0] think[0] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mckellar has crafted a gang of the some of the most interesting characters i've seen in a film in months . 	mckellar has crafted a gang of the some of the most interesting characters i've seen in a film in months .	2	-1	 mckellar[0] has[0] crafted[0] a[0] gang[0] of[0] the[0] some[0] of[0] the[0] most[0] interesting[1] characters[0] i've[0] seen[0] in[0] a[0] film[0] in[0] months[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these people all felt real to me , especially the character played by sandra oh . 	these people all felt real to me , especially the character played by sandra oh .	1	-1	 these[0] people[0] all[0] felt[0] real[0] to[0] me[0] especially[0] the[0] character[0] played[0] by[0] sandra[0] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can see her desperation , her utter need to be with her husband in the final hours . 	we can see her desperation , her utter need to be with her husband in the final hours .	1	-3	 we[0] can[0] see[0] her[0] desperation[-2] her[0] utter[0] need[0] to[0] be[0] with[0] her[0] husband[0] in[0] the[0] final[0] hours[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rennie is good , too , as the man who wants to literally try everything before he dies . 	rennie is good , too , as the man who wants to literally try everything before he dies .	2	-1	 rennie[0] is[0] good[1] too[0] as[0] the[0] man[0] who[0] wants[0] to[0] literally[0] try[0] everything[0] before[0] he[0] dies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he exudes such charm and likeablity , it's not surprising that we're rooting for him to get what he wants . 	he exudes such charm and likeablity , it's not surprising that we're rooting for him to get what he wants .	3	-1	 he[0] exudes[0] such[0] charm[1] and[0] likeablity[2] it's[0] not[0] surprising[0] that[0] we're[0] rooting[0] for[0] him[0] to[0] get[0] what[0] he[0] wants[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but for me , the biggest surprise in the movie is mckellar . 	but for me , the biggest surprise in the movie is mckellar .	1	-1	 but[0] for[0] me[0] the[0] biggest[0] surprise[0] in[0] the[0] movie[0] is[0] mckellar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i knew that he was a talented director , but i had no idea he could act as well . 	i knew that he was a talented director , but i had no idea he could act as well .	2	-1	 i[0] knew[0] that[0] he[0] was[0] a[0] talented[1] director[0] but[0] i[0] had[0] no[0] idea[0] he[0] could[0] act[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his insistence to be alone , much to the dismay of his parents , is something that most people would find difficult to understand , but as played by mckellar , we can understand his reasons . 	his insistence to be alone , much to the dismay of his parents , is something that most people would find difficult to understand , but as played by mckellar , we can understand his reasons .	1	-3	 his[0] insistence[0] to[0] be[0] alone[0] much[0] to[0] the[0] dismay[-2] of[0] his[0] parents[0] is[0] something[0] that[0] most[0] people[0] would[0] find[0] difficult[-1] to[0] understand[0] but[0] as[0] played[0] by[0] mckellar[0] we[0] can[0] understand[0] his[0] reasons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he doesn't buy into the whole notion that just because everyone's going to die , he should immediately find some companionship . 	he doesn't buy into the whole notion that just because everyone's going to die , he should immediately find some companionship .	1	-1	 he[0] doesn't[0] buy[0] into[0] the[0] whole[0] notion[0] that[0] just[0] because[0] everyone's[0] going[0] to[0] die[0] he[0] should[0] immediately[0] find[0] some[0] companionship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he realizes the relationship would be forced , and they would only be together for the sake of being together . 	he realizes the relationship would be forced , and they would only be together for the sake of being together .	1	-1	 he[0] realizes[0] the[0] relationship[0] would[0] be[0] forced[0] and[0] they[0] would[0] only[0] be[0] together[0] for[0] the[0] sake[0] of[0] being[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mckellar gives a brilliant performance , and i hope he alternates between directing and acting . 	mckellar gives a brilliant performance , and i hope he alternates between directing and acting .	3	-1	 mckellar[0] gives[0] a[0] brilliant[1] performance[0] and[0] i[0] hope[2] he[0] alternates[0] between[0] directing[0] and[0] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my only quibble with the film is that we never find out why the world is ending . 	my only quibble with the film is that we never find out why the world is ending .	1	-2	 my[0] only[0] quibble[-1] with[0] the[0] film[0] is[0] that[0] we[0] never[0] find[0] out[0] why[0] the[0] world[0] is[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i really wanted to know , and my need to know was hanging over the film at all times . 	i really wanted to know , and my need to know was hanging over the film at all times .	1	-1	 i[0] really[0] wanted[0] to[0] know[0] and[0] my[0] need[0] to[0] know[0] was[0] hanging[0] over[0] the[0] film[0] at[0] all[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i appreciate the fact that mckellar didn't want the material to rule the film , and that he wanted the movie to be more of a study in human behavious . 	i appreciate the fact that mckellar didn't want the material to rule the film , and that he wanted the movie to be more of a study in human behavious .	2	-1	 i[0] appreciate[1] the[0] fact[0] that[0] mckellar[0] didn't[0] want[0] the[0] material[0] to[0] rule[0] the[0] film[0] and[0] that[0] he[0] wanted[0] the[0] movie[0] to[0] be[0] more[0] of[0] a[0] study[0] in[0] human[0] behavious[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , in not telling the audience what the cause of earth's destruction is , he's left a big question that is in their minds throughout the film . 	however , in not telling the audience what the cause of earth's destruction is , he's left a big question that is in their minds throughout the film .	1	-2	 however[0] in[0] not[0] telling[0] the[0] audience[0] what[0] the[0] cause[0] of[0] earth's[0] destruction[-1] is[0] he's[0] left[0] a[0] big[0] question[0] that[0] is[0] in[0] their[0] minds[0] throughout[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another problem is we never see anybody panicking . 	another problem is we never see anybody panicking .	1	-3	 another[0] problem[-1] is[0] we[0] never[0] see[0] anybody[0] panicking[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i would imagine if the world was ending , and there was nothing to be done about it , a large segment of the population would be going out of their minds . 	i would imagine if the world was ending , and there was nothing to be done about it , a large segment of the population would be going out of their minds .	1	-1	 i[0] would[0] imagine[0] if[0] the[0] world[0] was[0] ending[0] and[0] there[0] was[0] nothing[0] to[0] be[0] done[0] about[0] it[0] a[0] large[0] segment[0] of[0] the[0] population[0] would[0] be[0] going[0] out[0] of[0] their[0] minds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , we are treated to shots of a giant crowd partying like it's new year's eve . 	instead , we are treated to shots of a giant crowd partying like it's new year's eve .	2	-1	 instead[0] we[0] are[0] treated[0] to[0] shots[0] of[0] a[0] giant[0] crowd[0] partying[0] like[1] it's[0] new[0] year's[0] eve[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i just didn't buy the fact that everyone had completely accepted their fate . 	i just didn't buy the fact that everyone had completely accepted their fate .	1	-1	 i[0] just[0] didn't[0] buy[0] the[0] fact[0] that[0] everyone[0] had[0] completely[0] accepted[0] their[0] fate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one had the urge to " rage against the dying of the light " . 	no one had the urge to " rage against the dying of the light " .	1	-4	 no[0] one[0] had[0] the[0] urge[0] to[0] rage[-3] against[-1] the[0] dying[-1] of[0] the[0] light[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despite these small problems , " last night " is one of the best movies of the year . 	despite these small problems , " last night " is one of the best movies of the year .	2	-2	 despite[0] these[0] small[0] problems[-1] last[0] night[0] is[0] one[0] of[0] the[0] best[1] movies[0] of[0] the[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as opposed to the moronic " armageddon " , " last night " treats the subject at hand with maturity and believabilty . 	as opposed to the moronic " armageddon " , " last night " treats the subject at hand with maturity and believabilty .	1	-3	 as[0] opposed[0] to[0] the[0] moronic[-2] armageddon[0] last[0] night[0] treats[0] the[0] subject[0] at[0] hand[0] with[0] maturity[0] and[0] believabilty[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and bruce willis never shows up to save the day . 	and bruce willis never shows up to save the day .	2	-1	 and[0] bruce[0] willis[0] never[0] shows[0] up[0] to[0] save[1] the[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
