there must be some unwritten rule that states , one gets enlightenment not in the way one expects to get enlightenment but in the commitment given to seeking wisdom , even if it is a foolish road one is on and it seems to be leading nowhere . 	Translation	Positive	Negative	EmotionRationale
with julia strapped for cash and not receiving a needed check her husband often forgets to send her , she is prevented from seeing the greatest living sufi who is located in algeria ; so instead , she meets an acrobat street performer in the bazaar , bilal ( said taghmaoui ) . 	with julia strapped for cash and not receiving a needed check her husband often forgets to send her , she is prevented from seeing the greatest living sufi who is located in algeria ; so instead , she meets an acrobat street performer in the bazar , bilal ( said taghmaoui ) .	3	-1	 with[0] julia[0] strapped[0] for[0] cash[0] and[0] not[0] receiving[0] a[0] needed[0] check[0] her[0] husband[0] often[0] forgets[0] to[0] send[0] her[0] she[0] is[0] prevented[0] from[0] seeing[0] the[0] greatest[2] living[0] sufi[0] who[0] is[0] located[0] in[0] algeria[0] so[0] instead[0] she[0] meets[0] an[0] acrobat[0] street[0] performer[0] in[0] the[0] bazaar/bazar[0] bilal[0] said[0] taghmaoui[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he becomes her lover , taking the place of her husband as a father figure for the girls . 	he becomes her lover , taking the place of her husband as a father figure for the girls .	4	-1	 he[0] becomes[0] her[0] lover[3] taking[0] the[0] place[0] of[0] her[0] husband[0] as[0] a[0] father[0] figure[0] for[0] the[0] girls[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the girls readily accept him , and there is no big-to-do made about their openly sexual relationship , but the girls really don't know what to make of the relationship . 	the girls readily accept him , and there is no big-to-do made about their openly sexual relationship , but the girls really don't know what to make of the relationship .	1	-1	 the[0] girls[0] readily[0] accept[0] him[0] and[0] there[0] is[0] no[0] big[0] to[0] do[0] made[0] about[0] their[0] openly[0] sexual[0] relationship[0] but[0] the[0] girls[0] really[0] don't[0] know[0] what[0] to[0] make[0] of[0] the[0] relationship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it especially bothers bea , who is embarrassed by her mother's loose attitude and wants to go home . 	it especially bothers bea , who is embarrassed by her mother's loose attitude and wants to go home .	1	-3	 it[0] especially[0] bothers[-1][-1 LastWordBoosterStrength] bea[0] who[0] is[0] embarrassed[-2] by[0] her[0] mother's[0] loose[0] attitude[0] and[0] wants[0] to[0] go[0] home[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
things go surprisingly sour when bilal takes them to stay in his small village . 	things go surprisingly sour when bilal takes them to stay in his small village .	1	-2	 things[0] go[0] surprisingly[0] sour[-1] when[0] bilal[0] takes[0] them[0] to[0] stay[0] in[0] his[0] small[0] village[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems only that bilal's charm is matched by his shiftlessness , as he has a wife who still lives there . 	it seems only that bilal's charm is matched by his shiftlessness , as he has a wife who still lives there .	2	-1	 it[0] seems[0] only[0] that[0] bilal's[0] charm[1] is[0] matched[0] by[0] his[0] shiftlessness[0] as[0] he[0] has[0] a[0] wife[0] who[0] still[0] lives[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this scene didn't make too much sense as to why he would take them there knowing the situation , unless the uneducated man was totally uneducated in the customs of his people , also . 	this scene didn't make too much sense as to why he would take them there knowing the situation , unless the uneducated man was totally uneducated in the customs of his people , also .	1	-1	 this[0] scene[0] didn't[0] make[0] too[0] much[0] sense[0] as[0] to[0] why[0] he[0] would[0] take[0] them[0] there[0] knowing[0] the[0] situation[0] unless[0] the[0] uneducated[0] man[0] was[0] totally[0] uneducated[0] in[0] the[0] customs[0] of[0] his[0] people[0] also[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i doubt that . 	but i doubt that .	1	-2	 but[0] i[0] doubt[-1] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the family is now stuck without money in a backward area trying to decide what to do next , as they hitch a ride away from there with a truck driver who nearly kills them when he falls asleep by the wheel . 	the family is now stuck without money in a backward area trying to decide what to do next , as they hitch a ride away from there with a truck driver who nearly kills them when he falls asleep by the wheel .	1	-1	 the[0] family[0] is[0] now[0] stuck[0] without[0] money[0] in[0] a[0] backward[0] area[0] trying[0] to[0] decide[0] what[0] to[0] do[0] next[0] as[0] they[0] hitch[0] a[0] ride[0] away[0] from[0] there[0] with[0] a[0] truck[0] driver[0] who[0] nearly[0] kills[0] them[0] when[0] he[0] falls[0] asleep[0] by[0] the[0] wheel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucy takes it all in stride and has a good disposition for travel , while bea just wants to go to a school and learn something and be a 'normal' girl . 	lucy takes it all in stride and has a good disposition for travel , while bea just wants to go to a school and learn something and be a 'normal' girl .	2	-1	 lucy[0] takes[0] it[0] all[0] in[0] stride[0] and[0] has[0] a[0] good[1] disposition[0] for[0] travel[0] while[0] bea[0] just[0] wants[0] to[0] go[0] to[0] a[0] school[0] and[0] learn[0] something[0] and[0] be[0] a[0] 'normal'[0] girl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the beauty of marrakech is matched by the terrific performance of kate winslet , as the film accurately encapsulates the timeless city and its bustling street scenes , expansive views , illustrious mosques , and grand sunsets . 	the beauty of marrakech is matched by the terrific performance of kate winslet , as the film accurately encapsulates the timeless city and its bustling street scenes , expansive views , illustrious mosques , and grand sunsets .	4	-1	 the[0] beauty[2] of[0] marrakech[0] is[0] matched[0] by[0] the[0] terrific[3] performance[0] of[0] kate[0] winslet[0] as[0] the[0] film[0] accurately[0] encapsulates[0] the[0] timeless[0] city[0] and[0] its[0] bustling[0] street[0] scenes[0] expansive[0] views[0] illustrious[0] mosques[0] and[0] grand[1] sunsets[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
kate enacts the feel of what it was like to be a westerner , living out the countercultural experiences while awaiting to gather her sensibilities again and was fortunate enough to be able to go home the better off for her experiences , as many a drop-out reluctantly had to do after their stay ran out of money and purpose . 	kate enacts the feel of what it was like to be a westerner , living out the countercultural experiences while awaiting to gather her sensibilities again and was fortunate enough to be able to go home the better off for her experiences , as many a drop-out reluctantly had to do after their stay ran out of money and purpose .	2	-2	 kate[0] enacts[0] the[0] feel[0] of[0] what[0] it[0] was[0] like[1] to[0] be[0] a[0] westerner[0] living[0] out[0] the[0] countercultural[0] experiences[0] while[0] awaiting[0] to[0] gather[0] her[0] sensibilities[0] again[0] and[0] was[0] fortunate[0] enough[0] to[0] be[0] able[0] to[0] go[0] home[0] the[0] better[0] off[0] for[0] her[0] experiences[0] as[0] many[0] a[0] drop[-1] out[0] reluctantly[-1] had[0] to[0] do[0] after[0] their[0] stay[0] ran[0] out[0] of[0] money[0] and[0] purpose[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the background music from groups like america and jefferson airplane , provided further nostalgia for this easy to look at and easy to grasp film . 	the background music from groups like america and jefferson airplane , provided further nostalgia for this easy to look at and easy to grasp film .	2	-1	 the[0] background[0] music[0] from[0] groups[0] like[1] america[0] and[0] jefferson[0] airplane[0] provided[0] further[0] nostalgia[0] for[0] this[0] easy[0] to[0] look[0] at[0] and[0] easy[0] to[0] grasp[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only hope was that the two innocent girls would not be permanently harmed while on this sojourn , a venture that should be reserved only for those of college age or older who choose to go there for themselves . 	the only hope was that the two innocent girls would not be permanently harmed while on this sojourn , a venture that should be reserved only for those of college age or older who choose to go there for themselves .	3	-3	 the[0] only[0] hope[2] was[0] that[0] the[0] two[0] innocent[1] girls[0] would[0] not[0] be[0] permanently[0] harmed[-2] while[0] on[0] this[0] sojourn[0] a[0] venture[0] that[0] should[0] be[0] reserved[0] only[0] for[0] those[0] of[0] college[0] age[0] or[0] older[0] who[0] choose[0] to[0] go[0] there[0] for[0] themselves[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the family's travel , which is on the edge , has julia waking up screaming from dreams that are bleakly haunting ; but , when she gets up , all there is , is this splendid emptiness all around her and a vacuous life that is starting to bother her . 	the family's travel , which is on the edge , has julia waking up screaming from dreams that are bleakly haunting ; but , when she gets up , all there is , is this splendid emptiness all around her and a vacuous life that is starting to bother her .	3	-4	 the[0] family's[0] travel[0] which[0] is[0] on[0] the[0] edge[0] has[0] julia[0] waking[0] up[0] screaming[-3] from[0] dreams[0] that[0] are[0] bleakly[0] haunting[0] but[0] when[0] she[0] gets[0] up[0] all[0] there[0] is[0] is[0] this[0] splendid[2] emptiness[-2] all[0] around[0] her[0] and[0] a[0] vacuous[0] life[0] that[0] is[0] starting[0] to[0] bother[-1] her[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
that marrakech is disarmingly gorgeous and that london is old hat to her , is starting to wear thin in her thoughts . 	that marrakech is disarmingly gorgeous and that london is old hat to her , is starting to wear thin in her thoughts .	3	-1	 that[0] marrakech[0] is[0] disarmingly[0] gorgeous[2] and[0] that[0] london[0] is[0] old[0] hat[0] to[0] her[0] is[0] starting[0] to[0] wear[0] thin[0] in[0] her[0] thoughts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it will dawn on her , when bea takes ill , as she reflects on what the sufi guru tells her , whom she finally meets and is driven to tears in his presence . 	it will dawn on her , when bea takes ill , as she reflects on what the sufi guru tells her , whom she finally meets and is driven to tears in his presence .	1	-4	 it[0] will[0] dawn[0] on[0] her[0] when[0] bea[0] takes[0] ill[-1] as[0] she[0] reflects[0] on[0] what[0] the[0] sufi[0] guru[0] tells[0] her[0] whom[0] she[0] finally[0] meets[0] and[0] is[0] driven[0] to[0] tears[-3] in[0] his[0] presence[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is the guru who replaced the one she wanted to see but who died before she got a chance to see him . 	he is the guru who replaced the one she wanted to see but who died before she got a chance to see him .	1	-1	 he[0] is[0] the[0] guru[0] who[0] replaced[0] the[0] one[0] she[0] wanted[0] to[0] see[0] but[0] who[0] died[0] before[0] she[0] got[0] a[0] chance[0] to[0] see[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the new guru is grounded in reality , something she is not grounded in , and seems to tell her what she couldn't comprehend from anyone else , even comforting her , by telling her that her tears are memories- a gift from god . 	the new guru is grounded in reality , something she is not grounded in , and seems to tell her what she couldn't comprehend from anyone else , even comforting her , by telling her that her tears are memories- a gift from god .	2	-4	 the[0] new[0] guru[0] is[0] grounded[0] in[0] reality[0] something[0] she[0] is[0] not[0] grounded[0] in[0] and[0] seems[0] to[0] tell[0] her[0] what[0] she[0] couldn't[0] comprehend[0] from[0] anyone[0] else[0] even[0] comforting[1] her[0] by[0] telling[0] her[0] that[0] her[0] tears[-3] are[0] memories[0] a[0] gift[0] from[0] god[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film's weakness was the empty feeling i got from watching the story unfold in its risk free tenor ( she was there basically to be just escaping from her situation ) and how unappealing the love affair seemed between bilal and julia . 	the film's weakness was the empty feeling i got from watching the story unfold in its risk free tenor ( she was there basically to be just escaping from her situation ) and how unappealing the love affair seemed between bilal and julia .	3	-2	 the[0] film's[0] weakness[-1] was[0] the[0] empty[0] feeling[0] i[0] got[0] from[0] watching[0] the[0] story[0] unfold[0] in[0] its[0] risk[-1] free[0] tenor[0] she[0] was[0] there[0] basically[0] to[0] be[0] just[0] escaping[0] from[0] her[0] situation[0] and[0] how[0] unappealing[0] the[0] love[2] affair[0] seemed[0] between[0] bilal[0] and[0] julia[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the storyline about a helpless single parent , detracted from the vibrant experiences many others of her same baby-boom generation had during their trip to morocco , who were taken in by the mystical culture of sufism , a teaching that has a lot to offer its followers , contrary to the impression the film might give , seemed to pass her by . 	the storyline about a helpless single parent , detracted from the vibrant experiences many others of her same baby-boom generation had during their trip to morocco , who were taken in by the mystical culture of sufism , a teaching that has a lot to offer its followers , contrary to the impression the film might give , seemed to pass her by .	2	-2	 the[0] storyline[0] about[0] a[0] helpless[-1] single[0] parent[0] detracted[-1] from[0] the[0] vibrant[0] experiences[0] many[0] others[0] of[0] her[0] same[0] baby[1] boom[0] generation[0] had[0] during[0] their[0] trip[0] to[0] morocco[0] who[0] were[0] taken[0] in[0] by[0] the[0] mystical[0] culture[0] of[0] sufism[0] a[0] teaching[0] that[0] has[0] a[0] lot[0] to[0] offer[0] its[0] followers[0] contrary[-1] to[0] the[0] impression[0] the[0] film[0] might[0] give[0] seemed[0] to[0] pass[0] her[0] by[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her knowledge of that trip is only surface deep , at best . 	her knowledge of that trip is only surface deep , at best .	2	-1	 her[0] knowledge[0] of[0] that[0] trip[0] is[0] only[0] surface[0] deep[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she perhaps would have been better off not taking the kids along , smoking some hashish , and have been less assured of herself but to have behaved more like a hippie and she wouldn't have been so uptight all the time and had some fun on her journey . 	she perhaps would have been better off not taking the kids along , smoking some hashish , and have been less assured of herself but to have behaved more like a hippie and she wouldn't have been so uptight all the time and had some fun on her journey .	2	-3	 she[0] perhaps[0] would[0] have[0] been[0] better[0] off[0] not[0] taking[0] the[0] kids[0] along[0] smoking[0] some[0] hashish[0] and[0] have[0] been[0] less[0] assured[0] of[0] herself[0] but[0] to[0] have[0] behaved[0] more[0] like[1] a[0] hippie[0] and[0] she[0] wouldn't[0] have[0] been[0] so[0] uptight[-2] all[0] the[0] time[0] and[0] had[0] some[0] fun[1][-1 LastWordBoosterStrength] on[0] her[0] journey[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after all , the mystical trip is the journey . 	after all , the mystical trip is the journey .	1	-1	 after[0] all[0] the[0] mystical[0] trip[0] is[0] the[0] journey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's strength is in how all the characters are shown for what they are , and no one is that good or that bad , or judged too harshly for their shortcomings . 	the film's strength is in how all the characters are shown for what they are , and no one is that good or that bad , or judged too harshly for their shortcomings .	2	-2	 the[0] film's[0] strength[0] is[0] in[0] how[0] all[0] the[0] characters[0] are[0] shown[0] for[0] what[0] they[0] are[0] and[0] no[0] one[0] is[0] that[0] good[1] or[0] that[0] bad[-1] or[0] judged[0] too[0] harshly[0] for[0] their[0] shortcomings[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bilal is unreliable but is capable of generosity . 	bilal is unreliable but is capable of generosity .	2	-2	 bilal[0] is[0] unreliable[-1] but[0] is[0] capable[0] of[0] generosity[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the little girls are precocious but they are lovable . 	the little girls are precocious but they are lovable .	1	-1	 the[0] little[0] girls[0] are[0] precocious[0] but[0] they[0] are[0] lovable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julia , the cornerstone the film is built on , is a mother who cares about the children but doesn't know how to take care of them without unintentionally harming them . 	julia , the cornerstone the film is built on , is a mother who cares about the children but doesn't know how to take care of them without unintentionally harming them .	2	-3	 julia[0] the[0] cornerstone[0] the[0] film[0] is[0] built[0] on[0] is[0] a[0] mother[0] who[0] cares[1] about[0] the[0] children[0] but[0] doesn't[0] know[0] how[0] to[0] take[0] care[1] of[0] them[0] without[0] unintentionally[0] harming[-2] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she was trying to escape from reality and that by returning to london , she has another chance to see if she can find the key to this world or whatever world she is looking for and should no longer have nightmares about where she's at . 	she was trying to escape from reality and that by returning to london , she has another chance to see if she can find the key to this world or whatever world she is looking for and should no longer have nightmares about where she's at .	1	-1	 she[0] was[0] trying[0] to[0] escape[0] from[0] reality[0] and[0] that[0] by[0] returning[0] to[0] london[0] she[0] has[0] another[0] chance[0] to[0] see[0] if[0] she[0] can[0] find[0] the[0] key[0] to[0] this[0] world[0] or[0] whatever[0] world[0] she[0] is[0] looking[0] for[0] and[0] should[0] no[0] longer[0] have[0] nightmares[0] about[0] where[0] she's[0] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a very freudian way to look at things , as this sudden realization , that things are not right puts an an end to her eastern hippie odyssey , at least , for the time being . 	this is a very freudian way to look at things , as this sudden realization , that things are not right puts an an end to her eastern hippie odyssey , at least , for the time being .	1	-1	 this[0] is[0] a[0] very[0] freudian[0] way[0] to[0] look[0] at[0] things[0] as[0] this[0] sudden[0] realization[0] that[0] things[0] are[0] not[0] right[0] puts[0] an[0] an[0] end[0] to[0] her[0] eastern[0] hippie[0] odyssey[0] at[0] least[0] for[0] the[0] time[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , after all is said and done , who's to say if the children are also not better off for surviving their experiences , just like she probably was ! 	and , after all is said and done , who's to say if the children are also not better off for surviving their experiences , just like she probably was !	1	-1	 and[0] after[0] all[0] is[0] said[0] and[0] done[0] who's[0] to[0] say[0] if[0] the[0] children[0] are[0] also[0] not[0] better[0] off[0] for[0] surviving[0] their[0] experiences[0] just[0] like[1][-1 LastWordBoosterStrength] she[0] probably[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
