as the small boats rock slowly toward the shore at omaha beach normandy on d-day , the weary , seasick soldiers take a deep breath and open the large protective shield at the back of the boat . 	Translation	Positive	Negative	EmotionRationale
the cinematography , by janusz kaminsky , is also astounding . 	the cinematography , by janusz kaminsky , is also astounding .	1	-1	 the[0] cinematography[0] by[0] janusz[0] kaminsky[0] is[0] also[0] astounding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but be forewarned , this is the most violent and graphic film i have ever seen . 	but be forewarned , this is the most violent and graphic film i have ever seen .	1	-3	 but[0] be[0] forewarned[0] this[0] is[0] the[0] most[0] violent[-2] and[0] graphic[0] film[0] i[0] have[0] ever[0] seen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the articles you read and the warnings you see are justified ; saving private ryan is visually as disturbing as a film can get . 	the articles you read and the warnings you see are justified ; saving private ryan is visually as disturbing as a film can get .	1	-2	 the[0] articles[0] you[0] read[0] and[0] the[0] warnings[0] you[0] see[0] are[0] justified[0] saving[0] private[0] ryan[0] is[0] visually[0] as[0] disturbing[-1] as[0] a[0] film[0] can[0] get[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the question is , " does the story and its realism justify the excessive use ? " 	the question is , " does the story and its realism justify the excessive use ?<br> "	1	-2	 the[0] question[0] is[0] does[0] the[0] story[0] and[0] its[0] realism[0] justify[0] the[0] excessive[-1] use[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answer from my point of view is " no " . 	the answer from my point of view is " no " .	1	-1	 the[0] answer[0] from[0] my[0] point[0] of[0] view[0] is[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
braveheart was a truly gritty , and , one would imagine , realistic battle film . 	braveheart was a truly gritty , and , one would imagine , realistic battle film .	3	-2	 braveheart[2] was[0] a[0] truly[1] gritty[0] and[0] one[0] would[0] imagine[0] realistic[0] battle[-1] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ryan is ten times worse . 	ryan is ten times worse .	1	-3	 ryan[0] is[0] ten[0] times[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
expect disembowelments , sucked in skulls , heads blown to bits , arms and legs flying across the battlefield . 	expect disembowelments , sucked in skulls , heads blown to bits , arms and legs flying across the battlefield .	1	-2	 expect[0] disembowelments[0] sucked[-1] in[0] skulls[0] heads[0] blown[0] to[0] bits[0] arms[0] and[0] legs[0] flying[0] across[0] the[0] battlefield[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many in the theater could not bear to watch . 	many in the theater could not bear to watch .	1	-1	 many[0] in[0] the[0] theater[0] could[0] not[0] bear[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it is a shame , too , because this is otherwise by far one of the standouts this year . 	and it is a shame , too , because this is otherwise by far one of the standouts this year .	1	-3	 and[0] it[0] is[0] a[0] shame[-2] too[0] because[0] this[0] is[0] otherwise[0] by[0] far[0] one[0] of[0] the[0] standouts[0] this[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but such graphic displays may turn away even the most loyal spielberg supporters ( and academy members ) . 	but such graphic displays may turn away even the most loyal spielberg supporters ( and academy members ) .	2	-1	 but[0] such[0] graphic[0] displays[0] may[0] turn[0] away[0] even[0] the[0] most[0] loyal[1] spielberg[0] supporters[1] and[0] academy[0] members[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
saving private ryan takes us from the attack at omaha beach on d-day , 1944 , through into the film's primary mission . 	saving private ryan takes us from the attack at omaha beach on d-day , 1944 , through into the film's primary mission .	1	-3	 saving[0] private[0] ryan[0] takes[0] us[0] from[0] the[0] attack[-2] at[0] omaha[0] beach[0] on[0] d[0] day[0] 1944[0] through[0] into[0] the[0] film's[0] primary[0] mission[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
captain miller ( hanks ) assembles an 8 man crew and sets off to find a missing solider , private ryan , whose three brothers have already been killed on the battlefield . 	captain miller ( hanks ) assembles an 8 man crew and sets off to find a missing solider , private ryan , whose three brothers have already been killed on the battlefield .	1	-4	 captain[0] miller[0] hanks[0] assembles[0] an[0] 8[0] man[0] crew[0] and[0] sets[0] off[0] to[0] find[0] a[0] missing[0] solider[0] private[0] ryan[0] whose[0] three[0] brothers[0] have[0] already[0] been[0] killed[-3] on[0] the[0] battlefield[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the government goes to great lengths to make sure that mrs . ryan doesn't recieve a fourth letter of condolences about her sons , that no person should suffer such injustice . 	the government goes to great lengths to make sure that mrs .<br> ryan doesn't recieve a fourth letter of condolences about her sons , that no person should suffer such injustice .	3	-3	 the[0] government[0] goes[0] to[0] great[2] lengths[0] to[0] make[0] sure[0] that[0] mrs[0] [[Sentence=-1,3=word max, 1-5]] ryan[0] doesn't[0] recieve[0] a[0] fourth[0] letter[0] of[0] condolences[-2] about[0] her[0] sons[0] that[0] no[0] person[0] should[0] suffer[-3][--1 LastWordBoosterStrength] such[0] injustice[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
miller's crew is not in favor of the mission and they begin to harbor a secret hatred for ryan , though they don't yet know him . 	miller's crew is not in favor of the mission and they begin to harbor a secret hatred for ryan , though they don't yet know him .	1	-4	 miller's[0] crew[0] is[0] not[0] in[0] favor[1][NegatedDueToPreviousWord] of[0] the[0] mission[0] and[0] they[0] begin[0] to[0] harbor[0] a[0] secret[0] hatred[-3] for[0] ryan[0] though[0] they[0] don't[0] yet[0] know[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they resent having to trudge out to bring home one soldier who doesn't have any more or less right to live than any of them . 	they resent having to trudge out to bring home one soldier who doesn't have any more or less right to live than any of them .	1	-3	 they[0] resent[-2] having[0] to[0] trudge[-1] out[0] to[0] bring[0] home[0] one[0] soldier[0] who[0] doesn't[0] have[0] any[0] more[0] or[0] less[0] right[0] to[0] live[0] than[0] any[0] of[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film manages to keep up a rapid pace and , though there is a lot of set up between battles , the story continues full speed to the end . 	this film manages to keep up a rapid pace and , though there is a lot of set up between battles , the story continues full speed to the end .	1	-2	 this[0] film[0] manages[0] to[0] keep[0] up[0] a[0] rapid[0] pace[0] and[0] though[0] there[0] is[0] a[0] lot[0] of[0] set[0] up[0] between[0] battles[-1] the[0] story[0] continues[0] full[0] speed[0] to[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the pacing and dramatism of the extremely well choreographed battle scenes is really in a league of it's own . 	the pacing and dramatism of the extremely well choreographed battle scenes is really in a league of it's own .	1	-3	 the[0] pacing[0] and[0] dramatism[0] of[0] the[0] extremely[0] well[0] choreographed[-2] battle[-1] scenes[0] is[0] really[0] in[0] a[0] league[0] of[0] it's[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
spielberg , though not a student of the " quick cut " school of filmmaking , takes a stab at it here , and does it better than michael bay or any of his mtv counterparts could ever hope to do it . 	spielberg , though not a student of the " quick cut " school of filmmaking , takes a stab at it here , and does it better than michael bay or any of his mtv counterparts could ever hope to do it .	3	-2	 spielberg[0] though[0] not[0] a[0] student[0] of[0] the[0] quick[0] cut[0] school[0] of[0] filmmaking[0] takes[0] a[0] stab[-1] at[0] it[0] here[0] and[0] does[0] it[0] better[0] than[0] michael[0] bay[0] or[0] any[0] of[0] his[0] mtv[0] counterparts[0] could[0] ever[0] hope[2] to[0] do[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bay should pay close attention , take copious notes . 	bay should pay close attention , take copious notes .	1	-1	 bay[0] should[0] pay[0] close[0] attention[0] take[0] copious[0] notes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you want to jump cut every two seconds , do it the way spielberg does it in ryan . 	if you want to jump cut every two seconds , do it the way spielberg does it in ryan .	1	-1	 if[0] you[0] want[0] to[0] jump[0] cut[0] every[0] two[0] seconds[0] do[0] it[0] the[0] way[0] spielberg[0] does[0] it[0] in[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end , the extremity of the gory violence is not justified by the " importance " of the film . 	in the end , the extremity of the gory violence is not justified by the " importance " of the film .	1	-4	 in[0] the[0] end[0] the[0] extremity[0] of[0] the[0] gory[0] violence[-3] is[0] not[0] justified[0] by[0] the[0] importance[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
schindler's list taught many people the truth about the holocaust . 	schindler's list taught many people the truth about the holocaust .	2	-1	 schindler's[0] list[0] taught[0] many[0] people[0] the[0] truth[1] about[0] the[0] holocaust[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it opened eyes , sparked debate and study . 	it opened eyes , sparked debate and study .	1	-1	 it[0] opened[0] eyes[0] sparked[0] debate[0] and[0] study[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though the battle scenes in ryan have never been portrayed as realistically before , they don't amount to anything as serious or thought provoking as the schindler's list . 	though the battle scenes in ryan have never been portrayed as realistically before , they don't amount to anything as serious or thought provoking as the schindler's list .	1	-2	 though[0] the[0] battle[-1] scenes[0] in[0] ryan[0] have[0] never[0] been[0] portrayed[0] as[0] realistically[0] before[0] they[0] don't[0] amount[0] to[0] anything[0] as[0] serious[-1] or[0] thought[0] provoking[0] as[0] the[0] schindler's[0] list[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall , this is just the truest depiction of the old adage , " war is hell . " 	overall , this is just the truest depiction of the old adage , " war is hell .<br> "	2	-3	 overall[0] this[0] is[0] just[0] the[0] truest[1] depiction[0] of[0] the[0] old[0] adage[0] war[-2] is[0] hell[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but braveheart-dosage would have fit this movie much more appropriately , and would have made the difference between me getting up the nerve to see it again some day and realizing that this is something i doubt i could endure again . 	but braveheart-dosage would have fit this movie much more appropriately , and would have made the difference between me getting up the nerve to see it again some day and realizing that this is something i doubt i could endure again .	3	-2	 but[0] braveheart[2] dosage[0] would[0] have[0] fit[0] this[0] movie[0] much[0] more[0] appropriately[0] and[0] would[0] have[0] made[0] the[0] difference[0] between[0] me[0] getting[0] up[0] the[0] nerve[0] to[0] see[0] it[0] again[0] some[0] day[0] and[0] realizing[0] that[0] this[0] is[0] something[0] i[0] doubt[-1] i[0] could[0] endure[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
masterful work marred only by excessive gore . 	masterful work marred only by excessive gore .	1	-2	 masterful[0] work[0] marred[0] only[0] by[0] excessive[-1] gore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
