one of the best things about my job is that , every so often , a film still catches me by surprise . 	Translation	Positive	Negative	EmotionRationale
the story begins with a police dog capturing a mobster and biting off one of his testicles in the process . 	the story begins with a police dog capturing a mobster and biting off one of his testicles in the process .	1	-1	 the[0] story[0] begins[0] with[0] a[0] police[0] dog[0] capturing[0] a[0] mobster[0] and[0] biting[0] off[0] one[0] of[0] his[0] testicles[0] in[0] the[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the hospital , the doctors explain that they replaced the testicle with a metal ball and joke that the victim is lucky the dog didn't bit off the other one , because two metal replacement balls would clack together . 	at the hospital , the doctors explain that they replaced the testicle with a metal ball and joke that the victim is lucky the dog didn't bit off the other one , because two metal replacement balls would clack together .	2	-3	 at[0] the[0] hospital[0] the[0] doctors[0] explain[0] that[0] they[0] replaced[0] the[0] testicle[0] with[0] a[0] metal[0] ball[0] and[0] joke[1] that[0] the[0] victim[-2] is[0] lucky[1] the[0] dog[0] didn't[0] bit[0] off[0] the[0] other[0] one[0] because[0] two[0] metal[0] replacement[0] balls[0] would[0] clack[0] together[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , the movie ends with the dog biting off the remaining testicle and shows prisoners laughing at the criminal as he clacks past their cells . 	of course , the movie ends with the dog biting off the remaining testicle and shows prisoners laughing at the criminal as he clacks past their cells .	2	-2	 of[0] course[0] the[0] movie[0] ends[0] with[0] the[0] dog[0] biting[0] off[0] the[0] remaining[0] testicle[0] and[0] shows[0] prisoners[-1] laughing[1] at[0] the[0] criminal[-1] as[0] he[0] clacks[0] past[0] their[0] cells[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
somebody clue me in ? when did genital mutilation become funny ? 	somebody clue me in ?<br> when did genital mutilation become funny ?	2	-1	 somebody[0] clue[0] me[0] in[0] [[Sentence=-1,1=word max, 1-5]] when[0] did[0] genital[0] mutilation[0] become[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " spy kids " is a welcome antidote to the repellent " see spot run , " using imagination instead of cruelty and crudeness . 	 " spy kids " is a welcome antidote to the repellent " see spot run , " using imagination instead of cruelty and crudeness .	2	-4	 spy[0] kids[0] is[0] a[0] welcome[1] antidote[0] to[0] the[0] repellent[0] see[0] spot[0] run[0] using[0] imagination[0] instead[0] of[0] cruelty[-3] and[0] crudeness[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
carmen ( alexa vega ) and her younger brother juni ( daryl sabara ) live in a beautiful seaside home with their parents , gregorio ( antonio banderas ) and ingrid cortez ( carla gugino ) . 	carmen ( alexa vega ) and her younger brother juni ( daryl sabara ) live in a beautiful seaside home with their parents , gregorio ( antonio banderas ) and ingrid cortez ( carla gugino ) .	3	-1	 carmen[0] alexa[0] vega[0] and[0] her[0] younger[0] brother[0] juni[0] daryl[0] sabara[0] live[0] in[0] a[0] beautiful[2] seaside[0] home[0] with[0] their[0] parents[0] gregorio[0] antonio[0] banderas[0] and[0] ingrid[0] cortez[0] carla[0] gugino[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mom and dad are a sultry couple devoted to their children . 	mom and dad are a sultry couple devoted to their children .	3	-1	 mom[0] and[0] dad[0] are[0] a[0] sultry[0] couple[0] devoted[2] to[0] their[0] children[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what the kids don't know is that they are also former spies . 	what the kids don't know is that they are also former spies .	1	-1	 what[0] the[0] kids[0] don't[0] know[0] is[0] that[0] they[0] are[0] also[0] former[0] spies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once agents from different countries assigned to " erase " each other , they instead fell in love , married and retired to raise a family . 	once agents from different countries assigned to " erase " each other , they instead fell in love , married and retired to raise a family .	3	-2	 once[0] agents[0] from[0] different[0] countries[0] assigned[0] to[0] erase[-1] each[0] other[0] they[0] instead[0] fell[0] in[0] love[2] married[0] and[0] retired[-1] to[0] raise[0] a[0] family[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
needless to say , they get drawn back to the business . 	needless to say , they get drawn back to the business .	1	-1	 needless[0] to[0] say[0] they[0] get[0] drawn[0] back[0] to[0] the[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shortly into their first joint mission , they are captured and end up in the headquarters of fegan floop ( alan cumming ) , a foppish hybrid of willy wonka and pee wee herman who hosts juni's favorite tv show . 	shortly into their first joint mission , they are captured and end up in the headquarters of fegan flop ( alan cumming ) , a foppish hybrid of wily wonka and pee wee herman who hosts juni's favorite tv show .	2	-2	 shortly[0] into[0] their[0] first[0] joint[0] mission[0] they[0] are[0] captured[-1] and[0] end[0] up[0] in[0] the[0] headquarters[0] of[0] fegan[0] floop/flop[0] alan[0] cumming[0] a[0] foppish[0] hybrid[0] of[0] willy/wily[-1] wonka[0] and[0] pee[0] wee[-1] herman[0] who[0] hosts[0] juni's[0] favorite[1] tv[0] show[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but there is evil behind the scenes , as inventors prepare an army of robots disguised as children . 	but there is evil behind the scenes , as inventors prepare an army of robots disguised as children .	1	-3	 but[0] there[0] is[0] evil[-2] behind[0] the[0] scenes[0] as[0] inventors[0] prepare[0] an[0] army[0] of[0] robots[0] disguised[0] as[0] children[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
papa gregorio has the device necessary to radically increase the efficiency of the creatures and the bad guys will stop at nothing to get it from him . 	papa gregorio has the device necessary to radically increase the efficiency of the creatures and the bad guys will stop at nothing to get it from him .	1	-2	 papa[0] gregorio[0] has[0] the[0] device[0] necessary[0] to[0] radically[-1] increase[0] the[0] efficiency[0] of[0] the[0] creatures[0] and[0] the[0] bad[-1] guys[0] will[0] stop[0] at[0] nothing[0] to[0] get[0] it[0] from[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
back at home , " uncle " felix ( cheech marin ) shows up to reveal mom and dad's secret to the kids . 	back at home , " uncle " felix ( cheech marin ) shows up to reveal mom and dad's secret to the kids .	1	-1	 back[0] at[0] home[0] uncle[0] felix[0] cheech[0] marin[0] shows[0] up[0] to[0] reveal[0] mom[0] and[0] dad's[0] secret[0] to[0] the[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a brief respite at a safe house filled with enough cool gadgets for a dozen sharper image stores , carmen and juni set off to find their parents and save the world , zooming through the sea in a submarine pod that looks like a goldfish , while a slew of wicked people ( including teri hatcher ) chase them . 	after a brief respite at a safe house filled with enough cool gadgets for a dozen sharper image stores , carmen and juni set off to find their parents and save the world , zooming through the sea in a submarine pod that looks like a goldfish , while a slew of wicked people ( including teri hatcher ) chase them .	3	-2	 after[0] a[0] brief[0] respite[0] at[0] a[0] safe[1] house[0] filled[0] with[0] enough[0] cool[1] gadgets[0] for[0] a[0] dozen[0] sharper[0] image[0] stores[0] carmen[0] and[0] juni[0] set[0] off[0] to[0] find[0] their[0] parents[0] and[0] save[1] the[0] world[0] zooming[0] through[0] the[0] sea[0] in[0] a[0] submarine[0] pod[0] that[0] looks[0] like[1] a[0] goldfish[0] while[0] a[0] slew[0] of[0] wicked[2] people[0] including[0] teri[0] hatcher[0] chase[-1] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
during the course of their adventures , they get to use jet packs , electroshock bubblegum and super-computer sunglasses . 	during the course of their adventures , they get to use jet packs , electroshock bubblegum and super-computer sunglasses .	3	-1	 during[0] the[0] course[0] of[0] their[0] adventures[0] they[0] get[0] to[0] use[0] jet[0] packs[0] electroshock[0] bubblegum[0] and[0] super[2] computer[0] sunglasses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they watch as secret agents are transformed into bizarre creatures with silly putty faces and used as background characters on floop's tv show . 	they watch as secret agents are transformed into bizarre creatures with silly putty faces and used as background characters on floop's tv show .	1	-2	 they[0] watch[0] as[0] secret[0] agents[0] are[0] transformed[0] into[0] bizarre[-1] creatures[0] with[0] silly[-1] putty[0] faces[0] and[0] used[0] as[0] background[0] characters[0] on[0] floop's[0] tv[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they deal with guards that have huge thumbs where their arms , legs and heads would normally be ( why are the guards so ineffective ? 	they deal with guards that have huge thumbs where their arms , legs and heads would normally be ( why are the guards so ineffective ?	1	-2	 they[0] deal[0] with[0] guards[0] that[0] have[0] huge[0] thumbs[0] where[0] their[0] arms[0] legs[0] and[0] heads[0] would[0] normally[0] be[0] why[0] are[0] the[0] guards[0] so[0] ineffective[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because they're all thumbs ! ) 	because they're all thumbs !<br> )	1	-1	 because[0] they're[0] all[0] thumbs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they move from one colorful locale to another , including a nifty virtual reality room reminiscent of the holodeck from " star trek . " 	they move from one colorful locale to another , including a nifty virtual reality room reminiscent of the holodeck from " star trek .<br> "	1	-1	 they[0] move[0] from[0] one[0] colorful[0] locale[0] to[0] another[0] including[0] a[0] nifty[0] virtual[0] reality[0] room[0] reminiscent[0] of[0] the[0] holodeck[0] from[0] star[0] trek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the storyline is silly and convoluted , but even at its most dense , it is easier to follow than either " mission : impossible " movie . 	the storyline is silly and convoluted , but even at its most dense , it is easier to follow than either " mission : impossible " movie .	1	-2	 the[0] storyline[0] is[0] silly[-1] and[0] convoluted[0] but[0] even[0] at[0] its[0] most[0] dense[0] it[0] is[0] easier[0] to[0] follow[0] than[0] either[0] mission[0] impossible[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director robert rodriguez ( " from dusk to dawn " ) maintains a frenetic pace , with the whole film clocking in at a mere 86 minutes . 	director robert rodriguez ( " from dusk to dawn " ) maintains a frenetic pace , with the whole film clocking in at a mere 86 minutes .	1	-1	 director[0] robert[0] rodriguez[0] from[0] dusk[0] to[0] dawn[0] maintains[0] a[0] frenetic[0] pace[0] with[0] the[0] whole[0] film[0] clocking[0] in[0] at[0] a[0] mere[0] 86[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bit less action and a little more character development would have been nice , but he does provide enough quiet moments for viewers to become fully invested in the family . 	a bit less action and a little more character development would have been nice , but he does provide enough quiet moments for viewers to become fully invested in the family .	2	-1	 a[0] bit[0] less[0] action[0] and[0] a[0] little[0] more[0] character[0] development[0] would[0] have[0] been[0] nice[1] but[0] he[0] does[0] provide[0] enough[0] quiet[0] moments[0] for[0] viewers[0] to[0] become[0] fully[0] invested[0] in[0] the[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alexa vega and daryl sabara make an agreeable brother and sister team , squabbling the way kids do , but coming together when it counts . 	alexa vega and daryl sabara make an agreeable brother and sister team , squabbling the way kids do , but coming together when it counts .	1	-1	 alexa[0] vega[0] and[0] daryl[0] sabara[0] make[0] an[0] agreeable[0] brother[0] and[0] sister[0] team[0] squabbling[0] the[0] way[0] kids[0] do[0] but[0] coming[0] together[0] when[0] it[0] counts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
antonio banderas and carla gugino are even better as the parents ; they quickly establish and maintain a great lusty chemistry while keeping their tongues properly in cheek during the action scenes . 	antonio banderas and carla gugino are even better as the parents ; they quickly establish and maintain a great lusty chemistry while keeping their tongues properly in cheek during the action scenes .	3	-1	 antonio[0] banderas[0] and[0] carla[0] gugino[0] are[0] even[0] better[0] as[0] the[0] parents[0] they[0] quickly[0] establish[0] and[0] maintain[0] a[0] great[2] lusty[0] chemistry[0] while[0] keeping[0] their[0] tongues[0] properly[0] in[0] cheek[0] during[0] the[0] action[0] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even the usually irritating alan cumming has some nice moments ? a virtual cloud-backed chat between his character and juni is one of the best segments in the film . 	even the usually irritating alan cumming has some nice moments ?<br> a virtual cloud-backed chat between his character and juni is one of the best segments in the film .	2	-3	 even[0] the[0] usually[0] irritating[-2] alan[0] cumming[0] has[0] some[0] nice[1][-1 LastWordBoosterStrength] moments[0] [[Sentence=-3,1=word max, 1-5]] a[0] virtual[0] cloud[0] backed[0] chat[0] between[0] his[0] character[0] and[0] juni[0] is[0] one[0] of[0] the[0] best[1] segments[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
had rodriguez added a few more scenes like that , i would have enjoyed the film more ( and i definitely could have lived without the glaring product placement for a certain mc-ubiquitous company ) . 	had rodriguez added a few more scenes like that , i would have enjoyed the film more ( and i definitely could have lived without the glaring product placement for a certain mc-ubiquitous company ) .	3	-1	 had[0] rodriguez[0] added[0] a[0] few[0] more[0] scenes[0] like[1] that[0] i[0] would[0] have[0] enjoyed[2] the[0] film[0] more[0] and[0] i[0] definitely[0] could[0] have[0] lived[0] without[0] the[0] glaring[0] product[0] placement[0] for[0] a[0] certain[0] mc[0] ubiquitous[0] company[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
regardless , " spy kids " is a hoot , offering fun for adults and children alike . 	regardless , " spy kids " is a hoot , offering fun for adults and children alike .	2	-2	 regardless[-1] spy[0] kids[0] is[0] a[0] hoot[0] offering[0] fun[1] for[0] adults[0] and[0] children[0] alike[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and just think , they managed to do it without sacrificing a single testicle . 	and just think , they managed to do it without sacrificing a single testicle .	1	-1	 and[0] just[0] think[0] they[0] managed[0] to[0] do[0] it[0] without[0] sacrificing[0] a[0] single[0] testicle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
