in a flashback , the teenage girl in the eccentric family in the canadian film , the hanging garden , tells her senile grandmother that she is going to a school dance . 	Translation	Positive	Negative	EmotionRationale
next , he's 300 pound teenager , played with hopelessness and depression by troy veinotte . 	next , he's 300 pound teenager , played with hopelessness and depression by troy veinotte .	1	-4	 next[0] he's[0] 300[0] pound[0] teenager[0] played[0] with[0] hopelessness[-3] and[0] depression[-3] by[0] troy[0] veinotte[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when the opening credits end , we cut to 10 years later . 	when the opening credits end , we cut to 10 years later .	1	-1	 when[0] the[0] opening[0] credits[0] end[0] we[0] cut[0] to[0] 10[0] years[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
william is now an average-sized , reasonably happy adult , played with love and compassion by chris leavins . 	william is now an average-sized , reasonably happy adult , played with love and compassion by chris leavins .	3	-1	 william[0] is[0] now[0] an[0] average[0] sized[0] reasonably[0] happy[1] adult[0] played[0] with[0] love[2] and[0] compassion[1] by[0] chris[0] leavins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
william has returned after 10 years absence to attend the marriage of his free-spirited and foul-mouthed sister rosemary to his first childhood lover , fletcher ( joe s . keller ) . 	william has returned after 10 years absence to attend the marriage of his free-spirited and foul-mouthed sister rosemary to his first childhood lover , fletcher ( joe s .<br> keller ) .	4	-2	 william[0] has[0] returned[0] after[0] 10[0] years[0] absence[-1] to[0] attend[0] the[0] marriage[0] of[0] his[0] free[0] spirited[0] and[0] foul[0] mouthed[0] sister[0] rosemary[0] to[0] his[0] first[0] childhood[0] lover[3] fletcher[0] joe[0] s[0] [[Sentence=-2,4=word max, 1-5]] keller[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
kerry fox from an angel at my table and shallow grave plays rosemary with a compelling joy . 	kerry fox from an angel at my table and shallow grave plays rosemary with a compelling joy .	3	-3	 kerry[0] fox[0] from[0] an[0] angel[0] at[0] my[0] table[0] and[0] shallow[-1] grave[-2] plays[1] rosemary[0] with[0] a[0] compelling[0] joy[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
nicole burnell , who gave such a devastating performance in the sweet hereafter , plays the teenage rosemary . 	nicole burnell , who gave such a devastating performance in the sweet hereafter , plays the teenage rosemary .	2	-5	 nicole[0] burnell[-1] who[0] gave[0] such[0] a[0] devastating[-4] performance[0] in[0] the[0] sweet[1] hereafter[0] plays[1] the[0] teenage[0] rosemary[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
the father of the family , whiskey mac ( peter macneill ) , is an alcoholic autocrat who is more obnoxious than harmful . 	the father of the family , whiskey mac ( peter macneill ) , is an alcoholic autocrat who is more obnoxious than harmful .	1	-3	 the[0] father[0] of[0] the[0] family[0] whiskey[0] mac[0] peter[0] macneill[0] is[0] an[0] alcoholic[0] autocrat[-1] who[0] is[0] more[0] obnoxious[-2] than[0] harmful[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his wife , iris ( seana mckenna ) , says that she would have left him years ago to at least go to some place warm were it not for her lack of money and her obligations to the kids . 	his wife , iris ( seana mckenna ) , says that she would have left him years ago to at least go to some place warm were it not for her lack of money and her obligations to the kids .	1	-2	 his[0] wife[0] iris[0] seana[0] mckenna[0] says[0] that[0] she[0] would[0] have[0] left[0] him[0] years[0] ago[0] to[0] at[0] least[0] go[0] to[0] some[0] place[0] warm[0] were[0] it[0] not[0] for[0] her[0] lack[-1] of[0] money[0] and[0] her[0] obligations[0] to[0] the[0] kids[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rounding out the family is christine dunsworth as nine-year-old violet , the sister whom william meets for the first time . 	rounding out the family is christine dunsworth as nine-year-old violet , the sister whom william meets for the first time .	1	-1	 rounding[0] out[0] the[0] family[0] is[0] christine[0] dunsworth[0] as[0] nine[0] year[0] old[0] violet[0] the[0] sister[0] whom[0] william[0] meets[0] for[0] the[0] first[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the exuberant irish music fills the air at the wedding in the family home , william wanders off to try on one of his old coats , which causes him to laugh at the size of his former self . 	as the exuberant irish music fills the air at the wedding in the family home , william wanders off to try on one of his old coats , which causes him to laugh at the size of his former self .	3	-1	 as[0] the[0] exuberant[2] irish[0] music[0] fills[0] the[0] air[0] at[0] the[0] wedding[0] in[0] the[0] family[0] home[0] william[0] wanders[0] off[0] to[0] try[0] on[0] one[0] of[0] his[0] old[0] coats[0] which[0] causes[0] him[0] to[0] laugh[1] at[0] the[0] size[0] of[0] his[0] former[0] self[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the director manages to stage simple scenes in wonderfully imaginative ways . 	the director manages to stage simple scenes in wonderfully imaginative ways .	3	-1	 the[0] director[0] manages[0] to[0] stage[0] simple[0] scenes[0] in[0] wonderfully[2] imaginative[1] ways[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he takes a common wedding dress train and uses it to set up scenes in fresh and fascinating ways . 	he takes a common wedding dress train and uses it to set up scenes in fresh and fascinating ways .	1	-1	 he[0] takes[0] a[0] common[0] wedding[0] dress[0] train[0] and[0] uses[0] it[0] to[0] set[0] up[0] scenes[0] in[0] fresh[0] and[0] fascinating[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rosmary's trip to the bathroom after drinking too much beer is beautifully orchestrated , and kerry fox is at her hilarious best trying to cope with the long train in a small bath , all while talking to her brother . 	rosmary's trip to the bathroom after drinking too much beer is beautifully orchestrated , and kerry fox is at her hilarious best trying to cope with the long train in a small bath , all while talking to her brother .	3	-1	 rosmary's[0] trip[0] to[0] the[0] bathroom[0] after[0] drinking[0] too[0] much[0] beer[0] is[0] beautifully[2] orchestrated[0] and[0] kerry[0] fox[0] is[0] at[0] her[0] hilarious[2] best[1] trying[0] to[0] cope[0] with[0] the[0] long[0] train[0] in[0] a[0] small[0] bath[0] all[0] while[0] talking[0] to[0] her[0] brother[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as much as anything , the film is a series of character sketches . 	as much as anything , the film is a series of character sketches .	1	-1	 as[0] much[0] as[0] anything[0] the[0] film[0] is[0] a[0] series[0] of[0] character[0] sketches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one of the strongest we watch william in a flashback as he has his first sexual encounter , a homosexual one . 	in one of the strongest we watch william in a flashback as he has his first sexual encounter , a homosexual one .	1	-1	 in[0] one[0] of[0] the[0] strongest[0] we[0] watch[0] william[0] in[0] a[0] flashback[0] as[0] he[0] has[0] his[0] first[0] sexual[0] encounter[0] a[0] homosexual[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although he is perfectly happy liking the same sex , his mother is aghast . 	although he is perfectly happy liking the same sex , his mother is aghast .	3	-2	 although[0] he[0] is[0] perfectly[1] happy[1] liking[2] the[0] same[0] sex[0] his[0] mother[0] is[0] aghast[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a woman friend of hers suggests she take william to a local housewife , dusty miller ( martha irving ) , who , for a fee , will have heterosexual sex with william . 	a woman friend of hers suggests she take william to a local housewife , dusty miller ( martha irving ) , who , for a fee , will have heterosexual sex with william .	2	-1	 a[0] woman[0] friend[1] of[0] hers[0] suggests[0] she[0] take[0] william[0] to[0] a[0] local[0] housewife[0] dusty[0] miller[0] martha[0] irving[0] who[0] for[0] a[0] fee[0] will[0] have[0] heterosexual[0] sex[0] with[0] william[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with absolute finesse the director crafts a subtle scene that manages to yield significant emotional punch without being sensational . 	with absolute finesse the director crafts a subtle scene that manages to yield significant emotional punch without being sensational .	1	-2	 with[0] absolute[0] finesse[0] the[0] director[0] crafts[0] a[0] subtle[0] scene[0] that[0] manages[0] to[0] yield[0] significant[0] emotional[-1] punch[-1] without[0] being[0] sensational[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dusty , after asking iris to watch her daughter , takes william and gently introduces him to the joys of sex with the opposite sex . 	dusty , after asking iris to watch her daughter , takes william and gently introduces him to the joys of sex with the opposite sex .	3	-1	 dusty[0] after[0] asking[0] iris[0] to[0] watch[0] her[0] daughter[0] takes[0] william[0] and[0] gently[1] introduces[0] him[0] to[0] the[0] joys[2] of[0] sex[0] with[0] the[0] opposite[0] sex[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all of this notwithstanding , he still prefers males . 	all of this notwithstanding , he still prefers males .	1	-1	 all[0] of[0] this[0] notwithstanding[0] he[0] still[0] prefers[0] males[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is at its most poignant in several sequences in which the grown william comes face-to-face with himself when younger . 	the film is at its most poignant in several sequences in which the grown william comes face-to-face with himself when younger .	1	-1	 the[0] film[0] is[0] at[0] its[0] most[0] poignant[0] in[0] several[0] sequences[0] in[0] which[0] the[0] grown[0] william[0] comes[0] face[0] to[0] face[0] with[0] himself[0] when[0] younger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this causes his ugly old memories to be reignited . 	this causes his ugly old memories to be reignited .	1	-3	 this[0] causes[0] his[0] ugly[-2] old[0] memories[0] to[0] be[0] reignited[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the most devastating , he has to come to grips with his former self who was so overwhelmed with the stress that he tried to hang himself . 	in the most devastating , he has to come to grips with his former self who was so overwhelmed with the stress that he tried to hang himself .	1	-5	 in[0] the[0] most[0] devastating[-4] he[0] has[0] to[0] come[0] to[0] grips[0] with[0] his[0] former[0] self[0] who[0] was[0] so[0] overwhelmed[-2] with[0] the[0] stress[-1] that[0] he[0] tried[0] to[0] hang[-1] himself[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
even here , the director touches your heart without ever letting the story dissolve into anything approaching a tearjerker . 	even here , the director touches your heart without ever letting the story dissolve into anything approaching a tearjerker .	1	-1	 even[0] here[0] the[0] director[0] touches[0] your[0] heart[0] without[0] ever[0] letting[0] the[0] story[0] dissolve[0] into[0] anything[0] approaching[0] a[0] tearjerker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ultimate result is an uplifting story that has more hope that one would ever expect from the outline of its plot . 	the ultimate result is an uplifting story that has more hope that one would ever expect from the outline of its plot .	3	-1	 the[0] ultimate[0] result[0] is[0] an[0] uplifting[0] story[0] that[0] has[0] more[0] hope[2] that[0] one[0] would[0] ever[0] expect[0] from[0] the[0] outline[0] of[0] its[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the hanging garden runs 1 : 31 . 	the hanging garden runs 1 : 31 .	1	-1	 the[0] hanging[0] garden[0] runs[0] 1[0] 31[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for strong sexuality , language , violence and some teen drug use and would be acceptable for teenagers only if they are quite old and mature . 	it is rated are for strong sexuality , language , violence and some teen drug use and would be acceptable for teenagers only if they are quite old and mature .	1	-4	 it[0] is[0] rated[0] r[0] for[0] strong[0] sexuality[0] language[0] violence[-3] and[0] some[0] teen[0] drug[0] use[0] and[0] would[0] be[0] acceptable[0] for[0] teenagers[0] only[0] if[0] they[0] are[0] quite[0] old[0] and[0] mature[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
