everyone knows someone like giles de'ath : stuffy , arrogant , set in his ways , and at war with anything that could in any way be associated with " progress . " 	Translation	Positive	Negative	EmotionRationale
 ( in order to watch those tapes , giles must buy a vcr , but he initially doesn't realize that he needs a tv to use the vcr . ) 	 ( in order to watch those tapes , giles must buy a vcr , but he initially doesn't realize that he needs a tv to use the vcr .<br> )	1	-1	 in[0] order[0] to[0] watch[0] those[0] tapes[0] giles[0] must[0] buy[0] a[0] vcr[0] but[0] he[0] initially[0] doesn't[0] realize[0] that[0] he[0] needs[0] a[0] tv[0] to[0] use[0] the[0] vcr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually , not satisfied with being the world's foremost authority on bostock , giles boards a plane and travels to long island , where his idol's home is located . 	eventually , not satisfied with being the world's foremost authority on bostock , giles boards a plane and travels to long island , where his idol's home is located .	1	-2	 eventually[0] not[0] satisfied[1][NegatedDueToPreviousWord] with[0] being[0] the[0] world's[0] foremost[0] authority[0] on[0] bostock[0] giles[0] boards[0] a[0] plane[0] and[0] travels[0] to[0] long[0] island[0] where[0] his[0] idol's[0] home[0] is[0] located[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bostock is away when giles arrives , but the wily englishman manages to befriend ronnie's supermodel girlfriend , audrey ( fiona loewi ) . 	bostock is away when giles arrives , but the wily englishman manages to befriend ronnie's supermodel girlfriend , audrey ( fiona loewi ) .	1	-2	 bostock[0] is[0] away[0] when[0] giles[0] arrives[0] but[0] the[0] wily[-1] englishman[0] manages[0] to[0] befriend[0] ronnie's[0] supermodel[0] girlfriend[0] audrey[0] fiona[0] loewi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually , the actor arrives home and , impressed with giles' demeanor and intelligence , he begins to rely on the older man's advice . 	eventually , the actor arrives home and , impressed with giles' demeanor and intelligence , he begins to rely on the older man's advice .	2	-1	 eventually[0] the[0] actor[0] arrives[0] home[0] and[0] impressed[1] with[0] giles'[0] demeanor[0] and[0] intelligence[0] he[0] begins[0] to[0] rely[0] on[0] the[0] older[0] man's[0] advice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , while giles' affection runs deep , ronnie's feelings are less constant . 	but , while giles' affection runs deep , ronnie's feelings are less constant .	3	-1	 but[0] while[0] giles'[0] affection[2] runs[0] deep[0] ronnie's[0] feelings[0] are[0] less[0] constant[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
love and death on long island is a comedy , and a very funny one at that . 	love and death on long island is a comedy , and a very funny one at that .	3	-3	 love[2] and[0] death[-2] on[0] long[0] island[0] is[0] a[0] comedy[0] and[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] one[0] at[0] that[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in fact , for its first half , the film is nearly-perfect . 	in fact , for its first half , the film is nearly-perfect .	2	-1	 in[0] fact[0] for[0] its[0] first[0] half[0] the[0] film[0] is[0] nearly[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it suffers a fall-off once giles reaches new york , and the ending , with its none-too-subtle homosexual overtones , is a little too overbearing for the lighthearted material that precedes it . 	it suffers a fall-off once giles reaches new york , and the ending , with its none-too-subtle homosexual overtones , is a little too overbearing for the lighthearted material that precedes it .	1	-4	 it[0] suffers[-3] a[0] fall[0] off[0] once[0] giles[0] reaches[0] new[0] york[0] and[0] the[0] ending[0] with[0] its[0] none[0] too[0] subtle[0] homosexual[0] overtones[0] is[0] a[0] little[0] too[0] overbearing[-1] for[0] the[0] lighthearted[0] material[0] that[0] precedes[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in his gently satirical approach to popular culture and movie stardom , writer/director richard kwietniowski , adapting from the novel by gilbert adair , is 100% on- target . 	in his gently satirical approach to popular culture and movie stardom , writer/director richard kwietniowski , adapting from the novel by gilbert adair , is 100% on- target .	2	-1	 in[0] his[0] gently[1] satirical[0] approach[0] to[0] popular[0] culture[0] and[0] movie[0] stardom[0] writer/director[0] richard[0] kwietniowski[0] adapting[0] from[0] the[0] novel[0] by[0] gilbert[0] adair[0] is[0] 100%[0] on[0] target[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the process , he not only creates a truly likable and memorable character in giles , but says a few things about the transforming power of love , even if it is unrequited . 	in the process , he not only creates a truly likable and memorable character in giles , but says a few things about the transforming power of love , even if it is unrequited .	3	-1	 in[0] the[0] process[0] he[0] not[0] only[0] creates[0] a[0] truly[1] likable[0] and[0] memorable[0] character[0] in[0] giles[0] but[0] says[0] a[0] few[0] things[0] about[0] the[0] transforming[0] power[0] of[0] love[2] even[0] if[0] it[0] is[0] unrequited[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from start to finish , this is clearly hurt's movie ? he's in almost every frame . 	from start to finish , this is clearly hurt's movie ?<br> he's in almost every frame .	1	-3	 from[0] start[0] to[0] finish[0] this[0] is[0] clearly[0] hurt's[-2] movie[0] [[Sentence=-3,1=word max, 1-5]] he's[0] in[0] almost[0] every[0] frame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a role that the veteran actor must have relished , because he makes giles an unforgettable motion picture figure , and does so by means of dialogue delivery , body language , and ever-changing facial expressions . 	it's a role that the veteran actor must have relished , because he makes giles an unforgettable motion picture figure , and does so by means of dialogue delivery , body language , and ever-changing facial expressions .	1	-1	 it's[0] a[0] role[0] that[0] the[0] veteran[0] actor[0] must[0] have[0] relished[0] because[0] he[0] makes[0] giles[0] an[0] unforgettable[0] motion[0] picture[0] figure[0] and[0] does[0] so[0] by[0] means[0] of[0] dialogue[0] delivery[0] body[0] language[0] and[0] ever[0] changing[0] facial[0] expressions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jason priestley , cashing in on his beverly hills 90210 image , is surprisingly effective as the shallow ronnie . 	jason priestley , cashing in on his beverly hills 90210 image , is surprisingly effective as the shallow ronnie .	1	-2	 jason[0] priestley[0] cashing[0] in[0] on[0] his[0] beverly[0] hills[0] 90210[0] image[0] is[0] surprisingly[0] effective[0] as[0] the[0] shallow[-1] ronnie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is charismatic , and it's not hard to understand why giles is attracted to ronnie . 	he is charismatic , and it's not hard to understand why giles is attracted to ronnie .	2	-1	 he[0] is[0] charismatic[0] and[0] it's[0] not[0] hard[0] to[0] understand[0] why[0] giles[0] is[0] attracted[1] to[0] ronnie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , solid support is provided by the appealing fiona loewi and the always-reliable maury chaykin . 	meanwhile , solid support is provided by the appealing fiona loewi and the always-reliable maury chaykin .	2	-1	 meanwhile[0] solid[0] support[1] is[0] provided[0] by[0] the[0] appealing[0] fiona[0] loewi[0] and[0] the[0] always[0] reliable[0] maury[0] chaykin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
love and death on long island is many things wrapped into one : a social commentary ( it tackles the thorny issue of film as pure art versus film as mindless entertainment ) , a buddy picture/love story ( ronnie and giles have one of the most interesting relationships found anywhere on a movie screen these days ) , and a " fish out of water " tale ( victorian relic giles forced into the modern world ) . 	love and death on long island is many things wrapped into one : a social commentary ( it tackles the thorny issue of film as pure art versus film as mindless entertainment ) , a buddy picture/love story ( ronnie and giles have one of the most interesting relationships found anywhere on a movie screen these days ) , and a " fish out of water " tale ( victorian relic giles forced into the modern world ) .	3	-3	 love[2] and[0] death[-2] on[0] long[0] island[0] is[0] many[0] things[0] wrapped[0] into[0] one[0] a[0] social[0] commentary[0] it[0] tackles[0] the[0] thorny[-1] issue[0] of[0] film[0] as[0] pure[0] art[0] versus[0] film[0] as[0] mindless[0] entertainment[0] a[0] buddy[0] picture/love[0] story[0] ronnie[0] and[0] giles[0] have[0] one[0] of[0] the[0] most[0] interesting[1] relationships[0] found[0] anywhere[0] on[0] a[0] movie[0] screen[0] these[0] days[0] and[0] a[0] fish[0] out[0] of[0] water[0] tale[0] victorian[0] relic[0] giles[0] forced[0] into[0] the[0] modern[0] world[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
yet , despite the many laughs love and death offers , it never takes cheap shots . 	yet , despite the many laughs love and death offers , it never takes cheap shots .	3	-3	 yet[0] despite[0] the[0] many[0] laughs[1] love[2] and[0] death[-2] offers[0] it[0] never[0] takes[0] cheap[-1][NegatedDueToPreviousWord] shots[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it has a vibrant , beating heart ? and that makes the comedy all the more worthwhile . 	it has a vibrant , beating heart ?<br> and that makes the comedy all the more worthwhile .	2	-1	 it[0] has[0] a[0] vibrant[0] beating[0] heart[0] [[Sentence=-1,1=word max, 1-5]] and[0] that[0] makes[0] the[0] comedy[0] all[0] the[0] more[0] worthwhile[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
