i'm an avid fan of the " alien " saga , so this review is obviously a tad biased ( at least i admitted it ) . 	Translation	Positive	Negative	EmotionRationale
oh well . 	oh well .	1	-1	 oh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , as you might have guessed , the alien and its spawn escape and run around the ship . 	well , as you might have guessed , the alien and its spawn escape and run around the ship .	1	-2	 well[0] as[0] you[0] might[0] have[0] guessed[0] the[0] alien[-1] and[0] its[0] spawn[0] escape[0] and[0] run[0] around[0] the[0] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it pretty much does away with most of the people on the ship ( including some shocks - dan hedaya , for instance , who's death is comical yet sad since , well , he's dan hedaya ) , and the remaining people ( about 7 or 8 ) are left to try and escape and stop the aliens from doing any major harm since the ship is heading quickly towards earth . 	and it pretty much does away with most of the people on the ship ( including some shocks - dan hedaya , for instance , who's death is comical yet sad since , well , he's dan hedaya ) , and the remaining people ( about 7 or 8 ) are left to try and escape and stop the aliens from doing any major harm since the ship is heading quickly towards earth .	3	-4	 and[0] it[0] pretty[2] much[0] does[0] away[0] with[0] most[0] of[0] the[0] people[0] on[0] the[0] ship[0] including[0] some[0] shocks[-2][--1 LastWordBoosterStrength] dan[0] hedaya[0] for[0] instance[0] who's[0] death[-2] is[0] comical[0] yet[0] sad[-3] since[0] well[0] he's[0] dan[0] hedaya[0] and[0] the[0] remaining[0] people[0] about[0] 7[0] or[0] 8[0] are[0] left[0] to[0] try[0] and[0] escape[0] and[0] stop[0] the[0] aliens[0] from[0] doing[0] any[0] major[0] harm[-2] since[0] the[0] ship[0] is[0] heading[0] quickly[0] towards[0] earth[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
of course , the plot is all balderdash , and just an excuse for some good old " alien " -brand fun . 	of course , the plot is all balderdash , and just an excuse for some good old " alien " -brand fun .	2	-2	 of[0] course[0] the[0] plot[0] is[0] all[0] balderdash[-1] and[0] just[0] an[0] excuse[0] for[0] some[0] good[1][-1 LastWordBoosterStrength] old[0] alien[-1] brand[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the real focus of the series seems to be on style , not really substance ( although there's always a bit of it , most notably in " aliens " with the relationship between ripley and the little girl ) . 	the real focus of the series seems to be on style , not really substance ( although there's always a bit of it , most notably in " aliens " with the relationship between ripley and the little girl ) .	1	-1	 the[0] real[0] focus[0] of[0] the[0] series[0] seems[0] to[0] be[0] on[0] style[0] not[0] really[0] substance[0] although[0] there's[0] always[0] a[0] bit[0] of[0] it[0] most[0] notably[0] in[0] aliens[0] with[0] the[0] relationship[0] between[0] ripley[0] and[0] the[0] little[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's interesting about the series is that each film is stylistically different in its approach . 	what's interesting about the series is that each film is stylistically different in its approach .	2	-1	 what's[0] interesting[1] about[0] the[0] series[0] is[0] that[0] each[0] film[0] is[0] stylistically[0] different[0] in[0] its[0] approach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " alien " is a claustrophobic exercise in quiet frights . 	 " alien " is a claustrophobic exercise in quiet frights .	1	-4	 alien[-1] is[0] a[0] claustrophobic[0] exercise[0] in[0] quiet[0] frights[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " aliens " is a wild , tense thriller . 	 " aliens " is a wild , tense thriller .	2	-3	 aliens[0] is[0] a[0] wild[0] tense[-2] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " alien 3 " is a bleak , moody piece of semi-noir . 	 " alien 3 " is a bleak , moody piece of semi-noir .	1	-3	 alien[-1] 3[0] is[0] a[0] bleak[-1] moody[-2] piece[0] of[0] semi[0] noir[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " alien 4 " is kind of like an off-beat french film , filled with lots of humor , and cool scares . 	 " alien 4 " is kind of like an off-beat french film , filled with lots of humor , and cool scares .	3	-4	 alien[-1] 4[0] is[0] kind[1] of[0] like[1] an[0] off[0] beat[0] french[0] film[0] filled[0] with[0] lots[0] of[0] humor[2] and[0] cool[1] scares[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
jean-pierre jeunet ( without his usual directing partner , marc caro ) creates a ship filled with the kind of scares films like " das boot " has , with echoes hinting at a possible threat . 	jean-pierre jeunet ( without his usual directing partner , marc caro ) creates a ship filled with the kind of scares films like " das boot " has , with echoes hinting at a possible threat .	2	-4	 jean[0] pierre[0] jeunet[0] without[0] his[0] usual[0] directing[0] partner[0] marc[0] caro[0] creates[0] a[0] ship[0] filled[0] with[0] the[0] kind[1] of[0] scares[-3] films[0] like[1] das[0] boot[0] has[0] with[0] echoes[0] hinting[0] at[0] a[0] possible[0] threat[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the chills in the film are really cool , especially with the music , which is sometimes turned down completely for certain scenes ( there's the most tense surgery scene since " face/off " towards the beginning ) . 	the chills in the film are really cool , especially with the music , which is sometimes turned down completely for certain scenes ( there's the most tense surgery scene since " face/off " towards the beginning ) .	3	-3	 the[0] chills[0] in[0] the[0] film[0] are[0] really[0] cool[1][1 LastWordBoosterStrength] especially[0] with[0] the[0] music[0] which[0] is[0] sometimes[0] turned[0] down[0] completely[0] for[0] certain[0] scenes[0] there's[0] the[0] most[0] tense[-2] surgery[0] scene[0] since[0] face/off[0] towards[0] the[0] beginning[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and not every chill turns into a bloody mess or anything like that . 	and not every chill turns into a bloody mess or anything like that .	2	-2	 and[0] not[0] every[0] chill[0] turns[0] into[0] a[0] bloody[-1] mess[0] or[0] anything[0] like[1] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this all combined with some good old humor makes this as interesting visually and stylistically as the others . 	this all combined with some good old humor makes this as interesting visually and stylistically as the others .	3	-1	 this[0] all[0] combined[0] with[0] some[0] good[1][-1 LastWordBoosterStrength] old[0] humor[2] makes[0] this[0] as[0] interesting[1] visually[0] and[0] stylistically[0] as[0] the[0] others[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are even a couple scenes which just stick out afterwards as being brilliantly executed . 	there are even a couple scenes which just stick out afterwards as being brilliantly executed .	2	-2	 there[0] are[0] even[0] a[0] couple[0] scenes[0] which[0] just[0] stick[0] out[0] afterwards[0] as[0] being[0] brilliantly[1] executed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one is the aforementioned surgery scene . 	one is the aforementioned surgery scene .	1	-1	 one[0] is[0] the[0] aforementioned[0] surgery[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another one takes place between call and ripley , which is just awesome . 	another one takes place between call and ripley , which is just awesome .	2	-1	 another[0] one[0] takes[0] place[0] between[0] call[0] and[0] ripley[0] which[0] is[0] just[0] awesome[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the underwater chase scene and the ladder scene afterwards is one of the most tense , thrilling , and jaw-dropping scenes in the entire saga ( with a small allusion to jeunet's earlier film , " delicatessen " ) . 	the underwater chase scene and the ladder scene afterwards is one of the most tense , thrilling , and jaw-dropping scenes in the entire saga ( with a small allusion to jeunet's earlier film , " delicatessen " ) .	4	-3	 the[0] underwater[0] chase[-1] scene[0] and[0] the[0] ladder[0] scene[0] afterwards[0] is[0] one[0] of[0] the[0] most[0] tense[-2] thrilling[3] and[0] jaw[0] dropping[0] scenes[0] in[0] the[0] entire[0] saga[-1] with[0] a[0] small[0] allusion[0] to[0] jeunet's[0] earlier[0] film[0] delicatessen[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and the way they do in the final alien is hysterically cool ( with a lovely allusion to " goldfinger " ) . 	and the way they do in the final alien is hysterically cool ( with a lovely allusion to " goldfinger " ) .	2	-2	 and[0] the[0] way[0] they[0] do[0] in[0] the[0] final[0] alien[-1] is[0] hysterically[0] cool[1] with[0] a[0] lovely[1] allusion[0] to[0] goldfinger[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the best scene in the entire film ( i'm sure i'm not the first to mention it ) takes place when ripley sees all the variations on her as they cloned her ( she has a an " 8 " tatooed on her arm ) . 	but the best scene in the entire film ( i'm sure i'm not the first to mention it ) takes place when ripley sees all the variations on her as they cloned her ( she has a an " 8 " tatooed on her arm ) .	2	-1	 but[0] the[0] best[1] scene[0] in[0] the[0] entire[0] film[0] i'm[0] sure[0] i'm[0] not[0] the[0] first[0] to[0] mention[0] it[0] takes[0] place[0] when[0] ripley[0] sees[0] all[0] the[0] variations[0] on[0] her[0] as[0] they[0] cloned[0] her[0] she[0] has[0] a[0] an[0] 8[0] tatooed[0] on[0] her[0] arm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it might be the most emotionally stimulating scene in the entire saga . 	it might be the most emotionally stimulating scene in the entire saga .	1	-2	 it[0] might[0] be[0] the[0] most[0] emotionally[0] stimulating[0] scene[0] in[0] the[0] entire[0] saga[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenplay by joss whedon is not a great piece of work , as it never really deapens a lot of the characters . 	the screenplay by joss whedon is not a great piece of work , as it never really deapens a lot of the characters .	1	-3	 the[0] screenplay[0] by[0] joss[0] whedon[0] is[0] not[0] a[0] great[2][NegatedDueToPreviousWord] piece[0] of[0] work[0] as[0] it[0] never[0] really[0] deapens[0] a[0] lot[0] of[0] the[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , it does make us care about most of them , so that when there's very little of them , and it looks like one or more of them may become alien chow , we are pretty scared . 	however , it does make us care about most of them , so that when there's very little of them , and it looks like one or more of them may become alien chow , we are pretty scared .	3	-4	 however[0] it[0] does[0] make[0] us[0] care[1] about[0] most[0] of[0] them[0] so[0] that[0] when[0] there's[0] very[0] little[0] of[0] them[0] and[0] it[0] looks[0] like[1] one[0] or[0] more[0] of[0] them[0] may[0] become[0] alien[-1] chow[0] we[0] are[0] pretty[2] scared[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and , yeah , there are some very funny lines ( ripley : " who do i have to fuck to get off this boat ? ! " 	and , yeah , there are some very funny lines ( ripley : " who do i have to fuck to get off this boat ?<br> !<br> "	3	-3	 and[0] yeah[0] there[0] are[0] some[0] very[0] funny[1][1 LastWordBoosterStrength] lines[0] ripley[0] who[0] do[0] i[0] have[0] to[0] fuck[-2] to[0] get[0] off[0] this[0] boat[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
johner : " well , i can get you off . 	johner : " well , i can get you off .	1	-1	 johner[0] well[0] i[0] can[0] get[0] you[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but not this ship . " ) 	but not this ship .<br> " )	1	-1	 but[0] not[0] this[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is good all around , with stand-out performances from ron perlman as the male chauvenist pig johner , and leland orser ( the poor bastad in " se7en " who performed the " lust " sin ) as an anxiety-ridden wannabe woody allen who has an alien inside him . 	the acting is good all around , with stand-out performances from ron perlman as the male chauvenist pig johner , and leland orser ( the poor bastad in " se7en " who performed the " lust " sin ) as an anxiety-ridden wannabe woody allen who has an alien inside him .	2	-3	 the[0] acting[0] is[0] good[1] all[0] around[0] with[0] stand[0] out[0] performances[0] from[0] ron[0] perlman[0] as[0] the[0] male[0] chauvenist[0] pig[0] johner[0] and[0] leland[0] orser[0] the[0] poor[-1] bastad[0] in[0] se7en[0] who[0] performed[0] the[0] lust[0] sin[-1] as[0] an[0] anxiety[-2] ridden[0] wannabe[0] woody[0] allen[0] who[0] has[0] an[0] alien[-1] inside[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
winona ryder is good , but not amazing like she usually is ( although she meshes well with the film ) . 	winona ryder is good , but not amazing like she usually is ( although she meshes well with the film ) .	2	-3	 winona[0] ryder[0] is[0] good[1] but[0] not[0] amazing[2][NegatedDueToPreviousWord] like[1][NegatedDueToPreviousWord] she[0] usually[0] is[0] although[0] she[0] meshes[0] well[0] with[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , and as usual , sigourney weaver steals the show . 	of course , and as usual , sigourney weaver steals the show .	1	-3	 of[0] course[0] and[0] as[0] usual[0] sigourney[0] weaver[0] steals[-2] the[0] show[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
playing a variation on the ripley character ( less emotional , and more rude and bitter ) , she pulls it off while still being utterly lovable . 	playing a variation on the ripley character ( less emotional , and more rude and bitter ) , she pulls it off while still being utterly lovable .	2	-3	 playing[1] a[0] variation[0] on[0] the[0] ripley[0] character[0] less[0] emotional[-1] and[0] more[0] rude[-2] and[0] bitter[-1] she[0] pulls[0] it[0] off[0] while[0] still[0] being[0] utterly[0] lovable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she's not going to get an oscar nomination like she did for " aliens , " but she's just awesome . 	she's not going to get an oscar nomination like she did for " aliens , " but she's just awesome .	2	-1	 she's[0] not[0] going[0] to[0] get[0] an[0] oscar[0] nomination[0] like[1] she[0] did[0] for[0] aliens[0] but[0] she's[0] just[0] awesome[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , it's a thrilling , entertaining film which doesn't really amaze like the first two , but is much more amazing than the third installment . 	overall , it's a thrilling , entertaining film which doesn't really amaze like the first two , but is much more amazing than the third instalment .	4	-1	 overall[0] it's[0] a[0] thrilling[3] entertaining[0] film[0] which[0] doesn't[0] really[0] amaze[2][1 LastWordBoosterStrength] like[1] the[0] first[0] two[0] but[0] is[0] much[0] more[0] amazing[2] than[0] the[0] third[0] installment/instalment[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the style is the best part of the film , which isn't really a bad thing , but it being the best part takes away from a lot of the depth the film occasionally tries to apply . 	the style is the best part of the film , which isn't really a bad thing , but it being the best part takes away from a lot of the depth the film occasionally tries to apply .	2	-1	 the[0] style[0] is[0] the[0] best[1] part[0] of[0] the[0] film[0] which[0] isn't[0] really[0] a[0] bad[-1][NegatedDueToPreviousWord] thing[0] but[0] it[0] being[0] the[0] best[1] part[0] takes[0] away[0] from[0] a[0] lot[0] of[0] the[0] depth[0] the[0] film[0] occasionally[0] tries[0] to[0] apply[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it's entertaining as hell , and it's definitely fit for the " alien " series . 	but it's entertaining as hell , and it's definitely fit for the " alien " series .	1	-2	 but[0] it's[0] entertaining[0] as[0] hell[-1] and[0] it's[0] definitely[0] fit[0] for[0] the[0] alien[-1] series[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
