much ballyhoo has been made over this new version of " lolita , " made in a time when one would think that a faithful adaptation of the infamous novel could be made , over its use of pedophilia , and as such , it's important to address it straight-forwardly , before any other ideals such as goodness and themes can be discussed , as this film has been in film limbo for a number of years , lying around in vaults san a distributor , and having critics waiting to either hail it a masterpiece or call it anticlimactic horseshit . 	Translation	Positive	Negative	EmotionRationale
the character of lolita is almost a symbol of the forbidden apple in christian mythology , something that will destroy us but that we can't live without . 	the character of lolita is almost a symbol of the forbidden apple in christian mythology , something that will destroy us but that we can't live without .	1	-3	 the[0] character[0] of[0] lolita[0] is[0] almost[0] a[0] symbol[0] of[0] the[0] forbidden[-1] apple[0] in[0] christian[0] mythology[0] something[0] that[0] will[0] destroy[-2] us[0] but[0] that[0] we[0] can't[0] live[0] without[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these ideas are all worked into this film nicely , but done in a way that is not heavy-handed at all , but instead lyrical and emotionally devastating . 	these ideas are all worked into this film nicely , but done in a way that is not heavy-handed at all , but instead lyrical and emotionally devastating .	2	-5	 these[0] ideas[0] are[0] all[0] worked[0] into[0] this[0] film[0] nicely[1] but[0] done[0] in[0] a[0] way[0] that[0] is[0] not[0] heavy[0] handed[0] at[0] all[0] but[0] instead[0] lyrical[0] and[0] emotionally[0] devastating[-4] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
the focus of this film , and the reason for making it , it seems , was to really penetrate the emotional depths of the novel and bring them to life on the screen in beautifully dramatic images , and scenes which are blatantly over-stylized . 	the focus of this film , and the reason for making it , it seems , was to really penetrate the emotional depths of the novel and bring them to life on the screen in beautifully dramatic images , and scenes which are blatantly over-stylized .	3	-2	 the[0] focus[0] of[0] this[0] film[0] and[0] the[0] reason[0] for[0] making[0] it[0] it[0] seems[0] was[0] to[0] really[0] penetrate[0] the[0] emotional[-1] depths[0] of[0] the[0] novel[0] and[0] bring[0] them[0] to[0] life[0] on[0] the[0] screen[0] in[0] beautifully[2] dramatic[0] images[0] and[0] scenes[0] which[0] are[0] blatantly[-1] over[0] stylized[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the tone of the book is a comical one , but it's also a tragic one , and humbert , telling the story from his perspective , blows every single thing out of perspective . 	the tone of the book is a comical one , but it's also a tragic one , and humbert , telling the story from his perspective , blows every single thing out of perspective .	1	-3	 the[0] tone[0] of[0] the[0] book[0] is[0] a[0] comical[0] one[0] but[0] it's[0] also[0] a[0] tragic[-2] one[0] and[0] humbert[0] telling[0] the[0] story[0] from[0] his[0] perspective[0] blows[0] every[0] single[0] thing[0] out[0] of[0] perspective[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
humbert exists in a fantsy world of his obsessions and desires , and this reflects the way the entire film has been designed . 	humbert exists in a fantsy world of his obsessions and desires , and this reflects the way the entire film has been designed .	1	-3	 humbert[0] exists[0] in[0] a[0] fantsy[0] world[0] of[0] his[0] obsessions[-2] and[0] desires[0] and[0] this[0] reflects[0] the[0] way[0] the[0] entire[0] film[0] has[0] been[0] designed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we get a sense that perhaps it's by doing this that humbert has really trapped himself into a fate that will ultimately leave him haggard and destroyed . 	we get a sense that perhaps it's by doing this that humbert has really trapped himself into a fate that will ultimately leave him haggard and destroyed .	1	-3	 we[0] get[0] a[0] sense[0] that[0] perhaps[0] it's[0] by[0] doing[0] this[0] that[0] humbert[0] has[0] really[0] trapped[0] himself[0] into[0] a[0] fate[0] that[0] will[0] ultimately[0] leave[0] him[0] haggard[-1] and[0] destroyed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he weeps uncontrollably and never lets himself get over his original 14-year-old love , and allows himself to embody her as lolita . 	he weeps uncontrollably and never lets himself get over his original 14-year-old love , and allows himself to embody her as lolita .	3	-3	 he[0] weeps[-2] uncontrollably[-1] and[0] never[0] lets[0] himself[0] get[0] over[0] his[0] original[0] 14[0] year[0] old[0] love[2] and[0] allows[0] himself[0] to[0] embody[0] her[0] as[0] lolita[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he lets his feelings for her navigate all his decisions , and by the end , he has nothing but overly-dramatic feelings for her . 	he lets his feelings for her navigate all his decisions , and by the end , he has nothing but overly-dramatic feelings for her .	1	-1	 he[0] lets[0] his[0] feelings[0] for[0] her[0] navigate[0] all[0] his[0] decisions[0] and[0] by[0] the[0] end[0] he[0] has[0] nothing[0] but[0] overly[0] dramatic[0] feelings[0] for[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story recognizes the extreme of this , almost out of a test , seeing if the readers will really sympathize with someone who is socially deemed a pervert , and one almost wonders while reading the book if the author , vladimir nabokov , wrote the book as a means to bring into focus his own sick obsessions , and perhaps bring them to peace . 	the story recognizes the extreme of this , almost out of a test , seeing if the readers will really sympathize with someone who is socially deemed a pervert , and one almost wonders while reading the book if the author , vladimir nabokov , wrote the book as a means to bring into focus his own sick obsessions , and perhaps bring them to peace .	1	-3	 the[0] story[0] recognizes[0] the[0] extreme[0] of[0] this[0] almost[0] out[0] of[0] a[0] test[0] seeing[0] if[0] the[0] readers[0] will[0] really[0] sympathize[0] with[0] someone[0] who[0] is[0] socially[0] deemed[0] a[0] pervert[-1] and[0] one[0] almost[0] wonders[0] while[0] reading[0] the[0] book[0] if[0] the[0] author[0] vladimir[0] nabokov[0] wrote[0] the[0] book[0] as[0] a[0] means[0] to[0] bring[0] into[0] focus[0] his[0] own[0] sick[-1] obsessions[-2] and[0] perhaps[0] bring[0] them[0] to[0] peace[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the weirdest thing about this film is that by the end , when humbert has reached the finale of his obsessional journey , we can easily sympathize and even identify with him . 	the weirdest thing about this film is that by the end , when humbert has reached the finale of his obsessional journey , we can easily sympathize and even identify with him .	1	-3	 the[0] weirdest[-1] thing[0] about[0] this[0] film[0] is[0] that[0] by[0] the[0] end[0] when[0] humbert[0] has[0] reached[0] the[0] finale[0] of[0] his[0] obsessional[-2] journey[0] we[0] can[0] easily[0] sympathize[0] and[0] even[0] identify[0] with[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the opening and final images of the film are the same , and who hasn't done a similar action , that is wandering about without any sense of reality or anything else but a deep sadness in us ? 	the opening and final images of the film are the same , and who hasn't done a similar action , that is wandering about without any sense of reality or anything else but a deep sadness in us ?	1	-4	 the[0] opening[0] and[0] final[0] images[0] of[0] the[0] film[0] are[0] the[0] same[0] and[0] who[0] hasn't[0] done[0] a[0] similar[0] action[0] that[0] is[0] wandering[0] about[0] without[0] any[0] sense[0] of[0] reality[0] or[0] anything[0] else[0] but[0] a[0] deep[0] sadness[-3] in[0] us[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is the second time the novel has been adapted for the screen , the first time being filmed in - shock - 1962 , by stanley kubrick , who couldn't possibly have brought the novel to the screen with as much faithfulness as lyne has been able to do , but did the next best thing : he economized for everything and came up with a droll black comedy about obsession in general . 	this is the second time the novel has been adapted for the screen , the first time being filmed in - shock - 1962 , by stanley kubrick , who couldn't possibly have brought the novel to the screen with as much faithfulness as lyne has been able to do , but did the next best thing : he economized for everything and came up with a droll black comedy about obsession in general .	2	-3	 this[0] is[0] the[0] second[0] time[0] the[0] novel[0] has[0] been[0] adapted[0] for[0] the[0] screen[0] the[0] first[0] time[0] being[0] filmed[0] in[0] shock[-2] 1962[0] by[0] stanley[0] kubrick[0] who[0] couldn't[0] possibly[0] have[0] brought[0] the[0] novel[0] to[0] the[0] screen[0] with[0] as[0] much[0] faithfulness[1] as[0] lyne[0] has[0] been[0] able[0] to[0] do[0] but[0] did[0] the[0] next[0] best[1] thing[0] he[0] economized[0] for[0] everything[0] and[0] came[0] up[0] with[0] a[0] droll[0] black[0] comedy[0] about[0] obsession[-2] in[0] general[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in that film , he used the traps of society as benefits . 	in that film , he used the traps of society as benefits .	1	-1	 in[0] that[0] film[0] he[0] used[0] the[0] traps[0] of[0] society[0] as[0] benefits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the studio demanded the final scene , that of a heinous murder , come first in the film so to portray humbert first as a murderer and second as a pedophile . . . and 	the studio demanded the final scene , that of a heinous murder , come first in the film so to portray humbert first as a murderer and second as a pedophile .<br> .<br> .<br> and	1	-5	 the[0] studio[0] demanded[0] the[0] final[0] scene[0] that[0] of[0] a[0] heinous[-4] murder[-3][-1 MultiplePositiveWords] come[0] first[0] in[0] the[0] film[0] so[0] to[0] portray[0] humbert[0] first[0] as[0] a[0] murderer[-3] and[0] second[0] as[0] a[0] pedophile[0] [[Sentence=-5,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-5 max of sentences]]]
when you see it , it gives the film depth of a man trapped by obsession . 	when you see it , it gives the film depth of a man trapped by obsession .	1	-3	 when[0] you[0] see[0] it[0] it[0] gives[0] the[0] film[0] depth[0] of[0] a[0] man[0] trapped[0] by[0] obsession[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the censors wouldn't allow anymore than a couple glances and subtle dialogue to show the , um , relationship between humbert and lolita , so kubrick decided to play it as comedy , but still allow the tragedy to seep through . 	the censors wouldn't allow anymore than a couple glances and subtle dialogue to show the , um , relationship between humbert and lolita , so kubrick decided to play it as comedy , but still allow the tragedy to seep through .	1	-3	 the[0] censors[-1] wouldn't[0] allow[0] anymore[0] than[0] a[0] couple[0] glances[0] and[0] subtle[0] dialogue[0] to[0] show[0] the[0] um[0] relationship[0] between[0] humbert[0] and[0] lolita[0] so[0] kubrick[0] decided[0] to[0] play[0] it[0] as[0] comedy[0] but[0] still[0] allow[0] the[0] tragedy[-2] to[0] seep[0] through[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
looking at these two versions , especially after reading the novel ( and we all know that when we've read a novel and see a film adaptation , we are bound to be angered by any size differences ) , it's really impossible to compare them . 	looking at these two versions , especially after reading the novel ( and we all know that when we've read a novel and see a film adaptation , we are bound to be angered by any size differences ) , it's really impossible to compare them .	1	-4	 looking[0] at[0] these[0] two[0] versions[0] especially[0] after[0] reading[0] the[0] novel[0] and[0] we[0] all[0] know[0] that[0] when[0] we've[0] read[0] a[0] novel[0] and[0] see[0] a[0] film[0] adaptation[0] we[0] are[0] bound[0] to[0] be[0] angered[-3] by[0] any[0] size[0] differences[0] it's[0] really[0] impossible[0] to[0] compare[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they both go for different things , and one has a lot more room to be as sexually frank as the novel was . 	they both go for different things , and one has a lot more room to be as sexually frank as the novel was .	1	-1	 they[0] both[0] go[0] for[0] different[0] things[0] and[0] one[0] has[0] a[0] lot[0] more[0] room[0] to[0] be[0] as[0] sexually[0] frank[0] as[0] the[0] novel[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and although it's true that several scenes are similar , and are thus up for comparison , overall it's unfair to say which one is better and which one is worse . 	and although it's true that several scenes are similar , and are thus up for comparison , overall it's unfair to say which one is better and which one is worse .	2	-3	 and[0] although[0] it's[0] true[1] that[0] several[0] scenes[0] are[0] similar[0] and[0] are[0] thus[0] up[0] for[0] comparison[0] overall[0] it's[0] unfair[-1] to[0] say[0] which[0] one[0] is[0] better[0] and[0] which[0] one[0] is[0] worse[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i have never been one for saying the level of greatness of a film adaptation of a novel is deemed by how faithful it is , and i won't say that here . 	i have never been one for saying the level of greatness of a film adaptation of a novel is deemed by how faithful it is , and i won't say that here .	3	-1	 i[0] have[0] never[0] been[0] one[0] for[0] saying[0] the[0] level[0] of[0] greatness[2] of[0] a[0] film[0] adaptation[0] of[0] a[0] novel[0] is[0] deemed[0] by[0] how[0] faithful[1] it[0] is[0] and[0] i[0] won't[0] say[0] that[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , this film is pretty amazing , mostly because hey , i loved the book , and this film nearly reminded me of it . 	however , this film is pretty amazing , mostly because hey , i loved the book , and this film nearly reminded me of it .	4	-1	 however[0] this[0] film[0] is[0] pretty[2] amazing[2][+1 MultiplePositiveWords] mostly[0] because[0] hey[1] i[0] loved[3] the[0] book[0] and[0] this[0] film[0] nearly[0] reminded[0] me[0] of[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it doesn't have nearly as much wit ( a couple comical scenes , and even a lot of good chuckles , but just not totally witty ) , but it does have the same emotional toll that the novel had . 	it doesn't have nearly as much wit ( a couple comical scenes , and even a lot of good chuckles , but just not totally witty ) , but it does have the same emotional toll that the novel had .	3	-2	 it[0] doesn't[0] have[0] nearly[0] as[0] much[0] wit[0] a[0] couple[0] comical[0] scenes[0] and[0] even[0] a[0] lot[0] of[0] good[1] chuckles[2] but[0] just[0] not[0] totally[0] witty[0] but[0] it[0] does[0] have[0] the[0] same[0] emotional[-1] toll[0] that[0] the[0] novel[0] had[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some of that is in the casting of the two leads . 	some of that is in the casting of the two leads .	1	-1	 some[0] of[0] that[0] is[0] in[0] the[0] casting[0] of[0] the[0] two[0] leads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jeremy irons , with his deep , soft british voice and gentle look , is an amazing humbert . 	jeremy irons , with his deep , soft british voice and gentle look , is an amazing humbert .	3	-1	 jeremy[0] irons[0] with[0] his[0] deep[0] soft[0] british[0] voice[0] and[0] gentle[1] look[0] is[0] an[0] amazing[2] humbert[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's droll in a very unique way , and , well , no one can look distraught the way he does . 	he's droll in a very unique way , and , well , no one can look distraught the way he does .	1	-4	 he's[0] droll[0] in[0] a[0] very[0] unique[0] way[0] and[0] well[0] no[0] one[0] can[0] look[0] distraught[-3] the[0] way[0] he[0] does[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he brings a wonderful sympathy to the role that goes beyond pathos and really comes up as being easy to identify with the audience . 	he brings a wonderful sympathy to the role that goes beyond pathos and really comes up as being easy to identify with the audience .	3	-1	 he[0] brings[0] a[0] wonderful[2] sympathy[0] to[0] the[0] role[0] that[0] goes[0] beyond[0] pathos[0] and[0] really[0] comes[0] up[0] as[0] being[0] easy[0] to[0] identify[0] with[0] the[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and when he looks at lolita with love , and she looks at him with lust , you know that he's her prisoner for as long as he lives . 	and when he looks at lolita with love , and she looks at him with lust , you know that he's her prisoner for as long as he lives .	3	-2	 and[0] when[0] he[0] looks[0] at[0] lolita[0] with[0] love[2] and[0] she[0] looks[0] at[0] him[0] with[0] lust[0] you[0] know[0] that[0] he's[0] her[0] prisoner[-1] for[0] as[0] long[0] as[0] he[0] lives[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and dominique swain , who plays the title character , is rather incredible . 	and dominique swain , who plays the title character , is rather incredible .	2	-1	 and[0] dominique[0] swain[0] who[0] plays[1] the[0] title[0] character[0] is[0] rather[0] incredible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she pulls off the tough role even better than sue lyon did in the original , wonderfully balancing the qualities of seduction , bratiness , and self-centeredness that marks the character . 	she pulls off the tough role even better than sue lyon did in the original , wonderfully balancing the qualities of seduction , bratiness , and self-centeredness that marks the character .	3	-2	 she[0] pulls[0] off[0] the[0] tough[-1] role[0] even[0] better[0] than[0] sue[0] lyon[0] did[0] in[0] the[0] original[0] wonderfully[2] balancing[0] the[0] qualities[0] of[0] seduction[0] bratiness[0] and[0] self[0] centeredness[0] that[0] marks[0] the[0] character[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's easy to see why she surrenders to humbert : she loves the attention , and knows that she can have her way with him at any time . 	it's easy to see why she surrenders to humbert : she loves the attention , and knows that she can have her way with him at any time .	3	-1	 it's[0] easy[0] to[0] see[0] why[0] she[0] surrenders[0] to[0] humbert[0] she[0] loves[2] the[0] attention[0] and[0] knows[0] that[0] she[0] can[0] have[0] her[0] way[0] with[0] him[0] at[0] any[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when he denies her something , she blackmails him effortlessly ( a scene involving a rocking chair and a little foot action is damn near classic ) , and when he stands up to her , she weeps and runs away , leaving humbert to follow her . 	when he denies her something , she blackmails him effortlessly ( a scene involving a rocking chair and a little foot action is damn near classic ) , and when he stands up to her , she weeps and runs away , leaving humbert to follow her .	1	-3	 when[0] he[0] denies[0] her[0] something[0] she[0] blackmails[-2] him[0] effortlessly[0] a[0] scene[0] involving[0] a[0] rocking[0] chair[0] and[0] a[0] little[0] foot[0] action[0] is[0] damn[-1] near[0] classic[0] and[0] when[0] he[0] stands[0] up[0] to[0] her[0] she[0] weeps[-2] and[0] runs[0] away[0] leaving[0] humbert[0] to[0] follow[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are two other minor characters in the film , one who's a road block in the beginning , and the other who's a reappearing threat to the relationship . 	there are two other minor characters in the film , one who's a road block in the beginning , and the other who's a reappearing threat to the relationship .	1	-3	 there[0] are[0] two[0] other[0] minor[0] characters[0] in[0] the[0] film[0] one[0] who's[0] a[0] road[0] block[-1] in[0] the[0] beginning[0] and[0] the[0] other[0] who's[0] a[0] reappearing[0] threat[-2] to[0] the[0] relationship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the former is charlotte , lolita's mother , played by melanie griffith . 	the former is charlotte , lolita's mother , played by melanie griffith .	1	-1	 the[0] former[0] is[0] charlotte[0] lolita's[0] mother[0] played[0] by[0] melanie[0] griffith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the book , charlotte is a monster of a woman : overbearing , constantly scolding her child , overly-religious , and ultimately selfish . 	in the book , charlotte is a monster of a woman : overbearing , constantly scolding her child , overly-religious , and ultimately selfish .	1	-4	 in[0] the[0] book[0] charlotte[0] is[0] a[0] monster[-1] of[0] a[0] woman[0] overbearing[-1] constantly[0] scolding[-1] her[0] child[0] overly[0] religious[0] and[0] ultimately[0] selfish[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and she's the one obstacle humbert has to overcome to obtain his goal , at least in the beginning . 	and she's the one obstacle humbert has to overcome to obtain his goal , at least in the beginning .	1	-2	 and[0] she's[0] the[0] one[0] obstacle[-1] humbert[0] has[0] to[0] overcome[0] to[0] obtain[0] his[0] goal[0] at[0] least[0] in[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as played by shelly winters in the original , she represented all these qualities ; as played by griffith here , she's about half of them . 	as played by shelly winters in the original , she represented all these qualities ; as played by griffith here , she's about half of them .	1	-1	 as[0] played[0] by[0] shelly[0] winters[0] in[0] the[0] original[0] she[0] represented[0] all[0] these[0] qualities[0] as[0] played[0] by[0] griffith[0] here[0] she's[0] about[0] half[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's annoying to watch a film and play a game where you try to see who could have done the role way better than the one on screen without mentioning the actor who played them first . 	it's annoying to watch a film and play a game where you try to see who could have done the role way better than the one on screen without mentioning the actor who played them first .	1	-3	 it's[0] annoying[-2] to[0] watch[0] a[0] film[0] and[0] play[0] a[0] game[0] where[0] you[0] try[0] to[0] see[0] who[0] could[0] have[0] done[0] the[0] role[0] way[0] better[0] than[0] the[0] one[0] on[0] screen[0] without[0] mentioning[0] the[0] actor[0] who[0] played[0] them[0] first[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and even though griffith is not really bad , persay , she's nothing more . 	and even though griffith is not really bad , persay , she's nothing more .	3	-1	 and[0] even[0] though[0] griffith[0] is[0] not[0] really[0] bad[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] persay[0] she's[0] nothing[0] more[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the other is clare quilty , the writer who is also trying to seduce lolita , and succeeds , but at a price . 	the other is clare quilty , the writer who is also trying to seduce lolita , and succeeds , but at a price .	3	-1	 the[0] other[0] is[0] clare[0] quilty[0] the[0] writer[0] who[0] is[0] also[0] trying[0] to[0] seduce[0] lolita[0] and[0] succeeds[2] but[0] at[0] a[0] price[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
langella takes a totally different direction than the one peter sellars took in the original . 	langella takes a totally different direction than the one peter sellars took in the original .	1	-1	 langella[0] takes[0] a[0] totally[0] different[0] direction[0] than[0] the[0] one[0] peter[0] sellars[0] took[0] in[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
