of the major horror sub-genres , vampire movies are easily the most adaptable . 	Translation	Positive	Negative	EmotionRationale
any day now , i expect we'll see a movie about a vampire third baseman who has to decide whether to play a day game in order to break the home run record . 	any day now , i expect we'll see a movie about a vampire third baseman who has to decide whether to play a day game in order to break the home run record .	1	-1	 any[0] day[0] now[0] i[0] expect[0] we'll[0] see[0] a[0] movie[0] about[0] a[0] vampire[0] third[0] baseman[0] who[0] has[0] to[0] decide[0] whether[0] to[0] play[0] a[0] day[0] game[0] in[0] order[0] to[0] break[0] the[0] home[0] run[0] record[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , you can insert the vampire legend into a hong kong action movie -- and when you do that , you get blade . 	or , you can insert the vampire legend into a hong kong action movie - and when you do that , you get blade .	1	-1	 or[0] you[0] can[0] insert[0] the[0] vampire[0] legend[0] into[0] a[0] hong[0] kong[0] action[0] movie[0] and[0] when[0] you[0] do[0] that[0] you[0] get[0] blade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wesley snipes has the chow yun fat role in this movie -- the silent , expressionless hit man who destroys everything in his path . 	wesley snipes has the chow yun fat role in this movie - the silent , expressionless hit man who destroys everything in his path .	1	-3	 wesley[0] snipes[0] has[0] the[0] chow[0] yun[0] fat[-1] role[0] in[0] this[0] movie[0] the[0] silent[0] expressionless[0] hit[0] man[0] who[0] destroys[-2] everything[0] in[0] his[0] path[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this case , the everything happens to be vampires that explode into cgi shards instead of dead , bleeding corpses . 	in this case , the everything happens to be vampires that explode into cgi shards instead of dead , bleeding corpses .	1	-3	 in[0] this[0] case[0] the[0] everything[0] happens[0] to[0] be[0] vampires[0] that[0] explode[-1] into[0] cgi[0] shards[0] instead[0] of[0] dead[-2] bleeding[0] corpses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
snipes has less to say here than as the fugitive in u . s . marshals , but does a demonstrably better job here as a half-vampire wreaking vengeance on the bloodsuckers . 	snipes has less to say here than as the fugitive in you .<br> s .<br> marshals , but does a demonstrably better job here as a half-vampire wreaking vengeance on the bloodsuckers .	1	-3	 snipes[0] has[0] less[0] to[0] say[0] here[0] than[0] as[0] the[0] fugitive[-1] in[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshals[0] but[0] does[0] a[0] demonstrably[0] better[0] job[0] here[0] as[0] a[0] half[0] vampire[0] wreaking[0] vengeance[-2] on[0] the[0] bloodsuckers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
blade is a silent , brooding presence , laying waste to vampires without a shred of remorse . 	blade is a silent , brooding presence , laying waste to vampires without a shred of remorse .	1	-3	 blade[0] is[0] a[0] silent[0] brooding[-1] presence[0] laying[0] waste[-1] to[0] vampires[0] without[0] a[0] shred[-1] of[0] remorse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is as cold as his silver-bladed sword , as single minded as his garlic-filled bullets . 	he is as cold as his silver-bladed sword , as single minded as his garlic-filled bullets .	1	-2	 he[0] is[0] as[0] cold[-1] as[0] his[0] silver[0] bladed[0] sword[0] as[0] single[0] minded[0] as[0] his[0] garlic[0] filled[0] bullets[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet , he's not without quirks : blade drives a battered muscle car and has to glean rolex watches from his vampire victims in order to stay solvent . 	yet , he's not without quirks : blade drives a battered muscle car and has to glean rolex watches from his vampire victims in order to stay solvent .	1	-3	 yet[0] he's[0] not[0] without[0] quirks[0] blade[0] drives[0] a[0] battered[0] muscle[0] car[0] and[0] has[0] to[0] glean[0] rolex[0] watches[0] from[0] his[0] vampire[0] victims[-2] in[0] order[0] to[0] stay[0] solvent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like any good hong kong movie , blade is heavy on the chopsocky action . 	like any good hong kong movie , blade is heavy on the chopsocky action .	2	-1	 like[1] any[0] good[1] hong[0] kong[0] movie[0] blade[0] is[0] heavy[0] on[0] the[0] chopsocky[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for some reason , blade spends a lot more time using his kung fu artistry than using the traditional anti-vampire weapons of garlic and silver . 	for some reason , blade spends a lot more time using his kung fu artistry than using the traditional anti-vampire weapons of garlic and silver .	1	-2	 for[0] some[0] reason[0] blade[0] spends[0] a[0] lot[0] more[0] time[0] using[0] his[0] kung[0] fu[0] artistry[0] than[0] using[0] the[0] traditional[0] anti[0] vampire[0] weapons[-1] of[0] garlic[0] and[0] silver[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( blade dismisses a man-portable arc lamp as being too heavy , although it looks to be a more efficient tool to dispatch vampires . ) 	 ( blade dismisses a man-portable arc lamp as being too heavy , although it looks to be a more efficient tool to dispatch vampires .<br> )	1	-2	 blade[0] dismisses[-1] a[0] man[0] portable[0] arc[0] lamp[0] as[0] being[0] too[0] heavy[0] although[0] it[0] looks[0] to[0] be[0] a[0] more[0] efficient[0] tool[0] to[0] dispatch[0] vampires[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , the guiding hand of john woo is absent from this film , relegating blade to the status of the replacement killers , which it most strongly resembles . 	unfortunately , the guiding hand of john woo is absent from this film , relegating blade to the status of the replacement killers , which it most strongly resembles .	1	-2	 unfortunately[-1] the[0] guiding[0] hand[0] of[0] john[0] woo[0] is[0] absent[-1] from[0] this[0] film[0] relegating[0] blade[0] to[0] the[0] status[0] of[0] the[0] replacement[0] killers[0] which[0] it[0] most[0] strongly[0] resembles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the replacement killers is the last movie i saw that i didn't review -- mostly because it made no impression on me , and i couldn't remember anything other than noise , violence , and the intensity of fat's performance . 	the replacement killers is the last movie i saw that i didn't review - mostly because it made no impression on me , and i couldn't remember anything other than noise , violence , and the intensity of fat's performance .	1	-4	 the[0] replacement[0] killers[0] is[0] the[0] last[0] movie[0] i[0] saw[0] that[0] i[0] didn't[0] review[0] mostly[0] because[0] it[0] made[0] no[0] impression[0] on[0] me[0] and[0] i[0] couldn't[0] remember[0] anything[0] other[0] than[0] noise[0] violence[-3] and[0] the[0] intensity[0] of[0] fat's[0] performance[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
blade has a little more going for it , and has the vampire myth to draw from -- but other than that , it's the same kind of movie -- exciting , with well choreographed action scenes , but with no resonance . 	blade has a little more going for it , and has the vampire myth to draw from - but other than that , it's the same kind of movie - exciting , with well choreographed action scenes , but with no resonance .	3	-3	 blade[0] has[0] a[0] little[0] more[0] going[0] for[0] it[0] and[0] has[0] the[0] vampire[0] myth[0] to[0] draw[0] from[0] but[0] other[0] than[0] that[0] it's[0] the[0] same[0] kind[1] of[0] movie[0] exciting[2] with[0] well[0] choreographed[-2] action[0] scenes[0] but[0] with[0] no[0] resonance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with a stronger villain ( stephen dorff is ( pardon the pun ) curiously bloodless as the head vampire , leaving us to wonder what denis leary might have done with the role ) , a wittier script , and a strong supporting cast , blade might have been able to rise beyond the level of commonplace summer entertainment . 	with a stronger villain ( stephen dorff is ( pardon the pun ) curiously bloodless as the head vampire , leaving us to wonder what denis leary might have done with the role ) , a wittier script , and a strong supporting cast , blade might have been able to rise beyond the level of commonplace summer entertainment .	2	-3	 with[0] a[0] stronger[0] villain[-2] stephen[0] dorff[0] is[0] pardon[0] the[0] pun[0] curiously[0] bloodless[0] as[0] the[0] head[0] vampire[0] leaving[0] us[0] to[0] wonder[0] what[0] denis[0] leary[0] might[0] have[0] done[0] with[0] the[0] role[0] a[0] wittier[0] script[0] and[0] a[0] strong[0] supporting[1] cast[0] blade[0] might[0] have[0] been[0] able[0] to[0] rise[0] beyond[0] the[0] level[0] of[0] commonplace[0] summer[0] entertainment[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as it is , blade is an average action movie that serves to do nothing but remind us that the summer movies just keep getting dumber and the vampire movies just keep multiplying . 	as it is , blade is an average action movie that serves to do nothing but remind us that the summer movies just keep getting dumber and the vampire movies just keep multiplying .	1	-2	 as[0] it[0] is[0] blade[0] is[0] an[0] average[0] action[0] movie[0] that[0] serves[0] to[0] do[0] nothing[0] but[0] remind[0] us[0] that[0] the[0] summer[0] movies[0] just[0] keep[0] getting[0] dumber[-1] and[0] the[0] vampire[0] movies[0] just[0] keep[0] multiplying[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
