george little ( jonathan lipnicki ) wants a little brother . 	Translation	Positive	Negative	EmotionRationale
kids and parents will love this one . 	kids and parents will love this one .	3	-1	 kids[0] and[0] parents[0] will[0] love[2] this[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stuart little is available on dvd from columbia tristar home video . 	stuart little is available on dvd from columbia tristar home video .	1	-1	 stuart[0] little[0] is[0] available[0] on[0] dvd[0] from[0] columbia[0] tristar[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are two different dvds on sale : one contains the film in full frame , and the other presents the film in its original theatrical aspect ratio of 1 . 66 : 1 . 	there are two different dvds on sale : one contains the film in full frame , and the other presents the film in its original theatrical aspect ratio of 1 .<br> 66 : 1 .	1	-1	 there[0] are[0] two[0] different[0] dvds[0] on[0] sale[0] one[0] contains[0] the[0] film[0] in[0] full[0] frame[0] and[0] the[0] other[0] presents[0] the[0] film[0] in[0] its[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 66[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both versions feature choices of either dolby surround or dolby digital 5 . 1 audio . 	both versions feature choices of either dolby surround or dolby digital 5 .<br> 1 audio .	1	-1	 both[0] versions[0] feature[0] choices[0] of[0] either[0] dolby[0] surround[0] or[0] dolby[0] digital[0] 5[0] [[Sentence=-1,1=word max, 1-5]] 1[0] audio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both versions also contain the following extras ( and hang in there with me here . . . there's a lot of them ) : a full length audio commentary track by director rob minkoff and animation supervisor henry anderson , a full length audio commentary track by the visual effects supervisors , an isolated score track , an interactive trivia game , an interactive featurette that goes step by step through eight of the effects in the film , a making of documentary that originally aried on hbo , and a stuart little read-along story ( which you can read yourself or have stuart read for you ) . 	both versions also contain the following extras ( and hang in there with me here .<br> .<br> .<br> there's a lot of them ) : a full length audio commentary track by director rob minkoff and animation supervisor henry anderson , a full length audio commentary track by the visual effects supervisors , an isolated score track , an interactive trivia game , an interactive featurette that goes step by step through eight of the effects in the film , a making of documentary that originally aried on hbo , and a stuart little read-along story ( which you can read yourself or have stuart read for you ) .	1	-2	 both[0] versions[0] also[0] contain[0] the[0] following[0] extras[0] and[0] hang[-1] in[0] there[0] with[0] me[0] here[0] [[Sentence=-2,1=word max, 1-5]] there's[0] a[0] lot[0] of[0] them[0] a[0] full[0] length[0] audio[0] commentary[0] track[0] by[0] director[0] rob[0] minkoff[0] and[0] animation[0] supervisor[0] henry[0] anderson[0] a[0] full[0] length[0] audio[0] commentary[0] track[0] by[0] the[0] visual[0] effects[0] supervisors[0] an[0] isolated[-1] score[0] track[0] an[0] interactive[0] trivia[-1] game[0] an[0] interactive[0] featurette[0] that[0] goes[0] step[0] by[0] step[0] through[0] eight[0] of[0] the[0] effects[0] in[0] the[0] film[0] a[0] making[0] of[0] documentary[0] that[0] originally[0] aried[0] on[0] hbo[0] and[0] a[0] stuart[0] little[0] read[0] along[0] story[0] which[0] you[0] can[0] read[0] yourself[0] or[0] have[0] stuart[0] read[0] for[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are also three music videos , and six theatrical trailers ( called thecatrical trailers . . . 	there are also three music videos , and six theatrical trailers ( called thecatrical trailers .<br> .<br> .	1	-1	 there[0] are[0] also[0] three[0] music[0] videos[0] and[0] six[0] theatrical[0] trailers[0] called[0] thecatrical[0] trailers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get it ? 	get it ?	1	-1	 get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's funny ! ) for stuart little and five other columbia tristar releases : the adventures of elmo in grouchland , madeline , the nuttiest nutcracker , muppets from space , and baby geniuses ( the only bad thing about this entire dvd . . . 	it's funny !<br> ) for stuart little and five other columbia tristar releases : the adventures of elmo in grouchland , madeline , the nuttiest nutcracker , muppets from space , and baby geniuses ( the only bad thing about this entire dvd .<br> .<br> .	2	-2	 it's[0] funny[1] [[Sentence=-1,2=word max, 1-5]] for[0] stuart[0] little[0] and[0] five[0] other[0] columbia[0] tristar[0] releases[0] the[0] adventures[0] of[0] elmo[0] in[0] grouchland[-1] madeline[0] the[0] nuttiest[0] nutcracker[0] muppets[0] from[0] space[0] and[0] baby[1] geniuses[0] the[0] only[0] bad[-1] thing[0] about[0] this[0] entire[0] dvd[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i did not want to be reminded of the awfulness that is baby geniuses ) . 	i did not want to be reminded of the awfulness that is baby geniuses ) .	2	-4	 i[0] did[0] not[0] want[0] to[0] be[0] reminded[0] of[0] the[0] awfulness[-3] that[0] is[0] baby[1] geniuses[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
dvd-rom features are also on the disc , including web links and a demo of the stuart little cd-rom game . 	dvd-rom features are also on the disc , including web links and a demo of the stuart little cd-rom game .	1	-1	 dvd[0] rom[0] features[0] are[0] also[0] on[0] the[0] disc[0] including[0] web[0] links[0] and[0] a[0] demo[0] of[0] the[0] stuart[0] little[0] cd[0] rom[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but wait . . . 	but wait .<br> .<br> .	1	-1	 but[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's still more ! 	there's still more !	1	-1	 there's[0] still[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a section called " basement treasures " where you will find the auditions of the film's animators , six deleted scenes which you can select to view with or without commentary from the director , a visual effects gag reel , a production gag reel , and an incredible eight minute storyboard sequence detailing the original concept for the boat race scene ( with commentary from the director ) . 	there's a section called " basement treasures " where you will find the auditions of the film's animators , six deleted scenes which you can select to view with or without commentary from the director , a visual effects gag reel , a production gag reel , and an incredible eight minute storyboard sequence detailing the original concept for the boat race scene ( with commentary from the director ) .	2	-1	 there's[0] a[0] section[0] called[0] basement[0] treasures[1] where[0] you[0] will[0] find[0] the[0] auditions[0] of[0] the[0] film's[0] animators[0] six[0] deleted[0] scenes[0] which[0] you[0] can[0] select[0] to[0] view[0] with[0] or[0] without[0] commentary[0] from[0] the[0] director[0] a[0] visual[0] effects[0] gag[0] reel[0] a[0] production[0] gag[0] reel[0] and[0] an[0] incredible[0] eight[0] minute[0] storyboard[0] sequence[0] detailing[0] the[0] original[0] concept[0] for[0] the[0] boat[0] race[0] scene[0] with[0] commentary[0] from[0] the[0] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first commentary track features director rob minkoff and animation supervisor henry anderson . 	the first commentary track features director rob minkoff and animation supervisor henry anderson .	1	-1	 the[0] first[0] commentary[0] track[0] features[0] director[0] rob[0] minkoff[0] and[0] animation[0] supervisor[0] henry[0] anderson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they give insightful and detailed thoughts about the film's production . 	they give insightful and detailed thoughts about the film's production .	1	-1	 they[0] give[0] insightful[0] and[0] detailed[0] thoughts[0] about[0] the[0] film's[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
minkoff likes to point out scenes where other screenwriters came in and polished up the script , namely writers like scott alexander and larry karaszewski ( who wrote the people vs . larry flynt and ed wood ) and lowell ganz and babaloo mandel ( who wrote splash and multiplicity , among others ) . 	minkoff likes to point out scenes where other screenwriters came in and polished up the script , namely writers like scot alexander and larry karaszewski ( who wrote the people vs .<br> larry flynt and ed wood ) and lowell ganz and babaloo mandel ( who wrote splash and multiplicity , among others ) .	3	-2	 minkoff[0] likes[2] to[0] point[0] out[0] scenes[0] where[0] other[0] screenwriters[0] came[0] in[0] and[0] polished[0] up[0] the[0] script[0] namely[0] writers[0] like[1] scott/scot[0] alexander[0] and[0] larry[0] karaszewski[0] who[0] wrote[0] the[0] people[0] vs[0] [[Sentence=-1,3=word max, 1-5]] larry[0] flynt[0] and[0] ed[0] wood[0] and[0] lowell[-1] ganz[0] and[0] babaloo[0] mandel[0] who[0] wrote[0] splash[0] and[0] multiplicity[0] among[0] others[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
anderson is very appreciative of the animators who worked with him and often points out which animator worked on each scene as they occur . 	anderson is very appreciative of the animators who worked with him and often points out which animator worked on each scene as they occur .	3	-1	 anderson[0] is[0] very[0] appreciative[1][1 LastWordBoosterStrength] of[0] the[0] animators[0] who[0] worked[0] with[0] him[0] and[0] often[0] points[0] out[0] which[0] animator[0] worked[0] on[0] each[0] scene[0] as[0] they[0] occur[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the second commentary track features visual effects supervisors john dykstra and jerome chen who discuss more specific details of the effects in the film . 	the second commentary track features visual effects supervisors john dykstra and jerome chen who discuss more specific details of the effects in the film .	1	-1	 the[0] second[0] commentary[0] track[0] features[0] visual[0] effects[0] supervisors[0] john[0] dykstra[0] and[0] jerome[0] chen[0] who[0] discuss[0] more[0] specific[0] details[0] of[0] the[0] effects[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movie fans will enjoy the informative first commentary track , serious animation buffs will love the second one . 	movie fans will enjoy the informative first commentary track , serious animation buffs will love the second one .	3	-2	 movie[0] fans[0] will[0] enjoy[2] the[0] informative[0] first[0] commentary[0] track[0] serious[-1] animation[0] buffs[0] will[0] love[2] the[0] second[0] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now i know this is slightly off topic , but it is related specifically to this dvd so i must voice this now . 	now i know this is slightly off topic , but it is related specifically to this dvd so i must voice this now .	1	-1	 now[0] i[0] know[0] this[0] is[0] slightly[0] off[0] topic[0] but[0] it[0] is[0] related[0] specifically[0] to[0] this[0] dvd[0] so[0] i[0] must[0] voice[0] this[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the music videos on the disc is for a song called " i need to know " by a group called r angels . 	one of the music videos on the disc is for a song called " i need to know " by a group called are angels .	1	-1	 one[0] of[0] the[0] music[0] videos[0] on[0] the[0] disc[0] is[0] for[0] a[0] song[0] called[0] i[0] need[0] to[0] know[0] by[0] a[0] group[0] called[0] r[0] angels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this video features four mid-teenage girls ( the singers obviously ) having a slumber party . 	this video features four mid-teenage girls ( the singers obviously ) having a slumber party .	1	-1	 this[0] video[0] features[0] four[0] mid[0] teenage[0] girls[0] the[0] singers[0] obviously[0] having[0] a[0] slumber[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the girls ask a ouija board " i need to know . . . 	the girls ask a ouija board " i need to know .<br> .<br> .	1	-1	 the[0] girls[0] ask[0] a[0] ouija[0] board[0] i[0] need[0] to[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who to do , who to do , who to do " as the song begins . 	who to do , who to do , who to do " as the song begins .	1	-1	 who[0] to[0] do[0] who[0] to[0] do[0] who[0] to[0] do[0] as[0] the[0] song[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they then sneak out of their house , and along the way they strike a pose and their slumber party pajamas are magically transformed into middle class streetwalker outfits . 	they then sneak out of their house , and along the way they strike a pose and their slumber party pajamas are magically transformed into middle class streetwalker outfits .	1	-2	 they[0] then[0] sneak[-1] out[0] of[0] their[0] house[0] and[0] along[0] the[0] way[0] they[0] strike[-1] a[0] pose[0] and[0] their[0] slumber[0] party[0] pajamas[0] are[0] magically[0] transformed[0] into[0] middle[0] class[0] streetwalker[0] outfits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then they head to a party and dance suggestively with the guys while singing lyrics like " i'll be your pleasure all the time . . . 	then they head to a party and dance suggestively with the guys while singing lyrics like " i'll be your pleasure all the time .<br> .<br> .	3	-1	 then[0] they[0] head[0] to[0] a[0] party[0] and[0] dance[0] suggestively[0] with[0] the[0] guys[0] while[0] singing[0] lyrics[0] like[1] i'll[0] be[0] your[0] pleasure[2] all[0] the[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
just say the words that you'll be mine " . 	just say the words that you'll be mine " .	1	-1	 just[0] say[0] the[0] words[0] that[0] you'll[0] be[0] mine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
um . . . 	um .<br> .<br> .	1	-1	 um[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the hell ? 	what the hell ?	1	-2	 what[0] the[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what does this have to do with stuart little ? 	what does this have to do with stuart little ?	1	-1	 what[0] does[0] this[0] have[0] to[0] do[0] with[0] stuart[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how is this in any way a song suitable for a kids movie , let alone a video suitable for a kids movie on dvd ? 	how is this in any way a song suitable for a kids movie , let alone a video suitable for a kids movie on dvd ?	1	-1	 how[0] is[0] this[0] in[0] any[0] way[0] a[0] song[0] suitable[0] for[0] a[0] kids[0] movie[0] let[0] alone[0] a[0] video[0] suitable[0] for[0] a[0] kids[0] movie[0] on[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the video concludes , the words " to be continued " appear . 	when the video concludes , the words " to be continued " appear .	1	-1	 when[0] the[0] video[0] concludes[0] the[0] words[0] to[0] be[0] continued[0] appear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh i can't wait to see who they've slept with when the toy story 2 dvd comes out . 	oh i can't wait to see who they've slept with when the toy story 2 dvd comes out .	1	-1	 oh[0] i[0] can't[0] wait[0] to[0] see[0] who[0] they've[0] slept[0] with[0] when[0] the[0] toy[0] story[0] 2[0] dvd[0] comes[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kids won't care about most of the special features on this dvd , but those of us who can sometimes be turned into a " kid at heart " thanks to a winning family film sure appreciate them . 	kids won't care about most of the special features on this dvd , but those of us who can sometimes be turned into a " kid at heart " thanks to a winning family film sure appreciate them .	2	-2	 kids[0] won't[0] care[1][NegatedDueToPreviousWord] about[0] most[0] of[0] the[0] special[1] features[0] on[0] this[0] dvd[0] but[0] those[0] of[0] us[0] who[0] can[0] sometimes[0] be[0] turned[0] into[0] a[0] kid[0] at[0] heart[0] thanks[1] to[0] a[0] winning[1] family[0] film[0] sure[0] appreciate[1] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is the way to do dvd , a good movie loaded with great features at a reasonable cost . 	this is the way to do dvd , a good movie loaded with great features at a reasonable cost .	3	-1	 this[0] is[0] the[0] way[0] to[0] do[0] dvd[0] a[0] good[1] movie[0] loaded[0] with[0] great[2] features[0] at[0] a[0] reasonable[0] cost[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the di ney people could learn a lot from columbia tristar . 	the di ney people could learn a lot from columbia tristar .	1	-1	 the[0] di[0] ney[0] people[0] could[0] learn[0] a[0] lot[0] from[0] columbia[0] tristar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
