the thought-provoking question of tradition over morals is the subject directly at the core of " leila , " a powerfully articulated and subtle drama from famous iranian director dariush mehrjui , that is his first motion picture in a prosperous thirty-year career to gain u . s . distribution , thanks to first run features . 	Translation	Positive	Negative	EmotionRationale
leila , however , is unable to come to terms with the idea quite as easily , but feels it is her duty to make her husband happy , no matter what the circumstances . 	leila , however , is unable to come to terms with the idea quite as easily , but feels it is her duty to make her husband happy , no matter what the circumstances .	2	-2	 leila[0] however[0] is[0] unable[0] to[0] come[0] to[0] terms[0] with[0] the[0] idea[0] quite[0] as[0] easily[0] but[0] feels[0] it[0] is[0] her[0] duty[-1] to[0] make[0] her[0] husband[0] happy[1] no[0] matter[0] what[0] the[0] circumstances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of the strongest aspects of the film is in its portrayal of the relationship between leila and reza , who married only three months after their first meeting , but obviously love each other very deeply . 	one of the strongest aspects of the film is in its portrayal of the relationship between leila and reza , who married only three months after their first meeting , but obviously love each other very deeply .	3	-1	 one[0] of[0] the[0] strongest[0] aspects[0] of[0] the[0] film[0] is[0] in[0] its[0] portrayal[0] of[0] the[0] relationship[0] between[0] leila[0] and[0] reza[0] who[0] married[0] only[0] three[0] months[0] after[0] their[0] first[0] meeting[0] but[0] obviously[0] love[2] each[0] other[0] very[0] deeply[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is this relationship that is the key ingredient to making what follows the opening scenes all the more powerful , and director mehrjui has succeeded just about as well as possible . 	it is this relationship that is the key ingredient to making what follows the opening scenes all the more powerful , and director mehrjui has succeeded just about as well as possible .	3	-1	 it[0] is[0] this[0] relationship[0] that[0] is[0] the[0] key[0] ingredient[0] to[0] making[0] what[0] follows[0] the[0] opening[0] scenes[0] all[0] the[0] more[0] powerful[0] and[0] director[0] mehrjui[0] has[0] succeeded[2] just[0] about[0] as[0] well[0] as[0] possible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although seemingly unimportant at first glance , an early sequence where leila and reza are eating dinner and both are laughing , nearly uncontrollably , actually is one of the most vital moments in the first half , as it unmistakably sets the boundary for their unrequisite love for one another . 	although seemingly unimportant at first glance , an early sequence where leila and reza are eating dinner and both are laughing , nearly uncontrollably , actually is one of the most vital moments in the first half , as it unmistakably sets the boundary for their unrequisite love for one another .	3	-2	 although[0] seemingly[0] unimportant[-1] at[0] first[0] glance[0] an[0] early[0] sequence[0] where[0] leila[0] and[0] reza[0] are[0] eating[0] dinner[0] and[0] both[0] are[0] laughing[1] nearly[0] uncontrollably[-1] actually[0] is[0] one[0] of[0] the[0] most[0] vital[0] moments[0] in[0] the[0] first[0] half[0] as[0] it[0] unmistakably[0] sets[0] the[0] boundary[0] for[0] their[0] unrequisite[0] love[2] for[0] one[0] another[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ditto for another scene in which reza gives leila a large stuffed animal for her birthday , and then reveals a beautiful necklace he has also gotten her . 	ditto for another scene in which reza gives leila a large stuffed animal for her birthday , and then reveals a beautiful necklace he has also gotten her .	3	-1	 ditto[0] for[0] another[0] scene[0] in[0] which[0] reza[0] gives[0] leila[0] a[0] large[0] stuffed[0] animal[0] for[0] her[0] birthday[0] and[0] then[0] reveals[0] a[0] beautiful[2] necklace[0] he[0] has[0] also[0] gotten[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these " small " moments are the perfect contrast for the solemn , outraging sequences in the latter half , in which reza drops leila off at the side of a busy road , and then zooms off to go on a date with another woman . 	these " small " moments are the perfect contrast for the solemn , outraging sequences in the latter half , in which reza drops leila off at the side of a busy road , and then zooms off to go on a date with another woman .	2	-4	 these[0] small[0] moments[0] are[0] the[0] perfect[1] contrast[0] for[0] the[0] solemn[-2] outraging[-2][-1 MultiplePositiveWords] sequences[0] in[0] the[0] latter[0] half[0] in[0] which[0] reza[0] drops[0] leila[0] off[0] at[0] the[0] side[0] of[0] a[0] busy[0] road[0] and[0] then[0] zooms[0] off[0] to[0] go[0] on[0] a[0] date[0] with[0] another[0] woman[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
left there to ponder her quickly diminishing marriage , foolishly unbeknownst to reza , leila prays each time that the date will not go well , so she will be able to keep her husband to herself for a little while longer . 	left there to ponder her quickly diminishing marriage , foolishly unbeknownst to reza , leila prays each time that the date will not go well , so she will be able to keep her husband to herself for a little while longer .	1	-2	 left[0] there[0] to[0] ponder[0] her[0] quickly[0] diminishing[0] marriage[0] foolishly[-1] unbeknownst[0] to[0] reza[0] leila[0] prays[0] each[0] time[0] that[0] the[0] date[0] will[0] not[0] go[0] well[0] so[0] she[0] will[0] be[0] able[0] to[0] keep[0] her[0] husband[0] to[0] herself[0] for[0] a[0] little[0] while[0] longer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
refusing to stay over at her parent's house , the film inevitably leads up to the second wedding night between reza and another woman , and in a sequence of extraordinary sorrow and potency , leila finds her whole being emotionally torn apart , as she is closed up in an upstairs bedroom as the marriage proceedings are going on down below . 	refusing to stay over at her parent's house , the film inevitably leads up to the second wedding night between reza and another woman , and in a sequence of extraordinary sorrow and potency , leila finds her whole being emotionally torn apart , as she is closed up in an upstairs bedroom as the marriage proceedings are going on down below .	1	-3	 refusing[0] to[0] stay[0] over[0] at[0] her[0] parent's[0] house[0] the[0] film[0] inevitably[0] leads[0] up[0] to[0] the[0] second[0] wedding[0] night[0] between[0] reza[0] and[0] another[0] woman[0] and[0] in[0] a[0] sequence[0] of[0] extraordinary[0] sorrow[-2] and[0] potency[0] leila[0] finds[0] her[0] whole[0] being[0] emotionally[0] torn[0] apart[0] as[0] she[0] is[0] closed[0] up[0] in[0] an[0] upstairs[0] bedroom[0] as[0] the[0] marriage[0] proceedings[0] are[0] going[0] on[0] down[0] below[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite her initial agreement to such a thing , leila realizes how much she has been betrayed by reza , whom she believed cared for her as much as she did of him . 	despite her initial agreement to such a thing , leila realizes how much she has been betrayed by reza , whom she believed cared for her as much as she did of him .	2	-3	 despite[0] her[0] initial[0] agreement[0] to[0] such[0] a[0] thing[0] leila[0] realizes[0] how[0] much[0] she[0] has[0] been[0] betrayed[-2] by[0] reza[0] whom[0] she[0] believed[0] cared[1] for[0] her[0] as[0] much[0] as[0] she[0] did[0] of[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sure , the whole second marriage was his mother's idea , but if he really did believe what he initially had told her about not wanting any children , then he could have still easily backed out , couldn't he ? 	sure , the whole second marriage was his mother's idea , but if he really did believe what he initially had told her about not wanting any children , then he could have still easily backed out , couldn't he ?	1	-1	 sure[0] the[0] whole[0] second[0] marriage[0] was[0] his[0] mother's[0] idea[0] but[0] if[0] he[0] really[0] did[0] believe[0] what[0] he[0] initially[0] had[0] told[0] her[0] about[0] not[0] wanting[0] any[0] children[0] then[0] he[0] could[0] have[0] still[0] easily[0] backed[0] out[0] couldn't[0] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the pivotal role of leila , who appears in every scene , leila hatami is nothing short of remarkable , injecting her character with an equal measure of startling strength , unavoidable vulnerability , and utter despair . 	in the pivotal role of leila , who appears in every scene , leila hatami is nothing short of remarkable , injecting her character with an equal measure of startling strength , unavoidable vulnerability , and utter despair .	1	-4	 in[0] the[0] pivotal[0] role[0] of[0] leila[0] who[0] appears[0] in[0] every[0] scene[0] leila[0] hatami[0] is[0] nothing[0] short[0] of[0] remarkable[0] injecting[0] her[0] character[0] with[0] an[0] equal[0] measure[0] of[0] startling[-1] strength[0] unavoidable[-1] vulnerability[-2] and[0] utter[0] despair[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unlike most american films , in which everything always has to be spelled out for audiences , hatami says much more with just an elusive expression on her face than could possibly have been conveyed by words . 	unlike most american films , in which everything always has to be spelled out for audiences , hatami says much more with just an elusive expression on her face than could possibly have been conveyed by words .	1	-1	 unlike[0] most[0] american[0] films[0] in[0] which[0] everything[0] always[0] has[0] to[0] be[0] spelled[0] out[0] for[0] audiences[0] hatami[0] says[0] much[0] more[0] with[0] just[0] an[0] elusive[0] expression[0] on[0] her[0] face[0] than[0] could[0] possibly[0] have[0] been[0] conveyed[0] by[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every bit a perfect match for hatami is ali mosaffa , as reza , a man who , i believe , does hold an unbreakable bond with his wife , but is too naive to realize what he will be doing to leila if he marries someone else . 	every bit a perfect match for hatami is ali mosaffa , as reza , a man who , i believe , does hold an unbreakable bond with his wife , but is too naive to realize what he will be doing to leila if he marries someone else .	2	-2	 every[0] bit[0] a[0] perfect[1] match[0] for[0] hatami[0] is[0] ali[0] mosaffa[0] as[0] reza[0] a[0] man[0] who[0] i[0] believe[0] does[0] hold[0] an[0] unbreakable[0] bond[0] with[0] his[0] wife[0] but[0] is[0] too[0] naive[-1] to[0] realize[0] what[0] he[0] will[0] be[0] doing[0] to[0] leila[0] if[0] he[0] marries[0] someone[0] else[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for all of its strong aspects , " leila " isn't a perfect film . 	for all of its strong aspects , " leila " isn't a perfect film .	1	-2	 for[0] all[0] of[0] its[0] strong[0] aspects[0] leila[0] isn't[0] a[0] perfect[1][NegatedDueToPreviousWord] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on a technical level , i found many blatant punctiation and spelling mistakes within the subtitles that need to be fixed . 	on a technical level , i found many blatant punctiation and spelling mistakes within the subtitles that need to be fixed .	1	-2	 on[0] a[0] technical[0] level[0] i[0] found[0] many[0] blatant[-1] punctiation[0] and[0] spelling[0] mistakes[-1] within[0] the[0] subtitles[0] that[0] need[0] to[0] be[0] fixed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and concerning the plot developments , the final five minutes ring false when compared with everything that has come before . 	and concerning the plot developments , the final five minutes ring false when compared with everything that has come before .	1	-2	 and[0] concerning[-1] the[0] plot[0] developments[0] the[0] final[0] five[0] minutes[0] ring[0] false[0] when[0] compared[0] with[0] everything[0] that[0] has[0] come[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mehrjui's decision to use an extremely stylized approach to the ending was the wrong choice , particularly in his almost comedic way of wrapping up the character of the spiteful mother-in-law , played memorably by jamileh sheikhi . 	mehrjui's decision to use an extremely stylized approach to the ending was the wrong choice , particularly in his almost comedic way of wrapping up the character of the spiteful mother-in-law , played memorably by jamileh sheikhi .	1	-4	 mehrjui's[0] decision[0] to[0] use[0] an[0] extremely[0] stylized[0] approach[0] to[0] the[0] ending[0] was[0] the[0] wrong[-1] choice[0] particularly[0] in[0] his[0] almost[0] comedic[0] way[0] of[0] wrapping[0] up[0] the[0] character[0] of[0] the[0] spiteful[-3] mother[0] in[0] law[0] played[0] memorably[0] by[0] jamileh[0] sheikhi[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despite these minor missteps , " leila " is an important motion picture that should definately be sought out upon its limited may 16 release at new york's cinema village , and then on may 21 in la . 	despite these minor missteps , " leila " is an important motion picture that should definately be sought out upon its limited may 16 release at new york's cinema village , and then on may 21 in la .	1	-1	 despite[0] these[0] minor[0] missteps[0] leila[0] is[0] an[0] important[0] motion[0] picture[0] that[0] should[0] definately[0] be[0] sought[0] out[0] upon[0] its[0] limited[0] may[0] 16[0] release[0] at[0] new[0] york's[0] cinema[0] village[0] and[0] then[0] on[0] may[0] 21[0] in[0] la[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thought-provoking questions that the film deals with is balanced evenly with its uneasy morales , and when the climax arrives , leila's self-worth is startlingly stripped away to reveal a victim led into complete devastation , to which there is no return . 	the thought-provoking questions that the film deals with is balanced evenly with its uneasy morales , and when the climax arrives , leila's self-worth is startlingly stripped away to reveal a victim led into complete devastation , to which there is no return .	1	-5	 the[0] thought[0] provoking[0] questions[0] that[0] the[0] film[0] deals[0] with[0] is[0] balanced[0] evenly[0] with[0] its[0] uneasy[-1] morales[0] and[0] when[0] the[0] climax[0] arrives[0] leila's[0] self[0] worth[0] is[0] startlingly[-1] stripped[0] away[0] to[0] reveal[0] a[0] victim[-2] led[0] into[0] complete[0] devastation[-4][-1 LastWordBoosterStrength] to[0] which[0] there[0] is[0] no[0] return[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
it's difficult to not consider how leila's culminating interior demise could have been so simply avoided , had the other characters taken a second out of their own selfish lives to consider what leila , the major pawn in the unforgivable scheme , was going through . 	it's difficult to not consider how leila's culminating interior demise could have been so simply avoided , had the other characters taken a second out of their own selfish lives to consider what leila , the major pawn in the unforgivable scheme , was going through .	1	-4	 it's[0] difficult[-1] to[0] not[0] consider[0] how[0] leila's[0] culminating[0] interior[0] demise[-1] could[0] have[0] been[0] so[0] simply[0] avoided[-1] had[0] the[0] other[0] characters[0] taken[0] a[0] second[0] out[0] of[0] their[0] own[0] selfish[-3] lives[0] to[0] consider[0] what[0] leila[0] the[0] major[0] pawn[0] in[0] the[0] unforgivable[0] scheme[0] was[0] going[0] through[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
