oh god how many john grisham lawyer films we have been munundated with ! 	Translation	Positive	Negative	EmotionRationale
we see him suffering from a personal crisis , and travolta does do a pretty good job in depicting his change of heart , but in the end , we don't fully believe it . 	we see him suffering from a personal crisis , and travolta does do a pretty good job in depicting his change of heart , but in the end , we don't fully believe it .	3	-4	 we[0] see[0] him[0] suffering[-3] from[0] a[0] personal[0] crisis[-2] and[0] travolta[0] does[0] do[0] a[0] pretty[2] good[1] job[0] in[0] depicting[0] his[0] change[0] of[0] heart[0] but[0] in[0] the[0] end[0] we[0] don't[0] fully[0] believe[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and i think that the problem is when he has made his decision , the film choses an odd angle to go at , a noble one , but one that gives the film's conclusion that of incompleteness . 	and i think that the problem is when he has made his decision , the film choses an odd angle to go at , a noble one , but one that gives the film's conclusion that of incompleteness .	1	-2	 and[0] i[0] think[0] that[0] the[0] problem[-1] is[0] when[0] he[0] has[0] made[0] his[0] decision[0] the[0] film[0] choses[0] an[0] odd[0] angle[0] to[0] go[0] at[0] a[0] noble[0] one[0] but[0] one[0] that[0] gives[0] the[0] film's[0] conclusion[0] that[0] of[0] incompleteness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the opening of the film , we see him doing his old schtick , manipulating courts , winning cases effortlessly , and then discussing on a heard radio interview how great he is at his job and how much he cares for his cases . 	in the opening of the film , we see him doing his old schtick , manipulating courts , winning cases effortlessly , and then discussing on a heard radio interview how great he is at his job and how much he cares for his cases .	3	-2	 in[0] the[0] opening[0] of[0] the[0] film[0] we[0] see[0] him[0] doing[0] his[0] old[0] schtick[0] manipulating[-1] courts[0] winning[1] cases[0] effortlessly[0] and[0] then[0] discussing[0] on[0] a[0] heard[0] radio[0] interview[0] how[0] great[2] he[0] is[0] at[0] his[0] job[0] and[0] how[0] much[0] he[0] cares[1] for[0] his[0] cases[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in short , he's full of bullshit and we know it . 	in short , he's full of bullshit and we know it .	1	-3	 in[0] short[0] he's[0] full[0] of[0] bullshit[-2] and[0] we[0] know[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the film , he takes a case that is hardly desired : a town where several of the children have died mysteriously of lukemia and the source of the illness seems to be from a local factory that may or may not have been dumping waste into the river . 	in the film , he takes a case that is hardly desired : a town where several of the children have died mysteriously of lukemia and the source of the illness seems to be from a local factory that may or may not have been dumping waste into the river .	1	-2	 in[0] the[0] film[0] he[0] takes[0] a[0] case[0] that[0] is[0] hardly[0] desired[0] a[0] town[0] where[0] several[0] of[0] the[0] children[0] have[0] died[0] mysteriously[0] of[0] lukemia[0] and[0] the[0] source[-1] of[0] the[0] illness[-1] seems[0] to[0] be[0] from[0] a[0] local[0] factory[0] that[0] may[0] or[0] may[0] not[0] have[0] been[0] dumping[-1] waste[-1] into[0] the[0] river[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
point one , it's not of the usual criteria ( jan points out , wickedly , that dead or wounded children aren't nearly as sympathetic as those struck down in the midst of their success ) . 	point one , it's not of the usual criteria ( jan points out , wickedly , that dead or wounded children aren't nearly as sympathetic as those struck down in the midst of their success ) .	3	-3	 point[0] one[0] it's[0] not[0] of[0] the[0] usual[0] criteria[0] jan[0] points[0] out[0] wickedly[2] that[0] dead[-2] or[0] wounded[-1] children[0] aren't[0] nearly[0] as[0] sympathetic[0] as[0] those[0] struck[-1] down[0] in[0] the[0] midst[0] of[0] their[0] success[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
point two , it has been through several lawyers . 	point two , it has been through several lawyers .	1	-1	 point[0] two[0] it[0] has[0] been[0] through[0] several[0] lawyers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after turning them down , jan changes his mind ( a muddled scene - he stops his car on a bridge , looks out . . . is he feeling a sense of overachievement ? ) , and he and his team of lawyers ( tony shalhoub , zeljko ivanek , and accountant william h . macy ) head out to the town to do battle with the town's company . 	after turning them down , jan changes his mind ( a muddled scene - he stops his car on a bridge , looks out .<br> .<br> .<br> is he feeling a sense of overachievement ?<br> ) , and he and his team of lawyers ( tony shalhoub , zeljko ivanek , and accountant william h .<br> macy ) head out to the town to do battle with the town's company .	1	-2	 after[0] turning[0] them[0] down[0] jan[0] changes[0] his[0] mind[0] a[0] muddled[-1] scene[0] he[0] stops[0] his[0] car[0] on[0] a[0] bridge[0] looks[0] out[0] [[Sentence=-2,1=word max, 1-5]] is[0] he[0] feeling[0] a[0] sense[0] of[0] overachievement[0] [[Sentence=-1,1=word max, 1-5]] and[0] he[0] and[0] his[0] team[0] of[0] lawyers[0] tony[0] shalhoub[0] zeljko[0] ivanek[0] and[0] accountant[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] head[0] out[0] to[0] the[0] town[0] to[0] do[0] battle[-1] with[0] the[0] town's[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they spend millions of dollars examining the land , test the water , what have you ( this is where stephen fry , a possible oscar nominee for his brilliant performance in " wilde , " pops up thanklessly ) , and in the meantime question the parents of the dead children , and then , unsuccessfully , the workers at the plant . 	they spend millions of dollars examining the land , test the water , what have you ( this is where stephen fry , a possible oscar nominee for his brilliant performance in " wilde , " pops up thanklessly ) , and in the meantime question the parents of the dead children , and then , unsuccessfully , the workers at the plant .	2	-3	 they[0] spend[0] millions[0] of[0] dollars[0] examining[0] the[0] land[0] test[0] the[0] water[0] what[0] have[0] you[0] this[0] is[0] where[0] stephen[0] fry[0] a[0] possible[0] oscar[0] nominee[0] for[0] his[0] brilliant[1] performance[0] in[0] wilde[0] pops[0] up[0] thanklessly[0] and[0] in[0] the[0] meantime[0] question[0] the[0] parents[0] of[0] the[0] dead[-2] children[0] and[0] then[0] unsuccessfully[-2] the[0] workers[0] at[0] the[0] plant[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they also find themselves clashing with a brilliant lawyer for the company , the eccentric jerome facher , played by robert duvall ( more on him later on ) . 	they also find themselves clashing with a brilliant lawyer for the company , the eccentric jerome facher , played by robert duvall ( more on him later on ) .	2	-2	 they[0] also[0] find[0] themselves[0] clashing[0] with[0] a[0] brilliant[1] lawyer[0] for[0] the[0] company[0] the[0] eccentric[-1] jerome[0] facher[0] played[0] by[0] robert[0] duvall[0] more[0] on[0] him[0] later[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as we progress , we get so involved in the way the story is being told , which is engulfing everything around it , including the individual and brief stories of some of the townspeople ( one of the best is a bit with james gandolfini as an employee of the plant living across the street from kathleen quinland , who lost her child , who begins to have a personal crisis ) . 	as we progress , we get so involved in the way the story is being told , which is engulfing everything around it , including the individual and brief stories of some of the townspeople ( one of the best is a bit with james gandolfini as an employee of the plant living across the street from kathleen quinland , who lost her child , who begins to have a personal crisis ) .	2	-3	 as[0] we[0] progress[0] we[0] get[0] so[0] involved[0] in[0] the[0] way[0] the[0] story[0] is[0] being[0] told[0] which[0] is[0] engulfing[-1] everything[0] around[0] it[0] including[0] the[0] individual[0] and[0] brief[0] stories[0] of[0] some[0] of[0] the[0] townspeople[0] one[0] of[0] the[0] best[1] is[0] a[0] bit[0] with[0] james[0] gandolfini[0] as[0] an[0] employee[0] of[0] the[0] plant[0] living[0] across[0] the[0] street[0] from[0] kathleen[0] quinland[0] who[0] lost[0] her[0] child[0] who[0] begins[0] to[0] have[0] a[0] personal[0] crisis[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
things begin to go downhill for the lawyers in the second half , as they are up against impossible odds : the judge ( john lithgow ) is not only a strickler , but a pal of facher ; the employees of the plant are either afraid or to loyal to testify ; no concrete evidence is being found , depsite the money spent to find it ; and they are quickly running out of money . 	things begin to go downhill for the lawyers in the second half , as they are up against impossible odds : the judge ( john lithgow ) is not only a strickler , but a pal of facher ; the employees of the plant are either afraid or to loyal to testify ; no concrete evidence is being found , depsite the money spent to find it ; and they are quickly running out of money .	2	-4	 things[0] begin[0] to[0] go[0] downhill[0] for[0] the[0] lawyers[0] in[0] the[0] second[0] half[0] as[0] they[0] are[0] up[0] against[-1] impossible[0] odds[0] the[0] judge[0] john[0] lithgow[0] is[0] not[0] only[0] a[0] strickler[0] but[0] a[0] pal[0] of[0] facher[0] the[0] employees[0] of[0] the[0] plant[0] are[0] either[0] afraid[-3] or[0] to[0] loyal[1] to[0] testify[0] no[0] concrete[0] evidence[0] is[0] being[0] found[0] depsite[0] the[0] money[0] spent[0] to[0] find[0] it[0] and[0] they[0] are[0] quickly[0] running[0] out[0] of[0] money[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as macy mortgages everything he can , including their homes and their office , he slowly loses his sanity ( his meatiest role since , oh , " fargo " ) , and we the audience begin to feel a real loss of hope for our protagonist . 	as macy mortgages everything he can , including their homes and their office , he slowly loses his sanity ( his meatiest role since , oh , " fargo " ) , and we the audience begin to feel a real loss of hope for our protagonist .	3	-3	 as[0] macy[0] mortgages[0] everything[0] he[0] can[0] including[0] their[0] homes[0] and[0] their[0] office[0] he[0] slowly[0] loses[-1] his[0] sanity[0] his[0] meatiest[0] role[0] since[0] oh[0] fargo[0] and[0] we[0] the[0] audience[0] begin[0] to[0] feel[0] a[0] real[0] loss[-2] of[0] hope[2] for[0] our[0] protagonist[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in fact , the last half hour is such a change from the rest of the film and so unresolved that it has been widely panned as not being up to par ( owen gleiberman , especially , criticized the film for not being overly-dramatic . . . i 	in fact , the last half hour is such a change from the rest of the film and so unresolved that it has been widely panned as not being up to par ( owen gleiberman , especially , criticized the film for not being overly-dramatic .<br> .<br> .<br> i	1	-3	 in[0] fact[0] the[0] last[0] half[0] hour[0] is[0] such[0] a[0] change[0] from[0] the[0] rest[0] of[0] the[0] film[0] and[0] so[0] unresolved[0] that[0] it[0] has[0] been[0] widely[0] panned[0] as[0] not[0] being[0] up[0] to[0] par[0] owen[0] gleiberman[0] especially[0] criticized[-1][-1 LastWordBoosterStrength] the[0] film[0] for[0] not[0] being[0] overly[0] dramatic[0] [[Sentence=-3,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
suppose like a grisham novel ) . 	suppose like a grisham novel ) .	2	-1	 suppose[0] like[1] a[0] grisham[0] novel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this wouldn't be so if the change in jan had not been handled the way it is : instead of having a change of heart and automatically being perceived as good , he's seen as being still full of bullshit . 	this wouldn't be so if the change in jan had not been handled the way it is : instead of having a change of heart and automatically being perceived as good , he's seen as being still full of bullshit .	2	-3	 this[0] wouldn't[0] be[0] so[0] if[0] the[0] change[0] in[0] jan[0] had[0] not[0] been[0] handled[0] the[0] way[0] it[0] is[0] instead[0] of[0] having[0] a[0] change[0] of[0] heart[0] and[0] automatically[0] being[0] perceived[0] as[0] good[1] he's[0] seen[0] as[0] being[0] still[0] full[0] of[0] bullshit[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
because he doesn't take stock in the cares of his partners , and causes them all to lose their money and noteriaty in the lawyer field because he wants to help the people of the town , he is instead seen as being of good nature but not sure how to bring that out . 	because he doesn't take stock in the cares of his partners , and causes them all to lose their money and noteriaty in the lawyer field because he wants to help the people of the town , he is instead seen as being of good nature but not sure how to bring that out .	2	-2	 because[0] he[0] doesn't[0] take[0] stock[0] in[0] the[0] cares[1] of[0] his[0] partners[0] and[0] causes[0] them[0] all[0] to[0] lose[-1] their[0] money[0] and[0] noteriaty[0] in[0] the[0] lawyer[0] field[0] because[0] he[0] wants[0] to[0] help[0] the[0] people[0] of[0] the[0] town[0] he[0] is[0] instead[0] seen[0] as[0] being[0] of[0] good[1] nature[0] but[0] not[0] sure[0] how[0] to[0] bring[0] that[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the final half tries to redeem this , as must have been the point of making this in zallian's mind , but what follows is a series of scenes where we merely see him making personal stands for his beliefs , and though he has changed considerably from the opening moments when he's seen speeding back and forth from the town that wishes to employ him ( and thusly receiving two speeding tickets ) , we still feel that the big change in his life is that he's not rich and esteemed anymore ( the film's final title card is witty but in all actuality shallow ) . 	the final half tries to redeem this , as must have been the point of making this in zallian's mind , but what follows is a series of scenes where we merely see him making personal stands for his beliefs , and though he has changed considerably from the opening moments when he's seen speeding back and forth from the town that wishes to employ him ( and thusly receiving two speeding tickets ) , we still feel that the big change in his life is that he's not rich and esteemed anymore ( the film's final title card is witty but in all actuality shallow ) .	1	-2	 the[0] final[0] half[0] tries[0] to[0] redeem[0] this[0] as[0] must[0] have[0] been[0] the[0] point[0] of[0] making[0] this[0] in[0] zallian's[0] mind[0] but[0] what[0] follows[0] is[0] a[0] series[0] of[0] scenes[0] where[0] we[0] merely[0] see[0] him[0] making[0] personal[0] stands[0] for[0] his[0] beliefs[0] and[0] though[0] he[0] has[0] changed[0] considerably[0] from[0] the[0] opening[0] moments[0] when[0] he's[0] seen[0] speeding[0] back[0] and[0] forth[0] from[0] the[0] town[0] that[0] wishes[0] to[0] employ[0] him[0] and[0] thusly[0] receiving[0] two[0] speeding[0] tickets[0] we[0] still[0] feel[0] that[0] the[0] big[0] change[0] in[0] his[0] life[0] is[0] that[0] he's[0] not[0] rich[0] and[0] esteemed[0] anymore[0] the[0] film's[0] final[0] title[0] card[0] is[0] witty[0] but[0] in[0] all[0] actuality[0] shallow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fault is not that there is no closure to the court case ( it's still going on , you know ) , but that its personal story feels like it needs either another chapter or another angle in the final one it has . 	the fault is not that there is no closure to the court case ( it's still going on , you know ) , but that its personal story feels like it needs either another chapter or another angle in the final one it has .	2	-2	 the[0] fault[-1] is[0] not[0] that[0] there[0] is[0] no[0] closure[0] to[0] the[0] court[0] case[0] it's[0] still[0] going[0] on[0] you[0] know[0] but[0] that[0] its[0] personal[0] story[0] feels[0] like[1] it[0] needs[0] either[0] another[0] chapter[0] or[0] another[0] angle[0] in[0] the[0] final[0] one[0] it[0] has[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we need to feel like the character has really made a big change in his life , and that the story is how a story of strife like the one of the town could inspire such a whopping change in his personal life . 	we need to feel like the character has really made a big change in his life , and that the story is how a story of strife like the one of the town could inspire such a whopping change in his personal life .	2	-2	 we[0] need[0] to[0] feel[0] like[1] the[0] character[0] has[0] really[0] made[0] a[0] big[0] change[0] in[0] his[0] life[0] and[0] that[0] the[0] story[0] is[0] how[0] a[0] story[0] of[0] strife[-1] like[1] the[0] one[0] of[0] the[0] town[0] could[0] inspire[2][-1 LastWordBoosterStrength] such[0] a[0] whopping[0] change[0] in[0] his[0] personal[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it only feels like half of that . 	it only feels like half of that .	2	-1	 it[0] only[0] feels[0] like[1] half[0] of[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe even less . 	maybe even less .	1	-1	 maybe[0] even[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's not travolta , who does a great job here ( though never to be a truly memorable performance of his ) , but rather zallian , whose final chapter needs a rewrite . 	and it's not travolta , who does a great job here ( though never to be a truly memorable performance of his ) , but rather zallian , whose final chapter needs a rewrite .	3	-1	 and[0] it's[0] not[0] travolta[0] who[0] does[0] a[0] great[2] job[0] here[0] though[0] never[0] to[0] be[0] a[0] truly[1] memorable[0] performance[0] of[0] his[0] but[0] rather[0] zallian[0] whose[0] final[0] chapter[0] needs[0] a[0] rewrite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
up to then , though , it's an engrossing drama , one of the best of the year in fact , and one of the best lawyer films , period . 	up to then , though , it's an engrossing drama , one of the best of the year in fact , and one of the best lawyer films , period .	2	-1	 up[0] to[0] then[0] though[0] it's[0] an[0] engrossing[0] drama[0] one[0] of[0] the[0] best[1] of[0] the[0] year[0] in[0] fact[0] and[0] one[0] of[0] the[0] best[1] lawyer[0] films[0] period[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the reason is because it recognizes that a court trial is not about those being defended or prosecuted , but rather it's about the lawyers , the knights who battle eachother . 	the reason is because it recognizes that a court trial is not about those being defended or prosecuted , but rather it's about the lawyers , the knights who battle eachother .	1	-2	 the[0] reason[0] is[0] because[0] it[0] recognizes[0] that[0] a[0] court[0] trial[0] is[0] not[0] about[0] those[0] being[0] defended[0] or[0] prosecuted[-1] but[0] rather[0] it's[0] about[0] the[0] lawyers[0] the[0] knights[0] who[0] battle[-1] eachother[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we learn that the company is almost positively to blame for the deaths in the town , but the reason it can't be blamed is because it has the best prosecution you can find . 	we learn that the company is almost positively to blame for the deaths in the town , but the reason it can't be blamed is because it has the best prosecution you can find .	3	-3	 we[0] learn[0] that[0] the[0] company[0] is[0] almost[0] positively[2] to[0] blame[-1] for[0] the[0] deaths[-2] in[0] the[0] town[0] but[0] the[0] reason[0] it[0] can't[0] be[0] blamed[-1][NegatedDueToPreviousWord] is[0] because[0] it[0] has[0] the[0] best[1] prosecution[-1] you[0] can[0] find[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and duvall's facher is such a brilliant character and he does such a magnificent job at portraying that man that it's almost easy to overlook how subtley great he is . 	and duvall's facher is such a brilliant character and he does such a magnificent job at portraying that man that it's almost easy to overlook how subtley great he is .	4	-2	 and[0] duvall's[0] facher[0] is[0] such[0] a[0] brilliant[1] character[0] and[0] he[0] does[0] such[0] a[0] magnificent[3] job[0] at[0] portraying[0] that[0] man[0] that[0] it's[0] almost[0] easy[0] to[0] overlook[-1] how[0] subtley[0] great[2] he[0] is[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
