though it is a fine piece of filmmaking , there's something about elizabeth . . . that 	Translation	Positive	Negative	EmotionRationale
i didn't much care about the characters ( perhaps aside for elizabeth who is played quite well by blanchett ) and so i didn't have much interest in who would join her in her nuptials . 	i didn't much care about the characters ( perhaps aside for elizabeth who is played quite well by blanchett ) and so i didn't have much interest in who would join her in her nuptials .	2	-1	 i[0] didn't[0] much[0] care[1] about[0] the[0] characters[0] perhaps[0] aside[0] for[0] elizabeth[0] who[0] is[0] played[0] quite[0] well[0] by[0] blanchett[0] and[0] so[0] i[0] didn't[0] have[0] much[0] interest[1] in[0] who[0] would[0] join[0] her[0] in[0] her[0] nuptials[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast is rounded out well with the marvelous rush who plays the queen's most loyal advisor , sir francis , and attenborough as a well-meaning but old-fashioned lead council . 	the cast is rounded out well with the marvelous rush who plays the queen's most loyal advisor , sir francis , and attenborough as a well-meaning but old-fashioned lead council .	2	-1	 the[0] cast[0] is[0] rounded[0] out[0] well[0] with[0] the[0] marvelous[0] rush[0] who[0] plays[1] the[0] queen's[0] most[0] loyal[1] advisor[0] sir[0] francis[0] and[0] attenborough[0] as[0] a[0] well[0] meaning[0] but[0] old[0] fashioned[0] lead[0] council[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why then , you must be asking , do i recommend elizabeth ? 	why then , you must be asking , do i recommend elizabeth ?	1	-1	 why[0] then[0] you[0] must[0] be[0] asking[0] do[0] i[0] recommend[0] elizabeth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simply because it is the result of a perfect pairing of director and cinematographer . 	simply because it is the result of a perfect pairing of director and cinematographer .	2	-1	 simply[0] because[0] it[0] is[0] the[0] result[0] of[0] a[0] perfect[1] pairing[0] of[0] director[0] and[0] cinematographer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kapur and his cinematographer remi adefarasin ( neither of whom i have heard ) create a beautifully realized piece of filmmkaing from the technical side . 	kapur and his cinematographer remi adefarasin ( neither of whom i have heard ) create a beautifully realized piece of filmmkaing from the technical side .	3	-1	 kapur[0] and[0] his[0] cinematographer[0] remi[0] adefarasin[0] neither[0] of[0] whom[0] i[0] have[0] heard[0] create[0] a[0] beautifully[2] realized[0] piece[0] of[0] filmmkaing[0] from[0] the[0] technical[0] side[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the light streams through each frame as in any painting from the period and beautifully captures the realistic light sources that would have been found in churches , cellars and castles in 16th century europe . 	the light streams through each frame as in any painting from the period and beautifully captures the realistic light sources that would have been found in churches , cellars and castles in 16th century europe .	3	-2	 the[0] light[0] streams[0] through[0] each[0] frame[0] as[0] in[0] any[0] painting[0] from[0] the[0] period[0] and[0] beautifully[2] captures[-1] the[0] realistic[0] light[0] sources[-1] that[0] would[0] have[0] been[0] found[0] in[0] churches[0] cellars[0] and[0] castles[0] in[0] 16th[0] century[0] europe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
each frame is rich with color contrasted with blackness or blown-out white light from windows . 	each frame is rich with color contrasted with blackness or blown-out white light from windows .	1	-1	 each[0] frame[0] is[0] rich[0] with[0] color[0] contrasted[0] with[0] blackness[0] or[0] blown[0] out[0] white[0] light[0] from[0] windows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costumes by alexandra byrne deserve a mention as they are such an inportant aspect of each shot . 	the costumes by alexandra byrne deserve a mention as they are such an inportant aspect of each shot .	1	-2	 the[0] costumes[0] by[0] alexandra[0] byrne[0] deserve[0] a[0] mention[0] as[0] they[0] are[0] such[0] an[0] inportant[0] aspect[0] of[0] each[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
indeed , elizabeth is one of the most visually beautiful films of the decade , ranking with kundun and braveheart . 	indeed , elizabeth is one of the most visually beautiful films of the decade , ranking with kundun and braveheart .	3	-1	 indeed[0] elizabeth[0] is[0] one[0] of[0] the[0] most[0] visually[0] beautiful[2] films[0] of[0] the[0] decade[0] ranking[0] with[0] kundun[0] and[0] braveheart[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watch also for the incredibly " godfather-esque " mass murder scene . 	watch also for the incredibly " godfather-esque " mass murder scene .	1	-4	 watch[0] also[0] for[0] the[0] incredibly[0] godfather[0] esque[0] mass[0] murder[-3] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it made me think in retrospect of the similarities between the two films . 	it made me think in retrospect of the similarities between the two films .	1	-1	 it[0] made[0] me[0] think[0] in[0] retrospect[0] of[0] the[0] similarities[0] between[0] the[0] two[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
