i find most of television so intensely boring that i simply never turn on my set , unless i'm watching a movie . 	Translation	Positive	Negative	EmotionRationale
the film picks up soon after ; and mulder and scully have been reduced to field agents investigating a bomb threat in a federal building . 	the film picks up soon after ; and mulder and scully have been reduced to field agents investigating a bomb threat in a federal building .	1	-3	 the[0] film[0] picks[0] up[0] soon[0] after[0] and[0] mulder[0] and[0] scully[0] have[0] been[0] reduced[0] to[0] field[0] agents[0] investigating[0] a[0] bomb[-1] threat[-2] in[0] a[0] federal[0] building[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but wait , i'm getting ahead of myself . 	but wait , i'm getting ahead of myself .	1	-1	 but[0] wait[0] i'm[0] getting[0] ahead[0] of[0] myself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film actually opens in the ice age , about 32 , 000 years prior , during which a couple of prehistoric guys get attacked by a vicious alien . 	the film actually opens in the ice age , about 32 , 00 years prior , during which a couple of prehistoric guys get attacked by a vicious alien .	1	-4	 the[0] film[0] actually[0] opens[0] in[0] the[0] ice[0] age[0] about[0] 32[0] 000/00[0] years[0] prior[0] during[0] which[0] a[0] couple[0] of[0] prehistoric[0] guys[0] get[0] attacked[-2] by[0] a[0] vicious[-3] alien[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the alien's blood infects them ( fans of the show will certainly remember the black cancer ) , and the story jumps into modern times , during which a young boy is also infected with the cancer . 	the alien's blood infects them ( fans of the show will certainly remember the black cancer ) , and the story jumps into modern times , during which a young boy is also infected with the cancer .	1	-4	 the[0] alien's[0] blood[0] infects[-1] them[0] fans[0] of[0] the[0] show[0] will[0] certainly[0] remember[0] the[0] black[0] cancer[-3] and[0] the[0] story[0] jumps[0] into[0] modern[0] times[0] during[0] which[0] a[0] young[0] boy[0] is[0] also[0] infected[-1] with[0] the[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it turns out that the bomb was planted to kill the boy , and mulder and scully uncover the cover-up despite the fact that scully has resigned from her position in the fbi . 	it turns out that the bomb was planted to kill the boy , and mulder and scully uncover the cover-up despite the fact that scully has resigned from her position in the fbi .	1	-2	 it[0] turns[0] out[0] that[0] the[0] bomb[-1] was[0] planted[0] to[0] kill[-1] the[0] boy[0] and[0] mulder[0] and[0] scully[0] uncover[0] the[0] cover[0] up[0] despite[0] the[0] fact[0] that[0] scully[0] has[0] resigned[-1] from[0] her[0] position[0] in[0] the[0] fbi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon , they find out that the whole thing has to do with aliens . 	soon , they find out that the whole thing has to do with aliens .	1	-1	 soon[0] they[0] find[0] out[0] that[0] the[0] whole[0] thing[0] has[0] to[0] do[0] with[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i've written before , it's not easy to write plot summaries for films like this , because everything needs to be a surprise . 	as i've written before , it's not easy to write plot summaries for films like this , because everything needs to be a surprise .	2	-1	 as[0] i've[0] written[0] before[0] it's[0] not[0] easy[0] to[0] write[0] plot[0] summaries[0] for[0] films[0] like[1] this[0] because[0] everything[0] needs[0] to[0] be[0] a[0] surprise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fans of the show will know what to expect , and i seriously doubt any of them being disappointed with the film . 	fans of the show will know what to expect , and i seriously doubt any of them being disappointed with the film .	1	-2	 fans[0] of[0] the[0] show[0] will[0] know[0] what[0] to[0] expect[0] and[0] i[0] seriously[0] doubt[-1] any[0] of[0] them[0] being[0] disappointed[-1] with[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director rob bowman has done a great job expanding the eerie feeling of the show to the big screen , making small adjustments and minor changes to utilize the possibilities that film allows over television . 	director rob bowman has done a great job expanding the eerie feeling of the show to the big screen , making small adjustments and minor changes to utilize the possibilities that film allows over television .	3	-1	 director[0] rob[0] bowman[0] has[0] done[0] a[0] great[2] job[0] expanding[0] the[0] eerie[0] feeling[0] of[0] the[0] show[0] to[0] the[0] big[0] screen[0] making[0] small[0] adjustments[0] and[0] minor[0] changes[0] to[0] utilize[0] the[0] possibilities[0] that[0] film[0] allows[0] over[0] television[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are some truly suspenseful and well-created scenes here ( late in the film , when they're in the alien spacecraft , you'll see one of the better action sequences in recent cinema ) . 	there are some truly suspenseful and well-created scenes here ( late in the film , when they're in the alien spacecraft , you'll see one of the better action sequences in recent cinema ) .	1	-2	 there[0] are[0] some[0] truly[1][-1 LastWordBoosterStrength] suspenseful[0] and[0] well[0] created[0] scenes[0] here[0] late[0] in[0] the[0] film[0] when[0] they're[0] in[0] the[0] alien[-1] spacecraft[0] you'll[0] see[0] one[0] of[0] the[0] better[0] action[0] sequences[0] in[0] recent[0] cinema[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the special effects are very good , and the production design by christopher nowak is fantastic . 	the special effects are very good , and the production design by christopher nowak is fantastic .	3	-1	 the[0] special[1] effects[0] are[0] very[0] good[1][1 LastWordBoosterStrength] and[0] the[0] production[0] design[0] by[0] christopher[0] nowak[0] is[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what i find interesting is that the x-files is actually a great way for series neophytes to get into the story . 	what i find interesting is that the x-files is actually a great way for series neophytes to get into the story .	3	-1	 what[0] i[0] find[0] interesting[1] is[0] that[0] the[0] x[1] files[0] is[0] actually[0] a[0] great[2] way[0] for[0] series[0] neophytes[0] to[0] get[0] into[0] the[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
our heroes are given subtle introductions ( we're not expected to know them on the outset ) , and the film explains enough of the story that prior knowledge of the series isn't required to understand the film . 	our heroes are given subtle introductions ( we're not expected to know them on the outset ) , and the film explains enough of the story that prior knowledge of the series isn't required to understand the film .	3	-1	 our[0] heroes[2] are[0] given[0] subtle[0] introductions[0] we're[0] not[0] expected[0] to[0] know[0] them[0] on[0] the[0] outset[0] and[0] the[0] film[0] explains[0] enough[0] of[0] the[0] story[0] that[0] prior[0] knowledge[0] of[0] the[0] series[0] isn't[0] required[0] to[0] understand[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are , of course , little elements that the makers have included as payoff to the fans , but i'll keep those as surprises . 	there are , of course , little elements that the makers have included as payoff to the fans , but i'll keep those as surprises .	1	-1	 there[0] are[0] of[0] course[0] little[0] elements[0] that[0] the[0] makers[0] have[0] included[0] as[0] payoff[0] to[0] the[0] fans[0] but[0] i'll[0] keep[0] those[0] as[0] surprises[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it takes a lot of thought and understanding of the series to create a film using roots as complicated as the ones that the series provides , and then create a coherent film that anyone can understand clearly . 	it takes a lot of thought and understanding of the series to create a film using roots as complicated as the ones that the series provides , and then create a coherent film that anyone can understand clearly .	1	-2	 it[0] takes[0] a[0] lot[0] of[0] thought[0] and[0] understanding[0] of[0] the[0] series[0] to[0] create[0] a[0] film[0] using[0] roots[0] as[0] complicated[-1] as[0] the[0] ones[0] that[0] the[0] series[0] provides[0] and[0] then[0] create[0] a[0] coherent[0] film[0] that[0] anyone[0] can[0] understand[0] clearly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the series is strong for a lot of reasons . 	the series is strong for a lot of reasons .	1	-1	 the[0] series[0] is[0] strong[0] for[0] a[0] lot[0] of[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's original ( though it has many ties to " the twilight zone " and owes some homage to hitchcock ) , and impressively eerie for a television show . 	it's original ( though it has many ties to " the twilight zone " and owes some homage to hitchcock ) , and impressively eerie for a television show .	2	-1	 it's[0] original[0] though[0] it[0] has[0] many[0] ties[0] to[0] the[0] twilight[0] zone[0] and[0] owes[0] some[0] homage[0] to[0] hitchcock[0] and[0] impressively[1] eerie[0] for[0] a[0] television[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what really makes the series shine , however , are the actors . 	what really makes the series shine , however , are the actors .	1	-1	 what[0] really[0] makes[0] the[0] series[0] shine[0] however[0] are[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
duchovny has so much presence , and is just a fun guy to watch . 	duchovny has so much presence , and is just a fun guy to watch .	2	-1	 duchovny[0] has[0] so[0] much[0] presence[0] and[0] is[0] just[0] a[0] fun[1] guy[0] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has that confidence that will someday make him into a bankable leading man . 	he has that confidence that will someday make him into a bankable leading man .	2	-1	 he[0] has[0] that[0] confidence[1] that[0] will[0] someday[0] make[0] him[0] into[0] a[0] bankable[0] leading[0] man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anderson is equally good , and paralyzingly beautiful ; she's also a strong actress . 	anderson is equally good , and paralyzingly beautiful ; she's also a strong actress .	3	-1	 anderson[0] is[0] equally[0] good[1] and[0] paralyzingly[0] beautiful[2] she's[0] also[0] a[0] strong[0] actress[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both performers have acted in little more than their series , however , though i think they'll both get their chances to prove themselves very soon . 	both performers have acted in little more than their series , however , though i think they'll both get their chances to prove themselves very soon .	1	-1	 both[0] performers[0] have[0] acted[0] in[0] little[0] more[0] than[0] their[0] series[0] however[0] though[0] i[0] think[0] they'll[0] both[0] get[0] their[0] chances[0] to[0] prove[0] themselves[0] very[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i enthusiastically recommend the x-files , both for fans and non-fans . 	i enthusiastically recommend the x-files , both for fans and non-fans .	3	-1	 i[0] enthusiastically[2] recommend[0] the[0] x[1] files[0] both[0] for[0] fans[0] and[0] non[0] fans[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
1998 is a summer filled with disappointing blockbusters , and this film should satisfy where most of the others leave you completely dry . 	1998 is a summer filled with disappointing blockbusters , and this film should satisfy where most of the others leave you completely dry .	1	-2	 1998[0] is[0] a[0] summer[0] filled[0] with[0] disappointing[-1] blockbusters[-1] and[0] this[0] film[0] should[0] satisfy[1][-1 LastWordBoosterStrength] where[0] most[0] of[0] the[0] others[0] leave[0] you[0] completely[0] dry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's an intelligent film , and takes you places that you might not have been ( or , at least , might not have seen so many times that they feel familiar ) . 	it's an intelligent film , and takes you places that you might not have been ( or , at least , might not have seen so many times that they feel familiar ) .	2	-1	 it's[0] an[0] intelligent[1] film[0] and[0] takes[0] you[0] places[0] that[0] you[0] might[0] not[0] have[0] been[0] or[0] at[0] least[0] might[0] not[0] have[0] seen[0] so[0] many[0] times[0] that[0] they[0] feel[0] familiar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the x-files is impressive in concept , as well : fans of the series are likely to be highly critical , and to take the premise beyond the series is a risky move . 	the x-files is impressive in concept , as well : fans of the series are likely to be highly critical , and to take the premise beyond the series is a risky move .	2	-2	 the[0] x[1] files[0] is[0] impressive[1] in[0] concept[0] as[0] well[0] fans[0] of[0] the[0] series[0] are[0] likely[0] to[0] be[0] highly[0] critical[-1] and[0] to[0] take[0] the[0] premise[0] beyond[0] the[0] series[0] is[0] a[0] risky[-1] move[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's nice to see a risk pay off for a change . 	it's nice to see a risk pay off for a change .	2	-2	 it's[0] nice[1] to[0] see[0] a[0] risk[-1] pay[0] off[0] for[0] a[0] change[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
actually , it's nice to see a risk at all . 	actually , it's nice to see a risk at all .	2	-2	 actually[0] it's[0] nice[1] to[0] see[0] a[0] risk[-1] at[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
