allen , star of many a brian depalma movie in the early eighties , has a brief , throwaway part towards the end of " out of sight , " as the maid of a crooked financier . 	Translation	Positive	Negative	EmotionRationale
the mutual attraction continues as the couple on opposite sides of the law slip in and out of one another's grasp . 	the mutual attraction continues as the couple on opposite sides of the law slip in and out of one another's grasp .	2	-1	 the[0] mutual[0] attraction[1] continues[0] as[0] the[0] couple[0] on[0] opposite[0] sides[0] of[0] the[0] law[0] slip[0] in[0] and[0] out[0] of[0] one[0] another's[0] grasp[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
karen follows jack to detroit , where he's about to pull off another heist , this time a cache of uncut diamonds from incarcerated businessman richard ripley ( played by a toupee-sporting albert brooks , almost unrecognizable in the prison scenes ) . 	karen follows jack to detroit , where he's about to pull off another heist , this time a cache of uncut diamonds from incarcerated businessman richard ripley ( played by a toupee-sporting albert brooks , almost unrecognizable in the prison scenes ) .	1	-2	 karen[0] follows[0] jack[0] to[0] detroit[0] where[0] he's[0] about[0] to[0] pull[0] off[0] another[0] heist[0] this[0] time[0] a[0] cache[0] of[0] uncut[0] diamonds[0] from[0] incarcerated[0] businessman[0] richard[0] ripley[0] played[0] by[0] a[0] toupee[0] sporting[0] albert[0] brooks[0] almost[0] unrecognizable[0] in[0] the[0] prison[-1] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's during this final caper-gone-awry that allen makes her scant appearance . 	it's during this final caper-gone-awry that allen makes her scant appearance .	1	-1	 it's[0] during[0] this[0] final[0] caper[0] gone[0] awry[0] that[0] allen[0] makes[0] her[0] scant[0] appearance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clooney's range as an actor is limited , but he has undeniable charm . 	clooney's range as an actor is limited , but he has undeniable charm .	2	-1	 clooney's[0] range[0] as[0] an[0] actor[0] is[0] limited[0] but[0] he[0] has[0] undeniable[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lopez , too , is easy on the eyes , but she demonstrates more depth in her portrayal of karen , a tough yet tender professional . 	lopez , too , is easy on the eyes , but she demonstrates more depth in her portrayal of karen , a tough yet tender professional .	3	-2	 lopez[0] too[0] is[0] easy[0] on[0] the[0] eyes[0] but[0] she[0] demonstrates[0] more[0] depth[0] in[0] her[0] portrayal[0] of[0] karen[0] a[0] tough[-1] yet[0] tender[2] professional[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she dispenses with hit men as easily as she out-maneuvers sleazy pick-up artists in a bar . 	she dispenses with hit men as easily as she out-maneuvers sleazy pick-up artists in a bar .	1	-3	 she[0] dispenses[-1] with[0] hit[0] men[0] as[0] easily[0] as[0] she[0] out[0] maneuvers[0] sleazy[-2] pick[0] up[0] artists[0] in[0] a[0] bar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
especially cute is a sequence in which karen fantasizes about jack in a motel bathtub . 	especially cute is a sequence in which karen fantasizes about jack in a motel bathtub .	3	-1	 especially[0] cute[1][1 LastWordBoosterStrength] is[0] a[0] sequence[0] in[0] which[0] karen[0] fantasizes[0] about[0] jack[0] in[0] a[0] motel[0] bathtub[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
admirably supporting clooney and lopez are don cheadle as fellow felon maurice 'snoopy' miller , steve zahn as the perennially stoned glenn michaels , and dennis farina as karen's dad , who affectionately buys her a piece . 	admirably supporting clooney and lopez are don cheadle as fellow felon maurice 'snoopy' miller , steve zahn as the perennially stoned glen michaels , and dennis farina as karen's dad , who affectionately buys her a piece .	3	-1	 admirably[2] supporting[1] clooney[0] and[0] lopez[0] are[0] don[0] cheadle[0] as[0] fellow[0] felon[0] maurice[0] 'snoopy'[0] miller[0] steve[0] zahn[0] as[0] the[0] perennially[0] stoned[0] glenn/glen[0] michaels[0] and[0] dennis[0] farina[0] as[0] karen's[0] dad[0] who[0] affectionately[2] buys[0] her[0] a[0] piece[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
add a couple of uncredited cameos from " jackie brown " cast members and " out of sight " proves to be a lot of fun . 	add a couple of uncredited cameos from " jackie brown " cast members and " out of sight " proves to be a lot of fun .	2	-1	 add[0] a[0] couple[0] of[0] uncredited[0] cameos[0] from[0] jackie[0] brown[0] cast[0] members[0] and[0] out[0] of[0] sight[0] proves[0] to[0] be[0] a[0] lot[0] of[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not as hip and clever as " shorty , " perhaps , or as complex and colorful as " brown , " but loads of fun nonetheless . 	not as hip and clever as " shorty , " perhaps , or as complex and colorful as " brown , " but loads of fun nonetheless .	2	-1	 not[0] as[0] hip[0] and[0] clever[0] as[0] shorty[0] perhaps[0] or[0] as[0] complex[0] and[0] colorful[0] as[0] brown[0] but[0] loads[0] of[0] fun[1] nonetheless[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
