pulp fiction , quentin tarantino's anxiously awaited and superb follow-up to reservoir dogs , is absolutely and without a doubt progressing as one of the most talked about , loved , and hated films of all-time . 	Translation	Positive	Negative	EmotionRationale
the film begins with pumpkin and honey bunny in a small coffee shop discussing their recent robberies and hold-ups . 	the film begins with pumpkin and honey bunny in a small coffee shop discussing their recent robberies and hold-ups .	1	-2	 the[0] film[0] begins[0] with[0] pumpkin[0] and[0] honey[0] bunny[0] in[0] a[0] small[0] coffee[0] shop[0] discussing[0] their[0] recent[0] robberies[-1] and[0] hold[0] ups[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two quickly decide to hold up the coffee shop , unknowing of what lies ahead . 	the two quickly decide to hold up the coffee shop , unknowing of what lies ahead .	1	-3	 the[0] two[0] quickly[0] decide[0] to[0] hold[0] up[0] the[0] coffee[0] shop[0] unknowing[0] of[0] what[0] lies[-2] ahead[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after this , the film focuses for some time on vincent and jules and their hit man lifestyle . 	after this , the film focuses for some time on vincent and jules and their hit man lifestyle .	1	-1	 after[0] this[0] the[0] film[0] focuses[0] for[0] some[0] time[0] on[0] vincent[0] and[0] jules[0] and[0] their[0] hit[0] man[0] lifestyle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
utilizing the films unforgettable dialogue , the two men discuss such things as hamburgers and foot massages before they bust into an apartment to terrorize the occupants . 	utilizing the films unforgettable dialogue , the two men discuss such things as hamburgers and foot massages before they bust into an apartment to terrorize the occupants .	1	-3	 utilizing[0] the[0] films[0] unforgettable[0] dialogue[0] the[0] two[0] men[0] discuss[0] such[0] things[0] as[0] hamburgers[0] and[0] foot[0] massages[0] before[0] they[0] bust[0] into[0] an[0] apartment[0] to[0] terrorize[-2] the[0] occupants[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two men were sent to the apartment to recover a mysterious briefcase for their boss , marsellus wallace . 	the two men were sent to the apartment to recover a mysterious briefcase for their boss , marsellus wallace .	1	-1	 the[0] two[0] men[0] were[0] sent[0] to[0] the[0] apartment[0] to[0] recover[0] a[0] mysterious[0] briefcase[0] for[0] their[0] boss[0] marsellus[0] wallace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after basically toying with the men , especially the unfortunate brett ( frank whaley ) , vincent and jules complete their mission and recover the briefcase . 	after basically toying with the men , especially the unfortunate brett ( frank whaley ) , vincent and jules complete their mission and recover the briefcase .	1	-2	 after[0] basically[0] toying[0] with[0] the[0] men[0] especially[0] the[0] unfortunate[-1] brett[0] frank[0] whaley[0] vincent[0] and[0] jules[0] complete[0] their[0] mission[0] and[0] recover[0] the[0] briefcase[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is not before a man jumps out from a bathroom with a . 357 	this is not before a man jumps out from a bathroom with a .<br> 357	1	-1	 this[0] is[0] not[0] before[0] a[0] man[0] jumps[0] out[0] from[0] a[0] bathroom[0] with[0] a[0] [[Sentence=-1,1=word max, 1-5]] 357[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " hand cannon " , shooting at the two gangsters . 	 " hand cannon " , shooting at the two gangsters .	1	-2	 hand[0] cannon[-1] shooting[-1] at[0] the[0] two[0] gangsters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he somehow completely misses them , leading jules to cite divine intervention . 	he somehow completely misses them , leading jules to cite divine intervention .	2	-4	 he[0] somehow[0] completely[0] misses[-2][-1 LastWordBoosterStrength] them[0] leading[0] jules[0] to[0] cite[0] divine[1] intervention[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is also the basis for more of the now-famous tarantino dialogue . 	this is also the basis for more of the now-famous tarantino dialogue .	1	-1	 this[0] is[0] also[0] the[0] basis[0] for[0] more[0] of[0] the[0] now[0] famous[0] tarantino[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film then shifts to focus on boxer butch coolidge and his boxing escapades . 	the film then shifts to focus on boxer butch coolidge and his boxing escapades .	1	-1	 the[0] film[0] then[0] shifts[0] to[0] focus[0] on[0] boxer[0] butch[0] coolidge[0] and[0] his[0] boxing[0] escapades[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
butch was ordered to take a fall in his latest fight , but when he does not , marsellus vows to find him , wherever he is , and make sure that butch is not able to enjoy his new fortune . 	butch was ordered to take a fall in his latest fight , but when he does not , marsellus vows to find him , wherever he is , and make sure that butch is not able to enjoy his new fortune .	3	-3	 butch[0] was[0] ordered[0] to[0] take[0] a[0] fall[0] in[0] his[0] latest[0] fight[-2] but[0] when[0] he[0] does[0] not[0] marsellus[0] vows[0] to[0] find[0] him[0] wherever[0] he[0] is[0] and[0] make[0] sure[0] that[0] butch[0] is[0] not[0] able[0] to[0] enjoy[2] his[0] new[0] fortune[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
vincent , meanwhile , has the honor of taking marsellus' wife , mia , out on a date while the big man is out of town . 	vincent , meanwhile , has the honor of taking marsellus' wife , mia , out on a date while the big man is out of town .	1	-1	 vincent[0] meanwhile[0] has[0] the[0] honor[0] of[0] taking[0] marsellus'[0] wife[0] mia[0] out[0] on[0] a[0] date[0] while[0] the[0] big[0] man[0] is[0] out[0] of[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vincent , obviously , is rather nervous about this , especially after hearing the tale about a man who was thrown out of a window for supposedly giving mia a foot massage . 	vincent , obviously , is rather nervous about this , especially after hearing the tale about a man who was thrown out of a window for supposedly giving mia a foot massage .	1	-3	 vincent[0] obviously[0] is[0] rather[0] nervous[-2] about[0] this[0] especially[0] after[0] hearing[0] the[0] tale[0] about[0] a[0] man[0] who[0] was[0] thrown[0] out[0] of[0] a[0] window[0] for[0] supposedly[0] giving[0] mia[0] a[0] foot[0] massage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after their date , which seems to rather smoothly , things take a turn for the worst at the hands of vincent's high-priced heroin , dubbed a " monster " by lance . 	after their date , which seems to rather smoothly , things take a turn for the worst at the hands of vincent's high-priced heroin , dubbed a " monster " by lance .	3	-3	 after[0] their[0] date[0] which[0] seems[0] to[0] rather[0] smoothly[0] things[0] take[0] a[0] turn[0] for[0] the[0] worst[-2] at[0] the[0] hands[0] of[0] vincent's[0] high[0] priced[0] heroin[2] dubbed[0] a[0] monster[-1] by[0] lance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
each story continually progresses , and new and amazing events occur . 	each story continually progresses , and new and amazing events occur .	3	-1	 each[0] story[0] continually[0] progresses[0] and[0] new[0] and[0] amazing[2] events[0] occur[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
eventually , the stories all meet each other in the end , with pumpkin and honey bunny holding up the restaurant , which happens to contain both vincent and jules . 	eventually , the stories all meet each other in the end , with pumpkin and honey bunny holding up the restaurant , which happens to contain both vincent and jules .	1	-1	 eventually[0] the[0] stories[0] all[0] meet[0] each[0] other[0] in[0] the[0] end[0] with[0] pumpkin[0] and[0] honey[0] bunny[0] holding[0] up[0] the[0] restaurant[0] which[0] happens[0] to[0] contain[0] both[0] vincent[0] and[0] jules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pulp fiction is definitely one of the best films of the decade , and possibly of all-time . 	pulp fiction is definitely one of the best films of the decade , and possibly of all-time .	2	-1	 pulp[0] fiction[0] is[0] definitely[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] decade[0] and[0] possibly[0] of[0] all[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along with its superb dialogue , action , writing , directing , and acting , this film will not only latch onto you , but it proves that it does not want to release you until it has sunk its claws completely into you . 	along with its superb dialogue , action , writing , directing , and acting , this film will not only latch onto you , but it proves that it does not want to release you until it has sunk its claws completely into you .	1	-1	 along[0] with[0] its[0] superb[0] dialogue[0] action[0] writing[0] directing[0] and[0] acting[0] this[0] film[0] will[0] not[0] only[0] latch[0] onto[0] you[0] but[0] it[0] proves[0] that[0] it[0] does[0] not[0] want[0] to[0] release[0] you[0] until[0] it[0] has[0] sunk[0] its[0] claws[0] completely[0] into[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and with most fans of this movie , this is proved to be a rather easy task , although at times the graphic images , violence , and language may seem a bit overpowering . 	and with most fans of this movie , this is proved to be a rather easy task , although at times the graphic images , violence , and language may seem a bit overpowering .	1	-4	 and[0] with[0] most[0] fans[0] of[0] this[0] movie[0] this[0] is[0] proved[0] to[0] be[0] a[0] rather[0] easy[0] task[0] although[0] at[0] times[0] the[0] graphic[0] images[0] violence[-3] and[0] language[0] may[0] seem[0] a[0] bit[0] overpowering[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
surely , quentin tarantino's fame was greatly escalated by this film , and he proves not to be one who will fade from existence very soon . 	surely , quentin tarantino's fame was greatly escalated by this film , and he proves not to be one who will fade from existence very soon .	3	-1	 surely[0] quentin[0] tarantino's[0] fame[0] was[0] greatly[2] escalated[0] by[0] this[0] film[0] and[0] he[0] proves[0] not[0] to[0] be[0] one[0] who[0] will[0] fade[0] from[0] existence[0] very[0] soon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
