[note that followups are directed to rec . arts . movies . current-films and rec . arts . movies . startrek . current 	Translation	Positive	Negative	EmotionRationale
this is an interesting plotline that is sure to mesmerize trekkers everywhere and engage everyone else , but , unfortunately , it only makes up the star trek half of the script by brannon braga and ronald d . moore . 	this is an interesting plotline that is sure to mesmerize trekers everywhere and engage everyone else , but , unfortunately , it only makes up the star trek half of the script by brannon braga and ronald d .<br> more .	2	-2	 this[0] is[0] an[0] interesting[1] plotline[0] that[0] is[0] sure[0] to[0] mesmerize[0] trekkers/trekers[0] everywhere[0] and[0] engage[0] everyone[0] else[0] but[0] unfortunately[-1] it[0] only[0] makes[0] up[0] the[0] star[0] trek[0] half[0] of[0] the[0] script[0] by[0] brannon[0] braga[-1] and[0] ronald[0] d[0] [[Sentence=-2,2=word max, 1-5]] moore/more[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
the other half of the title--first contact--refers to a subplot that takes place on 21st-century earth , where riker , troi , and laforge meet legendary scientist zephram cochran ( james cromwell ) , who is about to embark on the first warp speed flight in human history , which directly leads to the first contact with extraterrestrials . 	the other half of the title-first contact-refers to a subplot that takes place on 21st-century earth , where riker , troi , and laforge meet legendary scientist zephram cochran ( james cromwell ) , who is about to embark on the first warp speed flight in human history , which directly leads to the first contact with extraterrestrials .	1	-2	 the[0] other[0] half[0] of[0] the[0] title[0] first[0] contact[0] refers[0] to[0] a[0] subplot[0] that[0] takes[0] place[0] on[0] 21st[0] century[0] earth[0] where[0] riker[0] troi[0] and[0] laforge[0] meet[0] legendary[0] scientist[0] zephram[0] cochran[0] james[0] cromwell[0] who[0] is[0] about[0] to[0] embark[0] on[0] the[0] first[0] warp[-1] speed[0] flight[0] in[0] human[0] history[0] which[0] directly[0] leads[0] to[0] the[0] first[0] contact[0] with[0] extraterrestrials[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this story does tie into the main plot and pays off interestingly in the end , it is nowhere near as involving or exciting as the borg battles on the enterprise . 	while this story does tie into the main plot and pays off interestingly in the end , it is nowhere near as involving or exciting as the borg battles on the enterprise .	3	-2	 while[0] this[0] story[0] does[0] tie[0] into[0] the[0] main[0] plot[0] and[0] pays[0] off[0] interestingly[1] in[0] the[0] end[0] it[0] is[0] nowhere[0] near[0] as[0] involving[0] or[0] exciting[2] as[0] the[0] borg[0] battles[-1] on[0] the[0] enterprise[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
not helping matters is the tiresome cochran character , an eccentric whose drunken schtick starts out funny but becomes too one-note after a while . 	not helping matters is the tiresome cochran character , an eccentric whose drunken schtick starts out funny but becomes too one-note after a while .	2	-2	 not[0] helping[0] matters[0] is[0] the[0] tiresome[-1] cochran[0] character[0] an[0] eccentric[-1] whose[0] drunken[-1] schtick[0] starts[0] out[0] funny[1] but[0] becomes[0] too[0] one[0] note[0] after[0] a[0] while[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the end , though , the first contact subplot doesn't detract from the enjoyment of the film as a whole . 	in the end , though , the first contact subplot doesn't detract from the enjoyment of the film as a whole .	3	-2	 in[0] the[0] end[0] though[0] the[0] first[0] contact[0] subplot[0] doesn't[0] detract[-1] from[0] the[0] enjoyment[2] of[0] the[0] film[0] as[0] a[0] whole[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story is typical sci-fi fantasy , but the conviction of the cast--most notably the always-phenomenal stewart--makes you believe and care . 	the story is typical sci-fi fantasy , but the conviction of the cast-most notably the always-phenomenal stewart-makes you believe and care .	2	-2	 the[0] story[0] is[0] typical[0] sci[0] fi[0] fantasy[0] but[0] the[0] conviction[-1] of[0] the[0] cast[0] most[0] notably[0] the[0] always[0] phenomenal[0] stewart[0] makes[0] you[0] believe[0] and[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
frakes , making his feature directorial debut , keeps the action swiftly rolling along and delivers the action goods , even upping the violence a notch ( this is the first trek film to bear a pg-13 rating ) to greater effect . 	frakes , making his feature directorial debut , keeps the action swiftly rolling along and delivers the action goods , even upping the violence a notch ( this is the first trek film to bear a pg-13 rating ) to greater effect .	3	-4	 frakes[0] making[0] his[0] feature[0] directorial[0] debut[0] keeps[0] the[0] action[0] swiftly[0] rolling[0] along[0] and[0] delivers[0] the[0] action[0] goods[0] even[0] upping[0] the[0] violence[-3] a[0] notch[0] this[0] is[0] the[0] first[0] trek[0] film[0] to[0] bear[0] a[0] pg[0] -13[0] rating[0] to[0] greater[2] effect[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
st : fc has a bigger budget than the last trek outing , the middling star trek generations , and it definitely shows on screen--the production design and especially visual and makeup effects are outstanding ( in particular those involving the borg queen ) . 	st : fc has a bigger budget than the last trek outing , the middling star trek generations , and it definitely shows on screen-the production design and especially visual and makeup effects are outstanding ( in particular those involving the borg queen ) .	3	-1	 st[0] fc[0] has[0] a[0] bigger[0] budget[0] than[0] the[0] last[0] trek[0] outing[0] the[0] middling[0] star[0] trek[0] generations[0] and[0] it[0] definitely[0] shows[0] on[0] screen[0] the[0] production[0] design[0] and[0] especially[0] visual[0] and[0] makeup[0] effects[0] are[0] outstanding[2] in[0] particular[0] those[0] involving[0] the[0] borg[0] queen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
braga and moore's mostly sharp script will please both trek devotees and the rest ; the references to the borg storyline in the tv series , the continuity with the previous film ( e . g . 	braga and moore's mostly sharp script will please both trek devotees and the rest ; the references to the borg storyline in the tv series , the continuity with the previous film ( e .<br> grin� .	3	-2	 braga[-1] and[0] moore's[0] mostly[0] sharp[0] script[0] will[0] please[1] both[0] trek[0] devotees[2] and[0] the[0] rest[0] the[0] references[0] to[0] the[0] borg[0] storyline[0] in[0] the[0] tv[0] series[0] the[0] continuity[0] with[0] the[0] previous[0] film[0] e[0] [[Sentence=-2,3=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
the ongoing saga of data's emotion chip ) , and a fleeting star trek : voyager crossover will make trekkers squeal with delight , but such points are made easily accessible to those less familiar to the trek mythos . 	the ongoing saga of data's emotion chip ) , and a fleeting star trek : voyager crossover will make trekers squeal with delight , but such points are made easily accessible to those less familiar to the trek mythos .	3	-2	 the[0] ongoing[0] saga[-1] of[0] data's[0] emotion[0] chip[0] and[0] a[0] fleeting[-1] star[0] trek[0] voyager[0] crossover[0] will[0] make[0] trekkers/trekers[0] squeal[0] with[0] delight[2] but[0] such[0] points[0] are[0] made[0] easily[0] accessible[0] to[0] those[0] less[0] familiar[0] to[0] the[0] trek[0] mythos[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
paramount was reportedly worried about the staying power of its trek franchise with the next generation cast now carrying the helm . 	paramount was reportedly worried about the staying power of its trek franchise with the next generation cast now carrying the helm .	1	-4	 paramount[0] was[0] reportedly[0] worried[-3] about[0] the[0] staying[0] power[0] of[0] its[0] trek[0] franchise[0] with[0] the[0] next[0] generation[0] cast[0] now[0] carrying[0] the[0] helm[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
based on the entertaining success that is star trek : first contact , i'd say the studio has nothing to worry about ( at least not until this cast retires and the crew of the wan star trek : deep space nine takes over . . . ) . 	based on the entertaining success that is star trek : first contact , i'd say the studio has nothing to worry about ( at least not until this cast retires and the crew of the wan star trek : deep space nine takes over .<br> .<br> .<br> ) .	3	-4	 based[0] on[0] the[0] entertaining[0] success[2] that[0] is[0] star[0] trek[0] first[0] contact[0] i'd[0] say[0] the[0] studio[0] has[0] nothing[0] to[0] worry[-3] about[0] at[0] least[0] not[0] until[0] this[0] cast[0] retires[-1] and[0] the[0] crew[0] of[0] the[0] wan[0] star[0] trek[0] deep[0] space[0] nine[0] takes[0] over[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
