as feel-good formulaic as it may be in its own way , shall we dance ? 	Translation	Positive	Negative	EmotionRationale
it's a forced message in a story which doesn't need such a culture-specific angle . 	it's a forced message in a story which doesn't need such a culture-specific angle .	1	-1	 it's[0] a[0] forced[0] message[0] in[0] a[0] story[0] which[0] doesn't[0] need[0] such[0] a[0] culture[0] specific[0] angle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dance school in shall we dance ? 	the dance school in shall we dance ?	1	-1	 the[0] dance[0] school[0] in[0] shall[0] we[0] dance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plays the role of a singles' mixer , with everyone vaguely embarrassed to be there yet taking the opportunity to try on new personalities . 	plays the role of a singles' mixer , with everyone vaguely embarrassed to be there yet taking the opportunity to try on new personalities .	2	-3	 plays[1] the[0] role[0] of[0] a[0] singles'[0] mixer[0] with[0] everyone[0] vaguely[-1] embarrassed[-2] to[0] be[0] there[0] yet[0] taking[0] the[0] opportunity[0] to[0] try[0] on[0] new[0] personalities[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
most amusing among these new personalities is the one adopted by sugiyama's co-worker mr . aoki ( naoto takenaka ) , a balding systems analyst who becomes a fiery latin lover when he dons a frizzy wig and begins to rumba . 	most amusing among these new personalities is the one adopted by sugiyama's co-worker mr .<br> aoki ( naoto takenaka ) , a balding systems analyst who becomes a fiery latin lover when he dons a frizy wig and begins to rumba .	4	-2	 most[0] amusing[1] among[0] these[0] new[0] personalities[0] is[0] the[0] one[0] adopted[0] by[0] sugiyama's[0] co[0] worker[0] mr[0] [[Sentence=-1,2=word max, 1-5]] aoki[0] naoto[0] takenaka[0] a[0] balding[0] systems[0] analyst[0] who[0] becomes[0] a[0] fiery[-1] latin[0] lover[3] when[0] he[0] dons[0] a[0] frizzy/frizy[0] wig[0] and[0] begins[0] to[0] rumba[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
sugiyama's awakening is less overt , but koji yakusho does a wonderful job showing a transformation of small steps . 	sugiyama's awakening is less overt , but koji yakusho does a wonderful job showing a transformation of small steps .	3	-1	 sugiyama's[0] awakening[0] is[0] less[0] overt[0] but[0] koji[0] yakusho[0] does[0] a[0] wonderful[2] job[0] showing[0] a[0] transformation[0] of[0] small[0] steps[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a delicate performance with a huge heart . 	it's a delicate performance with a huge heart .	1	-1	 it's[0] a[0] delicate[0] performance[0] with[0] a[0] huge[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shall we dance ? 	shall we dance ?	1	-1	 shall[0] we[0] dance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is a fairly lightweight experience , which makes its final half hour rather a long sit . 	is a fairly lightweight experience , which makes its final half hour rather a long sit .	1	-1	 is[0] a[0] fairly[0] lightweight[0] experience[0] which[0] makes[0] its[0] final[0] half[0] hour[0] rather[0] a[0] long[0] sit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suo crams a lot of exposition into very little time , including an unnecessarily detailed back-story for mai , resulting in a sluggish march towards the resolution . 	suo crams a lot of exposition into very little time , including an unnecessarily detailed back-story for mai , resulting in a sluggish march towards the resolution .	1	-2	 suo[0] crams[0] a[0] lot[0] of[0] exposition[0] into[0] very[0] little[0] time[0] including[0] an[0] unnecessarily[-1] detailed[0] back[0] story[0] for[0] mai[0] resulting[0] in[0] a[0] sluggish[-1] march[0] towards[0] the[0] resolution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is here that shall we dance ? 	it is here that shall we dance ?	1	-1	 it[0] is[0] here[0] that[0] shall[0] we[0] dance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
feels most hollywood-conventional , attempting to blind-side the audience with a truckload of emotional catharsis . 	feels most hollywood-conventional , attempting to blind-side the audience with a truckload of emotional catharsis .	1	-2	 feels[0] most[0] hollywood[0] conventional[0] attempting[0] to[0] blind[-1] side[0] the[0] audience[0] with[0] a[0] truckload[0] of[0] emotional[-1] catharsis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suo might have been better advised to conclude with the small gem of a scene in which sugiyama and his wife take their first tentative dance steps together . 	suo might have been better advised to conclude with the small gem of a scene in which sugiyama and his wife take their first tentative dance steps together .	1	-1	 suo[0] might[0] have[0] been[0] better[0] advised[0] to[0] conclude[0] with[0] the[0] small[0] gem[0] of[0] a[0] scene[0] in[0] which[0] sugiyama[0] and[0] his[0] wife[0] take[0] their[0] first[0] tentative[0] dance[0] steps[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's the real joy of dance shall we dance ? 	that's the real joy of dance shall we dance ?	3	-1	 that's[0] the[0] real[0] joy[2] of[0] dance[0] shall[0] we[0] dance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
conveys : its ability to create an intoxicating mood of romance which can soften the stiffest shirt . 	conveys : its ability to create an intoxicating mood of romance which can soften the stiffest shirt .	4	-1	 conveys[0] its[0] ability[0] to[0] create[0] an[0] intoxicating[0] mood[0] of[0] romance[3] which[0] can[0] soften[0] the[0] stiffest[0] shirt[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
