steve martin took an extended vacation from all facets of moviemaking a few years back ; he spent this time writing essays and short stories for " the new yorker , " several of which wound up in his hilarious hardback compilation , pure drivel ( 1998 ) . 	Translation	Positive	Negative	EmotionRationale
when he goes to mind head with tales of caucasian strangers appearing from nowhere to babble " white code " in his face , they fear the nervous breakdown of an important client and rush him off to a retreat , requiring bowfinger to find a stand-in . 	when he goes to mind head with tales of caucasian strangers appearing from nowhere to babble " white code " in his face , they fear the nervous breakdown of an important client and rush him off to a retreat , requiring bowfinger to find a stand-in .	1	-4	 when[0] he[0] goes[0] to[0] mind[0] head[0] with[0] tales[0] of[0] caucasian[0] strangers[0] appearing[0] from[0] nowhere[0] to[0] babble[-1] white[0] code[0] in[0] his[0] face[0] they[0] fear[-3] the[0] nervous[-2] breakdown[-1] of[0] an[0] important[0] client[0] and[0] rush[0] him[0] off[0] to[0] a[0] retreat[-1] requiring[0] bowfinger[0] to[0] find[0] a[0] stand[0] in[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
murphy will probably win more fans as jiff , ramsey's adorable , ignoramus double , than as kit , but it is his portrayal of the latter that took courage . 	murphy will probably win more fans as jiff , ramsey's adorable , ignoramus double , than as kit , but it is his portrayal of the latter that took courage .	4	-3	 murphy[0] will[0] probably[0] win[0] more[0] fans[0] as[0] jiff[0] ramsey's[0] adorable[3] ignoramus[-2] double[0] than[0] as[0] kit[0] but[0] it[0] is[0] his[0] portrayal[0] of[0] the[0] latter[0] that[0] took[0] courage[1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
always surrounded by an entourage , suffering from a racial inferiority complex , murphy plays right into the tabloid image of himself . 	always surrounded by an entourage , suffering from a racial inferiority complex , murphy plays right into the tabloid image of himself .	2	-4	 always[0] surrounded[0] by[0] an[0] entourage[0] suffering[-3] from[0] a[0] racial[0] inferiority[-1] complex[0] murphy[0] plays[1] right[0] into[0] the[0] tabloid[0] image[0] of[0] himself[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
furthermore , consider the enemies he'll make of popular scientologists . 	furthermore , consider the enemies he'll make of popular scientologists .	1	-2	 furthermore[0] consider[0] the[0] enemies[-1] he'll[0] make[0] of[0] popular[0] scientologists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pacing stricter's neutral-coloured office as if on an amphetamine binge and stripped of his bigshot veneer , ramsey is asked to shout inane personal affirmations repeatedly . 	pacing stricter's neutral-coloured office as if on an amphetamine binge and stripped of his bigshot veneer , ramsey is asked to shout inane personal affirmations repeatedly .	1	-2	 pacing[0] stricter's[-1] neutral[0] coloured[0] office[0] as[0] if[0] on[0] an[0] amphetamine[0] binge[0] and[0] stripped[0] of[0] his[0] bigshot[0] veneer[0] ramsey[0] is[0] asked[0] to[0] shout[0] inane[-1] personal[0] affirmations[0] repeatedly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
murphy's scenes with stamp are exactly what i imagine of a john travolta " clearing . " 	murphy's scenes with stamp are exactly what i imagine of a john travolta " clearing .<br> "	1	-1	 murphy's[0] scenes[0] with[0] stamp[0] are[0] exactly[0] what[0] i[0] imagine[0] of[0] a[0] john[0] travolta[0] clearing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not that murphy is entirely responsible for this schtick ; bowfinger is steve martin's invention . 	not that murphy is entirely responsible for this schtick ; bowfinger is steve martin's invention .	1	-1	 not[0] that[0] murphy[0] is[0] entirely[0] responsible[0] for[0] this[0] schtick[0] bowfinger[0] is[0] steve[0] martin's[0] invention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his script is surprisingly clever as satire , given that the pseudo-religion is a sitting duck , as is the entire los angeles film industry . 	his script is surprisingly clever as satire , given that the pseudo-religion is a sitting duck , as is the entire los angeles film industry .	1	-1	 his[0] script[0] is[0] surprisingly[0] clever[0] as[0] satire[0] given[0] that[0] the[0] pseudo[0] religion[0] is[0] a[0] sitting[0] duck[0] as[0] is[0] the[0] entire[0] los[0] angeles[0] film[0] industry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the griffin mill-types take quite a beating , in the form of robert downey jr . as bigwig jerry renfro . ) 	 ( the griffin mill-types take quite a beating , in the form of robert downey jr .<br> as bigwig jerry renfro .<br> )	1	-1	 the[0] griffin[0] mill[0] types[0] take[0] quite[0] a[0] beating[0] in[0] the[0] form[0] of[0] robert[0] downey[0] jr[0] [[Sentence=-1,1=word max, 1-5]] as[0] bigwig[0] jerry[0] renfro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
martin's decision to tell the story from a bottom feeder's point of view is what keeps it fresh and innovative-never have we seen on screen a group of people struggle this hard to complete a motion picture . 	martin's decision to tell the story from a bottom feeder's point of view is what keeps it fresh and innovative-never have we seen on screen a group of people struggle this hard to complete a motion picture .	1	-2	 martin's[0] decision[0] to[0] tell[0] the[0] story[0] from[0] a[0] bottom[0] feeder's[0] point[0] of[0] view[0] is[0] what[0] keeps[0] it[0] fresh[0] and[0] innovative[0] never[0] have[0] we[0] seen[0] on[0] screen[0] a[0] group[0] of[0] people[0] struggle[-1] this[0] hard[0] to[0] complete[0] a[0] motion[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as expected , there are laughs only to be had insiders or buffs , such as martin's crew of mexican border-jumpers , who gain unexpected appreciation for the classics from reading " cahiers du cinema , " or martin's nonsensical explanation to dave , his loyal cinematographer ( jamie kennedy ) , that every movie , in the end , has a budget of two-thousand dollars ( ! ) . 	as expected , there are laughs only to be had insiders or buffs , such as martin's crew of mexican border-jumpers , who gain unexpected appreciation for the classics from reading " cahiers du cinema , " or martin's nonsensical explanation to dave , his loyal cinematographer ( jamie kennedy ) , that every movie , in the end , has a budget of two-thousand dollars ( !<br> ) .	2	-2	 as[0] expected[0] there[0] are[0] laughs[1] only[0] to[0] be[0] had[0] insiders[0] or[0] buffs[0] such[0] as[0] martin's[0] crew[0] of[0] mexican[0] border[0] jumpers[0] who[0] gain[0] unexpected[0] appreciation[1] for[0] the[0] classics[0] from[0] reading[0] cahiers[0] du[0] cinema[0] or[0] martin's[0] nonsensical[-1] explanation[0] to[0] dave[0] his[0] loyal[1] cinematographer[0] jamie[0] kennedy[0] that[0] every[0] movie[0] in[0] the[0] end[0] has[0] a[0] budget[0] of[0] two[0] thousand[0] dollars[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most of bowfinger is universally funny , however ; i defy any viewer to keep a straight face when christine baranski , one of our brightest comediennes , is on screen . 	most of bowfinger is universally funny , however ; i defy any viewer to keep a straight face when christine baranski , one of our brightest comediennes , is on screen .	2	-2	 most[0] of[0] bowfinger[0] is[0] universally[0] funny[1] however[0] i[0] defy[-1] any[0] viewer[0] to[0] keep[0] a[0] straight[0] face[0] when[0] christine[0] baranski[0] one[0] of[0] our[0] brightest[0] comediennes[0] is[0] on[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bowfinger's main flaw is a plot twist that has an insubstantial aftermath . 	bowfinger's main flaw is a plot twist that has an insubstantial aftermath .	1	-2	 bowfinger's[0] main[0] flaw[-1] is[0] a[0] plot[0] twist[0] that[0] has[0] an[0] insubstantial[0] aftermath[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're also asked to believe that a few simple close-ups of kit ramsey would redeem " chubby rain , " z-grade entertainment that would make ed wood blush . 	we're also asked to believe that a few simple close-ups of kit ramsey would redeem " chubby rain , " z-grade entertainment that would make ed wood blush .	1	-1	 we're[0] also[0] asked[0] to[0] believe[0] that[0] a[0] few[0] simple[0] close[0] ups[0] of[0] kit[0] ramsey[0] would[0] redeem[0] chubby[0] rain[0] z[0] grade[0] entertainment[0] that[0] would[0] make[0] ed[0] wood[0] blush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( this aspect of bowfinger has much in common with the ludicrous oscar sequence in oz's last directorial effort , the poorly conceived in & out . ) 	 ( this aspect of bowfinger has much in common with the ludicrous oscar sequence in oz's last directorial effort , the poorly conceived in & out .<br> )	1	-3	 this[0] aspect[0] of[0] bowfinger[0] has[0] much[0] in[0] common[0] with[0] the[0] ludicrous[-2] oscar[0] sequence[0] in[0] oz's[0] last[0] directorial[0] effort[0] the[0] poorly[-1] conceived[0] in[0] &[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these are significant enough weaknesses that they distracted from my enjoyment of the piece . 	these are significant enough weaknesses that they distracted from my enjoyment of the piece .	3	-2	 these[0] are[0] significant[0] enough[0] weaknesses[-1] that[0] they[0] distracted[-1] from[0] my[0] enjoyment[2] of[0] the[0] piece[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as i mentioned at the start of this review , bowfinger offers solid reasons not to do what heather graham's character daisy does : hop a bus to hollywood in search of stardom . 	as i mentioned at the start of this review , bowfinger offers solid reasons not to do what heather graham's character daisy does : hop a bus to hollywood in search of stardom .	1	-1	 as[0] i[0] mentioned[0] at[0] the[0] start[0] of[0] this[0] review[0] bowfinger[0] offers[0] solid[0] reasons[0] not[0] to[0] do[0] what[0] heather[0] graham's[0] character[0] daisy[0] does[0] hop[0] a[0] bus[0] to[0] hollywood[0] in[0] search[0] of[0] stardom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that said , it offers one fantastic reason to get on that bus : the sense of community between filmmakers who gel is awesome . 	that said , it offers one fantastic reason to get on that bus : the sense of community between filmmakers who gel is awesome .	3	-1	 that[0] said[0] it[0] offers[0] one[0] fantastic[2] reason[0] to[0] get[0] on[0] that[0] bus[0] the[0] sense[0] of[0] community[0] between[0] filmmakers[0] who[0] gel[0] is[0] awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
martin gets sentimental by story's end as he did in l . a . story , and how could he not ? 	martin gets sentimental by story's end as he did in l .<br> a .<br> story , and how could he not ?	3	-1	 martin[0] gets[0] sentimental[2] by[0] story's[0] end[0] as[0] he[0] did[0] in[0] l[0] [[Sentence=-1,3=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] story[0] and[0] how[0] could[0] he[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
for those who can hack it , the movies might be the greatest business in the world . 	for those who can hack it , the movies might be the greatest business in the world .	3	-2	 for[0] those[0] who[0] can[0] hack[-1] it[0] the[0] movies[0] might[0] be[0] the[0] greatest[2] business[0] in[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
