i think that any competent member of the human race who's ever seen a movie--any movie--could probably predict just about every turn in the wedding singer . 	Translation	Positive	Negative	EmotionRationale
and if anyone making this film expected us to , like , feel suspense or something while watching the wedding singer , then they truly underestimated their audience . 	and if anyone making this film expected us to , like , feel suspense or something while watching the wedding singer , then they truly underestimated their audience .	2	-1	 and[0] if[0] anyone[0] making[0] this[0] film[0] expected[0] us[0] to[0] like[1] feel[0] suspense[0] or[0] something[0] while[0] watching[0] the[0] wedding[0] singer[0] then[0] they[0] truly[1] underestimated[0] their[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what makes the story bearable , aside from the terrific costumes and 80s music , are the performances . 	what makes the story bearable , aside from the terrific costumes and 80s music , are the performances .	4	-1	 what[0] makes[0] the[0] story[0] bearable[0] aside[0] from[0] the[0] terrific[3] costumes[0] and[0] 80s[0] music[0] are[0] the[0] performances[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
barrymore is simply adorable here ( i've never seen her look so close to the way she did in et ) . 	barrymore is simply adorable here ( i've never seen her look so close to the way she did in et ) .	4	-1	 barrymore[0] is[0] simply[0] adorable[3] here[0] i've[0] never[0] seen[0] her[0] look[0] so[0] close[0] to[0] the[0] way[0] she[0] did[0] in[0] et[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
not only is she pleasant to look at , but her acting job here really is a good one--and it doesn't hurt that the character is likable and adequately well-written . 	not only is she pleasant to look at , but her acting job here really is a good one-and it doesn't hurt that the character is likable and adequately well-written .	3	-3	 not[0] only[0] is[0] she[0] pleasant[2] to[0] look[0] at[0] but[0] her[0] acting[0] job[0] here[0] really[0] is[0] a[0] good[1] one[0] and[0] it[0] doesn't[0] hurt[-2] that[0] the[0] character[0] is[0] likable[0] and[0] adequately[0] well[0] written[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and the jerk , played in full-force by graves , is just as despicable as any villain in any romantic comedy i've ever seen . 	and the jerk , played in full-force by graves , is just as despicable as any villain in any romantic comedy i've ever seen .	4	-4	 and[0] the[0] jerk[-2] played[0] in[0] full[0] force[-1] by[0] graves[-2] is[0] just[0] as[0] despicable[-3] as[0] any[0] villain[-2] in[0] any[0] romantic[3] comedy[0] i've[0] ever[0] seen[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
naturally , the true star here is sandler . 	naturally , the true star here is sandler .	2	-1	 naturally[0] the[0] true[1] star[0] here[0] is[0] sandler[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think the guy is flat-out hilarious . 	i think the guy is flat-out hilarious .	3	-1	 i[0] think[0] the[0] guy[0] is[0] flat[0] out[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he can say something that just isn't funny , and his delivery makes me laugh . 	he can say something that just isn't funny , and his delivery makes me laugh .	2	-2	 he[0] can[0] say[0] something[0] that[0] just[0] isn't[0] funny[1][NegatedDueToPreviousWord] and[0] his[0] delivery[0] makes[0] me[0] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his comedic performance here equals that of happy gilmore , but in this film he goes much further and proves to me that he can , indeed , hold his own as a leading man in a romantic comedy . 	his comedic performance here equals that of happy gilmore , but in this film he goes much further and proves to me that he can , indeed , hold his own as a leading man in a romantic comedy .	4	-1	 his[0] comedic[0] performance[0] here[0] equals[0] that[0] of[0] happy[1] gilmore[0] but[0] in[0] this[0] film[0] he[0] goes[0] much[0] further[0] and[0] proves[0] to[0] me[0] that[0] he[0] can[0] indeed[0] hold[0] his[0] own[0] as[0] a[0] leading[0] man[0] in[0] a[0] romantic[3] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
whereas his roles in his previous films kind of had sandler playing sandler , the wedding singer gives him a character that , for the first time , he actually has to fit into . 	whereas his roles in his previous films kind of had sandler playing sandler , the wedding singer gives him a character that , for the first time , he actually has to fit into .	2	-1	 whereas[0] his[0] roles[0] in[0] his[0] previous[0] films[0] kind[1] of[0] had[0] sandler[0] playing[1] sandler[0] the[0] wedding[0] singer[0] gives[0] him[0] a[0] character[0] that[0] for[0] the[0] first[0] time[0] he[0] actually[0] has[0] to[0] fit[0] into[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as far as i'm concerned he succeeded , and this film is testimony that he does , in fact , have some range in his talents . 	as far as i'm concerned he succeeded , and this film is testimony that he does , in fact , have some range in his talents .	3	-2	 as[0] far[0] as[0] i'm[0] concerned[-1] he[0] succeeded[2] and[0] this[0] film[0] is[0] testimony[0] that[0] he[0] does[0] in[0] fact[0] have[0] some[0] range[0] in[0] his[0] talents[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and the movie is just so funny . 	and the movie is just so funny .	2	-1	 and[0] the[0] movie[0] is[0] just[0] so[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps the best moment is when he sings a song for julia that he claims is a little uneven because he began writing it while in a good mood and finished it after his fianc ? e abandoned him . 	perhaps the best moment is when he sings a song for julia that he claims is a little uneven because he began writing it while in a good mood and finished it after his fianc ?<br> e abandoned him .	2	-2	 perhaps[0] the[0] best[1] moment[0] is[0] when[0] he[0] sings[0] a[0] song[0] for[0] julia[0] that[0] he[0] claims[0] is[0] a[0] little[0] uneven[-1] because[0] he[0] began[0] writing[0] it[0] while[0] in[0] a[0] good[1] mood[0] and[0] finished[0] it[0] after[0] his[0] fianc[0] [[Sentence=-2,2=word max, 1-5]] e[0] abandoned[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
this is the part that literally had me groping for a breath of air . 	this is the part that literally had me groping for a breath of air .	1	-1	 this[0] is[0] the[0] part[0] that[0] literally[0] had[0] me[0] groping[0] for[0] a[0] breath[0] of[0] air[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and while the film , like all romantic comedies , takes a hiatus from laughs towards the end because the plot has to finish up , there are more than enough truly hilarious moments in the first hour that make up for any slumps in progress during the second half . 	and while the film , like all romantic comedies , takes a hiatus from laughs towards the end because the plot has to finish up , there are more than enough truly hilarious moments in the first hour that make up for any slumps in progress during the second half .	4	-2	 and[0] while[0] the[0] film[0] like[1] all[0] romantic[3] comedies[0] takes[0] a[0] hiatus[0] from[0] laughs[1] towards[0] the[0] end[0] because[0] the[0] plot[0] has[0] to[0] finish[0] up[0] there[0] are[0] more[0] than[0] enough[0] truly[1] hilarious[2] moments[0] in[0] the[0] first[0] hour[0] that[0] make[0] up[0] for[0] any[0] slumps[-1] in[0] progress[0] during[0] the[0] second[0] half[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
my formal complaints for the wedding singer aren't very important . 	my formal complaints for the wedding singer aren't very important .	1	-2	 my[0] formal[0] complaints[-1] for[0] the[0] wedding[0] singer[0] aren't[0] very[0] important[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is predicable , but who cares ? 	the film is predicable , but who cares ?	2	-1	 the[0] film[0] is[0] predicable[0] but[0] who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters are extremely likable , the movie is ridiculously funny , and the experience is simply enjoyable . 	the characters are extremely likable , the movie is ridiculously funny , and the experience is simply enjoyable .	3	-3	 the[0] characters[0] are[0] extremely[0] likable[0] the[0] movie[0] is[0] ridiculously[-2] funny[1] and[0] the[0] experience[0] is[0] simply[0] enjoyable[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in addition to this , i can't imagine anyone seeing the preview and not wanting to see the film . 	in addition to this , i can't imagine anyone seeing the preview and not wanting to see the film .	1	-1	 in[0] addition[0] to[0] this[0] i[0] can't[0] imagine[0] anyone[0] seeing[0] the[0] preview[0] and[0] not[0] wanting[0] to[0] see[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in that order , i conclude that it is pointless for me to even have written this review . 	in that order , i conclude that it is pointless for me to even have written this review .	1	-2	 in[0] that[0] order[0] i[0] conclude[0] that[0] it[0] is[0] pointless[-1] for[0] me[0] to[0] even[0] have[0] written[0] this[0] review[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i just want everyone to know that i laughed . 	i just want everyone to know that i laughed .	2	-1	 i[0] just[0] want[0] everyone[0] to[0] know[0] that[0] i[0] laughed[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a lot . 	a lot .	1	-1	 a[0] lot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
