uncompromising french director robert bresson's " lancelot of the lake " achieves the exact opposite effect of sir thomas malory's " morte darthur . " 	Translation	Positive	Negative	EmotionRationale
the greatest of all knights , he was flawed only in his love for arthur's wife , queen guinevere , and it was that illicit affair that eventually caused the downfall of camelot . 	the greatest of all knights , he was flawed only in his love for arthur's wife , queen guinevere , and it was that illicit affair that eventually caused the downfall of camelot .	3	-2	 the[0] greatest[2] of[0] all[0] knights[0] he[0] was[0] flawed[0] only[0] in[0] his[0] love[2] for[0] arthur's[0] wife[0] queen[0] guinevere[0] and[0] it[0] was[0] that[0] illicit[0] affair[0] that[0] eventually[0] caused[0] the[0] downfall[-1] of[0] camelot[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even when lancelot attempts to end the affair with guinevere ( laura duke condominas ) , he only finds himself falling back into her arms against his better judgment . 	even when lancelot attempts to end the affair with guinevere ( laura duke condominas ) , he only finds himself falling back into her arms against his better judgment .	1	-2	 even[0] when[0] lancelot[0] attempts[0] to[0] end[0] the[0] affair[0] with[0] guinevere[0] laura[0] duke[0] condominas[0] he[0] only[0] finds[0] himself[0] falling[0] back[0] into[0] her[0] arms[0] against[-1] his[0] better[0] judgment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he knows it means the destruction of the idealized kingdom , but he is powerless in his passion . 	he knows it means the destruction of the idealized kingdom , but he is powerless in his passion .	3	-2	 he[0] knows[0] it[0] means[0] the[0] destruction[-1] of[0] the[0] idealized[0] kingdom[0] but[0] he[0] is[0] powerless[-1] in[0] his[0] passion[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when sir mordred ( patrick bernhard ) accuses lancelot of the affair , other knights , including sir gawain ( humbert balsan ) spring to lancelot's defense . 	when sir mordred ( patrick bernhard ) accuses lancelot of the affair , other knights , including sir gawain ( humbert balsan ) spring to lancelot's defense .	1	-2	 when[0] sir[0] mordred[0] patrick[0] bernhard[0] accuses[-1] lancelot[0] of[0] the[0] affair[0] other[0] knights[0] including[0] sir[0] gawain[0] humbert[0] balsan[0] spring[0] to[0] lancelot's[0] defense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is this battle within the knights that is the eventual undoing of the round table ; the flesh wins out over the spirit , and the consequences are dire . 	it is this battle within the knights that is the eventual undoing of the round table ; the flesh wins out over the spirit , and the consequences are dire .	1	-2	 it[0] is[0] this[0] battle[-1] within[0] the[0] knights[0] that[0] is[0] the[0] eventual[0] undoing[0] of[0] the[0] round[0] table[0] the[0] flesh[0] wins[0] out[0] over[0] the[0] spirit[0] and[0] the[0] consequences[0] are[0] dire[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bresson is an intensely personal filmmaker most interested in the interiors of men's hearts and minds . 	bresson is an intensely personal filmmaker most interested in the interiors of men's hearts and minds .	2	-1	 bresson[0] is[0] an[0] intensely[0] personal[0] filmmaker[0] most[0] interested[1] in[0] the[0] interiors[0] of[0] men's[0] hearts[0] and[0] minds[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " lancelot of the lake " is filled with his particular trademarks : a stripped-down , minimalist style , flat , expressionless dialogue , and a grand use of natural sounds in place of music . 	 " lancelot of the lake " is filled with his particular trademarks : a stripped-down , minimalist style , flat , expressionless dialogue , and a grand use of natural sounds in place of music .	2	-1	 lancelot[0] of[0] the[0] lake[0] is[0] filled[0] with[0] his[0] particular[0] trademarks[0] a[0] stripped[0] down[0] minimalist[0] style[0] flat[0] expressionless[0] dialogue[0] and[0] a[0] grand[1] use[0] of[0] natural[0] sounds[0] in[0] place[0] of[0] music[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he uses background music only twice in the film , during an opening narration segment and during the opening credits . 	he uses background music only twice in the film , during an opening narration segment and during the opening credits .	1	-1	 he[0] uses[0] background[0] music[0] only[0] twice[0] in[0] the[0] film[0] during[0] an[0] opening[0] narration[0] segment[0] and[0] during[0] the[0] opening[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the music here is a heavy drumbeat and accompanying bagpipes , but the rest of the film is scored with natural sounds that punctuate the film's thematic elements : the incessant clanking and creaking of heavy armor , the neighing of horses , the rhythm of hooves beating down dirt roads , and the natural chirping and whispering of the forest . 	the music here is a heavy drumbeat and accompanying bagpipes , but the rest of the film is scored with natural sounds that punctuate the film's thematic elements : the incessant clanking and creaking of heavy armor , the neighing of horses , the rhythm of hooves beating down dirt roads , and the natural chirping and whispering of the forest .	1	-2	 the[0] music[0] here[0] is[0] a[0] heavy[0] drumbeat[0] and[0] accompanying[0] bagpipes[0] but[0] the[0] rest[0] of[0] the[0] film[0] is[0] scored[0] with[0] natural[0] sounds[0] that[0] punctuate[0] the[0] film's[0] thematic[0] elements[0] the[0] incessant[-1] clanking[0] and[0] creaking[0] of[0] heavy[0] armor[0] the[0] neighing[0] of[0] horses[0] the[0] rhythm[0] of[0] hooves[0] beating[0] down[0] dirt[-1] roads[0] and[0] the[0] natural[0] chirping[0] and[0] whispering[0] of[0] the[0] forest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like most of his other films , bresson employed nonprofessional actors who recite the dialogue in emotionless , flat voices . 	like most of his other films , bresson employed nonprofessional actors who recite the dialogue in emotionless , flat voices .	2	-1	 like[1] most[0] of[0] his[0] other[0] films[0] bresson[0] employed[0] nonprofessional[0] actors[0] who[0] recite[0] the[0] dialogue[0] in[0] emotionless[0] flat[0] voices[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the actors he used in " lancelot of the lake " had never acted before , and with the exception of patrick bernhard , they never acted again . 	all the actors he used in " lancelot of the lake " had never acted before , and with the exception of patrick bernhard , they never acted again .	1	-1	 all[0] the[0] actors[0] he[0] used[0] in[0] lancelot[0] of[0] the[0] lake[0] had[0] never[0] acted[0] before[0] and[0] with[0] the[0] exception[0] of[0] patrick[0] bernhard[0] they[0] never[0] acted[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never once do they raise their voices or put any emphasis on a given word . 	never once do they raise their voices or put any emphasis on a given word .	1	-1	 never[0] once[0] do[0] they[0] raise[0] their[0] voices[0] or[0] put[0] any[0] emphasis[0] on[0] a[0] given[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of using vocal inflection , bresson strove to create emotion through images . 	instead of using vocal inflection , bresson strove to create emotion through images .	1	-1	 instead[0] of[0] using[0] vocal[0] inflection[0] bresson[0] strove[0] to[0] create[0] emotion[0] through[0] images[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in some ways , this technique works ; in other ways , it doesn't . 	in some ways , this technique works ; in other ways , it doesn't .	1	-1	 in[0] some[0] ways[0] this[0] technique[0] works[0] in[0] other[0] ways[0] it[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the final montage of arthur's men battling each other is quite marvelous , and the final image of the knights in shining armor reduced to a literal scrap-pile sums up the entire film in one moment . 	the final montage of arthur's men battling each other is quite marvelous , and the final image of the knights in shining armor reduced to a literal scrap-pile sums up the entire film in one moment .	1	-1	 the[0] final[0] montage[0] of[0] arthur's[0] men[0] battling[0] each[0] other[0] is[0] quite[0] marvelous[0] and[0] the[0] final[0] image[0] of[0] the[0] knights[0] in[0] shining[0] armor[0] reduced[0] to[0] a[0] literal[0] scrap[0] pile[0] sums[0] up[0] the[0] entire[0] film[0] in[0] one[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , other times bresson's uncompromising methods are distracting and questionable . 	however , other times bresson's uncompromising methods are distracting and questionable .	1	-2	 however[0] other[0] times[0] bresson's[0] uncompromising[0] methods[0] are[0] distracting[-1] and[0] questionable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for instance , during an important jousting contest , bresson films the majority of the action so that the only things visible are the horses' legs . 	for instance , during an important jousting contest , bresson films the majority of the action so that the only things visible are the horses' legs .	1	-1	 for[0] instance[0] during[0] an[0] important[0] jousting[0] contest[0] bresson[0] films[0] the[0] majority[0] of[0] the[0] action[0] so[0] that[0] the[0] only[0] things[0] visible[0] are[0] the[0] horses'[0] legs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he does this repeatedly , opening each shot with the same few notes from a bagpipe and the raising of a different flag . 	he does this repeatedly , opening each shot with the same few notes from a bagpipe and the raising of a different flag .	1	-2	 he[0] does[0] this[0] repeatedly[0] opening[0] each[0] shot[-1] with[0] the[0] same[0] few[0] notes[0] from[0] a[0] bagpipe[0] and[0] the[0] raising[0] of[0] a[0] different[0] flag[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while there might be symbolic value in this , the resulting experience of watching it can be bothersome . 	while there might be symbolic value in this , the resulting experience of watching it can be bothersome .	2	-2	 while[0] there[0] might[0] be[0] symbolic[0] value[1] in[0] this[0] the[0] resulting[0] experience[0] of[0] watching[0] it[0] can[0] be[0] bothersome[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nevertheless , " lancelot of the lake " is a fascinating cinematic experience boldly made by a master filmmaker . 	nevertheless , " lancelot of the lake " is a fascinating cinematic experience boldly made by a master filmmaker .	1	-1	 nevertheless[0] lancelot[0] of[0] the[0] lake[0] is[0] a[0] fascinating[0] cinematic[0] experience[0] boldly[0] made[0] by[0] a[0] master[0] filmmaker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bresson's style may not be for everyone , but one has to respect his strength as an artist . 	bresson's style may not be for everyone , but one has to respect his strength as an artist .	3	-1	 bresson's[0] style[0] may[0] not[0] be[0] for[0] everyone[0] but[0] one[0] has[0] to[0] respect[2] his[0] strength[0] as[0] an[0] artist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by re-evaluating the arthurian legends and making them his own , he turns " lancelot of the lake " into something rare in modern cinema : a truly personal film . 	by re-evaluating the arthurian legends and making them his own , he turns " lancelot of the lake " into something rare in modern cinema : a truly personal film .	2	-1	 by[0] re[0] evaluating[0] the[0] arthurian[0] legends[0] and[0] making[0] them[0] his[0] own[0] he[0] turns[0] lancelot[0] of[0] the[0] lake[0] into[0] something[0] rare[0] in[0] modern[0] cinema[0] a[0] truly[1] personal[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
